Año	Residencia provincia código	Residencia provincia nombre	Edad (grandes grupos)	Sexo	Relación lugar de residencia y nacimiento	Personas
2001	50	Zaragoza	0 a 15	Hombres	5 - Nacidos en el extranjero	1347
2001	50	Zaragoza	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	42564
2001	50	Zaragoza	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	8977
2001	50	Zaragoza	0 a 15	Mujeres	3 - Misma CA y distinta provincia	337
2001	50	Zaragoza	0 a 15	Mujeres	4 - Distinta CA	2781
2001	50	Zaragoza	0 a 15	Mujeres	5 - Nacidos en el extranjero	1211
2001	50	Zaragoza	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	153604
2001	50	Zaragoza	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	55984
2001	50	Zaragoza	16 a 64	Hombres	3 - Misma CA y distinta provincia	16438
2001	50	Zaragoza	16 a 64	Hombres	4 - Distinta CA	48841
2001	50	Zaragoza	16 a 64	Hombres	5 - Nacidos en el extranjero	13107
2001	50	Zaragoza	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	144233
2001	50	Zaragoza	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	58324
2001	50	Zaragoza	16 a 64	Mujeres	3 - Misma CA y distinta provincia	17981
2001	50	Zaragoza	16 a 64	Mujeres	4 - Distinta CA	50288
2001	50	Zaragoza	16 a 64	Mujeres	5 - Nacidos en el extranjero	10390
2001	50	Zaragoza	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	31852
2001	50	Zaragoza	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	17832
2001	50	Zaragoza	65 y más	Hombres	3 - Misma CA y distinta provincia	7702
2001	50	Zaragoza	65 y más	Hombres	4 - Distinta CA	14582
2001	50	Zaragoza	65 y más	Hombres	5 - Nacidos en el extranjero	533
2001	50	Zaragoza	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	39373
2001	50	Zaragoza	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	26959
2001	50	Zaragoza	65 y más	Mujeres	3 - Misma CA y distinta provincia	11224
2001	50	Zaragoza	65 y más	Mujeres	4 - Distinta CA	21252
2001	50	Zaragoza	65 y más	Mujeres	5 - Nacidos en el extranjero	760
2002	22	Huesca	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	8196
2002	22	Huesca	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	3180
2002	22	Huesca	0 a 15	Hombres	3 - Misma CA y distinta provincia	721
2002	22	Huesca	0 a 15	Hombres	4 - Distinta CA	1419
2002	22	Huesca	0 a 15	Hombres	5 - Nacidos en el extranjero	435
2002	22	Huesca	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	7881
2002	22	Huesca	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	3005
2002	22	Huesca	0 a 15	Mujeres	3 - Misma CA y distinta provincia	669
2002	22	Huesca	0 a 15	Mujeres	4 - Distinta CA	1337
2002	22	Huesca	0 a 15	Mujeres	5 - Nacidos en el extranjero	398
2002	22	Huesca	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	28696
2002	22	Huesca	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	18795
2002	22	Huesca	16 a 64	Hombres	3 - Misma CA y distinta provincia	4784
2002	22	Huesca	16 a 64	Hombres	4 - Distinta CA	12215
2002	22	Huesca	16 a 64	Hombres	5 - Nacidos en el extranjero	4196
2002	22	Huesca	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	24393
2002	22	Huesca	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	19301
2002	22	Huesca	16 a 64	Mujeres	3 - Misma CA y distinta provincia	4561
2002	22	Huesca	16 a 64	Mujeres	4 - Distinta CA	11791
2002	22	Huesca	16 a 64	Mujeres	5 - Nacidos en el extranjero	2598
2002	22	Huesca	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	12330
2002	22	Huesca	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	6116
2002	22	Huesca	65 y más	Hombres	3 - Misma CA y distinta provincia	1413
2002	22	Huesca	65 y más	Hombres	4 - Distinta CA	2891
2002	22	Huesca	65 y más	Hombres	5 - Nacidos en el extranjero	179
2002	22	Huesca	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	12357
2002	22	Huesca	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9551
2002	22	Huesca	65 y más	Mujeres	3 - Misma CA y distinta provincia	1755
2002	22	Huesca	65 y más	Mujeres	4 - Distinta CA	3574
2002	22	Huesca	65 y más	Mujeres	5 - Nacidos en el extranjero	226
2002	44	Teruel	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	4720
2002	44	Teruel	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	2730
2002	44	Teruel	0 a 15	Hombres	3 - Misma CA y distinta provincia	1083
2002	44	Teruel	0 a 15	Hombres	4 - Distinta CA	569
2002	44	Teruel	0 a 15	Hombres	5 - Nacidos en el extranjero	331
2002	44	Teruel	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	4616
2002	44	Teruel	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	2609
2002	44	Teruel	0 a 15	Mujeres	3 - Misma CA y distinta provincia	1013
2002	44	Teruel	0 a 15	Mujeres	4 - Distinta CA	530
2002	44	Teruel	0 a 15	Mujeres	5 - Nacidos en el extranjero	302
2002	44	Teruel	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	20580
2002	44	Teruel	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	11156
2002	44	Teruel	16 a 64	Hombres	3 - Misma CA y distinta provincia	3095
2002	44	Teruel	16 a 64	Hombres	4 - Distinta CA	6180
2002	44	Teruel	16 a 64	Hombres	5 - Nacidos en el extranjero	2094
2002	44	Teruel	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	17238
2002	44	Teruel	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	11040
2002	44	Teruel	16 a 64	Mujeres	3 - Misma CA y distinta provincia	3072
2002	44	Teruel	16 a 64	Mujeres	4 - Distinta CA	5771
2002	44	Teruel	16 a 64	Mujeres	5 - Nacidos en el extranjero	1391
2002	44	Teruel	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11855
2002	44	Teruel	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	3215
2002	44	Teruel	65 y más	Hombres	3 - Misma CA y distinta provincia	395
2002	44	Teruel	65 y más	Hombres	4 - Distinta CA	1616
2002	44	Teruel	65 y más	Hombres	5 - Nacidos en el extranjero	63
2002	44	Teruel	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	13197
2002	44	Teruel	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	4277
2002	44	Teruel	65 y más	Mujeres	3 - Misma CA y distinta provincia	561
2002	44	Teruel	65 y más	Mujeres	4 - Distinta CA	1972
2002	44	Teruel	65 y más	Mujeres	5 - Nacidos en el extranjero	71
2002	50	Zaragoza	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	45314
2002	50	Zaragoza	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	9030
2002	50	Zaragoza	0 a 15	Hombres	3 - Misma CA y distinta provincia	347
2002	50	Zaragoza	0 a 15	Hombres	4 - Distinta CA	2763
2002	50	Zaragoza	0 a 15	Hombres	5 - Nacidos en el extranjero	2306
2002	50	Zaragoza	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	43217
2002	50	Zaragoza	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	8410
2002	50	Zaragoza	0 a 15	Mujeres	3 - Misma CA y distinta provincia	334
2002	50	Zaragoza	0 a 15	Mujeres	4 - Distinta CA	2693
2002	50	Zaragoza	0 a 15	Mujeres	5 - Nacidos en el extranjero	2258
2002	50	Zaragoza	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	153244
2002	50	Zaragoza	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	56223
2002	50	Zaragoza	16 a 64	Hombres	3 - Misma CA y distinta provincia	16012
2002	50	Zaragoza	16 a 64	Hombres	4 - Distinta CA	48516
2002	50	Zaragoza	16 a 64	Hombres	5 - Nacidos en el extranjero	19927
2002	50	Zaragoza	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	143955
2002	50	Zaragoza	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	58179
2002	50	Zaragoza	16 a 64	Mujeres	3 - Misma CA y distinta provincia	17529
2002	50	Zaragoza	16 a 64	Mujeres	4 - Distinta CA	49736
2002	50	Zaragoza	16 a 64	Mujeres	5 - Nacidos en el extranjero	15331
2002	50	Zaragoza	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	32062
2002	50	Zaragoza	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	17977
2002	50	Zaragoza	65 y más	Hombres	3 - Misma CA y distinta provincia	7826
2002	50	Zaragoza	65 y más	Hombres	4 - Distinta CA	14931
2002	50	Zaragoza	65 y más	Hombres	5 - Nacidos en el extranjero	599
2002	50	Zaragoza	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	39632
2002	50	Zaragoza	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	27195
2002	50	Zaragoza	65 y más	Mujeres	3 - Misma CA y distinta provincia	11455
2002	50	Zaragoza	65 y más	Mujeres	4 - Distinta CA	21706
2002	50	Zaragoza	65 y más	Mujeres	5 - Nacidos en el extranjero	872
2003	22	Huesca	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	8476
2003	22	Huesca	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	2893
2003	22	Huesca	0 a 15	Hombres	3 - Misma CA y distinta provincia	679
2003	22	Huesca	0 a 15	Hombres	4 - Distinta CA	1384
2003	22	Huesca	0 a 15	Hombres	5 - Nacidos en el extranjero	635
2003	22	Huesca	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	8061
2003	22	Huesca	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	2741
2003	22	Huesca	0 a 15	Mujeres	3 - Misma CA y distinta provincia	676
2003	22	Huesca	0 a 15	Mujeres	4 - Distinta CA	1304
2003	22	Huesca	0 a 15	Mujeres	5 - Nacidos en el extranjero	657
2003	22	Huesca	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	28270
2003	22	Huesca	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	18814
2003	22	Huesca	16 a 64	Hombres	3 - Misma CA y distinta provincia	4844
2003	22	Huesca	16 a 64	Hombres	4 - Distinta CA	12414
2003	22	Huesca	16 a 64	Hombres	5 - Nacidos en el extranjero	5669
2003	22	Huesca	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	24111
2003	22	Huesca	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	19206
2003	22	Huesca	16 a 64	Mujeres	3 - Misma CA y distinta provincia	4582
2003	22	Huesca	16 a 64	Mujeres	4 - Distinta CA	11806
2003	22	Huesca	16 a 64	Mujeres	5 - Nacidos en el extranjero	3610
2003	22	Huesca	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	12194
2003	22	Huesca	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	6102
2003	22	Huesca	65 y más	Hombres	3 - Misma CA y distinta provincia	1417
2003	22	Huesca	65 y más	Hombres	4 - Distinta CA	2981
2003	22	Huesca	65 y más	Hombres	5 - Nacidos en el extranjero	190
2003	22	Huesca	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	12256
2003	22	Huesca	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9596
2003	22	Huesca	65 y más	Mujeres	3 - Misma CA y distinta provincia	1784
2003	22	Huesca	65 y más	Mujeres	4 - Distinta CA	3684
2003	22	Huesca	65 y más	Mujeres	5 - Nacidos en el extranjero	250
2003	44	Teruel	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	4874
2003	44	Teruel	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	2516
2003	44	Teruel	0 a 15	Hombres	3 - Misma CA y distinta provincia	983
2003	44	Teruel	0 a 15	Hombres	4 - Distinta CA	597
2003	44	Teruel	0 a 15	Hombres	5 - Nacidos en el extranjero	528
2003	44	Teruel	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	4721
2003	44	Teruel	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	2415
2003	44	Teruel	0 a 15	Mujeres	3 - Misma CA y distinta provincia	914
2003	44	Teruel	0 a 15	Mujeres	4 - Distinta CA	547
2003	44	Teruel	0 a 15	Mujeres	5 - Nacidos en el extranjero	511
2003	44	Teruel	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	20128
2003	44	Teruel	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	11157
2003	44	Teruel	16 a 64	Hombres	3 - Misma CA y distinta provincia	3220
2003	44	Teruel	16 a 64	Hombres	4 - Distinta CA	6217
2003	44	Teruel	16 a 64	Hombres	5 - Nacidos en el extranjero	3369
2003	44	Teruel	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	16881
2003	44	Teruel	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	10920
2003	44	Teruel	16 a 64	Mujeres	3 - Misma CA y distinta provincia	3122
2003	44	Teruel	16 a 64	Mujeres	4 - Distinta CA	5806
2003	44	Teruel	16 a 64	Mujeres	5 - Nacidos en el extranjero	2145
2003	44	Teruel	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11616
2003	44	Teruel	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	3292
2003	44	Teruel	65 y más	Hombres	3 - Misma CA y distinta provincia	398
2003	44	Teruel	65 y más	Hombres	4 - Distinta CA	1677
2003	44	Teruel	65 y más	Hombres	5 - Nacidos en el extranjero	69
2003	44	Teruel	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	13018
2003	44	Teruel	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	4341
2003	44	Teruel	65 y más	Mujeres	3 - Misma CA y distinta provincia	581
2003	44	Teruel	65 y más	Mujeres	4 - Distinta CA	2049
2003	44	Teruel	65 y más	Mujeres	5 - Nacidos en el extranjero	74
2003	50	Zaragoza	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	46052
2003	50	Zaragoza	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	8651
2003	50	Zaragoza	0 a 15	Hombres	3 - Misma CA y distinta provincia	369
2003	50	Zaragoza	0 a 15	Hombres	4 - Distinta CA	2778
2003	50	Zaragoza	0 a 15	Hombres	5 - Nacidos en el extranjero	3390
2003	50	Zaragoza	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	43727
2003	50	Zaragoza	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	8174
2003	50	Zaragoza	0 a 15	Mujeres	3 - Misma CA y distinta provincia	353
2003	50	Zaragoza	0 a 15	Mujeres	4 - Distinta CA	2629
2003	50	Zaragoza	0 a 15	Mujeres	5 - Nacidos en el extranjero	3391
2003	50	Zaragoza	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	151808
2003	50	Zaragoza	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	56791
2003	50	Zaragoza	16 a 64	Hombres	3 - Misma CA y distinta provincia	15718
2003	50	Zaragoza	16 a 64	Hombres	4 - Distinta CA	48204
2003	50	Zaragoza	16 a 64	Hombres	5 - Nacidos en el extranjero	25032
2003	50	Zaragoza	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	143096
2003	50	Zaragoza	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	58423
2003	50	Zaragoza	16 a 64	Mujeres	3 - Misma CA y distinta provincia	17389
2003	50	Zaragoza	16 a 64	Mujeres	4 - Distinta CA	49422
2003	50	Zaragoza	16 a 64	Mujeres	5 - Nacidos en el extranjero	19830
2003	50	Zaragoza	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	32092
2003	50	Zaragoza	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	17988
2003	50	Zaragoza	65 y más	Hombres	3 - Misma CA y distinta provincia	8010
2003	50	Zaragoza	65 y más	Hombres	4 - Distinta CA	15053
2003	50	Zaragoza	65 y más	Hombres	5 - Nacidos en el extranjero	671
2003	50	Zaragoza	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	39514
2003	50	Zaragoza	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	27189
2003	50	Zaragoza	65 y más	Mujeres	3 - Misma CA y distinta provincia	11519
2003	50	Zaragoza	65 y más	Mujeres	4 - Distinta CA	21881
2003	50	Zaragoza	65 y más	Mujeres	5 - Nacidos en el extranjero	974
2004	22	Huesca	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	8741
2004	22	Huesca	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	2690
2004	22	Huesca	0 a 15	Hombres	3 - Misma CA y distinta provincia	669
2004	22	Huesca	0 a 15	Hombres	4 - Distinta CA	1293
2004	22	Huesca	0 a 15	Hombres	5 - Nacidos en el extranjero	849
2004	22	Huesca	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	8210
2004	22	Huesca	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	2506
2004	22	Huesca	0 a 15	Mujeres	3 - Misma CA y distinta provincia	659
2004	22	Huesca	0 a 15	Mujeres	4 - Distinta CA	1239
2004	22	Huesca	0 a 15	Mujeres	5 - Nacidos en el extranjero	841
2004	22	Huesca	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	27935
2004	22	Huesca	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	18917
2004	22	Huesca	16 a 64	Hombres	3 - Misma CA y distinta provincia	4957
2004	22	Huesca	16 a 64	Hombres	4 - Distinta CA	12614
2004	22	Huesca	16 a 64	Hombres	5 - Nacidos en el extranjero	6595
2004	22	Huesca	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	24002
2004	22	Huesca	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	19172
2004	22	Huesca	16 a 64	Mujeres	3 - Misma CA y distinta provincia	4667
2004	22	Huesca	16 a 64	Mujeres	4 - Distinta CA	11932
2004	22	Huesca	16 a 64	Mujeres	5 - Nacidos en el extranjero	4429
2004	22	Huesca	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	12029
2004	22	Huesca	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	6031
2004	22	Huesca	65 y más	Hombres	3 - Misma CA y distinta provincia	1417
2004	22	Huesca	65 y más	Hombres	4 - Distinta CA	3021
2004	22	Huesca	65 y más	Hombres	5 - Nacidos en el extranjero	203
2004	22	Huesca	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	12049
2004	22	Huesca	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9454
2004	22	Huesca	65 y más	Mujeres	3 - Misma CA y distinta provincia	1794
2004	22	Huesca	65 y más	Mujeres	4 - Distinta CA	3724
2004	22	Huesca	65 y más	Mujeres	5 - Nacidos en el extranjero	262
2004	44	Teruel	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	5057
2004	44	Teruel	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	2288
2004	44	Teruel	0 a 15	Hombres	3 - Misma CA y distinta provincia	869
2004	44	Teruel	0 a 15	Hombres	4 - Distinta CA	562
2004	44	Teruel	0 a 15	Hombres	5 - Nacidos en el extranjero	647
2004	44	Teruel	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	4872
2004	44	Teruel	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	2220
2004	44	Teruel	0 a 15	Mujeres	3 - Misma CA y distinta provincia	825
2004	44	Teruel	0 a 15	Mujeres	4 - Distinta CA	543
2004	44	Teruel	0 a 15	Mujeres	5 - Nacidos en el extranjero	620
2004	44	Teruel	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	19913
2004	44	Teruel	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	11265
2004	44	Teruel	16 a 64	Hombres	3 - Misma CA y distinta provincia	3346
2004	44	Teruel	16 a 64	Hombres	4 - Distinta CA	6252
2004	44	Teruel	16 a 64	Hombres	5 - Nacidos en el extranjero	4049
2004	44	Teruel	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	16770
2004	44	Teruel	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	10960
2004	44	Teruel	16 a 64	Mujeres	3 - Misma CA y distinta provincia	3211
2004	44	Teruel	16 a 64	Mujeres	4 - Distinta CA	5857
2004	44	Teruel	16 a 64	Mujeres	5 - Nacidos en el extranjero	2610
2004	44	Teruel	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11370
2004	44	Teruel	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	3236
2004	44	Teruel	65 y más	Hombres	3 - Misma CA y distinta provincia	397
2004	44	Teruel	65 y más	Hombres	4 - Distinta CA	1748
2004	44	Teruel	65 y más	Hombres	5 - Nacidos en el extranjero	74
2004	44	Teruel	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	12743
2004	44	Teruel	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	4276
2004	44	Teruel	65 y más	Mujeres	3 - Misma CA y distinta provincia	578
2004	44	Teruel	65 y más	Mujeres	4 - Distinta CA	2090
2004	44	Teruel	65 y más	Mujeres	5 - Nacidos en el extranjero	85
2004	50	Zaragoza	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	47220
2004	50	Zaragoza	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	8306
2004	50	Zaragoza	0 a 15	Hombres	3 - Misma CA y distinta provincia	368
2004	50	Zaragoza	0 a 15	Hombres	4 - Distinta CA	2784
2004	50	Zaragoza	0 a 15	Hombres	5 - Nacidos en el extranjero	4246
2004	50	Zaragoza	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	44619
2004	50	Zaragoza	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	7822
2004	50	Zaragoza	0 a 15	Mujeres	3 - Misma CA y distinta provincia	368
2004	50	Zaragoza	0 a 15	Mujeres	4 - Distinta CA	2589
2004	50	Zaragoza	0 a 15	Mujeres	5 - Nacidos en el extranjero	4187
2004	50	Zaragoza	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	152945
2004	50	Zaragoza	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	57773
2004	50	Zaragoza	16 a 64	Hombres	3 - Misma CA y distinta provincia	15613
2004	50	Zaragoza	16 a 64	Hombres	4 - Distinta CA	48505
2004	50	Zaragoza	16 a 64	Hombres	5 - Nacidos en el extranjero	30172
2004	50	Zaragoza	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	144031
2004	50	Zaragoza	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	59020
2004	50	Zaragoza	16 a 64	Mujeres	3 - Misma CA y distinta provincia	17263
2004	50	Zaragoza	16 a 64	Mujeres	4 - Distinta CA	49430
2004	50	Zaragoza	16 a 64	Mujeres	5 - Nacidos en el extranjero	24634
2004	50	Zaragoza	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	31900
2004	50	Zaragoza	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	17944
2004	50	Zaragoza	65 y más	Hombres	3 - Misma CA y distinta provincia	7977
2004	50	Zaragoza	65 y más	Hombres	4 - Distinta CA	15338
2004	50	Zaragoza	65 y más	Hombres	5 - Nacidos en el extranjero	749
2004	50	Zaragoza	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	39415
2004	50	Zaragoza	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	27266
2004	50	Zaragoza	65 y más	Mujeres	3 - Misma CA y distinta provincia	11491
2004	50	Zaragoza	65 y más	Mujeres	4 - Distinta CA	22255
2004	50	Zaragoza	65 y más	Mujeres	5 - Nacidos en el extranjero	1120
2005	22	Huesca	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	9056
2005	22	Huesca	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	2505
2005	22	Huesca	0 a 15	Hombres	3 - Misma CA y distinta provincia	668
2005	22	Huesca	0 a 15	Hombres	4 - Distinta CA	1243
2005	22	Huesca	0 a 15	Hombres	5 - Nacidos en el extranjero	1095
2005	22	Huesca	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	8520
2005	22	Huesca	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	2295
2005	22	Huesca	0 a 15	Mujeres	3 - Misma CA y distinta provincia	616
2005	22	Huesca	0 a 15	Mujeres	4 - Distinta CA	1177
2005	22	Huesca	0 a 15	Mujeres	5 - Nacidos en el extranjero	1025
2005	22	Huesca	16 a 64	Hombres	1 - Misma CA, misma provincia y mismo municipio	27801
2005	22	Huesca	16 a 64	Hombres	2 - Misma CA, misma provincia y distinto municipio	19062
2005	22	Huesca	16 a 64	Hombres	3 - Misma CA y distinta provincia	5027
2005	22	Huesca	16 a 64	Hombres	4 - Distinta CA	12865
2005	22	Huesca	16 a 64	Hombres	5 - Nacidos en el extranjero	8209
2005	22	Huesca	16 a 64	Mujeres	1 - Misma CA, misma provincia y mismo municipio	23872
2005	22	Huesca	16 a 64	Mujeres	2 - Misma CA, misma provincia y distinto municipio	19150
2005	22	Huesca	16 a 64	Mujeres	3 - Misma CA y distinta provincia	4693
2005	22	Huesca	16 a 64	Mujeres	4 - Distinta CA	12087
2005	22	Huesca	16 a 64	Mujeres	5 - Nacidos en el extranjero	5512
2005	22	Huesca	65 y más	Hombres	1 - Misma CA, misma provincia y mismo municipio	11761
2005	22	Huesca	65 y más	Hombres	2 - Misma CA, misma provincia y distinto municipio	5897
2005	22	Huesca	65 y más	Hombres	3 - Misma CA y distinta provincia	1412
2005	22	Huesca	65 y más	Hombres	4 - Distinta CA	3038
2005	22	Huesca	65 y más	Hombres	5 - Nacidos en el extranjero	230
2005	22	Huesca	65 y más	Mujeres	1 - Misma CA, misma provincia y mismo municipio	11830
2005	22	Huesca	65 y más	Mujeres	2 - Misma CA, misma provincia y distinto municipio	9338
2005	22	Huesca	65 y más	Mujeres	3 - Misma CA y distinta provincia	1810
2005	22	Huesca	65 y más	Mujeres	4 - Distinta CA	3782
2005	22	Huesca	65 y más	Mujeres	5 - Nacidos en el extranjero	288
2005	44	Teruel	0 a 15	Hombres	1 - Misma CA, misma provincia y mismo municipio	5328
2005	44	Teruel	0 a 15	Hombres	2 - Misma CA, misma provincia y distinto municipio	2091
2005	44	Teruel	0 a 15	Hombres	3 - Misma CA y distinta provincia	757
2005	44	Teruel	0 a 15	Hombres	4 - Distinta CA	590
2005	44	Teruel	0 a 15	Hombres	5 - Nacidos en el extranjero	801
2005	44	Teruel	0 a 15	Mujeres	1 - Misma CA, misma provincia y mismo municipio	5089
2005	44	Teruel	0 a 15	Mujeres	2 - Misma CA, misma provincia y distinto municipio	1988
2005	44	Teruel	0 a 15	Mujeres	3 - Misma CA y distinta provincia	707
