Año	Residencia provincia nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
2012	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2457
2012	Huesca	Extranjeros	07	Asia	Asia	Mujeres	240
2012	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	7
2012	Teruel	Españoles	01	UE-27	Europa	Mujeres	62259
2012	Teruel	Extranjeros	01	UE-27	Europa	Mujeres	4259
2012	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	166
2012	Teruel	Extranjeros	03	Magreb	África	Mujeres	1664
2012	Teruel	Extranjeros	04	Resto de África	África	Mujeres	70
2012	Teruel	Extranjeros	05	América del Norte	América	Mujeres	10
2012	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1543
2012	Teruel	Extranjeros	07	Asia	Asia	Mujeres	274
2012	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	5
2012	Zaragoza	Españoles	01	UE-27	Europa	Mujeres	435810
2012	Zaragoza	Extranjeros	01	UE-27	Europa	Mujeres	31018
2012	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1687
2012	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	5872
2012	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	3190
2012	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	192
2012	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	15007
2012	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	2428
2012	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2012	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	10
2013	Huesca	Españoles	01	UE-27	Europa	Mujeres	99068
2013	Huesca	Extranjeros	01	UE-27	Europa	Mujeres	6885
2013	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	462
2013	Huesca	Extranjeros	03	Magreb	África	Mujeres	1950
2013	Huesca	Extranjeros	04	Resto de África	África	Mujeres	592
2013	Huesca	Extranjeros	05	América del Norte	América	Mujeres	31
2013	Huesca	Extranjeros	06	Resto de América	América	Mujeres	2316
2013	Huesca	Extranjeros	07	Asia	Asia	Mujeres	234
2013	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	10
2013	Teruel	Españoles	01	UE-27	Europa	Mujeres	61756
2013	Teruel	Extranjeros	01	UE-27	Europa	Mujeres	4114
2013	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	164
2013	Teruel	Extranjeros	03	Magreb	África	Mujeres	1785
2013	Teruel	Extranjeros	04	Resto de África	África	Mujeres	71
2013	Teruel	Extranjeros	05	América del Norte	América	Mujeres	9
2013	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1464
2013	Teruel	Extranjeros	07	Asia	Asia	Mujeres	287
2013	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
2013	Zaragoza	Españoles	01	UE-27	Europa	Mujeres	435440
2013	Zaragoza	Extranjeros	01	UE-27	Europa	Mujeres	30873
2013	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1779
2013	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	6307
2013	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	3339
2013	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	193
2013	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	15321
2013	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	2695
2013	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	8
2013	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	6
2014	Huesca	Españoles	01	UE-28	Europa	Mujeres	99367
2014	Huesca	Extranjeros	01	UE-28	Europa	Mujeres	6576
2014	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	440
2014	Huesca	Extranjeros	03	Magreb	África	Mujeres	1873
2014	Huesca	Extranjeros	04	Resto de África	África	Mujeres	560
2014	Huesca	Extranjeros	05	América del Norte	América	Mujeres	32
2014	Huesca	Extranjeros	06	Resto de América	América	Mujeres	1954
2014	Huesca	Extranjeros	07	Asia	Asia	Mujeres	249
2014	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	18
2014	Teruel	Españoles	01	UE-28	Europa	Mujeres	61731
2014	Teruel	Extranjeros	01	UE-28	Europa	Mujeres	3816
2014	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	152
2014	Teruel	Extranjeros	03	Magreb	África	Mujeres	1825
2014	Teruel	Extranjeros	04	Resto de África	África	Mujeres	62
2014	Teruel	Extranjeros	05	América del Norte	América	Mujeres	13
2014	Teruel	Extranjeros	06	Resto de América	América	Mujeres	1065
2014	Teruel	Extranjeros	07	Asia	Asia	Mujeres	249
2014	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	3
2014	Zaragoza	Españoles	01	UE-28	Europa	Mujeres	436559
2014	Zaragoza	Extranjeros	01	UE-28	Europa	Mujeres	24018
2014	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1684
2014	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	6388
2014	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	3291
2014	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	162
2014	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	13496
2014	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	2831
2014	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	5
2014	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	2
2015	Huesca	Españoles	01	UE-28	Europa	Mujeres	99186
2015	Huesca	Extranjeros	01	UE-28	Europa	Mujeres	6237
2015	Huesca	Extranjeros	02	Resto de Europa	Europa	Mujeres	437
2015	Huesca	Extranjeros	03	Magreb	África	Mujeres	1835
2015	Huesca	Extranjeros	04	Resto de África	África	Mujeres	557
2015	Huesca	Extranjeros	05	América del Norte	América	Mujeres	31
2015	Huesca	Extranjeros	06	Resto de América	América	Mujeres	1719
2015	Huesca	Extranjeros	07	Asia	Asia	Mujeres	255
2015	Huesca	Extranjeros	08	Oceanía	Oceanía	Mujeres	26
2015	Teruel	Españoles	01	UE-28	Europa	Mujeres	61460
2015	Teruel	Extranjeros	01	UE-28	Europa	Mujeres	3688
2015	Teruel	Extranjeros	02	Resto de Europa	Europa	Mujeres	150
2015	Teruel	Extranjeros	03	Magreb	África	Mujeres	1794
2015	Teruel	Extranjeros	04	Resto de África	África	Mujeres	64
2015	Teruel	Extranjeros	05	América del Norte	América	Mujeres	16
2015	Teruel	Extranjeros	06	Resto de América	América	Mujeres	914
2015	Teruel	Extranjeros	07	Asia	Asia	Mujeres	237
2015	Teruel	Extranjeros	08	Oceanía	Oceanía	Mujeres	4
2015	Zaragoza	Españoles	01	UE-28	Europa	Mujeres	437590
2015	Zaragoza	Extranjeros	01	UE-28	Europa	Mujeres	23047
2015	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Mujeres	1696
2015	Zaragoza	Extranjeros	03	Magreb	África	Mujeres	6147
2015	Zaragoza	Extranjeros	04	Resto de África	África	Mujeres	3194
2015	Zaragoza	Extranjeros	05	América del Norte	América	Mujeres	172
2015	Zaragoza	Extranjeros	06	Resto de América	América	Mujeres	11955
2015	Zaragoza	Extranjeros	07	Asia	Asia	Mujeres	2739
2015	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Mujeres	7
2015	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Mujeres	3
1998	Huesca	Españoles	01	UE-15	Europa	Hombres	101485
1998	Huesca	Extranjeros	01	UE-15	Europa	Hombres	226
1998	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	21
1998	Huesca	Extranjeros	03	Magreb	África	Hombres	184
1998	Huesca	Extranjeros	04	Resto de África	África	Hombres	110
1998	Huesca	Extranjeros	05	América del Norte	América	Hombres	18
1998	Huesca	Extranjeros	06	Resto de América	América	Hombres	81
1998	Huesca	Extranjeros	07	Asia	Asia	Hombres	29
1998	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	2
1998	Teruel	Españoles	01	UE-15	Europa	Hombres	68625
1998	Teruel	Extranjeros	01	UE-15	Europa	Hombres	91
1998	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	25
1998	Teruel	Extranjeros	03	Magreb	África	Hombres	117
1998	Teruel	Extranjeros	04	Resto de África	África	Hombres	41
1998	Teruel	Extranjeros	05	América del Norte	América	Hombres	4
1998	Teruel	Extranjeros	06	Resto de América	América	Hombres	26
1998	Teruel	Extranjeros	07	Asia	Asia	Hombres	36
1998	Zaragoza	Españoles	01	UE-15	Europa	Hombres	397604
1998	Zaragoza	Extranjeros	01	UE-15	Europa	Hombres	782
1998	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	111
1998	Zaragoza	Extranjeros	03	Magreb	África	Hombres	772
1998	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	568
1998	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	169
1998	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	529
1998	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	166
1998	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	5
1998	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	4
1999	Huesca	Españoles	01	UE-15	Europa	Hombres	100643
1999	Huesca	Extranjeros	01	UE-15	Europa	Hombres	237
1999	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	26
1999	Huesca	Extranjeros	03	Magreb	África	Hombres	244
1999	Huesca	Extranjeros	04	Resto de África	África	Hombres	152
1999	Huesca	Extranjeros	05	América del Norte	América	Hombres	20
1999	Huesca	Extranjeros	06	Resto de América	América	Hombres	88
1999	Huesca	Extranjeros	07	Asia	Asia	Hombres	26
1999	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	4
1999	Teruel	Españoles	01	UE-15	Europa	Hombres	67658
1999	Teruel	Extranjeros	01	UE-15	Europa	Hombres	93
1999	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	27
1999	Teruel	Extranjeros	03	Magreb	África	Hombres	115
1999	Teruel	Extranjeros	04	Resto de África	África	Hombres	45
1999	Teruel	Extranjeros	05	América del Norte	América	Hombres	4
1999	Teruel	Extranjeros	06	Resto de América	América	Hombres	31
1999	Teruel	Extranjeros	07	Asia	Asia	Hombres	41
1999	Zaragoza	Españoles	01	UE-15	Europa	Hombres	402596
1999	Zaragoza	Extranjeros	01	UE-15	Europa	Hombres	843
1999	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	138
1999	Zaragoza	Extranjeros	03	Magreb	África	Hombres	913
1999	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	702
1999	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	172
1999	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	612
1999	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	186
1999	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	6
1999	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	4
2000	Huesca	Españoles	01	UE-15	Europa	Hombres	101938
2000	Huesca	Extranjeros	01	UE-15	Europa	Hombres	275
2000	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	51
2000	Huesca	Extranjeros	03	Magreb	África	Hombres	414
2000	Huesca	Extranjeros	04	Resto de África	África	Hombres	296
2000	Huesca	Extranjeros	05	América del Norte	América	Hombres	24
2000	Huesca	Extranjeros	06	Resto de América	América	Hombres	121
2000	Huesca	Extranjeros	07	Asia	Asia	Hombres	36
2000	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	8
2000	Teruel	Españoles	01	UE-15	Europa	Hombres	68360
2000	Teruel	Extranjeros	01	UE-15	Europa	Hombres	105
2000	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	39
2000	Teruel	Extranjeros	03	Magreb	África	Hombres	243
2000	Teruel	Extranjeros	04	Resto de África	África	Hombres	56
2000	Teruel	Extranjeros	05	América del Norte	América	Hombres	4
2000	Teruel	Extranjeros	06	Resto de América	América	Hombres	39
2000	Teruel	Extranjeros	07	Asia	Asia	Hombres	54
2000	Zaragoza	Españoles	01	UE-15	Europa	Hombres	407819
2000	Zaragoza	Extranjeros	01	UE-15	Europa	Hombres	947
2000	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	287
2000	Zaragoza	Extranjeros	03	Magreb	África	Hombres	1343
2000	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	1068
2000	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	192
2000	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	819
2000	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	208
2000	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	5
2000	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	6
2001	Huesca	Españoles	01	UE-15	Europa	Hombres	101460
2001	Huesca	Extranjeros	01	UE-15	Europa	Hombres	304
2001	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	262
2001	Huesca	Extranjeros	03	Magreb	África	Hombres	763
2001	Huesca	Extranjeros	04	Resto de África	África	Hombres	511
2001	Huesca	Extranjeros	05	América del Norte	América	Hombres	27
2001	Huesca	Extranjeros	06	Resto de América	América	Hombres	271
2001	Huesca	Extranjeros	07	Asia	Asia	Hombres	47
2001	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	17
2001	Teruel	Españoles	01	UE-15	Europa	Hombres	67873
2001	Teruel	Extranjeros	01	UE-15	Europa	Hombres	119
2001	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	185
2001	Teruel	Extranjeros	03	Magreb	África	Hombres	415
2001	Teruel	Extranjeros	04	Resto de África	África	Hombres	54
2001	Teruel	Extranjeros	05	América del Norte	América	Hombres	5
2001	Teruel	Extranjeros	06	Resto de América	América	Hombres	115
2001	Teruel	Extranjeros	07	Asia	Asia	Hombres	106
2001	Teruel	Extranjeros	08	Oceanía	Oceanía	Hombres	1
2001	Teruel	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	1
2001	Zaragoza	Españoles	01	UE-15	Europa	Hombres	407988
2001	Zaragoza	Extranjeros	01	UE-15	Europa	Hombres	1090
2001	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	2134
2001	Zaragoza	Extranjeros	03	Magreb	África	Hombres	2852
2001	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	1744
2001	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	203
2001	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	2846
2001	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	401
2001	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	5
2001	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	7
2002	Huesca	Españoles	01	UE-15	Europa	Hombres	101414
2002	Huesca	Extranjeros	01	UE-15	Europa	Hombres	351
2002	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	700
2002	Huesca	Extranjeros	03	Magreb	África	Hombres	1302
2002	Huesca	Extranjeros	04	Resto de África	África	Hombres	946
2002	Huesca	Extranjeros	05	América del Norte	América	Hombres	32
2002	Huesca	Extranjeros	06	Resto de América	América	Hombres	715
2002	Huesca	Extranjeros	07	Asia	Asia	Hombres	67
2002	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	39
2002	Teruel	Españoles	01	UE-15	Europa	Hombres	67549
2002	Teruel	Extranjeros	01	UE-15	Europa	Hombres	150
2002	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	593
2002	Teruel	Extranjeros	03	Magreb	África	Hombres	684
2002	Teruel	Extranjeros	04	Resto de África	África	Hombres	76
2002	Teruel	Extranjeros	05	América del Norte	América	Hombres	4
2002	Teruel	Extranjeros	06	Resto de América	América	Hombres	441
2002	Teruel	Extranjeros	07	Asia	Asia	Hombres	184
2002	Teruel	Extranjeros	08	Oceanía	Oceanía	Hombres	1
2002	Zaragoza	Españoles	01	UE-15	Europa	Hombres	407930
2002	Zaragoza	Extranjeros	01	UE-15	Europa	Hombres	1313
2002	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	4259
2002	Zaragoza	Extranjeros	03	Magreb	África	Hombres	4689
2002	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	2592
2002	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	219
2002	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	5448
2002	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	612
2002	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	5
2002	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	10
2003	Huesca	Españoles	01	UE-15	Europa	Hombres	101069
2003	Huesca	Extranjeros	01	UE-15	Europa	Hombres	455
2003	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	1288
2003	Huesca	Extranjeros	03	Magreb	África	Hombres	1673
2003	Huesca	Extranjeros	04	Resto de África	África	Hombres	1211
2003	Huesca	Extranjeros	05	América del Norte	América	Hombres	32
2003	Huesca	Extranjeros	06	Resto de América	América	Hombres	1119
2003	Huesca	Extranjeros	07	Asia	Asia	Hombres	77
2003	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	38
2003	Teruel	Españoles	01	UE-15	Europa	Hombres	66999
2003	Teruel	Extranjeros	01	UE-15	Europa	Hombres	171
2003	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	1246
2003	Teruel	Extranjeros	03	Magreb	África	Hombres	1158
2003	Teruel	Extranjeros	04	Resto de África	África	Hombres	97
2003	Teruel	Extranjeros	05	América del Norte	América	Hombres	3
2003	Teruel	Extranjeros	06	Resto de América	América	Hombres	699
2003	Teruel	Extranjeros	07	Asia	Asia	Hombres	267
2003	Teruel	Extranjeros	08	Oceanía	Oceanía	Hombres	1
2003	Zaragoza	Españoles	01	UE-15	Europa	Hombres	406901
2003	Zaragoza	Extranjeros	01	UE-15	Europa	Hombres	1477
2003	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	6997
2003	Zaragoza	Extranjeros	03	Magreb	África	Hombres	5606
2003	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	3232
2003	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	229
2003	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	7424
2003	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	721
2003	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	4
2003	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	16
2004	Huesca	Españoles	01	UE-15	Europa	Hombres	100880
2004	Huesca	Extranjeros	01	UE-15	Europa	Hombres	498
2004	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	1741
2004	Huesca	Extranjeros	03	Magreb	África	Hombres	1871
2004	Huesca	Extranjeros	04	Resto de África	África	Hombres	1402
2004	Huesca	Extranjeros	05	América del Norte	América	Hombres	30
2004	Huesca	Extranjeros	06	Resto de América	América	Hombres	1423
2004	Huesca	Extranjeros	07	Asia	Asia	Hombres	82
2004	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	34
2004	Teruel	Españoles	01	UE-15	Europa	Hombres	66611
2004	Teruel	Extranjeros	01	UE-15	Europa	Hombres	237
2004	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	1686
2004	Teruel	Extranjeros	03	Magreb	África	Hombres	1354
2004	Teruel	Extranjeros	04	Resto de África	África	Hombres	85
2004	Teruel	Extranjeros	05	América del Norte	América	Hombres	2
2004	Teruel	Extranjeros	06	Resto de América	América	Hombres	823
2004	Teruel	Extranjeros	07	Asia	Asia	Hombres	273
2004	Teruel	Extranjeros	08	Oceanía	Oceanía	Hombres	2
2004	Zaragoza	Españoles	01	UE-15	Europa	Hombres	409929
2004	Zaragoza	Extranjeros	01	UE-15	Europa	Hombres	1800
2004	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	9451
2004	Zaragoza	Extranjeros	03	Magreb	África	Hombres	6234
2004	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	3943
2004	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	274
2004	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	9224
2004	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	960
2004	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	5
2004	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2005	Huesca	Españoles	01	UE-25	Europa	Hombres	100881
2005	Huesca	Extranjeros	01	UE-25	Europa	Hombres	860
2005	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	2253
2005	Huesca	Extranjeros	03	Magreb	África	Hombres	2237
2005	Huesca	Extranjeros	04	Resto de África	África	Hombres	1720
2005	Huesca	Extranjeros	05	América del Norte	América	Hombres	28
2005	Huesca	Extranjeros	06	Resto de América	América	Hombres	1740
2005	Huesca	Extranjeros	07	Asia	Asia	Hombres	109
2005	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	41
2005	Teruel	Españoles	01	UE-25	Europa	Hombres	66382
2005	Teruel	Extranjeros	01	UE-25	Europa	Hombres	769
2005	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	1987
2005	Teruel	Extranjeros	03	Magreb	África	Hombres	1671
2005	Teruel	Extranjeros	04	Resto de África	África	Hombres	122
2005	Teruel	Extranjeros	05	América del Norte	América	Hombres	5
2005	Teruel	Extranjeros	06	Resto de América	América	Hombres	1028
2005	Teruel	Extranjeros	07	Asia	Asia	Hombres	307
2005	Teruel	Extranjeros	08	Oceanía	Oceanía	Hombres	2
2005	Zaragoza	Españoles	01	UE-25	Europa	Hombres	410434
2005	Zaragoza	Extranjeros	01	UE-25	Europa	Hombres	2539
2005	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	12801
2005	Zaragoza	Extranjeros	03	Magreb	África	Hombres	7235
2005	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	4904
2005	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	297
2005	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	10377
2005	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	1389
2005	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	6
2005	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	24
2006	Huesca	Españoles	01	UE-25	Europa	Hombres	101020
2006	Huesca	Extranjeros	01	UE-25	Europa	Hombres	1126
2006	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	2788
2006	Huesca	Extranjeros	03	Magreb	África	Hombres	2351
2006	Huesca	Extranjeros	04	Resto de África	África	Hombres	1727
2006	Huesca	Extranjeros	05	América del Norte	América	Hombres	25
2006	Huesca	Extranjeros	06	Resto de América	América	Hombres	1786
2006	Huesca	Extranjeros	07	Asia	Asia	Hombres	129
2006	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	31
2006	Teruel	Españoles	01	UE-25	Europa	Hombres	66132
2006	Teruel	Extranjeros	01	UE-25	Europa	Hombres	939
2006	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	2440
2006	Teruel	Extranjeros	03	Magreb	África	Hombres	1949
2006	Teruel	Extranjeros	04	Resto de África	África	Hombres	122
2006	Teruel	Extranjeros	05	América del Norte	América	Hombres	8
2006	Teruel	Extranjeros	06	Resto de América	América	Hombres	1128
2006	Teruel	Extranjeros	07	Asia	Asia	Hombres	348
2006	Teruel	Extranjeros	08	Oceanía	Oceanía	Hombres	3
2006	Zaragoza	Españoles	01	UE-25	Europa	Hombres	410859
2006	Zaragoza	Extranjeros	01	UE-25	Europa	Hombres	3039
2006	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	14172
2006	Zaragoza	Extranjeros	03	Magreb	África	Hombres	6841
2006	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	5262
2006	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	220
2006	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	10232
2006	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	1959
2006	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	4
2006	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	19
2007	Huesca	Españoles	01	UE-27	Europa	Hombres	100914
2007	Huesca	Extranjeros	01	UE-27	Europa	Hombres	4590
2007	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	341
2007	Huesca	Extranjeros	03	Magreb	África	Hombres	2291
2007	Huesca	Extranjeros	04	Resto de África	África	Hombres	1770
2007	Huesca	Extranjeros	05	América del Norte	América	Hombres	25
2007	Huesca	Extranjeros	06	Resto de América	América	Hombres	1875
2007	Huesca	Extranjeros	07	Asia	Asia	Hombres	158
2007	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	14
2007	Teruel	Españoles	01	UE-27	Europa	Hombres	65917
2007	Teruel	Extranjeros	01	UE-27	Europa	Hombres	4162
2007	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	126
2007	Teruel	Extranjeros	03	Magreb	África	Hombres	2365
2007	Teruel	Extranjeros	04	Resto de África	África	Hombres	106
2007	Teruel	Extranjeros	05	América del Norte	América	Hombres	5
2007	Teruel	Extranjeros	06	Resto de América	América	Hombres	1225
2007	Teruel	Extranjeros	07	Asia	Asia	Hombres	355
2007	Teruel	Extranjeros	08	Oceanía	Oceanía	Hombres	1
2007	Zaragoza	Españoles	01	UE-27	Europa	Hombres	411470
2007	Zaragoza	Extranjeros	01	UE-27	Europa	Hombres	22646
2007	Zaragoza	Extranjeros	02	Resto de Europa	Europa	Hombres	977
2007	Zaragoza	Extranjeros	03	Magreb	África	Hombres	7076
2007	Zaragoza	Extranjeros	04	Resto de África	África	Hombres	5597
2007	Zaragoza	Extranjeros	05	América del Norte	América	Hombres	228
2007	Zaragoza	Extranjeros	06	Resto de América	América	Hombres	10842
2007	Zaragoza	Extranjeros	07	Asia	Asia	Hombres	1897
2007	Zaragoza	Extranjeros	08	Oceanía	Oceanía	Hombres	3
2007	Zaragoza	Extranjeros	09	Apátridas y no consta	Apátridas y no consta	Hombres	20
2008	Huesca	Españoles	01	UE-27	Europa	Hombres	101040
2008	Huesca	Extranjeros	01	UE-27	Europa	Hombres	6344
2008	Huesca	Extranjeros	02	Resto de Europa	Europa	Hombres	412
2008	Huesca	Extranjeros	03	Magreb	África	Hombres	2723
2008	Huesca	Extranjeros	04	Resto de África	África	Hombres	1937
2008	Huesca	Extranjeros	05	América del Norte	América	Hombres	29
2008	Huesca	Extranjeros	06	Resto de América	América	Hombres	2206
2008	Huesca	Extranjeros	07	Asia	Asia	Hombres	232
2008	Huesca	Extranjeros	08	Oceanía	Oceanía	Hombres	16
2008	Teruel	Españoles	01	UE-27	Europa	Hombres	65485
2008	Teruel	Extranjeros	01	UE-27	Europa	Hombres	5321
2008	Teruel	Extranjeros	02	Resto de Europa	Europa	Hombres	168
2008	Teruel	Extranjeros	03	Magreb	África	Hombres	2909
2008	Teruel	Extranjeros	04	Resto de África	África	Hombres	97
2008	Teruel	Extranjeros	05	América del Norte	América	Hombres	8
2008	Teruel	Extranjeros	06	Resto de América	América	Hombres	1405
2008	Teruel	Extranjeros	07	Asia	Asia	Hombres	383
2008	Teruel	Extranjeros	08	Oceanía	Oceanía	Hombres	1
2008	Zaragoza	Españoles	01	UE-27	Europa	Hombres	411363
