Año	Residencia comarca código	Residencia comarca nombre	Edad (grandes grupos)	Sexo	Personas
2007	20	Comunidad de Calatayud	16 a 64	Mujeres	11681
2007	20	Comunidad de Calatayud	65 y más	Mujeres	6369
2007	21	Campo de Cariñena	0 a 15	Mujeres	571
2007	21	Campo de Cariñena	16 a 64	Mujeres	2920
2007	21	Campo de Cariñena	65 y más	Mujeres	1467
2007	22	Campo de Belchite	0 a 15	Mujeres	205
2007	22	Campo de Belchite	16 a 64	Mujeres	1246
2007	22	Campo de Belchite	65 y más	Mujeres	975
2007	23	Bajo Martín	0 a 15	Mujeres	375
2007	23	Bajo Martín	16 a 64	Mujeres	2036
2007	23	Bajo Martín	65 y más	Mujeres	1209
2007	24	Campo de Daroca	0 a 15	Mujeres	269
2007	24	Campo de Daroca	16 a 64	Mujeres	1587
2007	24	Campo de Daroca	65 y más	Mujeres	1231
2007	25	Jiloca	0 a 15	Mujeres	788
2007	25	Jiloca	16 a 64	Mujeres	3663
2007	25	Jiloca	65 y más	Mujeres	2388
2007	26	Cuencas Mineras	0 a 15	Mujeres	547
2007	26	Cuencas Mineras	16 a 64	Mujeres	2597
2007	26	Cuencas Mineras	65 y más	Mujeres	1276
2007	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	753
2007	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3398
2007	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1299
2007	28	Bajo Aragón	0 a 15	Mujeres	2130
2007	28	Bajo Aragón	16 a 64	Mujeres	8818
2007	28	Bajo Aragón	65 y más	Mujeres	3461
2007	29	Comunidad de Teruel	0 a 15	Mujeres	3194
2007	29	Comunidad de Teruel	16 a 64	Mujeres	14201
2007	29	Comunidad de Teruel	65 y más	Mujeres	5616
2007	30	Maestrazgo	0 a 15	Mujeres	179
2007	30	Maestrazgo	16 a 64	Mujeres	939
2007	30	Maestrazgo	65 y más	Mujeres	583
2007	31	Sierra de Albarracín	0 a 15	Mujeres	236
2007	31	Sierra de Albarracín	16 a 64	Mujeres	1198
2007	31	Sierra de Albarracín	65 y más	Mujeres	883
2007	32	Gúdar-Javalambre	0 a 15	Mujeres	542
2007	32	Gúdar-Javalambre	16 a 64	Mujeres	2218
2007	32	Gúdar-Javalambre	65 y más	Mujeres	1118
2007	33	Matarraña / Matarranya	0 a 15	Mujeres	441
2007	33	Matarraña / Matarranya	16 a 64	Mujeres	2323
2007	33	Matarraña / Matarranya	65 y más	Mujeres	1375
2008	01	La Jacetania	0 a 15	Mujeres	1257
2008	01	La Jacetania	16 a 64	Mujeres	5684
2008	01	La Jacetania	65 y más	Mujeres	2070
2008	02	Alto Gállego	0 a 15	Mujeres	962
2008	02	Alto Gállego	16 a 64	Mujeres	4578
2008	02	Alto Gállego	65 y más	Mujeres	1513
2008	03	Sobrarbe	0 a 15	Mujeres	439
2008	03	Sobrarbe	16 a 64	Mujeres	2249
2008	03	Sobrarbe	65 y más	Mujeres	916
2008	04	La Ribagorza	0 a 15	Mujeres	744
2008	04	La Ribagorza	16 a 64	Mujeres	3883
2008	04	La Ribagorza	65 y más	Mujeres	1662
2008	05	Cinco Villas	0 a 15	Mujeres	2140
2008	05	Cinco Villas	16 a 64	Mujeres	9994
2008	05	Cinco Villas	65 y más	Mujeres	4071
2008	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	4773
2008	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	21413
2008	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7391
2008	07	Somontano de Barbastro	0 a 15	Mujeres	1606
2008	07	Somontano de Barbastro	16 a 64	Mujeres	7330
2008	07	Somontano de Barbastro	65 y más	Mujeres	3139
2008	08	Cinca Medio	0 a 15	Mujeres	1679
2008	08	Cinca Medio	16 a 64	Mujeres	7040
2008	08	Cinca Medio	65 y más	Mujeres	2805
2008	09	La Litera / La Llitera	0 a 15	Mujeres	1142
2008	09	La Litera / La Llitera	16 a 64	Mujeres	5430
2008	09	La Litera / La Llitera	65 y más	Mujeres	2579
2008	10	Los Monegros	0 a 15	Mujeres	1064
2008	10	Los Monegros	16 a 64	Mujeres	6091
2008	10	Los Monegros	65 y más	Mujeres	3095
2008	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1633
2008	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	7289
2008	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2713
2008	12	Tarazona y el Moncayo	0 a 15	Mujeres	986
2008	12	Tarazona y el Moncayo	16 a 64	Mujeres	4365
2008	12	Tarazona y el Moncayo	65 y más	Mujeres	1992
2008	13	Campo de Borja	0 a 15	Mujeres	981
2008	13	Campo de Borja	16 a 64	Mujeres	4409
2008	13	Campo de Borja	65 y más	Mujeres	1953
2008	14	Aranda	0 a 15	Mujeres	493
2008	14	Aranda	16 a 64	Mujeres	2245
2008	14	Aranda	65 y más	Mujeres	968
2008	15	Ribera Alta del Ebro	0 a 15	Mujeres	1866
2008	15	Ribera Alta del Ebro	16 a 64	Mujeres	8345
2008	15	Ribera Alta del Ebro	65 y más	Mujeres	2898
2008	16	Valdejalón	0 a 15	Mujeres	2037
2008	16	Valdejalón	16 a 64	Mujeres	8859
2008	16	Valdejalón	65 y más	Mujeres	3054
2008	17	Central	0 a 15	Mujeres	51964
2008	17	Central	16 a 64	Mujeres	247768
2008	17	Central	65 y más	Mujeres	73781
2008	18	Ribera Baja del Ebro	0 a 15	Mujeres	554
2008	18	Ribera Baja del Ebro	16 a 64	Mujeres	2682
2008	18	Ribera Baja del Ebro	65 y más	Mujeres	1277
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	817
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	4114
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1810
2008	20	Comunidad de Calatayud	0 a 15	Mujeres	2406
2008	20	Comunidad de Calatayud	16 a 64	Mujeres	12089
2008	20	Comunidad de Calatayud	65 y más	Mujeres	6290
2008	21	Campo de Cariñena	0 a 15	Mujeres	563
2008	21	Campo de Cariñena	16 a 64	Mujeres	3070
2008	21	Campo de Cariñena	65 y más	Mujeres	1456
2008	22	Campo de Belchite	0 a 15	Mujeres	213
2008	22	Campo de Belchite	16 a 64	Mujeres	1242
2008	22	Campo de Belchite	65 y más	Mujeres	982
2008	23	Bajo Martín	0 a 15	Mujeres	376
2008	23	Bajo Martín	16 a 64	Mujeres	2002
2008	23	Bajo Martín	65 y más	Mujeres	1172
2008	24	Campo de Daroca	0 a 15	Mujeres	269
2008	24	Campo de Daroca	16 a 64	Mujeres	1583
2008	24	Campo de Daroca	65 y más	Mujeres	1213
2008	25	Jiloca	0 a 15	Mujeres	821
2008	25	Jiloca	16 a 64	Mujeres	3747
2008	25	Jiloca	65 y más	Mujeres	2360
2008	26	Cuencas Mineras	0 a 15	Mujeres	523
2008	26	Cuencas Mineras	16 a 64	Mujeres	2584
2008	26	Cuencas Mineras	65 y más	Mujeres	1233
2008	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	772
2008	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3458
2008	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1294
2008	28	Bajo Aragón	0 a 15	Mujeres	2228
2008	28	Bajo Aragón	16 a 64	Mujeres	9067
2008	28	Bajo Aragón	65 y más	Mujeres	3476
2008	29	Comunidad de Teruel	0 a 15	Mujeres	3283
2008	29	Comunidad de Teruel	16 a 64	Mujeres	14505
2008	29	Comunidad de Teruel	65 y más	Mujeres	5611
2008	30	Maestrazgo	0 a 15	Mujeres	202
2008	30	Maestrazgo	16 a 64	Mujeres	948
2008	30	Maestrazgo	65 y más	Mujeres	576
2008	31	Sierra de Albarracín	0 a 15	Mujeres	242
2008	31	Sierra de Albarracín	16 a 64	Mujeres	1215
2008	31	Sierra de Albarracín	65 y más	Mujeres	835
2008	32	Gúdar-Javalambre	0 a 15	Mujeres	549
2008	32	Gúdar-Javalambre	16 a 64	Mujeres	2236
2008	32	Gúdar-Javalambre	65 y más	Mujeres	1089
2008	33	Matarraña / Matarranya	0 a 15	Mujeres	449
2008	33	Matarraña / Matarranya	16 a 64	Mujeres	2338
2008	33	Matarraña / Matarranya	65 y más	Mujeres	1356
2009	01	La Jacetania	0 a 15	Mujeres	1289
2009	01	La Jacetania	16 a 64	Mujeres	5748
2009	01	La Jacetania	65 y más	Mujeres	2078
2009	02	Alto Gállego	0 a 15	Mujeres	1001
2009	02	Alto Gállego	16 a 64	Mujeres	4684
2009	02	Alto Gállego	65 y más	Mujeres	1531
2009	03	Sobrarbe	0 a 15	Mujeres	466
2009	03	Sobrarbe	16 a 64	Mujeres	2275
2009	03	Sobrarbe	65 y más	Mujeres	893
2009	04	La Ribagorza	0 a 15	Mujeres	772
2009	04	La Ribagorza	16 a 64	Mujeres	3920
2009	04	La Ribagorza	65 y más	Mujeres	1634
2009	05	Cinco Villas	0 a 15	Mujeres	2201
2009	05	Cinco Villas	16 a 64	Mujeres	10030
2009	05	Cinco Villas	65 y más	Mujeres	4080
2009	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	4968
2009	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	21713
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7479
2009	07	Somontano de Barbastro	0 a 15	Mujeres	1653
2009	07	Somontano de Barbastro	16 a 64	Mujeres	7412
2009	07	Somontano de Barbastro	65 y más	Mujeres	3125
2009	08	Cinca Medio	0 a 15	Mujeres	1717
2009	08	Cinca Medio	16 a 64	Mujeres	7147
2009	08	Cinca Medio	65 y más	Mujeres	2769
2009	09	La Litera / La Llitera	0 a 15	Mujeres	1159
2009	09	La Litera / La Llitera	16 a 64	Mujeres	5440
2009	09	La Litera / La Llitera	65 y más	Mujeres	2605
2009	10	Los Monegros	0 a 15	Mujeres	1084
2009	10	Los Monegros	16 a 64	Mujeres	6039
2009	10	Los Monegros	65 y más	Mujeres	3127
2009	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1656
2009	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	7504
2009	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2705
2009	12	Tarazona y el Moncayo	0 a 15	Mujeres	990
2009	12	Tarazona y el Moncayo	16 a 64	Mujeres	4401
2009	12	Tarazona y el Moncayo	65 y más	Mujeres	1966
2009	13	Campo de Borja	0 a 15	Mujeres	1024
2009	13	Campo de Borja	16 a 64	Mujeres	4471
2009	13	Campo de Borja	65 y más	Mujeres	1962
2009	14	Aranda	0 a 15	Mujeres	475
2009	14	Aranda	16 a 64	Mujeres	2253
2009	14	Aranda	65 y más	Mujeres	999
2009	15	Ribera Alta del Ebro	0 a 15	Mujeres	1958
2009	15	Ribera Alta del Ebro	16 a 64	Mujeres	8698
2009	15	Ribera Alta del Ebro	65 y más	Mujeres	2903
2009	16	Valdejalón	0 a 15	Mujeres	2105
2009	16	Valdejalón	16 a 64	Mujeres	9245
2009	16	Valdejalón	65 y más	Mujeres	3063
2009	17	Central	0 a 15	Mujeres	53604
2009	17	Central	16 a 64	Mujeres	250399
2009	17	Central	65 y más	Mujeres	75190
2009	18	Ribera Baja del Ebro	0 a 15	Mujeres	542
2009	18	Ribera Baja del Ebro	16 a 64	Mujeres	2722
2009	18	Ribera Baja del Ebro	65 y más	Mujeres	1278
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	927
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	4225
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1849
2009	20	Comunidad de Calatayud	0 a 15	Mujeres	2395
2009	20	Comunidad de Calatayud	16 a 64	Mujeres	12109
2009	20	Comunidad de Calatayud	65 y más	Mujeres	6225
2009	21	Campo de Cariñena	0 a 15	Mujeres	612
2009	21	Campo de Cariñena	16 a 64	Mujeres	3197
2009	21	Campo de Cariñena	65 y más	Mujeres	1451
2009	22	Campo de Belchite	0 a 15	Mujeres	231
2009	22	Campo de Belchite	16 a 64	Mujeres	1257
2009	22	Campo de Belchite	65 y más	Mujeres	995
2009	23	Bajo Martín	0 a 15	Mujeres	378
2009	23	Bajo Martín	16 a 64	Mujeres	1984
2009	23	Bajo Martín	65 y más	Mujeres	1156
2009	24	Campo de Daroca	0 a 15	Mujeres	266
2009	24	Campo de Daroca	16 a 64	Mujeres	1565
2009	24	Campo de Daroca	65 y más	Mujeres	1180
2009	25	Jiloca	0 a 15	Mujeres	832
2009	25	Jiloca	16 a 64	Mujeres	3748
2009	25	Jiloca	65 y más	Mujeres	2299
2009	26	Cuencas Mineras	0 a 15	Mujeres	514
2009	26	Cuencas Mineras	16 a 64	Mujeres	2588
2009	26	Cuencas Mineras	65 y más	Mujeres	1195
2009	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	776
2009	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3490
2009	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1295
2009	28	Bajo Aragón	0 a 15	Mujeres	2251
2009	28	Bajo Aragón	16 a 64	Mujeres	9186
2009	28	Bajo Aragón	65 y más	Mujeres	3459
2009	29	Comunidad de Teruel	0 a 15	Mujeres	3334
2009	29	Comunidad de Teruel	16 a 64	Mujeres	14735
2009	29	Comunidad de Teruel	65 y más	Mujeres	5603
2009	30	Maestrazgo	0 a 15	Mujeres	194
2009	30	Maestrazgo	16 a 64	Mujeres	961
2009	30	Maestrazgo	65 y más	Mujeres	569
2009	31	Sierra de Albarracín	0 a 15	Mujeres	262
2009	31	Sierra de Albarracín	16 a 64	Mujeres	1195
2009	31	Sierra de Albarracín	65 y más	Mujeres	821
2009	32	Gúdar-Javalambre	0 a 15	Mujeres	582
2009	32	Gúdar-Javalambre	16 a 64	Mujeres	2325
2009	32	Gúdar-Javalambre	65 y más	Mujeres	1086
2009	33	Matarraña / Matarranya	0 a 15	Mujeres	490
2009	33	Matarraña / Matarranya	16 a 64	Mujeres	2378
2009	33	Matarraña / Matarranya	65 y más	Mujeres	1332
2010	01	La Jacetania	0 a 15	Mujeres	1316
2010	01	La Jacetania	16 a 64	Mujeres	5747
2010	01	La Jacetania	65 y más	Mujeres	2085
2010	02	Alto Gállego	0 a 15	Mujeres	1020
2010	02	Alto Gállego	16 a 64	Mujeres	4670
2010	02	Alto Gállego	65 y más	Mujeres	1534
2010	03	Sobrarbe	0 a 15	Mujeres	443
2010	03	Sobrarbe	16 a 64	Mujeres	2272
2010	03	Sobrarbe	65 y más	Mujeres	881
2010	04	La Ribagorza	0 a 15	Mujeres	822
2010	04	La Ribagorza	16 a 64	Mujeres	3947
2010	04	La Ribagorza	65 y más	Mujeres	1626
2010	05	Cinco Villas	0 a 15	Mujeres	2183
2010	05	Cinco Villas	16 a 64	Mujeres	9948
2010	05	Cinco Villas	65 y más	Mujeres	4060
2010	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	5060
2010	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	21800
2010	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7564
2010	07	Somontano de Barbastro	0 a 15	Mujeres	1693
2010	07	Somontano de Barbastro	16 a 64	Mujeres	7439
2010	07	Somontano de Barbastro	65 y más	Mujeres	3118
2010	08	Cinca Medio	0 a 15	Mujeres	1709
2010	08	Cinca Medio	16 a 64	Mujeres	7159
2010	08	Cinca Medio	65 y más	Mujeres	2758
2010	09	La Litera / La Llitera	0 a 15	Mujeres	1182
2010	09	La Litera / La Llitera	16 a 64	Mujeres	5379
2010	09	La Litera / La Llitera	65 y más	Mujeres	2592
2010	10	Los Monegros	0 a 15	Mujeres	1075
2010	10	Los Monegros	16 a 64	Mujeres	5926
2010	10	Los Monegros	65 y más	Mujeres	3123
2010	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1702
2010	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	7480
2010	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2753
2010	12	Tarazona y el Moncayo	0 a 15	Mujeres	963
2010	12	Tarazona y el Moncayo	16 a 64	Mujeres	4374
2010	12	Tarazona y el Moncayo	65 y más	Mujeres	1953
2010	13	Campo de Borja	0 a 15	Mujeres	1041
2010	13	Campo de Borja	16 a 64	Mujeres	4451
2010	13	Campo de Borja	65 y más	Mujeres	1942
2010	14	Aranda	0 a 15	Mujeres	461
2010	14	Aranda	16 a 64	Mujeres	2223
2010	14	Aranda	65 y más	Mujeres	1000
2010	15	Ribera Alta del Ebro	0 a 15	Mujeres	1989
2010	15	Ribera Alta del Ebro	16 a 64	Mujeres	8715
2010	15	Ribera Alta del Ebro	65 y más	Mujeres	2880
2010	16	Valdejalón	0 a 15	Mujeres	2141
2010	16	Valdejalón	16 a 64	Mujeres	9268
2010	16	Valdejalón	65 y más	Mujeres	3073
2010	17	Central	0 a 15	Mujeres	54816
2010	17	Central	16 a 64	Mujeres	250294
2010	17	Central	65 y más	Mujeres	76581
2010	18	Ribera Baja del Ebro	0 a 15	Mujeres	575
2010	18	Ribera Baja del Ebro	16 a 64	Mujeres	2761
2010	18	Ribera Baja del Ebro	65 y más	Mujeres	1264
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	988
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	4300
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1858
2010	20	Comunidad de Calatayud	0 a 15	Mujeres	2343
2010	20	Comunidad de Calatayud	16 a 64	Mujeres	12082
2010	20	Comunidad de Calatayud	65 y más	Mujeres	6146
2010	21	Campo de Cariñena	0 a 15	Mujeres	630
2010	21	Campo de Cariñena	16 a 64	Mujeres	3166
2010	21	Campo de Cariñena	65 y más	Mujeres	1455
2010	22	Campo de Belchite	0 a 15	Mujeres	227
2010	22	Campo de Belchite	16 a 64	Mujeres	1251
2010	22	Campo de Belchite	65 y más	Mujeres	984
2010	23	Bajo Martín	0 a 15	Mujeres	383
2010	23	Bajo Martín	16 a 64	Mujeres	1947
2010	23	Bajo Martín	65 y más	Mujeres	1154
2010	24	Campo de Daroca	0 a 15	Mujeres	257
2010	24	Campo de Daroca	16 a 64	Mujeres	1543
2010	24	Campo de Daroca	65 y más	Mujeres	1143
2010	25	Jiloca	0 a 15	Mujeres	852
2010	25	Jiloca	16 a 64	Mujeres	3668
2010	25	Jiloca	65 y más	Mujeres	2275
2010	26	Cuencas Mineras	0 a 15	Mujeres	504
2010	26	Cuencas Mineras	16 a 64	Mujeres	2555
2010	26	Cuencas Mineras	65 y más	Mujeres	1171
2010	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	751
2010	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3512
2010	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1287
2010	28	Bajo Aragón	0 a 15	Mujeres	2241
2010	28	Bajo Aragón	16 a 64	Mujeres	9254
2010	28	Bajo Aragón	65 y más	Mujeres	3443
2010	29	Comunidad de Teruel	0 a 15	Mujeres	3359
2010	29	Comunidad de Teruel	16 a 64	Mujeres	14643
2010	29	Comunidad de Teruel	65 y más	Mujeres	5607
2010	30	Maestrazgo	0 a 15	Mujeres	189
2010	30	Maestrazgo	16 a 64	Mujeres	951
2010	30	Maestrazgo	65 y más	Mujeres	554
2010	31	Sierra de Albarracín	0 a 15	Mujeres	250
2010	31	Sierra de Albarracín	16 a 64	Mujeres	1208
2010	31	Sierra de Albarracín	65 y más	Mujeres	810
2010	32	Gúdar-Javalambre	0 a 15	Mujeres	567
2010	32	Gúdar-Javalambre	16 a 64	Mujeres	2315
2010	32	Gúdar-Javalambre	65 y más	Mujeres	1063
2010	33	Matarraña / Matarranya	0 a 15	Mujeres	497
2010	33	Matarraña / Matarranya	16 a 64	Mujeres	2400
2010	33	Matarraña / Matarranya	65 y más	Mujeres	1304
2011	01	La Jacetania	0 a 15	Mujeres	1319
2011	01	La Jacetania	16 a 64	Mujeres	5743
2011	01	La Jacetania	65 y más	Mujeres	2093
2011	02	Alto Gállego	0 a 15	Mujeres	1010
2011	02	Alto Gállego	16 a 64	Mujeres	4639
2011	02	Alto Gállego	65 y más	Mujeres	1553
2011	03	Sobrarbe	0 a 15	Mujeres	449
2011	03	Sobrarbe	16 a 64	Mujeres	2318
2011	03	Sobrarbe	65 y más	Mujeres	872
2011	04	La Ribagorza	0 a 15	Mujeres	819
2011	04	La Ribagorza	16 a 64	Mujeres	3924
2011	04	La Ribagorza	65 y más	Mujeres	1612
2011	05	Cinco Villas	0 a 15	Mujeres	2189
2011	05	Cinco Villas	16 a 64	Mujeres	9871
2011	05	Cinco Villas	65 y más	Mujeres	4054
2011	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	5112
2011	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	21834
2011	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7641
2011	07	Somontano de Barbastro	0 a 15	Mujeres	1663
2011	07	Somontano de Barbastro	16 a 64	Mujeres	7397
2011	07	Somontano de Barbastro	65 y más	Mujeres	3126
2011	08	Cinca Medio	0 a 15	Mujeres	1753
2011	08	Cinca Medio	16 a 64	Mujeres	7201
2011	08	Cinca Medio	65 y más	Mujeres	2768
2011	09	La Litera / La Llitera	0 a 15	Mujeres	1204
2011	09	La Litera / La Llitera	16 a 64	Mujeres	5311
2011	09	La Litera / La Llitera	65 y más	Mujeres	2599
2011	10	Los Monegros	0 a 15	Mujeres	1089
2011	10	Los Monegros	16 a 64	Mujeres	5858
2011	10	Los Monegros	65 y más	Mujeres	3150
2011	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1679
2011	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	7459
2011	11	Bajo Cinca / Baix Cinca	65 y más	Mujeres	2764
2011	12	Tarazona y el Moncayo	0 a 15	Mujeres	987
2011	12	Tarazona y el Moncayo	16 a 64	Mujeres	4367
2011	12	Tarazona y el Moncayo	65 y más	Mujeres	1964
2011	13	Campo de Borja	0 a 15	Mujeres	1034
2011	13	Campo de Borja	16 a 64	Mujeres	4430
2011	13	Campo de Borja	65 y más	Mujeres	1948
2011	14	Aranda	0 a 15	Mujeres	428
2011	14	Aranda	16 a 64	Mujeres	2206
2011	14	Aranda	65 y más	Mujeres	988
2011	15	Ribera Alta del Ebro	0 a 15	Mujeres	2006
2011	15	Ribera Alta del Ebro	16 a 64	Mujeres	8667
2011	15	Ribera Alta del Ebro	65 y más	Mujeres	2877
2011	16	Valdejalón	0 a 15	Mujeres	2168
2011	16	Valdejalón	16 a 64	Mujeres	9089
2011	16	Valdejalón	65 y más	Mujeres	3030
2011	17	Central	0 a 15	Mujeres	55563
2011	17	Central	16 a 64	Mujeres	249689
2011	17	Central	65 y más	Mujeres	78204
2011	18	Ribera Baja del Ebro	0 a 15	Mujeres	567
2011	18	Ribera Baja del Ebro	16 a 64	Mujeres	2748
2011	18	Ribera Baja del Ebro	65 y más	Mujeres	1282
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0 a 15	Mujeres	1012
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 64	Mujeres	4362
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 y más	Mujeres	1824
2011	20	Comunidad de Calatayud	0 a 15	Mujeres	2297
2011	20	Comunidad de Calatayud	16 a 64	Mujeres	11714
2011	20	Comunidad de Calatayud	65 y más	Mujeres	6091
2011	21	Campo de Cariñena	0 a 15	Mujeres	655
2011	21	Campo de Cariñena	16 a 64	Mujeres	3218
2011	21	Campo de Cariñena	65 y más	Mujeres	1470
2011	22	Campo de Belchite	0 a 15	Mujeres	227
2011	22	Campo de Belchite	16 a 64	Mujeres	1251
2011	22	Campo de Belchite	65 y más	Mujeres	978
2011	23	Bajo Martín	0 a 15	Mujeres	388
2011	23	Bajo Martín	16 a 64	Mujeres	1909
2011	23	Bajo Martín	65 y más	Mujeres	1169
2011	24	Campo de Daroca	0 a 15	Mujeres	265
2011	24	Campo de Daroca	16 a 64	Mujeres	1582
2011	24	Campo de Daroca	65 y más	Mujeres	1147
2011	25	Jiloca	0 a 15	Mujeres	825
2011	25	Jiloca	16 a 64	Mujeres	3645
2011	25	Jiloca	65 y más	Mujeres	2243
2011	26	Cuencas Mineras	0 a 15	Mujeres	501
2011	26	Cuencas Mineras	16 a 64	Mujeres	2573
2011	26	Cuencas Mineras	65 y más	Mujeres	1160
2011	27	Andorra-Sierra de Arcos	0 a 15	Mujeres	756
2011	27	Andorra-Sierra de Arcos	16 a 64	Mujeres	3495
2011	27	Andorra-Sierra de Arcos	65 y más	Mujeres	1288
2011	28	Bajo Aragón	0 a 15	Mujeres	2274
2011	28	Bajo Aragón	16 a 64	Mujeres	9284
2011	28	Bajo Aragón	65 y más	Mujeres	3412
2011	29	Comunidad de Teruel	0 a 15	Mujeres	3368
2011	29	Comunidad de Teruel	16 a 64	Mujeres	14609
2011	29	Comunidad de Teruel	65 y más	Mujeres	5657
2011	30	Maestrazgo	0 a 15	Mujeres	194
2011	30	Maestrazgo	16 a 64	Mujeres	955
2011	30	Maestrazgo	65 y más	Mujeres	549
2011	31	Sierra de Albarracín	0 a 15	Mujeres	244
2011	31	Sierra de Albarracín	16 a 64	Mujeres	1250
2011	31	Sierra de Albarracín	65 y más	Mujeres	778
2011	32	Gúdar-Javalambre	0 a 15	Mujeres	548
2011	32	Gúdar-Javalambre	16 a 64	Mujeres	2310
2011	32	Gúdar-Javalambre	65 y más	Mujeres	1039
2011	33	Matarraña / Matarranya	0 a 15	Mujeres	498
2011	33	Matarraña / Matarranya	16 a 64	Mujeres	2402
2011	33	Matarraña / Matarranya	65 y más	Mujeres	1276
2012	01	La Jacetania	0 a 15	Mujeres	1309
2012	01	La Jacetania	16 a 64	Mujeres	5700
2012	01	La Jacetania	65 y más	Mujeres	2083
2012	02	Alto Gállego	0 a 15	Mujeres	1021
2012	02	Alto Gállego	16 a 64	Mujeres	4559
2012	02	Alto Gállego	65 y más	Mujeres	1535
2012	03	Sobrarbe	0 a 15	Mujeres	456
2012	03	Sobrarbe	16 a 64	Mujeres	2360
2012	03	Sobrarbe	65 y más	Mujeres	862
2012	04	La Ribagorza	0 a 15	Mujeres	805
2012	04	La Ribagorza	16 a 64	Mujeres	3873
2012	04	La Ribagorza	65 y más	Mujeres	1595
2012	05	Cinco Villas	0 a 15	Mujeres	2130
2012	05	Cinco Villas	16 a 64	Mujeres	9742
2012	05	Cinco Villas	65 y más	Mujeres	4041
2012	06	Hoya de Huesca / Plana de Uesca	0 a 15	Mujeres	5197
2012	06	Hoya de Huesca / Plana de Uesca	16 a 64	Mujeres	21672
2012	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujeres	7683
2012	07	Somontano de Barbastro	0 a 15	Mujeres	1717
2012	07	Somontano de Barbastro	16 a 64	Mujeres	7471
2012	07	Somontano de Barbastro	65 y más	Mujeres	3121
2012	08	Cinca Medio	0 a 15	Mujeres	1771
2012	08	Cinca Medio	16 a 64	Mujeres	7227
2012	08	Cinca Medio	65 y más	Mujeres	2759
2012	09	La Litera / La Llitera	0 a 15	Mujeres	1227
2012	09	La Litera / La Llitera	16 a 64	Mujeres	5257
2012	09	La Litera / La Llitera	65 y más	Mujeres	2577
2012	10	Los Monegros	0 a 15	Mujeres	1087
2012	10	Los Monegros	16 a 64	Mujeres	5776
2012	10	Los Monegros	65 y más	Mujeres	3093
2012	11	Bajo Cinca / Baix Cinca	0 a 15	Mujeres	1729
2012	11	Bajo Cinca / Baix Cinca	16 a 64	Mujeres	7549
