Comarca código	Comarca nombre	Estructura hogar	Número hogares
20	Comunidad de Calatayud	Dos adultos, uno al menos de 65 años o más, sin menores	3010
20	Comunidad de Calatayud	Dos adultos y un menor	827
20	Comunidad de Calatayud	Dos adultos y dos menores	862
20	Comunidad de Calatayud	Dos adultos y tres o más menores	112
20	Comunidad de Calatayud	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	1092
20	Comunidad de Calatayud	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	364
20	Comunidad de Calatayud	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	65
20	Comunidad de Calatayud	Otro hogar de tres adultos, con o sin menores	1074
20	Comunidad de Calatayud	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	851
20	Comunidad de Calatayud	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	124
20	Comunidad de Calatayud	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	20
20	Comunidad de Calatayud	Otro hogar de cuatro adultos, con o sin menores	517
20	Comunidad de Calatayud	Cinco o más adultos, con o sin menores	701
21	Campo de Cariñena	Una mujer de 16 a 64 años	101
21	Campo de Cariñena	Un hombre de 16 a 64 años	294
21	Campo de Cariñena	Una mujer de 65 o más años	368
21	Campo de Cariñena	Un hombre de 65 o más años	164
21	Campo de Cariñena	Una mujer adulta con uno o más menores	29
21	Campo de Cariñena	Un hombre adulto con  uno o más menores	8
21	Campo de Cariñena	Dos adultos de 16 a 64 años, sin menores	310
21	Campo de Cariñena	Dos adultos, uno al menos de 65 años o más, sin menores	709
21	Campo de Cariñena	Dos adultos y un menor	186
21	Campo de Cariñena	Dos adultos y dos menores	218
21	Campo de Cariñena	Dos adultos y tres o más menores	25
21	Campo de Cariñena	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	286
21	Campo de Cariñena	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	104
21	Campo de Cariñena	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	19
21	Campo de Cariñena	Otro hogar de tres adultos, con o sin menores	316
21	Campo de Cariñena	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	203
21	Campo de Cariñena	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	33
21	Campo de Cariñena	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	7
21	Campo de Cariñena	Otro hogar de cuatro adultos, con o sin menores	154
21	Campo de Cariñena	Cinco o más adultos, con o sin menores	242
22	Campo de Belchite	Una mujer de 16 a 64 años	61
22	Campo de Belchite	Un hombre de 16 a 64 años	159
22	Campo de Belchite	Una mujer de 65 o más años	309
22	Campo de Belchite	Un hombre de 65 o más años	161
22	Campo de Belchite	Una mujer adulta con uno o más menores	21
22	Campo de Belchite	Un hombre adulto con  uno o más menores	9
22	Campo de Belchite	Dos adultos de 16 a 64 años, sin menores	186
22	Campo de Belchite	Dos adultos, uno al menos de 65 años o más, sin menores	569
22	Campo de Belchite	Dos adultos y un menor	101
22	Campo de Belchite	Dos adultos y dos menores	91
22	Campo de Belchite	Dos adultos y tres o más menores	7
22	Campo de Belchite	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	159
22	Campo de Belchite	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	42
22	Campo de Belchite	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	5
22	Campo de Belchite	Otro hogar de tres adultos, con o sin menores	175
22	Campo de Belchite	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	115
22	Campo de Belchite	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	6
22	Campo de Belchite	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	2
22	Campo de Belchite	Otro hogar de cuatro adultos, con o sin menores	82
22	Campo de Belchite	Cinco o más adultos, con o sin menores	88
23	Bajo Martín	Una mujer de 16 a 64 años	76
23	Bajo Martín	Un hombre de 16 a 64 años	169
23	Bajo Martín	Una mujer de 65 o más años	378
23	Bajo Martín	Un hombre de 65 o más años	167
23	Bajo Martín	Una mujer adulta con uno o más menores	19
23	Bajo Martín	Un hombre adulto con  uno o más menores	6
23	Bajo Martín	Dos adultos de 16 a 64 años, sin menores	216
23	Bajo Martín	Dos adultos, uno al menos de 65 años o más, sin menores	634
23	Bajo Martín	Dos adultos y un menor	155
23	Bajo Martín	Dos adultos y dos menores	185
23	Bajo Martín	Dos adultos y tres o más menores	23
23	Bajo Martín	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	225
23	Bajo Martín	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	75
23	Bajo Martín	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	10
23	Bajo Martín	Otro hogar de tres adultos, con o sin menores	186
23	Bajo Martín	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	146
23	Bajo Martín	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	18
23	Bajo Martín	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	4
23	Bajo Martín	Otro hogar de cuatro adultos, con o sin menores	93
23	Bajo Martín	Cinco o más adultos, con o sin menores	119
24	Campo de Daroca	Una mujer de 16 a 64 años	87
24	Campo de Daroca	Un hombre de 16 a 64 años	244
24	Campo de Daroca	Una mujer de 65 o más años	307
24	Campo de Daroca	Un hombre de 65 o más años	147
24	Campo de Daroca	Una mujer adulta con uno o más menores	23
24	Campo de Daroca	Un hombre adulto con  uno o más menores	14
24	Campo de Daroca	Dos adultos de 16 a 64 años, sin menores	198
24	Campo de Daroca	Dos adultos, uno al menos de 65 años o más, sin menores	605
24	Campo de Daroca	Dos adultos y un menor	97
24	Campo de Daroca	Dos adultos y dos menores	116
24	Campo de Daroca	Dos adultos y tres o más menores	7
24	Campo de Daroca	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	185
24	Campo de Daroca	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	41
24	Campo de Daroca	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	7
24	Campo de Daroca	Otro hogar de tres adultos, con o sin menores	222
24	Campo de Daroca	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	133
24	Campo de Daroca	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	11
24	Campo de Daroca	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	5
24	Campo de Daroca	Otro hogar de cuatro adultos, con o sin menores	107
24	Campo de Daroca	Cinco o más adultos, con o sin menores	107
25	Jiloca	Una mujer de 16 a 64 años	185
25	Jiloca	Un hombre de 16 a 64 años	370
25	Jiloca	Una mujer de 65 o más años	704
25	Jiloca	Un hombre de 65 o más años	400
25	Jiloca	Una mujer adulta con uno o más menores	65
25	Jiloca	Un hombre adulto con  uno o más menores	23
25	Jiloca	Dos adultos de 16 a 64 años, sin menores	365
25	Jiloca	Dos adultos, uno al menos de 65 años o más, sin menores	1242
25	Jiloca	Dos adultos y un menor	188
25	Jiloca	Dos adultos y dos menores	312
25	Jiloca	Dos adultos y tres o más menores	38
25	Jiloca	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	408
25	Jiloca	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	141
25	Jiloca	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	20
25	Jiloca	Otro hogar de tres adultos, con o sin menores	358
25	Jiloca	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	261
25	Jiloca	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	41
25	Jiloca	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	10
25	Jiloca	Otro hogar de cuatro adultos, con o sin menores	179
25	Jiloca	Cinco o más adultos, con o sin menores	245
26	Cuencas Mineras	Una mujer de 16 a 64 años	94
26	Cuencas Mineras	Un hombre de 16 a 64 años	266
26	Cuencas Mineras	Una mujer de 65 o más años	381
26	Cuencas Mineras	Un hombre de 65 o más años	168
26	Cuencas Mineras	Una mujer adulta con uno o más menores	20
26	Cuencas Mineras	Un hombre adulto con  uno o más menores	16
26	Cuencas Mineras	Dos adultos de 16 a 64 años, sin menores	299
26	Cuencas Mineras	Dos adultos, uno al menos de 65 años o más, sin menores	673
26	Cuencas Mineras	Dos adultos y un menor	189
26	Cuencas Mineras	Dos adultos y dos menores	268
26	Cuencas Mineras	Dos adultos y tres o más menores	32
26	Cuencas Mineras	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	265
26	Cuencas Mineras	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	117
26	Cuencas Mineras	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	23
26	Cuencas Mineras	Otro hogar de tres adultos, con o sin menores	236
26	Cuencas Mineras	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	200
26	Cuencas Mineras	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	46
26	Cuencas Mineras	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	5
26	Cuencas Mineras	Otro hogar de cuatro adultos, con o sin menores	118
26	Cuencas Mineras	Cinco o más adultos, con o sin menores	169
27	Andorra-Sierra de Arcos	Una mujer de 16 a 64 años	68
27	Andorra-Sierra de Arcos	Un hombre de 16 a 64 años	190
27	Andorra-Sierra de Arcos	Una mujer de 65 o más años	334
27	Andorra-Sierra de Arcos	Un hombre de 65 o más años	148
27	Andorra-Sierra de Arcos	Una mujer adulta con uno o más menores	25
27	Andorra-Sierra de Arcos	Un hombre adulto con  uno o más menores	20
27	Andorra-Sierra de Arcos	Dos adultos de 16 a 64 años, sin menores	401
27	Andorra-Sierra de Arcos	Dos adultos, uno al menos de 65 años o más, sin menores	707
27	Andorra-Sierra de Arcos	Dos adultos y un menor	261
27	Andorra-Sierra de Arcos	Dos adultos y dos menores	389
27	Andorra-Sierra de Arcos	Dos adultos y tres o más menores	44
27	Andorra-Sierra de Arcos	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	282
27	Andorra-Sierra de Arcos	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	192
27	Andorra-Sierra de Arcos	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	18
27	Andorra-Sierra de Arcos	Otro hogar de tres adultos, con o sin menores	259
27	Andorra-Sierra de Arcos	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	273
27	Andorra-Sierra de Arcos	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	69
27	Andorra-Sierra de Arcos	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	10
27	Andorra-Sierra de Arcos	Otro hogar de cuatro adultos, con o sin menores	103
27	Andorra-Sierra de Arcos	Cinco o más adultos, con o sin menores	160
28	Bajo Aragón	Una mujer de 16 a 64 años	265
28	Bajo Aragón	Un hombre de 16 a 64 años	498
28	Bajo Aragón	Una mujer de 65 o más años	853
28	Bajo Aragón	Un hombre de 65 o más años	333
28	Bajo Aragón	Una mujer adulta con uno o más menores	122
28	Bajo Aragón	Un hombre adulto con  uno o más menores	52
28	Bajo Aragón	Dos adultos de 16 a 64 años, sin menores	875
28	Bajo Aragón	Dos adultos, uno al menos de 65 años o más, sin menores	1699
28	Bajo Aragón	Dos adultos y un menor	721
28	Bajo Aragón	Dos adultos y dos menores	855
28	Bajo Aragón	Dos adultos y tres o más menores	112
28	Bajo Aragón	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	705
28	Bajo Aragón	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	352
28	Bajo Aragón	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	64
28	Bajo Aragón	Otro hogar de tres adultos, con o sin menores	569
28	Bajo Aragón	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	594
28	Bajo Aragón	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	99
28	Bajo Aragón	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	13
28	Bajo Aragón	Otro hogar de cuatro adultos, con o sin menores	270
28	Bajo Aragón	Cinco o más adultos, con o sin menores	462
29	Comunidad de Teruel	Una mujer de 16 a 64 años	749
29	Comunidad de Teruel	Un hombre de 16 a 64 años	1017
29	Comunidad de Teruel	Una mujer de 65 o más años	1344
29	Comunidad de Teruel	Un hombre de 65 o más años	568
29	Comunidad de Teruel	Una mujer adulta con uno o más menores	316
29	Comunidad de Teruel	Un hombre adulto con  uno o más menores	106
29	Comunidad de Teruel	Dos adultos de 16 a 64 años, sin menores	1327
29	Comunidad de Teruel	Dos adultos, uno al menos de 65 años o más, sin menores	2521
29	Comunidad de Teruel	Dos adultos y un menor	1022
29	Comunidad de Teruel	Dos adultos y dos menores	1325
29	Comunidad de Teruel	Dos adultos y tres o más menores	163
29	Comunidad de Teruel	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	1180
29	Comunidad de Teruel	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	552
29	Comunidad de Teruel	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	95
29	Comunidad de Teruel	Otro hogar de tres adultos, con o sin menores	888
29	Comunidad de Teruel	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	1000
29	Comunidad de Teruel	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	189
29	Comunidad de Teruel	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	24
29	Comunidad de Teruel	Otro hogar de cuatro adultos, con o sin menores	448
29	Comunidad de Teruel	Cinco o más adultos, con o sin menores	663
30	Maestrazgo	Una mujer de 16 a 64 años	58
30	Maestrazgo	Un hombre de 16 a 64 años	140
30	Maestrazgo	Una mujer de 65 o más años	182
30	Maestrazgo	Un hombre de 65 o más años	98
30	Maestrazgo	Una mujer adulta con uno o más menores	12
30	Maestrazgo	Un hombre adulto con  uno o más menores	9
30	Maestrazgo	Dos adultos de 16 a 64 años, sin menores	99
30	Maestrazgo	Dos adultos, uno al menos de 65 años o más, sin menores	288
30	Maestrazgo	Dos adultos y un menor	47
30	Maestrazgo	Dos adultos y dos menores	81
30	Maestrazgo	Dos adultos y tres o más menores	20
30	Maestrazgo	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	87
30	Maestrazgo	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	22
30	Maestrazgo	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	6
30	Maestrazgo	Otro hogar de tres adultos, con o sin menores	128
30	Maestrazgo	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	76
30	Maestrazgo	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	13
30	Maestrazgo	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	3
30	Maestrazgo	Otro hogar de cuatro adultos, con o sin menores	75
30	Maestrazgo	Cinco o más adultos, con o sin menores	59
31	Sierra de Albarracín	Una mujer de 16 a 64 años	81
31	Sierra de Albarracín	Un hombre de 16 a 64 años	203
31	Sierra de Albarracín	Una mujer de 65 o más años	253
31	Sierra de Albarracín	Un hombre de 65 o más años	138
31	Sierra de Albarracín	Una mujer adulta con uno o más menores	14
31	Sierra de Albarracín	Un hombre adulto con  uno o más menores	9
31	Sierra de Albarracín	Dos adultos de 16 a 64 años, sin menores	117
31	Sierra de Albarracín	Dos adultos, uno al menos de 65 años o más, sin menores	462
31	Sierra de Albarracín	Dos adultos y un menor	55
31	Sierra de Albarracín	Dos adultos y dos menores	104
31	Sierra de Albarracín	Dos adultos y tres o más menores	20
31	Sierra de Albarracín	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	103
31	Sierra de Albarracín	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	38
31	Sierra de Albarracín	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	9
31	Sierra de Albarracín	Otro hogar de tres adultos, con o sin menores	146
31	Sierra de Albarracín	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	75
31	Sierra de Albarracín	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	19
31	Sierra de Albarracín	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	2
31	Sierra de Albarracín	Otro hogar de cuatro adultos, con o sin menores	74
31	Sierra de Albarracín	Cinco o más adultos, con o sin menores	96
32	Gúdar-Javalambre	Una mujer de 16 a 64 años	158
32	Gúdar-Javalambre	Un hombre de 16 a 64 años	357
32	Gúdar-Javalambre	Una mujer de 65 o más años	354
32	Gúdar-Javalambre	Un hombre de 65 o más años	229
32	Gúdar-Javalambre	Una mujer adulta con uno o más menores	38
32	Gúdar-Javalambre	Un hombre adulto con  uno o más menores	12
32	Gúdar-Javalambre	Dos adultos de 16 a 64 años, sin menores	241
32	Gúdar-Javalambre	Dos adultos, uno al menos de 65 años o más, sin menores	583
32	Gúdar-Javalambre	Dos adultos y un menor	142
32	Gúdar-Javalambre	Dos adultos y dos menores	195
32	Gúdar-Javalambre	Dos adultos y tres o más menores	36
32	Gúdar-Javalambre	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	182
32	Gúdar-Javalambre	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	49
32	Gúdar-Javalambre	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	16
32	Gúdar-Javalambre	Otro hogar de tres adultos, con o sin menores	229
32	Gúdar-Javalambre	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	127
32	Gúdar-Javalambre	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	25
32	Gúdar-Javalambre	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	8
32	Gúdar-Javalambre	Otro hogar de cuatro adultos, con o sin menores	112
32	Gúdar-Javalambre	Cinco o más adultos, con o sin menores	114
33	Matarraña / Matarranya	Una mujer de 16 a 64 años	79
33	Matarraña / Matarranya	Un hombre de 16 a 64 años	232
33	Matarraña / Matarranya	Una mujer de 65 o más años	362
33	Matarraña / Matarranya	Un hombre de 65 o más años	214
33	Matarraña / Matarranya	Una mujer adulta con uno o más menores	21
33	Matarraña / Matarranya	Un hombre adulto con  uno o más menores	8
33	Matarraña / Matarranya	Dos adultos de 16 a 64 años, sin menores	218
33	Matarraña / Matarranya	Dos adultos, uno al menos de 65 años o más, sin menores	703
33	Matarraña / Matarranya	Dos adultos y un menor	150
33	Matarraña / Matarranya	Dos adultos y dos menores	222
33	Matarraña / Matarranya	Dos adultos y tres o más menores	26
33	Matarraña / Matarranya	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	200
33	Matarraña / Matarranya	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	87
33	Matarraña / Matarranya	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	19
33	Matarraña / Matarranya	Otro hogar de tres adultos, con o sin menores	259
33	Matarraña / Matarranya	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	173
33	Matarraña / Matarranya	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	16
33	Matarraña / Matarranya	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	3
33	Matarraña / Matarranya	Otro hogar de cuatro adultos, con o sin menores	159
33	Matarraña / Matarranya	Cinco o más adultos, con o sin menores	184
