Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Sexo	Régimen	Afiliaciones en alta
201103	Marzo 2011	99	No consta	Hombres	Autónomos	73
201103	Marzo 2011	99	No consta	Mujeres	Autónomos	30
201103	Marzo 2011	22	Huesca	Hombres	Agrario ajena	1689
201103	Marzo 2011	22	Huesca	Mujeres	Agrario ajena	364
201103	Marzo 2011	44	Teruel	Hombres	Agrario ajena	888
201103	Marzo 2011	44	Teruel	Mujeres	Agrario ajena	220
201103	Marzo 2011	50	Zaragoza	Hombres	Agrario ajena	4924
201103	Marzo 2011	50	Zaragoza	Mujeres	Agrario ajena	1288
201103	Marzo 2011	22	Huesca	Hombres	Hogar Fijos	19
201103	Marzo 2011	22	Huesca	Mujeres	Hogar Fijos	592
201103	Marzo 2011	44	Teruel	Hombres	Hogar Fijos	15
201103	Marzo 2011	44	Teruel	Mujeres	Hogar Fijos	369
201103	Marzo 2011	50	Zaragoza	Hombres	Hogar Fijos	208
201103	Marzo 2011	50	Zaragoza	Mujeres	Hogar Fijos	3887
201103	Marzo 2011	99	No consta	Hombres	Hogar Fijos	3
201103	Marzo 2011	99	No consta	Mujeres	Hogar Fijos	52
201012	Diciembre 2010	22	Huesca	Hombres	General	33494
201012	Diciembre 2010	22	Huesca	Mujeres	General	29645
201012	Diciembre 2010	44	Teruel	Hombres	General	20571
201012	Diciembre 2010	44	Teruel	Mujeres	General	16547
201012	Diciembre 2010	50	Zaragoza	Hombres	General	162464
201012	Diciembre 2010	50	Zaragoza	Mujeres	General	144257
201012	Diciembre 2010	99	No consta	Mujeres	General	1
201012	Diciembre 2010	44	Teruel	Hombres	Minería	333
201012	Diciembre 2010	44	Teruel	Mujeres	Minería	7
201012	Diciembre 2010	50	Zaragoza	Hombres	Minería	75
201012	Diciembre 2010	50	Zaragoza	Mujeres	Minería	10
201012	Diciembre 2010	22	Huesca	Hombres	Autónomos	16012
201012	Diciembre 2010	22	Huesca	Mujeres	Autónomos	7271
201012	Diciembre 2010	44	Teruel	Hombres	Autónomos	9409
201012	Diciembre 2010	44	Teruel	Mujeres	Autónomos	4705
201012	Diciembre 2010	50	Zaragoza	Hombres	Autónomos	45692
201012	Diciembre 2010	50	Zaragoza	Mujeres	Autónomos	23004
201012	Diciembre 2010	99	No consta	Hombres	Autónomos	66
201012	Diciembre 2010	99	No consta	Mujeres	Autónomos	25
201012	Diciembre 2010	22	Huesca	Hombres	Agrario ajena	1766
201012	Diciembre 2010	22	Huesca	Mujeres	Agrario ajena	369
201012	Diciembre 2010	44	Teruel	Hombres	Agrario ajena	1014
201012	Diciembre 2010	44	Teruel	Mujeres	Agrario ajena	248
201012	Diciembre 2010	50	Zaragoza	Hombres	Agrario ajena	6304
201012	Diciembre 2010	50	Zaragoza	Mujeres	Agrario ajena	1607
201012	Diciembre 2010	22	Huesca	Hombres	Hogar Fijos	14
201012	Diciembre 2010	22	Huesca	Mujeres	Hogar Fijos	599
201012	Diciembre 2010	44	Teruel	Hombres	Hogar Fijos	15
201012	Diciembre 2010	44	Teruel	Mujeres	Hogar Fijos	355
201012	Diciembre 2010	50	Zaragoza	Hombres	Hogar Fijos	189
201012	Diciembre 2010	50	Zaragoza	Mujeres	Hogar Fijos	3759
201012	Diciembre 2010	99	No consta	Hombres	Hogar Fijos	2
201012	Diciembre 2010	99	No consta	Mujeres	Hogar Fijos	40
201009	Septiembre 2010	22	Huesca	Hombres	General	33770
201009	Septiembre 2010	22	Huesca	Mujeres	General	29042
201009	Septiembre 2010	44	Teruel	Hombres	General	21348
201009	Septiembre 2010	44	Teruel	Mujeres	General	16777
201009	Septiembre 2010	50	Zaragoza	Hombres	General	166400
201009	Septiembre 2010	50	Zaragoza	Mujeres	General	142627
201009	Septiembre 2010	99	No consta	Mujeres	General	3
201009	Septiembre 2010	44	Teruel	Hombres	Minería	350
201009	Septiembre 2010	44	Teruel	Mujeres	Minería	9
201009	Septiembre 2010	50	Zaragoza	Hombres	Minería	80
201009	Septiembre 2010	50	Zaragoza	Mujeres	Minería	10
201009	Septiembre 2010	22	Huesca	Hombres	Autónomos	16101
201009	Septiembre 2010	22	Huesca	Mujeres	Autónomos	7265
201009	Septiembre 2010	44	Teruel	Hombres	Autónomos	9505
201009	Septiembre 2010	44	Teruel	Mujeres	Autónomos	4742
201009	Septiembre 2010	50	Zaragoza	Hombres	Autónomos	45880
201009	Septiembre 2010	50	Zaragoza	Mujeres	Autónomos	22910
201009	Septiembre 2010	99	No consta	Hombres	Autónomos	74
201009	Septiembre 2010	99	No consta	Mujeres	Autónomos	29
201009	Septiembre 2010	22	Huesca	Hombres	Agrario ajena	2189
201009	Septiembre 2010	22	Huesca	Mujeres	Agrario ajena	661
201009	Septiembre 2010	44	Teruel	Hombres	Agrario ajena	1074
201009	Septiembre 2010	44	Teruel	Mujeres	Agrario ajena	331
201009	Septiembre 2010	50	Zaragoza	Hombres	Agrario ajena	6992
201009	Septiembre 2010	50	Zaragoza	Mujeres	Agrario ajena	2327
201009	Septiembre 2010	22	Huesca	Hombres	Hogar Fijos	18
201009	Septiembre 2010	22	Huesca	Mujeres	Hogar Fijos	581
201009	Septiembre 2010	44	Teruel	Hombres	Hogar Fijos	14
201009	Septiembre 2010	44	Teruel	Mujeres	Hogar Fijos	368
201009	Septiembre 2010	50	Zaragoza	Hombres	Hogar Fijos	197
201009	Septiembre 2010	50	Zaragoza	Mujeres	Hogar Fijos	3674
201009	Septiembre 2010	99	No consta	Hombres	Hogar Fijos	4
201009	Septiembre 2010	99	No consta	Mujeres	Hogar Fijos	44
201006	Junio 2010	22	Huesca	Hombres	General	34816
201006	Junio 2010	22	Huesca	Mujeres	General	29180
201006	Junio 2010	44	Teruel	Hombres	General	21404
201006	Junio 2010	44	Teruel	Mujeres	General	16499
201006	Junio 2010	50	Zaragoza	Hombres	General	168874
201006	Junio 2010	50	Zaragoza	Mujeres	General	141526
201006	Junio 2010	99	No consta	Mujeres	General	2
201006	Junio 2010	44	Teruel	Hombres	Minería	357
201006	Junio 2010	44	Teruel	Mujeres	Minería	8
201006	Junio 2010	50	Zaragoza	Hombres	Minería	81
201006	Junio 2010	50	Zaragoza	Mujeres	Minería	10
201006	Junio 2010	22	Huesca	Hombres	Autónomos	16279
201006	Junio 2010	22	Huesca	Mujeres	Autónomos	7275
201006	Junio 2010	44	Teruel	Hombres	Autónomos	9577
201006	Junio 2010	44	Teruel	Mujeres	Autónomos	4763
201006	Junio 2010	50	Zaragoza	Hombres	Autónomos	46400
201006	Junio 2010	50	Zaragoza	Mujeres	Autónomos	23011
201006	Junio 2010	99	No consta	Hombres	Autónomos	82
201006	Junio 2010	99	No consta	Mujeres	Autónomos	29
201006	Junio 2010	22	Huesca	Hombres	Agrario ajena	2548
201006	Junio 2010	22	Huesca	Mujeres	Agrario ajena	902
201006	Junio 2010	44	Teruel	Hombres	Agrario ajena	1230
201006	Junio 2010	44	Teruel	Mujeres	Agrario ajena	481
201006	Junio 2010	50	Zaragoza	Hombres	Agrario ajena	6121
201006	Junio 2010	50	Zaragoza	Mujeres	Agrario ajena	2152
201006	Junio 2010	22	Huesca	Hombres	Hogar Fijos	16
201006	Junio 2010	22	Huesca	Mujeres	Hogar Fijos	589
201006	Junio 2010	44	Teruel	Hombres	Hogar Fijos	15
201006	Junio 2010	44	Teruel	Mujeres	Hogar Fijos	371
201006	Junio 2010	50	Zaragoza	Hombres	Hogar Fijos	194
201006	Junio 2010	50	Zaragoza	Mujeres	Hogar Fijos	3618
201006	Junio 2010	99	No consta	Hombres	Hogar Fijos	4
201006	Junio 2010	99	No consta	Mujeres	Hogar Fijos	43
201003	Marzo 2010	22	Huesca	Hombres	General	34620
201003	Marzo 2010	22	Huesca	Mujeres	General	29472
201003	Marzo 2010	44	Teruel	Hombres	General	20834
201003	Marzo 2010	44	Teruel	Mujeres	General	16480
201003	Marzo 2010	50	Zaragoza	Hombres	General	166062
201003	Marzo 2010	50	Zaragoza	Mujeres	General	141827
201003	Marzo 2010	99	No consta	Mujeres	General	1
201003	Marzo 2010	44	Teruel	Hombres	Minería	366
201003	Marzo 2010	44	Teruel	Mujeres	Minería	8
201003	Marzo 2010	50	Zaragoza	Hombres	Minería	83
201003	Marzo 2010	50	Zaragoza	Mujeres	Minería	10
201003	Marzo 2010	22	Huesca	Hombres	Autónomos	16328
201003	Marzo 2010	22	Huesca	Mujeres	Autónomos	7249
201003	Marzo 2010	44	Teruel	Hombres	Autónomos	9624
201003	Marzo 2010	44	Teruel	Mujeres	Autónomos	4767
201003	Marzo 2010	50	Zaragoza	Hombres	Autónomos	46493
201003	Marzo 2010	50	Zaragoza	Mujeres	Autónomos	22958
201003	Marzo 2010	99	No consta	Hombres	Autónomos	71
201003	Marzo 2010	99	No consta	Mujeres	Autónomos	32
201003	Marzo 2010	22	Huesca	Hombres	Agrario ajena	1503
201003	Marzo 2010	22	Huesca	Mujeres	Agrario ajena	273
201003	Marzo 2010	44	Teruel	Hombres	Agrario ajena	1025
201003	Marzo 2010	44	Teruel	Mujeres	Agrario ajena	251
201003	Marzo 2010	50	Zaragoza	Hombres	Agrario ajena	5049
201003	Marzo 2010	50	Zaragoza	Mujeres	Agrario ajena	1428
201003	Marzo 2010	22	Huesca	Hombres	Hogar Fijos	16
201003	Marzo 2010	22	Huesca	Mujeres	Hogar Fijos	576
201003	Marzo 2010	44	Teruel	Hombres	Hogar Fijos	15
201003	Marzo 2010	44	Teruel	Mujeres	Hogar Fijos	356
201003	Marzo 2010	50	Zaragoza	Hombres	Hogar Fijos	200
201003	Marzo 2010	50	Zaragoza	Mujeres	Hogar Fijos	3595
201003	Marzo 2010	99	No consta	Hombres	Hogar Fijos	4
201003	Marzo 2010	99	No consta	Mujeres	Hogar Fijos	40
