Comarca código	Comarca nombre	Situación profesional código	Situación profesional	Sexo	Personas residentes viviendas familiares
28	Bajo Aragón	5	Otra situación (Ayuda familiar)	Hombres	9
28	Bajo Aragón	5	Otra situación (Ayuda familiar)	Mujeres	15
28	Bajo Aragón	6	Otra situación (Miembro de cooperativas)	Hombres	47
28	Bajo Aragón	6	Otra situación (Miembro de cooperativas)	Mujeres	42
29	Comunidad de Teruel	1	Empresario o profesional que emplea personal	Hombres	898
29	Comunidad de Teruel	1	Empresario o profesional que emplea personal	Mujeres	269
29	Comunidad de Teruel	2	Empresario o profesional que no emplea personal	Hombres	1682
29	Comunidad de Teruel	2	Empresario o profesional que no emplea personal	Mujeres	617
29	Comunidad de Teruel	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	6343
29	Comunidad de Teruel	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	4179
29	Comunidad de Teruel	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	1582
29	Comunidad de Teruel	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	1838
29	Comunidad de Teruel	5	Otra situación (Ayuda familiar)	Hombres	17
29	Comunidad de Teruel	5	Otra situación (Ayuda familiar)	Mujeres	48
29	Comunidad de Teruel	6	Otra situación (Miembro de cooperativas)	Hombres	22
29	Comunidad de Teruel	6	Otra situación (Miembro de cooperativas)	Mujeres	2
30	Maestrazgo	1	Empresario o profesional que emplea personal	Hombres	96
30	Maestrazgo	1	Empresario o profesional que emplea personal	Mujeres	22
30	Maestrazgo	2	Empresario o profesional que no emplea personal	Hombres	371
30	Maestrazgo	2	Empresario o profesional que no emplea personal	Mujeres	123
30	Maestrazgo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	315
30	Maestrazgo	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	172
30	Maestrazgo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	163
30	Maestrazgo	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	85
30	Maestrazgo	5	Otra situación (Ayuda familiar)	Hombres	8
30	Maestrazgo	5	Otra situación (Ayuda familiar)	Mujeres	3
30	Maestrazgo	6	Otra situación (Miembro de cooperativas)	Hombres	8
30	Maestrazgo	6	Otra situación (Miembro de cooperativas)	Mujeres	2
31	Sierra de Albarracín	1	Empresario o profesional que emplea personal	Hombres	103
31	Sierra de Albarracín	1	Empresario o profesional que emplea personal	Mujeres	38
31	Sierra de Albarracín	2	Empresario o profesional que no emplea personal	Hombres	394
31	Sierra de Albarracín	2	Empresario o profesional que no emplea personal	Mujeres	122
31	Sierra de Albarracín	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	504
31	Sierra de Albarracín	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	204
31	Sierra de Albarracín	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	189
31	Sierra de Albarracín	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	191
31	Sierra de Albarracín	5	Otra situación (Ayuda familiar)	Mujeres	10
31	Sierra de Albarracín	6	Otra situación (Miembro de cooperativas)	Hombres	8
31	Sierra de Albarracín	6	Otra situación (Miembro de cooperativas)	Mujeres	4
32	Gúdar-Javalambre	1	Empresario o profesional que emplea personal	Hombres	229
32	Gúdar-Javalambre	1	Empresario o profesional que emplea personal	Mujeres	58
32	Gúdar-Javalambre	2	Empresario o profesional que no emplea personal	Hombres	533
32	Gúdar-Javalambre	2	Empresario o profesional que no emplea personal	Mujeres	200
32	Gúdar-Javalambre	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	818
32	Gúdar-Javalambre	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	384
32	Gúdar-Javalambre	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	408
32	Gúdar-Javalambre	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	255
32	Gúdar-Javalambre	5	Otra situación (Ayuda familiar)	Hombres	3
32	Gúdar-Javalambre	5	Otra situación (Ayuda familiar)	Mujeres	2
32	Gúdar-Javalambre	6	Otra situación (Miembro de cooperativas)	Hombres	42
32	Gúdar-Javalambre	6	Otra situación (Miembro de cooperativas)	Mujeres	38
33	Matarraña / Matarranya	1	Empresario o profesional que emplea personal	Hombres	217
33	Matarraña / Matarranya	1	Empresario o profesional que emplea personal	Mujeres	50
33	Matarraña / Matarranya	2	Empresario o profesional que no emplea personal	Hombres	1028
33	Matarraña / Matarranya	2	Empresario o profesional que no emplea personal	Mujeres	365
33	Matarraña / Matarranya	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Hombres	675
33	Matarraña / Matarranya	3	Trabajador por cuenta ajena con carácter fijo o indefinido	Mujeres	362
33	Matarraña / Matarranya	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Hombres	245
33	Matarraña / Matarranya	4	Trabajador por cuenta ajena con carácter eventual, temporal,...	Mujeres	191
33	Matarraña / Matarranya	5	Otra situación (Ayuda familiar)	Hombres	8
33	Matarraña / Matarranya	5	Otra situación (Ayuda familiar)	Mujeres	25
33	Matarraña / Matarranya	6	Otra situación (Miembro de cooperativas)	Hombres	1
