Municipio código	Municipio nombre	Situación preferente	Personas residentes viviendas familiares
22227	Tella-Sin	Pensionistas de viudedad u orfandad	26
22227	Tella-Sin	Pensionistas de jubilación	68
22227	Tella-Sin	Realizando o compartiendo las labores del hogar	45
22227	Tella-Sin	Otra situación	2
22228	Tierz	Estudiantes	20
22228	Tierz	Ocupados	75
22228	Tierz	Parados que han trabajado antes	1
22228	Tierz	Pensionistas de invalidez	7
22228	Tierz	Pensionistas de viudedad u orfandad	13
22228	Tierz	Pensionistas de jubilación	36
22228	Tierz	Dependientes	1
22228	Tierz	Realizando o compartiendo las labores del hogar	21
22228	Tierz	Otra situación	6
22229	Tolva	Estudiantes	24
22229	Tolva	Ocupados	65
22229	Tolva	Parados buscando el primer empleo	2
22229	Tolva	Parados que han trabajado antes	3
22229	Tolva	Pensionistas de invalidez	2
22229	Tolva	Pensionistas de viudedad u orfandad	15
22229	Tolva	Pensionistas de jubilación	46
22229	Tolva	Dependientes	1
22229	Tolva	Realizando o compartiendo las labores del hogar	26
22229	Tolva	Otra situación	4
22230	Torla	Estudiantes	47
22230	Torla	Ocupados	148
22230	Torla	Parados buscando el primer empleo	2
22230	Torla	Parados que han trabajado antes	15
22230	Torla	Pensionistas de invalidez	4
22230	Torla	Pensionistas de viudedad u orfandad	18
22230	Torla	Pensionistas de jubilación	59
22230	Torla	Dependientes	1
22230	Torla	Realizando o compartiendo las labores del hogar	36
22230	Torla	Otra situación	11
22232	Torralba de Aragón	Estudiantes	10
22232	Torralba de Aragón	Ocupados	48
22232	Torralba de Aragón	Parados buscando el primer empleo	1
22232	Torralba de Aragón	Parados que han trabajado antes	3
22232	Torralba de Aragón	Pensionistas de invalidez	3
22232	Torralba de Aragón	Pensionistas de viudedad u orfandad	9
22232	Torralba de Aragón	Pensionistas de jubilación	25
22232	Torralba de Aragón	Realizando o compartiendo las labores del hogar	18
22232	Torralba de Aragón	Otra situación	2
22233	Torre la Ribera	Estudiantes	15
22233	Torre la Ribera	Ocupados	29
22233	Torre la Ribera	Parados buscando el primer empleo	1
22233	Torre la Ribera	Parados que han trabajado antes	1
22233	Torre la Ribera	Pensionistas de invalidez	4
22233	Torre la Ribera	Pensionistas de viudedad u orfandad	11
22233	Torre la Ribera	Pensionistas de jubilación	19
22233	Torre la Ribera	Realizando o compartiendo las labores del hogar	11
22233	Torre la Ribera	Otra situación	2
22234	Torrente de Cinca	Estudiantes	158
22234	Torrente de Cinca	Ocupados	466
22234	Torrente de Cinca	Parados buscando el primer empleo	5
22234	Torrente de Cinca	Parados que han trabajado antes	18
22234	Torrente de Cinca	Pensionistas de invalidez	18
22234	Torrente de Cinca	Pensionistas de viudedad u orfandad	90
22234	Torrente de Cinca	Pensionistas de jubilación	169
22234	Torrente de Cinca	Dependientes	1
22234	Torrente de Cinca	Realizando o compartiendo las labores del hogar	168
22234	Torrente de Cinca	Otra situación	10
22235	Torres de Alcanadre	Estudiantes	18
22235	Torres de Alcanadre	Ocupados	32
22235	Torres de Alcanadre	Pensionistas de invalidez	5
22235	Torres de Alcanadre	Pensionistas de viudedad u orfandad	7
22235	Torres de Alcanadre	Pensionistas de jubilación	42
22235	Torres de Alcanadre	Realizando o compartiendo las labores del hogar	23
22236	Torres de Barbués	Estudiantes	42
22236	Torres de Barbués	Ocupados	133
22236	Torres de Barbués	Parados buscando el primer empleo	8
22236	Torres de Barbués	Parados que han trabajado antes	5
22236	Torres de Barbués	Pensionistas de invalidez	5
22236	Torres de Barbués	Pensionistas de viudedad u orfandad	27
22236	Torres de Barbués	Pensionistas de jubilación	64
22236	Torres de Barbués	Realizando o compartiendo las labores del hogar	67
22236	Torres de Barbués	Otra situación	7
22239	Tramaced	Estudiantes	5
22239	Tramaced	Ocupados	44
22239	Tramaced	Parados buscando el primer empleo	1
22239	Tramaced	Pensionistas de invalidez	1
22239	Tramaced	Pensionistas de viudedad u orfandad	7
22239	Tramaced	Pensionistas de jubilación	21
22239	Tramaced	Realizando o compartiendo las labores del hogar	16
22242	Valfarta	Estudiantes	5
22242	Valfarta	Ocupados	26
22242	Valfarta	Parados buscando el primer empleo	1
22242	Valfarta	Parados que han trabajado antes	1
22242	Valfarta	Pensionistas de invalidez	1
22242	Valfarta	Pensionistas de viudedad u orfandad	4
22242	Valfarta	Pensionistas de jubilación	25
22242	Valfarta	Realizando o compartiendo las labores del hogar	24
22242	Valfarta	Otra situación	8
22243	Valle de Bardají	Estudiantes	12
22243	Valle de Bardají	Ocupados	12
22243	Valle de Bardají	Pensionistas de invalidez	2
22243	Valle de Bardají	Pensionistas de viudedad u orfandad	4
22243	Valle de Bardají	Pensionistas de jubilación	8
22243	Valle de Bardají	Realizando o compartiendo las labores del hogar	8
22243	Valle de Bardají	Otra situación	3
22244	Valle de Lierp	Estudiantes	3
22244	Valle de Lierp	Ocupados	14
22244	Valle de Lierp	Parados que han trabajado antes	1
22244	Valle de Lierp	Pensionistas de invalidez	1
22244	Valle de Lierp	Pensionistas de viudedad u orfandad	7
22244	Valle de Lierp	Pensionistas de jubilación	9
22244	Valle de Lierp	Realizando o compartiendo las labores del hogar	14
22244	Valle de Lierp	Otra situación	2
22245	Velilla de Cinca	Estudiantes	57
22245	Velilla de Cinca	Ocupados	164
22245	Velilla de Cinca	Parados buscando el primer empleo	8
22245	Velilla de Cinca	Parados que han trabajado antes	6
22245	Velilla de Cinca	Pensionistas de invalidez	3
22245	Velilla de Cinca	Pensionistas de viudedad u orfandad	38
22245	Velilla de Cinca	Pensionistas de jubilación	85
22245	Velilla de Cinca	Realizando tareas de voluntariado	1
22245	Velilla de Cinca	Dependientes	3
22245	Velilla de Cinca	Realizando o compartiendo las labores del hogar	84
22245	Velilla de Cinca	Otra situación	14
22246	Veracruz	Estudiantes	9
22246	Veracruz	Ocupados	32
22246	Veracruz	Parados buscando el primer empleo	1
22246	Veracruz	Parados que han trabajado antes	2
22246	Veracruz	Pensionistas de viudedad u orfandad	11
22246	Veracruz	Pensionistas de jubilación	36
22246	Veracruz	Realizando o compartiendo las labores del hogar	18
22246	Veracruz	Otra situación	2
22247	Viacamp y Litera	Estudiantes	3
22247	Viacamp y Litera	Ocupados	19
22247	Viacamp y Litera	Parados buscando el primer empleo	1
22247	Viacamp y Litera	Parados que han trabajado antes	2
22247	Viacamp y Litera	Pensionistas de viudedad u orfandad	1
22247	Viacamp y Litera	Pensionistas de jubilación	4
22247	Viacamp y Litera	Realizando o compartiendo las labores del hogar	4
22247	Viacamp y Litera	Otra situación	2
22248	Vicién	Estudiantes	18
22248	Vicién	Ocupados	54
22248	Vicién	Parados buscando el primer empleo	1
22248	Vicién	Parados que han trabajado antes	4
22248	Vicién	Pensionistas de invalidez	2
22248	Vicién	Pensionistas de viudedad u orfandad	6
22248	Vicién	Pensionistas de jubilación	17
22248	Vicién	Realizando o compartiendo las labores del hogar	19
22249	Villanova	Estudiantes	19
22249	Villanova	Ocupados	68
22249	Villanova	Parados que han trabajado antes	3
22249	Villanova	Pensionistas de invalidez	1
22249	Villanova	Pensionistas de viudedad u orfandad	10
22249	Villanova	Pensionistas de jubilación	11
22249	Villanova	Dependientes	1
22249	Villanova	Realizando o compartiendo las labores del hogar	14
22249	Villanova	Otra situación	5
22250	Villanúa	Estudiantes	52
22250	Villanúa	Ocupados	157
22250	Villanúa	Parados buscando el primer empleo	2
22250	Villanúa	Parados que han trabajado antes	7
22250	Villanúa	Pensionistas de invalidez	3
22250	Villanúa	Pensionistas de viudedad u orfandad	15
22250	Villanúa	Pensionistas de jubilación	51
22250	Villanúa	Realizando tareas de voluntariado	1
22250	Villanúa	Dependientes	1
22250	Villanúa	Realizando o compartiendo las labores del hogar	46
22250	Villanúa	Otra situación	5
22251	Villanueva de Sigena	Estudiantes	98
22251	Villanueva de Sigena	Ocupados	165
22251	Villanueva de Sigena	Parados buscando el primer empleo	5
22251	Villanueva de Sigena	Parados que han trabajado antes	6
22251	Villanueva de Sigena	Pensionistas de invalidez	5
22251	Villanueva de Sigena	Pensionistas de viudedad u orfandad	22
22251	Villanueva de Sigena	Pensionistas de jubilación	79
22251	Villanueva de Sigena	Dependientes	5
22251	Villanueva de Sigena	Realizando o compartiendo las labores del hogar	86
22251	Villanueva de Sigena	Otra situación	12
22252	Yebra de Basa	Estudiantes	24
22252	Yebra de Basa	Ocupados	71
22252	Yebra de Basa	Parados buscando el primer empleo	1
22252	Yebra de Basa	Parados que han trabajado antes	3
22252	Yebra de Basa	Pensionistas de invalidez	3
22252	Yebra de Basa	Pensionistas de viudedad u orfandad	5
22252	Yebra de Basa	Pensionistas de jubilación	32
22252	Yebra de Basa	Realizando o compartiendo las labores del hogar	19
22252	Yebra de Basa	Otra situación	3
22253	Yésero	Estudiantes	6
22253	Yésero	Ocupados	38
22253	Yésero	Parados que han trabajado antes	3
22253	Yésero	Pensionistas de invalidez	2
22253	Yésero	Pensionistas de viudedad u orfandad	4
22253	Yésero	Pensionistas de jubilación	18
22253	Yésero	Dependientes	1
22253	Yésero	Realizando o compartiendo las labores del hogar	9
22254	Zaidín	Estudiantes	263
22254	Zaidín	Ocupados	625
22254	Zaidín	Parados buscando el primer empleo	10
22254	Zaidín	Parados que han trabajado antes	27
22254	Zaidín	Pensionistas de invalidez	9
22254	Zaidín	Pensionistas de viudedad u orfandad	95
22254	Zaidín	Pensionistas de jubilación	278
22254	Zaidín	Realizando o compartiendo las labores del hogar	326
22254	Zaidín	Otra situación	39
22901	Valle de Hecho	Estudiantes	138
22901	Valle de Hecho	Ocupados	372
22901	Valle de Hecho	Parados buscando el primer empleo	2
22901	Valle de Hecho	Parados que han trabajado antes	30
22901	Valle de Hecho	Pensionistas de invalidez	29
22901	Valle de Hecho	Pensionistas de viudedad u orfandad	52
22901	Valle de Hecho	Pensionistas de jubilación	165
22901	Valle de Hecho	Dependientes	4
22901	Valle de Hecho	Realizando o compartiendo las labores del hogar	159
22901	Valle de Hecho	Otra situación	26
22902	Puente la Reina de Jaca	Estudiantes	46
22902	Puente la Reina de Jaca	Ocupados	96
22902	Puente la Reina de Jaca	Parados buscando el primer empleo	2
22902	Puente la Reina de Jaca	Parados que han trabajado antes	2
22902	Puente la Reina de Jaca	Pensionistas de invalidez	6
22902	Puente la Reina de Jaca	Pensionistas de viudedad u orfandad	10
22902	Puente la Reina de Jaca	Pensionistas de jubilación	55
22902	Puente la Reina de Jaca	Realizando tareas de voluntariado	1
22902	Puente la Reina de Jaca	Realizando o compartiendo las labores del hogar	41
22902	Puente la Reina de Jaca	Otra situación	3
22903	San Miguel del Cinca	Estudiantes	142
22903	San Miguel del Cinca	Ocupados	316
22903	San Miguel del Cinca	Parados buscando el primer empleo	4
22903	San Miguel del Cinca	Parados que han trabajado antes	17
22903	San Miguel del Cinca	Pensionistas de invalidez	26
22903	San Miguel del Cinca	Pensionistas de viudedad u orfandad	55
22903	San Miguel del Cinca	Pensionistas de jubilación	156
22903	San Miguel del Cinca	Dependientes	2
22903	San Miguel del Cinca	Realizando o compartiendo las labores del hogar	146
22903	San Miguel del Cinca	Otra situación	22
22904	Sotonera (La)	Estudiantes	127
22904	Sotonera (La)	Ocupados	402
22904	Sotonera (La)	Parados buscando el primer empleo	6
22904	Sotonera (La)	Parados que han trabajado antes	24
22904	Sotonera (La)	Pensionistas de invalidez	18
22904	Sotonera (La)	Pensionistas de viudedad u orfandad	75
22904	Sotonera (La)	Pensionistas de jubilación	247
22904	Sotonera (La)	Dependientes	3
22904	Sotonera (La)	Realizando o compartiendo las labores del hogar	173
22904	Sotonera (La)	Otra situación	13
22905	Lupiñén-Ortilla	Estudiantes	53
22905	Lupiñén-Ortilla	Ocupados	139
22905	Lupiñén-Ortilla	Parados buscando el primer empleo	2
22905	Lupiñén-Ortilla	Parados que han trabajado antes	12
22905	Lupiñén-Ortilla	Pensionistas de invalidez	5
22905	Lupiñén-Ortilla	Pensionistas de viudedad u orfandad	23
22905	Lupiñén-Ortilla	Pensionistas de jubilación	55
22905	Lupiñén-Ortilla	Dependientes	3
22905	Lupiñén-Ortilla	Realizando o compartiendo las labores del hogar	48
22905	Lupiñén-Ortilla	Otra situación	3
22906	Santa María de Dulcis	Estudiantes	27
22906	Santa María de Dulcis	Ocupados	73
22906	Santa María de Dulcis	Parados que han trabajado antes	6
22906	Santa María de Dulcis	Pensionistas de invalidez	4
22906	Santa María de Dulcis	Pensionistas de viudedad u orfandad	23
22906	Santa María de Dulcis	Pensionistas de jubilación	42
22906	Santa María de Dulcis	Dependientes	1
22906	Santa María de Dulcis	Realizando o compartiendo las labores del hogar	37
22906	Santa María de Dulcis	Otra situación	9
22907	Aínsa-Sobrarbe	Estudiantes	286
22907	Aínsa-Sobrarbe	Ocupados	662
22907	Aínsa-Sobrarbe	Parados buscando el primer empleo	5
22907	Aínsa-Sobrarbe	Parados que han trabajado antes	32
22907	Aínsa-Sobrarbe	Pensionistas de invalidez	17
22907	Aínsa-Sobrarbe	Pensionistas de viudedad u orfandad	80
22907	Aínsa-Sobrarbe	Pensionistas de jubilación	226
22907	Aínsa-Sobrarbe	Dependientes	4
22907	Aínsa-Sobrarbe	Realizando o compartiendo las labores del hogar	172
22907	Aínsa-Sobrarbe	Otra situación	55
22908	Hoz y Costeán	Estudiantes	25
22908	Hoz y Costeán	Ocupados	83
22908	Hoz y Costeán	Parados que han trabajado antes	1
22908	Hoz y Costeán	Pensionistas de invalidez	3
22908	Hoz y Costeán	Pensionistas de viudedad u orfandad	20
22908	Hoz y Costeán	Pensionistas de jubilación	59
22908	Hoz y Costeán	Realizando o compartiendo las labores del hogar	39
22908	Hoz y Costeán	Otra situación	3
22909	Vencillón	Estudiantes	63
22909	Vencillón	Ocupados	203
22909	Vencillón	Parados buscando el primer empleo	2
22909	Vencillón	Parados que han trabajado antes	5
22909	Vencillón	Pensionistas de invalidez	11
22909	Vencillón	Pensionistas de viudedad u orfandad	31
22909	Vencillón	Pensionistas de jubilación	51
22909	Vencillón	Realizando o compartiendo las labores del hogar	90
22909	Vencillón	Otra situación	12
44001	Ababuj	Estudiantes	2
44001	Ababuj	Ocupados	45
44001	Ababuj	Parados buscando el primer empleo	2
44001	Ababuj	Parados que han trabajado antes	2
44001	Ababuj	Pensionistas de jubilación	31
44001	Ababuj	Realizando o compartiendo las labores del hogar	2
44001	Ababuj	Otra situación	1
44002	Abejuela	Estudiantes	3
44002	Abejuela	Ocupados	17
44002	Abejuela	Parados que han trabajado antes	2
44002	Abejuela	Pensionistas de invalidez	2
44002	Abejuela	Pensionistas de viudedad u orfandad	2
44002	Abejuela	Pensionistas de jubilación	23
44002	Abejuela	Realizando o compartiendo las labores del hogar	7
44003	Aguatón	Estudiantes	1
44003	Aguatón	Ocupados	13
44003	Aguatón	Parados buscando el primer empleo	1
44003	Aguatón	Parados que han trabajado antes	1
44003	Aguatón	Pensionistas de jubilación	10
44004	Aguaviva	Estudiantes	137
44004	Aguaviva	Ocupados	206
44004	Aguaviva	Parados buscando el primer empleo	3
44004	Aguaviva	Parados que han trabajado antes	14
44004	Aguaviva	Pensionistas de invalidez	25
44004	Aguaviva	Pensionistas de viudedad u orfandad	22
44004	Aguaviva	Pensionistas de jubilación	176
44004	Aguaviva	Dependientes	1
44004	Aguaviva	Realizando o compartiendo las labores del hogar	65
44004	Aguaviva	Otra situación	9
44005	Aguilar del Alfambra	Estudiantes	5
44005	Aguilar del Alfambra	Ocupados	29
44005	Aguilar del Alfambra	Parados que han trabajado antes	3
44005	Aguilar del Alfambra	Pensionistas de invalidez	1
44005	Aguilar del Alfambra	Pensionistas de jubilación	37
44005	Aguilar del Alfambra	Realizando o compartiendo las labores del hogar	2
44005	Aguilar del Alfambra	Otra situación	3
44006	Alacón	Estudiantes	47
44006	Alacón	Ocupados	105
44006	Alacón	Parados buscando el primer empleo	3
44006	Alacón	Parados que han trabajado antes	4
44006	Alacón	Pensionistas de invalidez	10
44006	Alacón	Pensionistas de viudedad u orfandad	37
44006	Alacón	Pensionistas de jubilación	94
44006	Alacón	Realizando o compartiendo las labores del hogar	104
44006	Alacón	Otra situación	5
44007	Alba	Estudiantes	19
44007	Alba	Ocupados	81
44007	Alba	Parados buscando el primer empleo	3
44007	Alba	Parados que han trabajado antes	9
44007	Alba	Pensionistas de invalidez	9
44007	Alba	Pensionistas de viudedad u orfandad	12
44007	Alba	Pensionistas de jubilación	97
44007	Alba	Realizando o compartiendo las labores del hogar	22
44007	Alba	Otra situación	3
44008	Albalate del Arzobispo	Estudiantes	365
44008	Albalate del Arzobispo	Ocupados	661
44008	Albalate del Arzobispo	Parados buscando el primer empleo	14
44008	Albalate del Arzobispo	Parados que han trabajado antes	43
44008	Albalate del Arzobispo	Pensionistas de invalidez	46
44008	Albalate del Arzobispo	Pensionistas de viudedad u orfandad	130
44008	Albalate del Arzobispo	Pensionistas de jubilación	396
44008	Albalate del Arzobispo	Dependientes	13
44008	Albalate del Arzobispo	Realizando o compartiendo las labores del hogar	439
44008	Albalate del Arzobispo	Otra situación	43
44009	Albarracín	Estudiantes	160
44009	Albarracín	Ocupados	421
44009	Albarracín	Parados buscando el primer empleo	3
44009	Albarracín	Parados que han trabajado antes	26
44009	Albarracín	Pensionistas de invalidez	8
44009	Albarracín	Pensionistas de viudedad u orfandad	40
44009	Albarracín	Pensionistas de jubilación	157
44009	Albarracín	Realizando o compartiendo las labores del hogar	142
44009	Albarracín	Otra situación	25
44010	Albentosa	Estudiantes	31
44010	Albentosa	Ocupados	101
44010	Albentosa	Parados buscando el primer empleo	4
44010	Albentosa	Parados que han trabajado antes	6
44010	Albentosa	Pensionistas de invalidez	4
44010	Albentosa	Pensionistas de viudedad u orfandad	5
44010	Albentosa	Pensionistas de jubilación	69
44010	Albentosa	Realizando o compartiendo las labores del hogar	23
44010	Albentosa	Otra situación	9
44011	Alcaine	Estudiantes	3
44011	Alcaine	Ocupados	36
44011	Alcaine	Parados que han trabajado antes	1
44011	Alcaine	Pensionistas de invalidez	3
44011	Alcaine	Pensionistas de jubilación	17
44011	Alcaine	Realizando o compartiendo las labores del hogar	11
44011	Alcaine	Otra situación	1
44012	Alcalá de la Selva	Estudiantes	85
44012	Alcalá de la Selva	Ocupados	226
44012	Alcalá de la Selva	Parados buscando el primer empleo	1
44012	Alcalá de la Selva	Parados que han trabajado antes	13
44012	Alcalá de la Selva	Pensionistas de invalidez	6
44012	Alcalá de la Selva	Pensionistas de viudedad u orfandad	25
44012	Alcalá de la Selva	Pensionistas de jubilación	80
44012	Alcalá de la Selva	Realizando tareas de voluntariado	1
44012	Alcalá de la Selva	Realizando o compartiendo las labores del hogar	62
44012	Alcalá de la Selva	Otra situación	11
44013	Alcañiz	Estudiantes	2716
44013	Alcañiz	Ocupados	5769
44013	Alcañiz	Parados buscando el primer empleo	65
44013	Alcañiz	Parados que han trabajado antes	298
44013	Alcañiz	Pensionistas de invalidez	123
44013	Alcañiz	Pensionistas de viudedad u orfandad	471
44013	Alcañiz	Pensionistas de jubilación	1830
44013	Alcañiz	Realizando tareas de voluntariado	1
44013	Alcañiz	Dependientes	17
44013	Alcañiz	Realizando o compartiendo las labores del hogar	1605
44013	Alcañiz	Otra situación	298
44014	Alcorisa	Estudiantes	697
44014	Alcorisa	Ocupados	1152
44014	Alcorisa	Parados buscando el primer empleo	17
44014	Alcorisa	Parados que han trabajado antes	105
44014	Alcorisa	Pensionistas de invalidez	53
44014	Alcorisa	Pensionistas de viudedad u orfandad	131
44014	Alcorisa	Pensionistas de jubilación	492
44014	Alcorisa	Dependientes	4
44014	Alcorisa	Realizando o compartiendo las labores del hogar	556
44014	Alcorisa	Otra situación	73
44016	Alfambra	Estudiantes	92
44016	Alfambra	Ocupados	205
44016	Alfambra	Parados buscando el primer empleo	5
44016	Alfambra	Parados que han trabajado antes	15
44016	Alfambra	Pensionistas de invalidez	17
44016	Alfambra	Pensionistas de viudedad u orfandad	40
44016	Alfambra	Pensionistas de jubilación	129
44016	Alfambra	Realizando tareas de voluntariado	1
44016	Alfambra	Realizando o compartiendo las labores del hogar	112
44016	Alfambra	Otra situación	8
44017	Aliaga	Estudiantes	39
44017	Aliaga	Ocupados	126
44017	Aliaga	Parados buscando el primer empleo	4
44017	Aliaga	Parados que han trabajado antes	9
44017	Aliaga	Pensionistas de invalidez	10
44017	Aliaga	Pensionistas de viudedad u orfandad	24
44017	Aliaga	Pensionistas de jubilación	105
44017	Aliaga	Dependientes	2
44017	Aliaga	Realizando o compartiendo las labores del hogar	68
44017	Aliaga	Otra situación	10
44018	Almohaja	Ocupados	11
44018	Almohaja	Parados buscando el primer empleo	1
44018	Almohaja	Pensionistas de viudedad u orfandad	1
44018	Almohaja	Pensionistas de jubilación	10
44018	Almohaja	Realizando o compartiendo las labores del hogar	4
44019	Alobras	Estudiantes	6
44019	Alobras	Ocupados	25
44019	Alobras	Pensionistas de invalidez	2
44019	Alobras	Pensionistas de viudedad u orfandad	5
44019	Alobras	Pensionistas de jubilación	43
44019	Alobras	Realizando o compartiendo las labores del hogar	4
44020	Alpeñés	Estudiantes	5
44020	Alpeñés	Ocupados	9
44020	Alpeñés	Parados buscando el primer empleo	1
44020	Alpeñés	Pensionistas de invalidez	1
44020	Alpeñés	Pensionistas de viudedad u orfandad	2
44020	Alpeñés	Pensionistas de jubilación	5
44020	Alpeñés	Realizando o compartiendo las labores del hogar	7
44021	Allepuz	Estudiantes	9
44021	Allepuz	Ocupados	41
44021	Allepuz	Parados buscando el primer empleo	1
44021	Allepuz	Parados que han trabajado antes	2
44021	Allepuz	Pensionistas de invalidez	2
44021	Allepuz	Pensionistas de jubilación	57
44021	Allepuz	Realizando o compartiendo las labores del hogar	21
44021	Allepuz	Otra situación	2
44022	Alloza	Estudiantes	115
44022	Alloza	Ocupados	161
44022	Alloza	Parados buscando el primer empleo	2
44022	Alloza	Parados que han trabajado antes	20
44022	Alloza	Pensionistas de invalidez	22
44022	Alloza	Pensionistas de viudedad u orfandad	55
44022	Alloza	Pensionistas de jubilación	175
44022	Alloza	Dependientes	5
44022	Alloza	Realizando o compartiendo las labores del hogar	158
44022	Alloza	Otra situación	7
44023	Allueva	Ocupados	2
44023	Allueva	Parados que han trabajado antes	2
44023	Allueva	Pensionistas de viudedad u orfandad	2
44023	Allueva	Pensionistas de jubilación	4
44023	Allueva	Realizando o compartiendo las labores del hogar	3
44024	Anadón	Estudiantes	1
44024	Anadón	Ocupados	7
44024	Anadón	Pensionistas de jubilación	8
44024	Anadón	Realizando o compartiendo las labores del hogar	2
44025	Andorra	Estudiantes	1744
44025	Andorra	Ocupados	2502
44025	Andorra	Parados buscando el primer empleo	74
44025	Andorra	Parados que han trabajado antes	267
44025	Andorra	Pensionistas de invalidez	109
44025	Andorra	Pensionistas de viudedad u orfandad	266
44025	Andorra	Pensionistas de jubilación	1140
44025	Andorra	Realizando tareas de voluntariado	4
44025	Andorra	Dependientes	5
44025	Andorra	Realizando o compartiendo las labores del hogar	1495
44025	Andorra	Otra situación	188
44026	Arcos de las Salinas	Estudiantes	19
44026	Arcos de las Salinas	Ocupados	40
44026	Arcos de las Salinas	Parados buscando el primer empleo	1
44026	Arcos de las Salinas	Parados que han trabajado antes	1
44026	Arcos de las Salinas	Pensionistas de invalidez	4
44026	Arcos de las Salinas	Pensionistas de viudedad u orfandad	7
44026	Arcos de las Salinas	Pensionistas de jubilación	52
44026	Arcos de las Salinas	Dependientes	1
44026	Arcos de las Salinas	Realizando o compartiendo las labores del hogar	14
44027	Arens de Lledó	Estudiantes	29
44027	Arens de Lledó	Ocupados	80
44027	Arens de Lledó	Parados que han trabajado antes	3
44027	Arens de Lledó	Pensionistas de invalidez	2
44027	Arens de Lledó	Pensionistas de jubilación	80
44027	Arens de Lledó	Realizando o compartiendo las labores del hogar	37
44027	Arens de Lledó	Otra situación	1
44028	Argente	Estudiantes	31
44028	Argente	Ocupados	75
44028	Argente	Parados buscando el primer empleo	1
44028	Argente	Parados que han trabajado antes	2
44028	Argente	Pensionistas de invalidez	4
44028	Argente	Pensionistas de viudedad u orfandad	9
44028	Argente	Pensionistas de jubilación	72
44028	Argente	Realizando o compartiendo las labores del hogar	69
44028	Argente	Otra situación	3
44029	Ariño	Estudiantes	153
44029	Ariño	Ocupados	223
44029	Ariño	Parados buscando el primer empleo	3
44029	Ariño	Parados que han trabajado antes	24
44029	Ariño	Pensionistas de invalidez	19
44029	Ariño	Pensionistas de viudedad u orfandad	44
44029	Ariño	Pensionistas de jubilación	172
44029	Ariño	Realizando o compartiendo las labores del hogar	196
44029	Ariño	Otra situación	18
44031	Azaila	Estudiantes	11
44031	Azaila	Ocupados	54
44031	Azaila	Parados buscando el primer empleo	1
44031	Azaila	Parados que han trabajado antes	1
44031	Azaila	Pensionistas de invalidez	12
44031	Azaila	Pensionistas de viudedad u orfandad	15
44031	Azaila	Pensionistas de jubilación	45
44031	Azaila	Realizando o compartiendo las labores del hogar	31
44031	Azaila	Otra situación	1
44032	Bádenas	Ocupados	9
44032	Bádenas	Pensionistas de invalidez	2
44032	Bádenas	Pensionistas de jubilación	11
44032	Bádenas	Realizando o compartiendo las labores del hogar	3
44033	Báguena	Estudiantes	32
44033	Báguena	Ocupados	129
44033	Báguena	Parados buscando el primer empleo	2
44033	Báguena	Parados que han trabajado antes	8
44033	Báguena	Pensionistas de invalidez	4
44033	Báguena	Pensionistas de viudedad u orfandad	46
44033	Báguena	Pensionistas de jubilación	119
44033	Báguena	Dependientes	2
44033	Báguena	Realizando o compartiendo las labores del hogar	102
44033	Báguena	Otra situación	7
44034	Bañón	Estudiantes	4
44034	Bañón	Ocupados	62
44034	Bañón	Pensionistas de invalidez	1
44034	Bañón	Pensionistas de viudedad u orfandad	17
44034	Bañón	Pensionistas de jubilación	46
44034	Bañón	Realizando o compartiendo las labores del hogar	30
44034	Bañón	Otra situación	8
44035	Barrachina	Estudiantes	21
44035	Barrachina	Ocupados	45
44035	Barrachina	Parados buscando el primer empleo	1
44035	Barrachina	Pensionistas de invalidez	5
44035	Barrachina	Pensionistas de viudedad u orfandad	1
44035	Barrachina	Pensionistas de jubilación	58
44035	Barrachina	Realizando o compartiendo las labores del hogar	21
44035	Barrachina	Otra situación	2
44036	Bea	Estudiantes	2
44036	Bea	Ocupados	13
44036	Bea	Parados buscando el primer empleo	2
44036	Bea	Pensionistas de invalidez	3
44036	Bea	Pensionistas de viudedad u orfandad	1
44036	Bea	Pensionistas de jubilación	10
44036	Bea	Realizando o compartiendo las labores del hogar	7
44037	Beceite	Estudiantes	104
44037	Beceite	Ocupados	199
44037	Beceite	Parados buscando el primer empleo	4
44037	Beceite	Parados que han trabajado antes	17
44037	Beceite	Pensionistas de invalidez	15
44037	Beceite	Pensionistas de viudedad u orfandad	55
44037	Beceite	Pensionistas de jubilación	123
44037	Beceite	Realizando o compartiendo las labores del hogar	96
44037	Beceite	Otra situación	6
44038	Belmonte de San José	Estudiantes	11
44038	Belmonte de San José	Ocupados	45
44038	Belmonte de San José	Parados que han trabajado antes	1
44038	Belmonte de San José	Pensionistas de invalidez	2
44038	Belmonte de San José	Pensionistas de viudedad u orfandad	8
44038	Belmonte de San José	Pensionistas de jubilación	49
44038	Belmonte de San José	Realizando o compartiendo las labores del hogar	18
44038	Belmonte de San José	Otra situación	4
44039	Bello	Estudiantes	43
44039	Bello	Ocupados	107
44039	Bello	Parados buscando el primer empleo	2
44039	Bello	Parados que han trabajado antes	2
44039	Bello	Pensionistas de invalidez	8
44039	Bello	Pensionistas de viudedad u orfandad	34
44039	Bello	Pensionistas de jubilación	96
44039	Bello	Realizando o compartiendo las labores del hogar	70
44039	Bello	Otra situación	7
44040	Berge	Estudiantes	38
44040	Berge	Ocupados	70
44040	Berge	Parados buscando el primer empleo	4
44040	Berge	Parados que han trabajado antes	3
44040	Berge	Pensionistas de invalidez	3
