Comarca código	Comarca nombre	Lugar trabajo o estudio	Número de viajes diarios	Personas residentes viviendas familiares	Situación preferente
28	Bajo Aragón	En otro municipio	1 viaje	268	Estudiantes que no trabajan
28	Bajo Aragón	En otro municipio	1 viaje	1045	Trabajadores
28	Bajo Aragón	En otro municipio	2 ó más viajes	7	Estudiantes que no trabajan
28	Bajo Aragón	En otro municipio	2 ó más viajes	394	Trabajadores
29	Comunidad de Teruel	En el mismo municipio de residencia	0 viajes	25	Estudiantes que no trabajan
29	Comunidad de Teruel	En el mismo municipio de residencia	0 viajes	75	Trabajadores
29	Comunidad de Teruel	En el mismo municipio de residencia	1 viaje	1334	Estudiantes que no trabajan
29	Comunidad de Teruel	En el mismo municipio de residencia	1 viaje	6910	Trabajadores
29	Comunidad de Teruel	En el mismo municipio de residencia	2 ó más viajes	395	Estudiantes que no trabajan
29	Comunidad de Teruel	En el mismo municipio de residencia	2 ó más viajes	6481	Trabajadores
29	Comunidad de Teruel	En otro municipio	0 viajes	815	Estudiantes que no trabajan
29	Comunidad de Teruel	En otro municipio	0 viajes	987	Trabajadores
29	Comunidad de Teruel	En otro municipio	1 viaje	269	Estudiantes que no trabajan
29	Comunidad de Teruel	En otro municipio	1 viaje	1278	Trabajadores
29	Comunidad de Teruel	En otro municipio	2 ó más viajes	40	Estudiantes que no trabajan
29	Comunidad de Teruel	En otro municipio	2 ó más viajes	281	Trabajadores
30	Maestrazgo	En el mismo municipio de residencia	0 viajes	1	Estudiantes que no trabajan
30	Maestrazgo	En el mismo municipio de residencia	0 viajes	13	Trabajadores
30	Maestrazgo	En el mismo municipio de residencia	1 viaje	4	Estudiantes que no trabajan
30	Maestrazgo	En el mismo municipio de residencia	1 viaje	255	Trabajadores
30	Maestrazgo	En el mismo municipio de residencia	2 ó más viajes	2	Estudiantes que no trabajan
30	Maestrazgo	En el mismo municipio de residencia	2 ó más viajes	502	Trabajadores
30	Maestrazgo	En otro municipio	0 viajes	119	Estudiantes que no trabajan
30	Maestrazgo	En otro municipio	0 viajes	153	Trabajadores
30	Maestrazgo	En otro municipio	1 viaje	17	Estudiantes que no trabajan
30	Maestrazgo	En otro municipio	1 viaje	152	Trabajadores
30	Maestrazgo	En otro municipio	2 ó más viajes	34	Trabajadores
31	Sierra de Albarracín	En el mismo municipio de residencia	0 viajes	7	Estudiantes que no trabajan
31	Sierra de Albarracín	En el mismo municipio de residencia	0 viajes	23	Trabajadores
31	Sierra de Albarracín	En el mismo municipio de residencia	1 viaje	11	Estudiantes que no trabajan
31	Sierra de Albarracín	En el mismo municipio de residencia	1 viaje	302	Trabajadores
31	Sierra de Albarracín	En el mismo municipio de residencia	2 ó más viajes	1	Estudiantes que no trabajan
31	Sierra de Albarracín	En el mismo municipio de residencia	2 ó más viajes	690	Trabajadores
31	Sierra de Albarracín	En otro municipio	0 viajes	141	Estudiantes que no trabajan
31	Sierra de Albarracín	En otro municipio	0 viajes	354	Trabajadores
31	Sierra de Albarracín	En otro municipio	1 viaje	31	Estudiantes que no trabajan
31	Sierra de Albarracín	En otro municipio	1 viaje	140	Trabajadores
31	Sierra de Albarracín	En otro municipio	2 ó más viajes	1	Estudiantes que no trabajan
31	Sierra de Albarracín	En otro municipio	2 ó más viajes	54	Trabajadores
32	Gúdar-Javalambre	En el mismo municipio de residencia	0 viajes	7	Estudiantes que no trabajan
32	Gúdar-Javalambre	En el mismo municipio de residencia	0 viajes	29	Trabajadores
32	Gúdar-Javalambre	En el mismo municipio de residencia	1 viaje	11	Estudiantes que no trabajan
32	Gúdar-Javalambre	En el mismo municipio de residencia	1 viaje	710	Trabajadores
32	Gúdar-Javalambre	En el mismo municipio de residencia	2 ó más viajes	1012	Trabajadores
32	Gúdar-Javalambre	En otro municipio	0 viajes	188	Estudiantes que no trabajan
32	Gúdar-Javalambre	En otro municipio	0 viajes	281	Trabajadores
32	Gúdar-Javalambre	En otro municipio	1 viaje	90	Estudiantes que no trabajan
32	Gúdar-Javalambre	En otro municipio	1 viaje	334	Trabajadores
32	Gúdar-Javalambre	En otro municipio	2 ó más viajes	1	Estudiantes que no trabajan
32	Gúdar-Javalambre	En otro municipio	2 ó más viajes	96	Trabajadores
33	Matarraña / Matarranya	En el mismo municipio de residencia	0 viajes	3	Estudiantes que no trabajan
33	Matarraña / Matarranya	En el mismo municipio de residencia	0 viajes	13	Trabajadores
33	Matarraña / Matarranya	En el mismo municipio de residencia	1 viaje	40	Estudiantes que no trabajan
33	Matarraña / Matarranya	En el mismo municipio de residencia	1 viaje	529	Trabajadores
33	Matarraña / Matarranya	En el mismo municipio de residencia	2 ó más viajes	2	Estudiantes que no trabajan
33	Matarraña / Matarranya	En el mismo municipio de residencia	2 ó más viajes	1599	Trabajadores
33	Matarraña / Matarranya	En otro municipio	0 viajes	239	Estudiantes que no trabajan
33	Matarraña / Matarranya	En otro municipio	0 viajes	225	Trabajadores
33	Matarraña / Matarranya	En otro municipio	1 viaje	120	Estudiantes que no trabajan
33	Matarraña / Matarranya	En otro municipio	1 viaje	338	Trabajadores
33	Matarraña / Matarranya	En otro municipio	2 ó más viajes	8	Estudiantes que no trabajan
33	Matarraña / Matarranya	En otro municipio	2 ó más viajes	94	Trabajadores
