Mes y año	'Aragón'	Sector código	Sector descripcion	Sexo	Nº parados
Diciembre 2016	Aragón	3	Construcción	Mujeres	824
Diciembre 2016	Aragón	4	Servicios	Hombres	18266
Diciembre 2016	Aragón	4	Servicios	Mujeres	33499
Diciembre 2016	Aragón		Sin empleo anterior	Hombres	2201
Diciembre 2016	Aragón		Sin empleo anterior	Mujeres	4579
Noviembre 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	4036
Noviembre 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1658
Noviembre 2016	Aragón	2	Industria y energía	Hombres	4852
Noviembre 2016	Aragón	2	Industria y energía	Mujeres	4215
Noviembre 2016	Aragón	3	Construcción	Hombres	5565
Noviembre 2016	Aragón	3	Construcción	Mujeres	833
Noviembre 2016	Aragón	4	Servicios	Hombres	18308
Noviembre 2016	Aragón	4	Servicios	Mujeres	34756
Noviembre 2016	Aragón		Sin empleo anterior	Hombres	2455
Noviembre 2016	Aragón		Sin empleo anterior	Mujeres	4805
Octubre 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	4031
Octubre 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1524
Octubre 2016	Aragón	2	Industria y energía	Hombres	4960
Octubre 2016	Aragón	2	Industria y energía	Mujeres	4200
Octubre 2016	Aragón	3	Construcción	Hombres	5593
Octubre 2016	Aragón	3	Construcción	Mujeres	856
Octubre 2016	Aragón	4	Servicios	Hombres	18019
Octubre 2016	Aragón	4	Servicios	Mujeres	34656
Octubre 2016	Aragón		Sin empleo anterior	Hombres	2437
Octubre 2016	Aragón		Sin empleo anterior	Mujeres	4779
Septiembre 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	3515
Septiembre 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1365
Septiembre 2016	Aragón	2	Industria y energía	Hombres	4888
Septiembre 2016	Aragón	2	Industria y energía	Mujeres	4173
Septiembre 2016	Aragón	3	Construcción	Hombres	5776
Septiembre 2016	Aragón	3	Construcción	Mujeres	879
Septiembre 2016	Aragón	4	Servicios	Hombres	17667
Septiembre 2016	Aragón	4	Servicios	Mujeres	34499
Septiembre 2016	Aragón		Sin empleo anterior	Hombres	2534
Septiembre 2016	Aragón		Sin empleo anterior	Mujeres	4827
Agosto 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	3112
Agosto 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1239
Agosto 2016	Aragón	2	Industria y energía	Hombres	4872
Agosto 2016	Aragón	2	Industria y energía	Mujeres	4166
Agosto 2016	Aragón	3	Construcción	Hombres	5754
Agosto 2016	Aragón	3	Construcción	Mujeres	879
Agosto 2016	Aragón	4	Servicios	Hombres	17168
Agosto 2016	Aragón	4	Servicios	Mujeres	33526
Agosto 2016	Aragón		Sin empleo anterior	Hombres	2395
Agosto 2016	Aragón		Sin empleo anterior	Mujeres	4729
Julio 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	3134
Julio 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1193
Julio 2016	Aragón	2	Industria y energía	Hombres	4813
Julio 2016	Aragón	2	Industria y energía	Mujeres	4165
Julio 2016	Aragón	3	Construcción	Hombres	5649
Julio 2016	Aragón	3	Construcción	Mujeres	888
Julio 2016	Aragón	4	Servicios	Hombres	17204
Julio 2016	Aragón	4	Servicios	Mujeres	33495
Julio 2016	Aragón		Sin empleo anterior	Hombres	2395
Julio 2016	Aragón		Sin empleo anterior	Mujeres	4834
Junio 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	2821
Junio 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1166
Junio 2016	Aragón	2	Industria y energía	Hombres	4992
Junio 2016	Aragón	2	Industria y energía	Mujeres	4343
Junio 2016	Aragón	3	Construcción	Hombres	5836
Junio 2016	Aragón	3	Construcción	Mujeres	897
Junio 2016	Aragón	4	Servicios	Hombres	17575
Junio 2016	Aragón	4	Servicios	Mujeres	33924
Junio 2016	Aragón		Sin empleo anterior	Hombres	2476
Junio 2016	Aragón		Sin empleo anterior	Mujeres	5032
Mayo 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	3295
Mayo 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1325
Mayo 2016	Aragón	2	Industria y energía	Hombres	5377
Mayo 2016	Aragón	2	Industria y energía	Mujeres	4582
Mayo 2016	Aragón	3	Construcción	Hombres	6269
Mayo 2016	Aragón	3	Construcción	Mujeres	923
Mayo 2016	Aragón	4	Servicios	Hombres	18612
Mayo 2016	Aragón	4	Servicios	Mujeres	35006
Mayo 2016	Aragón		Sin empleo anterior	Hombres	2574
Mayo 2016	Aragón		Sin empleo anterior	Mujeres	5123
Abril 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	4184
Abril 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1555
Abril 2016	Aragón	2	Industria y energía	Hombres	5666
Abril 2016	Aragón	2	Industria y energía	Mujeres	4740
Abril 2016	Aragón	3	Construcción	Hombres	6701
Abril 2016	Aragón	3	Construcción	Mujeres	935
Abril 2016	Aragón	4	Servicios	Hombres	19881
Abril 2016	Aragón	4	Servicios	Mujeres	36235
Abril 2016	Aragón		Sin empleo anterior	Hombres	2601
Abril 2016	Aragón		Sin empleo anterior	Mujeres	5249
Marzo 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	4493
Marzo 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1601
Marzo 2016	Aragón	2	Industria y energía	Hombres	5894
Marzo 2016	Aragón	2	Industria y energía	Mujeres	4768
Marzo 2016	Aragón	3	Construcción	Hombres	7104
Marzo 2016	Aragón	3	Construcción	Mujeres	966
Marzo 2016	Aragón	4	Servicios	Hombres	20358
Marzo 2016	Aragón	4	Servicios	Mujeres	36608
Marzo 2016	Aragón		Sin empleo anterior	Hombres	2593
Marzo 2016	Aragón		Sin empleo anterior	Mujeres	5256
Febrero 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	4394
Febrero 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1617
Febrero 2016	Aragón	2	Industria y energía	Hombres	5862
Febrero 2016	Aragón	2	Industria y energía	Mujeres	4679
Febrero 2016	Aragón	3	Construcción	Hombres	7206
Febrero 2016	Aragón	3	Construcción	Mujeres	994
Febrero 2016	Aragón	4	Servicios	Hombres	20643
Febrero 2016	Aragón	4	Servicios	Mujeres	37541
Febrero 2016	Aragón		Sin empleo anterior	Hombres	2538
Febrero 2016	Aragón		Sin empleo anterior	Mujeres	5208
Enero 2016	Aragón	1	Agricultura, ganadería y pesca	Hombres	4262
Enero 2016	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1606
Enero 2016	Aragón	2	Industria y energía	Hombres	6020
Enero 2016	Aragón	2	Industria y energía	Mujeres	4785
Enero 2016	Aragón	3	Construcción	Hombres	7274
Enero 2016	Aragón	3	Construcción	Mujeres	1015
Enero 2016	Aragón	4	Servicios	Hombres	20877
Enero 2016	Aragón	4	Servicios	Mujeres	37882
Enero 2016	Aragón		Sin empleo anterior	Hombres	2482
Enero 2016	Aragón		Sin empleo anterior	Mujeres	5142
Diciembre 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	4513
Diciembre 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1726
Diciembre 2015	Aragón	2	Industria y energía	Hombres	6112
Diciembre 2015	Aragón	2	Industria y energía	Mujeres	4782
Diciembre 2015	Aragón	3	Construcción	Hombres	7179
Diciembre 2015	Aragón	3	Construcción	Mujeres	1000
Diciembre 2015	Aragón	4	Servicios	Hombres	20360
Diciembre 2015	Aragón	4	Servicios	Mujeres	36018
Diciembre 2015	Aragón		Sin empleo anterior	Hombres	2428
Diciembre 2015	Aragón		Sin empleo anterior	Mujeres	5166
Noviembre 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	4633
Noviembre 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1766
Noviembre 2015	Aragón	2	Industria y energía	Hombres	5894
Noviembre 2015	Aragón	2	Industria y energía	Mujeres	4748
Noviembre 2015	Aragón	3	Construcción	Hombres	6785
Noviembre 2015	Aragón	3	Construcción	Mujeres	1005
Noviembre 2015	Aragón	4	Servicios	Hombres	20593
Noviembre 2015	Aragón	4	Servicios	Mujeres	37706
Noviembre 2015	Aragón		Sin empleo anterior	Hombres	2589
Noviembre 2015	Aragón		Sin empleo anterior	Mujeres	5400
Octubre 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	4900
Octubre 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1716
Octubre 2015	Aragón	2	Industria y energía	Hombres	5846
Octubre 2015	Aragón	2	Industria y energía	Mujeres	4725
Octubre 2015	Aragón	3	Construcción	Hombres	6895
Octubre 2015	Aragón	3	Construcción	Mujeres	1053
Octubre 2015	Aragón	4	Servicios	Hombres	20591
Octubre 2015	Aragón	4	Servicios	Mujeres	37890
Octubre 2015	Aragón		Sin empleo anterior	Hombres	2724
Octubre 2015	Aragón		Sin empleo anterior	Mujeres	5477
Septiembre 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	4143
Septiembre 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1470
Septiembre 2015	Aragón	2	Industria y energía	Hombres	5824
Septiembre 2015	Aragón	2	Industria y energía	Mujeres	4804
Septiembre 2015	Aragón	3	Construcción	Hombres	7047
Septiembre 2015	Aragón	3	Construcción	Mujeres	1066
Septiembre 2015	Aragón	4	Servicios	Hombres	20330
Septiembre 2015	Aragón	4	Servicios	Mujeres	37385
Septiembre 2015	Aragón		Sin empleo anterior	Hombres	2844
Septiembre 2015	Aragón		Sin empleo anterior	Mujeres	5513
Agosto 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	3750
Agosto 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1325
Agosto 2015	Aragón	2	Industria y energía	Hombres	6017
Agosto 2015	Aragón	2	Industria y energía	Mujeres	4918
Agosto 2015	Aragón	3	Construcción	Hombres	7333
Agosto 2015	Aragón	3	Construcción	Mujeres	1123
Agosto 2015	Aragón	4	Servicios	Hombres	20913
Agosto 2015	Aragón	4	Servicios	Mujeres	38909
Agosto 2015	Aragón		Sin empleo anterior	Hombres	2829
Agosto 2015	Aragón		Sin empleo anterior	Mujeres	5383
Julio 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	3864
Julio 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1354
Julio 2015	Aragón	2	Industria y energía	Hombres	6093
Julio 2015	Aragón	2	Industria y energía	Mujeres	4911
Julio 2015	Aragón	3	Construcción	Hombres	7306
Julio 2015	Aragón	3	Construcción	Mujeres	1103
Julio 2015	Aragón	4	Servicios	Hombres	20807
Julio 2015	Aragón	4	Servicios	Mujeres	37997
Julio 2015	Aragón		Sin empleo anterior	Hombres	2894
Julio 2015	Aragón		Sin empleo anterior	Mujeres	5475
Junio 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	3671
Junio 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1231
Junio 2015	Aragón	2	Industria y energía	Hombres	6423
Junio 2015	Aragón	2	Industria y energía	Mujeres	5016
Junio 2015	Aragón	3	Construcción	Hombres	7769
Junio 2015	Aragón	3	Construcción	Mujeres	1105
Junio 2015	Aragón	4	Servicios	Hombres	21093
Junio 2015	Aragón	4	Servicios	Mujeres	37772
Junio 2015	Aragón		Sin empleo anterior	Hombres	3081
Junio 2015	Aragón		Sin empleo anterior	Mujeres	5668
Mayo 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	3618
Mayo 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1334
Mayo 2015	Aragón	2	Industria y energía	Hombres	6761
Mayo 2015	Aragón	2	Industria y energía	Mujeres	5210
Mayo 2015	Aragón	3	Construcción	Hombres	8215
Mayo 2015	Aragón	3	Construcción	Mujeres	1124
Mayo 2015	Aragón	4	Servicios	Hombres	21841
Mayo 2015	Aragón	4	Servicios	Mujeres	38697
Mayo 2015	Aragón		Sin empleo anterior	Hombres	3052
Mayo 2015	Aragón		Sin empleo anterior	Mujeres	5695
Abril 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	4802
Abril 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1605
Abril 2015	Aragón	2	Industria y energía	Hombres	6941
Abril 2015	Aragón	2	Industria y energía	Mujeres	5281
Abril 2015	Aragón	3	Construcción	Hombres	8899
Abril 2015	Aragón	3	Construcción	Mujeres	1151
Abril 2015	Aragón	4	Servicios	Hombres	22853
Abril 2015	Aragón	4	Servicios	Mujeres	39379
Abril 2015	Aragón		Sin empleo anterior	Hombres	3009
Abril 2015	Aragón		Sin empleo anterior	Mujeres	5718
Marzo 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	5199
Marzo 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1757
Marzo 2015	Aragón	2	Industria y energía	Hombres	7233
Marzo 2015	Aragón	2	Industria y energía	Mujeres	5327
Marzo 2015	Aragón	3	Construcción	Hombres	9430
Marzo 2015	Aragón	3	Construcción	Mujeres	1192
Marzo 2015	Aragón	4	Servicios	Hombres	23429
Marzo 2015	Aragón	4	Servicios	Mujeres	40068
Marzo 2015	Aragón		Sin empleo anterior	Hombres	2976
Marzo 2015	Aragón		Sin empleo anterior	Mujeres	5757
Febrero 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	5160
Febrero 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1796
Febrero 2015	Aragón	2	Industria y energía	Hombres	7462
Febrero 2015	Aragón	2	Industria y energía	Mujeres	5300
Febrero 2015	Aragón	3	Construcción	Hombres	9760
Febrero 2015	Aragón	3	Construcción	Mujeres	1188
Febrero 2015	Aragón	4	Servicios	Hombres	23392
Febrero 2015	Aragón	4	Servicios	Mujeres	40561
Febrero 2015	Aragón		Sin empleo anterior	Hombres	2764
Febrero 2015	Aragón		Sin empleo anterior	Mujeres	5683
Enero 2015	Aragón	1	Agricultura, ganadería y pesca	Hombres	5067
Enero 2015	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1751
Enero 2015	Aragón	2	Industria y energía	Hombres	7660
Enero 2015	Aragón	2	Industria y energía	Mujeres	5316
Enero 2015	Aragón	3	Construcción	Hombres	10007
Enero 2015	Aragón	3	Construcción	Mujeres	1233
Enero 2015	Aragón	4	Servicios	Hombres	23509
Enero 2015	Aragón	4	Servicios	Mujeres	40441
Enero 2015	Aragón		Sin empleo anterior	Hombres	2738
Enero 2015	Aragón		Sin empleo anterior	Mujeres	5572
Diciembre 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	5092
Diciembre 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1764
Diciembre 2014	Aragón	2	Industria y energía	Hombres	7888
Diciembre 2014	Aragón	2	Industria y energía	Mujeres	5356
Diciembre 2014	Aragón	3	Construcción	Hombres	9903
Diciembre 2014	Aragón	3	Construcción	Mujeres	1219
Diciembre 2014	Aragón	4	Servicios	Hombres	23506
Diciembre 2014	Aragón	4	Servicios	Mujeres	38542
Diciembre 2014	Aragón		Sin empleo anterior	Hombres	2748
Diciembre 2014	Aragón		Sin empleo anterior	Mujeres	5554
Noviembre 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	5187
Noviembre 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1848
Noviembre 2014	Aragón	2	Industria y energía	Hombres	7666
Noviembre 2014	Aragón	2	Industria y energía	Mujeres	5311
Noviembre 2014	Aragón	3	Construcción	Hombres	9478
Noviembre 2014	Aragón	3	Construcción	Mujeres	1220
Noviembre 2014	Aragón	4	Servicios	Hombres	23885
Noviembre 2014	Aragón	4	Servicios	Mujeres	40317
Noviembre 2014	Aragón		Sin empleo anterior	Hombres	2958
Noviembre 2014	Aragón		Sin empleo anterior	Mujeres	5795
Octubre 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	5532
Octubre 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1892
Octubre 2014	Aragón	2	Industria y energía	Hombres	7794
Octubre 2014	Aragón	2	Industria y energía	Mujeres	5355
Octubre 2014	Aragón	3	Construcción	Hombres	9768
Octubre 2014	Aragón	3	Construcción	Mujeres	1266
Octubre 2014	Aragón	4	Servicios	Hombres	24267
Octubre 2014	Aragón	4	Servicios	Mujeres	41048
Octubre 2014	Aragón		Sin empleo anterior	Hombres	3011
Octubre 2014	Aragón		Sin empleo anterior	Mujeres	5814
Septiembre 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	4746
Septiembre 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1644
Septiembre 2014	Aragón	2	Industria y energía	Hombres	7726
Septiembre 2014	Aragón	2	Industria y energía	Mujeres	5251
Septiembre 2014	Aragón	3	Construcción	Hombres	9939
Septiembre 2014	Aragón	3	Construcción	Mujeres	1290
Septiembre 2014	Aragón	4	Servicios	Hombres	23505
Septiembre 2014	Aragón	4	Servicios	Mujeres	39930
Septiembre 2014	Aragón		Sin empleo anterior	Hombres	3077
Septiembre 2014	Aragón		Sin empleo anterior	Mujeres	5796
Agosto 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	4269
Agosto 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1410
Agosto 2014	Aragón	2	Industria y energía	Hombres	7798
Agosto 2014	Aragón	2	Industria y energía	Mujeres	5295
Agosto 2014	Aragón	3	Construcción	Hombres	10041
Agosto 2014	Aragón	3	Construcción	Mujeres	1347
Agosto 2014	Aragón	4	Servicios	Hombres	23757
Agosto 2014	Aragón	4	Servicios	Mujeres	40518
Agosto 2014	Aragón		Sin empleo anterior	Hombres	2950
Agosto 2014	Aragón		Sin empleo anterior	Mujeres	5647
Julio 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	4260
Julio 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1421
Julio 2014	Aragón	2	Industria y energía	Hombres	7735
Julio 2014	Aragón	2	Industria y energía	Mujeres	5292
Julio 2014	Aragón	3	Construcción	Hombres	10116
Julio 2014	Aragón	3	Construcción	Mujeres	1317
Julio 2014	Aragón	4	Servicios	Hombres	23256
Julio 2014	Aragón	4	Servicios	Mujeres	40059
Julio 2014	Aragón		Sin empleo anterior	Hombres	2978
Julio 2014	Aragón		Sin empleo anterior	Mujeres	5719
Junio 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	3778
Junio 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1258
Junio 2014	Aragón	2	Industria y energía	Hombres	7718
Junio 2014	Aragón	2	Industria y energía	Mujeres	5270
Junio 2014	Aragón	3	Construcción	Hombres	10429
Junio 2014	Aragón	3	Construcción	Mujeres	1279
Junio 2014	Aragón	4	Servicios	Hombres	22309
Junio 2014	Aragón	4	Servicios	Mujeres	38373
Junio 2014	Aragón		Sin empleo anterior	Hombres	2855
Junio 2014	Aragón		Sin empleo anterior	Mujeres	5567
Mayo 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	3760
Mayo 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1326
Mayo 2014	Aragón	2	Industria y energía	Hombres	7925
Mayo 2014	Aragón	2	Industria y energía	Mujeres	5435
Mayo 2014	Aragón	3	Construcción	Hombres	10869
Mayo 2014	Aragón	3	Construcción	Mujeres	1296
Mayo 2014	Aragón	4	Servicios	Hombres	23214
Mayo 2014	Aragón	4	Servicios	Mujeres	39687
Mayo 2014	Aragón		Sin empleo anterior	Hombres	2772
Mayo 2014	Aragón		Sin empleo anterior	Mujeres	5658
Abril 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	4779
Abril 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1664
Abril 2014	Aragón	2	Industria y energía	Hombres	8227
Abril 2014	Aragón	2	Industria y energía	Mujeres	5468
Abril 2014	Aragón	3	Construcción	Hombres	11441
Abril 2014	Aragón	3	Construcción	Mujeres	1290
Abril 2014	Aragón	4	Servicios	Hombres	24048
Abril 2014	Aragón	4	Servicios	Mujeres	39983
Abril 2014	Aragón		Sin empleo anterior	Hombres	2806
Abril 2014	Aragón		Sin empleo anterior	Mujeres	5668
Marzo 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	5206
Marzo 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1832
Marzo 2014	Aragón	2	Industria y energía	Hombres	8356
Marzo 2014	Aragón	2	Industria y energía	Mujeres	5529
Marzo 2014	Aragón	3	Construcción	Hombres	11682
Marzo 2014	Aragón	3	Construcción	Mujeres	1304
Marzo 2014	Aragón	4	Servicios	Hombres	24934
Marzo 2014	Aragón	4	Servicios	Mujeres	41362
Marzo 2014	Aragón		Sin empleo anterior	Hombres	2855
Marzo 2014	Aragón		Sin empleo anterior	Mujeres	5802
Febrero 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	4961
Febrero 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1748
Febrero 2014	Aragón	2	Industria y energía	Hombres	8629
Febrero 2014	Aragón	2	Industria y energía	Mujeres	5618
Febrero 2014	Aragón	3	Construcción	Hombres	11982
Febrero 2014	Aragón	3	Construcción	Mujeres	1338
Febrero 2014	Aragón	4	Servicios	Hombres	25374
Febrero 2014	Aragón	4	Servicios	Mujeres	41731
Febrero 2014	Aragón		Sin empleo anterior	Hombres	2773
Febrero 2014	Aragón		Sin empleo anterior	Mujeres	5620
Enero 2014	Aragón	1	Agricultura, ganadería y pesca	Hombres	4988
Enero 2014	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1791
Enero 2014	Aragón	2	Industria y energía	Hombres	9231
Enero 2014	Aragón	2	Industria y energía	Mujeres	5879
Enero 2014	Aragón	3	Construcción	Hombres	12456
Enero 2014	Aragón	3	Construcción	Mujeres	1447
Enero 2014	Aragón	4	Servicios	Hombres	26802
Enero 2014	Aragón	4	Servicios	Mujeres	43799
Enero 2014	Aragón		Sin empleo anterior	Hombres	2849
Enero 2014	Aragón		Sin empleo anterior	Mujeres	5577
Diciembre 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	5002
Diciembre 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1822
Diciembre 2013	Aragón	2	Industria y energía	Hombres	9294
Diciembre 2013	Aragón	2	Industria y energía	Mujeres	5869
Diciembre 2013	Aragón	3	Construcción	Hombres	12205
Diciembre 2013	Aragón	3	Construcción	Mujeres	1432
Diciembre 2013	Aragón	4	Servicios	Hombres	26036
Diciembre 2013	Aragón	4	Servicios	Mujeres	41174
Diciembre 2013	Aragón		Sin empleo anterior	Hombres	2669
Diciembre 2013	Aragón		Sin empleo anterior	Mujeres	5329
Noviembre 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	5131
Noviembre 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1834
Noviembre 2013	Aragón	2	Industria y energía	Hombres	9167
Noviembre 2013	Aragón	2	Industria y energía	Mujeres	5849
Noviembre 2013	Aragón	3	Construcción	Hombres	11867
Noviembre 2013	Aragón	3	Construcción	Mujeres	1436
Noviembre 2013	Aragón	4	Servicios	Hombres	26595
Noviembre 2013	Aragón	4	Servicios	Mujeres	42972
Noviembre 2013	Aragón		Sin empleo anterior	Hombres	2886
Noviembre 2013	Aragón		Sin empleo anterior	Mujeres	5520
Octubre 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	4970
Octubre 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1692
Octubre 2013	Aragón	2	Industria y energía	Hombres	9139
Octubre 2013	Aragón	2	Industria y energía	Mujeres	5890
Octubre 2013	Aragón	3	Construcción	Hombres	12269
Octubre 2013	Aragón	3	Construcción	Mujeres	1473
Octubre 2013	Aragón	4	Servicios	Hombres	26699
Octubre 2013	Aragón	4	Servicios	Mujeres	43500
Octubre 2013	Aragón		Sin empleo anterior	Hombres	2865
Octubre 2013	Aragón		Sin empleo anterior	Mujeres	5543
Septiembre 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	4320
Septiembre 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1423
Septiembre 2013	Aragón	2	Industria y energía	Hombres	8950
Septiembre 2013	Aragón	2	Industria y energía	Mujeres	5759
Septiembre 2013	Aragón	3	Construcción	Hombres	12418
Septiembre 2013	Aragón	3	Construcción	Mujeres	1486
Septiembre 2013	Aragón	4	Servicios	Hombres	25675
Septiembre 2013	Aragón	4	Servicios	Mujeres	41920
Septiembre 2013	Aragón		Sin empleo anterior	Hombres	2865
Septiembre 2013	Aragón		Sin empleo anterior	Mujeres	5452
Agosto 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	3962
Agosto 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1338
Agosto 2013	Aragón	2	Industria y energía	Hombres	9090
Agosto 2013	Aragón	2	Industria y energía	Mujeres	5847
Agosto 2013	Aragón	3	Construcción	Hombres	12701
Agosto 2013	Aragón	3	Construcción	Mujeres	1547
Agosto 2013	Aragón	4	Servicios	Hombres	25649
Agosto 2013	Aragón	4	Servicios	Mujeres	42583
Agosto 2013	Aragón		Sin empleo anterior	Hombres	2650
Agosto 2013	Aragón		Sin empleo anterior	Mujeres	5126
Julio 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	3855
Julio 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1267
Julio 2013	Aragón	2	Industria y energía	Hombres	9004
Julio 2013	Aragón	2	Industria y energía	Mujeres	5903
Julio 2013	Aragón	3	Construcción	Hombres	12698
Julio 2013	Aragón	3	Construcción	Mujeres	1554
Julio 2013	Aragón	4	Servicios	Hombres	25659
Julio 2013	Aragón	4	Servicios	Mujeres	42364
Julio 2013	Aragón		Sin empleo anterior	Hombres	2766
Julio 2013	Aragón		Sin empleo anterior	Mujeres	5192
Junio 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	3525
Junio 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1186
Junio 2013	Aragón	2	Industria y energía	Hombres	9168
Junio 2013	Aragón	2	Industria y energía	Mujeres	5921
Junio 2013	Aragón	3	Construcción	Hombres	13290
Junio 2013	Aragón	3	Construcción	Mujeres	1549
Junio 2013	Aragón	4	Servicios	Hombres	25833
Junio 2013	Aragón	4	Servicios	Mujeres	41722
Junio 2013	Aragón		Sin empleo anterior	Hombres	2693
Junio 2013	Aragón		Sin empleo anterior	Mujeres	5142
Mayo 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	3796
Mayo 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1293
Mayo 2013	Aragón	2	Industria y energía	Hombres	9702
Mayo 2013	Aragón	2	Industria y energía	Mujeres	6042
Mayo 2013	Aragón	3	Construcción	Hombres	13902
Mayo 2013	Aragón	3	Construcción	Mujeres	1551
Mayo 2013	Aragón	4	Servicios	Hombres	27214
Mayo 2013	Aragón	4	Servicios	Mujeres	43304
Mayo 2013	Aragón		Sin empleo anterior	Hombres	2677
Mayo 2013	Aragón		Sin empleo anterior	Mujeres	5282
Abril 2013	Aragón	1	Agricultura, ganadería y pesca	Hombres	4615
Abril 2013	Aragón	1	Agricultura, ganadería y pesca	Mujeres	1499
Abril 2013	Aragón	2	Industria y energía	Hombres	9734
Abril 2013	Aragón	2	Industria y energía	Mujeres	6072
Abril 2013	Aragón	3	Construcción	Hombres	14424
Abril 2013	Aragón	3	Construcción	Mujeres	1520
Abril 2013	Aragón	4	Servicios	Hombres	27413
Abril 2013	Aragón	4	Servicios	Mujeres	43502
Abril 2013	Aragón		Sin empleo anterior	Hombres	2642
Abril 2013	Aragón		Sin empleo anterior	Mujeres	5292
