Municipio código	Municipio nombre	Personalidad jurídica	Explotaciones
44001	Ababuj	Entidad pública	1
44001	Ababuj	Otras condiciones jurídicas	1
44001	Ababuj	Persona física	19
44002	Abejuela	Entidad pública	1
44002	Abejuela	Persona física	10
44003	Aguatón	Entidad pública	1
44003	Aguatón	Persona física	8
44004	Aguaviva	Otras condiciones jurídicas	1
44004	Aguaviva	Persona física	38
44004	Aguaviva	Sociedad cooperativa	1
44004	Aguaviva	Sociedad mercantil	2
44005	Aguilar del Alfambra	Entidad pública	1
44005	Aguilar del Alfambra	Persona física	19
44005	Aguilar del Alfambra	Sociedad cooperativa	1
44006	Alacón	Otras condiciones jurídicas	4
44006	Alacón	Persona física	66
44007	Alba	Otras condiciones jurídicas	1
44007	Alba	Persona física	61
44007	Alba	Sociedad cooperativa	1
44008	Albalate del Arzobispo	Entidad pública	1
44008	Albalate del Arzobispo	Otras condiciones jurídicas	4
44008	Albalate del Arzobispo	Persona física	330
44008	Albalate del Arzobispo	Sociedad mercantil	2
44009	Albarracín	Otras condiciones jurídicas	4
44009	Albarracín	Persona física	45
44009	Albarracín	Sociedad cooperativa	1
44009	Albarracín	Sociedad mercantil	5
44010	Albentosa	Entidad pública	1
44010	Albentosa	Persona física	50
44010	Albentosa	Sociedad cooperativa	1
44010	Albentosa	Sociedad mercantil	1
44011	Alcaine	Entidad pública	1
44011	Alcaine	Persona física	8
44012	Alcalá de la Selva	Entidad pública	1
44012	Alcalá de la Selva	Persona física	33
44012	Alcalá de la Selva	Sociedad mercantil	2
44013	Alcañiz	Otras condiciones jurídicas	31
44013	Alcañiz	Persona física	572
44013	Alcañiz	Sociedad cooperativa	1
44013	Alcañiz	Sociedad mercantil	16
44014	Alcorisa	Otras condiciones jurídicas	4
44014	Alcorisa	Persona física	343
44014	Alcorisa	Sociedad cooperativa	3
44014	Alcorisa	Sociedad mercantil	2
44016	Alfambra	Entidad pública	1
44016	Alfambra	Otras condiciones jurídicas	5
44016	Alfambra	Persona física	103
44016	Alfambra	Sociedad cooperativa	3
44016	Alfambra	Sociedad mercantil	1
44017	Aliaga	Entidad pública	1
44017	Aliaga	Otras condiciones jurídicas	1
44017	Aliaga	Persona física	48
44017	Aliaga	Sociedad mercantil	3
44018	Almohaja	Entidad pública	1
44018	Almohaja	Persona física	5
44019	Alobras	Entidad pública	1
44019	Alobras	Persona física	11
44020	Alpeñés	Entidad pública	1
44020	Alpeñés	Persona física	11
44021	Allepuz	Entidad pública	1
44021	Allepuz	Otras condiciones jurídicas	3
44021	Allepuz	Persona física	38
44022	Alloza	Entidad pública	1
44022	Alloza	Otras condiciones jurídicas	2
44022	Alloza	Persona física	207
44022	Alloza	Sociedad cooperativa	1
44022	Alloza	Sociedad mercantil	2
44023	Allueva	Persona física	1
44024	Anadón	Entidad pública	1
44024	Anadón	Persona física	4
44025	Andorra	Otras condiciones jurídicas	5
44025	Andorra	Persona física	259
44025	Andorra	Sociedad mercantil	1
44026	Arcos de las Salinas	Entidad pública	1
44026	Arcos de las Salinas	Otras condiciones jurídicas	1
44026	Arcos de las Salinas	Persona física	11
44027	Arens de Lledó	Persona física	62
44028	Argente	Entidad pública	1
44028	Argente	Otras condiciones jurídicas	1
44028	Argente	Persona física	66
44029	Ariño	Persona física	39
44031	Azaila	Otras condiciones jurídicas	5
44031	Azaila	Persona física	32
44031	Azaila	Sociedad mercantil	1
44032	Bádenas	Persona física	7
44032	Bádenas	Sociedad cooperativa	1
44033	Báguena	Persona física	112
44033	Báguena	Sociedad mercantil	1
44034	Bañón	Entidad pública	1
44034	Bañón	Otras condiciones jurídicas	1
44034	Bañón	Persona física	39
44035	Barrachina	Entidad pública	1
44035	Barrachina	Persona física	16
44035	Barrachina	Sociedad mercantil	1
44036	Bea	Entidad pública	1
44036	Bea	Persona física	3
44036	Bea	Sociedad cooperativa	1
44037	Beceite	Persona física	60
44038	Belmonte de San José	Persona física	48
44039	Bello	Entidad pública	1
44039	Bello	Otras condiciones jurídicas	3
44039	Bello	Persona física	81
44039	Bello	Sociedad cooperativa	1
44040	Berge	Entidad pública	1
44040	Berge	Persona física	43
44040	Berge	Sociedad mercantil	1
44041	Bezas	Entidad pública	1
44041	Bezas	Persona física	2
44042	Blancas	Entidad pública	1
44042	Blancas	Persona física	37
44042	Blancas	Sociedad cooperativa	2
44042	Blancas	Sociedad mercantil	1
44043	Blesa	Persona física	28
44044	Bordón	Entidad pública	1
44044	Bordón	Persona física	20
44044	Bordón	Sociedad mercantil	1
44045	Bronchales	Entidad pública	1
44045	Bronchales	Persona física	14
44046	Bueña	Otras condiciones jurídicas	2
44046	Bueña	Persona física	21
44047	Burbáguena	Entidad pública	1
44047	Burbáguena	Otras condiciones jurídicas	2
44047	Burbáguena	Persona física	61
44047	Burbáguena	Sociedad mercantil	1
44048	Cabra de Mora	Entidad pública	1
44048	Cabra de Mora	Persona física	11
44048	Cabra de Mora	Sociedad cooperativa	2
44049	Calaceite	Otras condiciones jurídicas	4
44049	Calaceite	Persona física	232
44049	Calaceite	Sociedad cooperativa	1
44049	Calaceite	Sociedad mercantil	5
44050	Calamocha	Entidad pública	1
44050	Calamocha	Otras condiciones jurídicas	2
44050	Calamocha	Persona física	286
44050	Calamocha	Sociedad cooperativa	1
44050	Calamocha	Sociedad mercantil	7
44051	Calanda	Entidad pública	1
44051	Calanda	Otras condiciones jurídicas	13
44051	Calanda	Persona física	303
44051	Calanda	Sociedad cooperativa	2
44051	Calanda	Sociedad mercantil	5
44052	Calomarde	Entidad pública	1
44052	Calomarde	Persona física	7
44053	Camañas	Entidad pública	1
44053	Camañas	Otras condiciones jurídicas	1
44053	Camañas	Persona física	32
44053	Camañas	Sociedad mercantil	2
44054	Camarena de la Sierra	Entidad pública	1
44054	Camarena de la Sierra	Persona física	6
44055	Camarillas	Entidad pública	1
44055	Camarillas	Otras condiciones jurídicas	1
44055	Camarillas	Persona física	24
44056	Caminreal	Entidad pública	1
44056	Caminreal	Persona física	126
44056	Caminreal	Sociedad cooperativa	1
44056	Caminreal	Sociedad mercantil	3
44059	Cantavieja	Entidad pública	1
44059	Cantavieja	Otras condiciones jurídicas	2
44059	Cantavieja	Persona física	76
44059	Cantavieja	Sociedad mercantil	1
44060	Cañada de Benatanduz	Entidad pública	1
44060	Cañada de Benatanduz	Persona física	16
44061	Cañada de Verich (La)	Otras condiciones jurídicas	1
44061	Cañada de Verich (La)	Persona física	6
44061	Cañada de Verich (La)	Sociedad mercantil	1
44062	Cañada Vellida	Entidad pública	1
44062	Cañada Vellida	Persona física	21
44063	Cañizar del Olivar	Persona física	9
44064	Cascante del Río	Entidad pública	1
44064	Cascante del Río	Persona física	14
44065	Castejón de Tornos	Persona física	24
44066	Castel de Cabra	Entidad pública	1
44066	Castel de Cabra	Otras condiciones jurídicas	1
44066	Castel de Cabra	Persona física	9
44066	Castel de Cabra	Sociedad cooperativa	1
44066	Castel de Cabra	Sociedad mercantil	1
44067	Castelnou	Entidad pública	1
44067	Castelnou	Otras condiciones jurídicas	1
44067	Castelnou	Persona física	17
44067	Castelnou	Sociedad mercantil	2
44068	Castelserás	Otras condiciones jurídicas	4
44068	Castelserás	Persona física	78
44068	Castelserás	Sociedad mercantil	1
44070	Castellar (El)	Entidad pública	1
44070	Castellar (El)	Otras condiciones jurídicas	1
44070	Castellar (El)	Persona física	16
44070	Castellar (El)	Sociedad mercantil	1
44071	Castellote	Entidad pública	1
44071	Castellote	Otras condiciones jurídicas	3
44071	Castellote	Persona física	149
44071	Castellote	Sociedad mercantil	4
44074	Cedrillas	Entidad pública	1
44074	Cedrillas	Otras condiciones jurídicas	2
44074	Cedrillas	Persona física	74
44074	Cedrillas	Sociedad cooperativa	1
44074	Cedrillas	Sociedad mercantil	1
44075	Celadas	Entidad pública	1
44075	Celadas	Otras condiciones jurídicas	1
44075	Celadas	Persona física	96
44075	Celadas	Sociedad mercantil	1
44076	Cella	Entidad pública	1
44076	Cella	Otras condiciones jurídicas	1
44076	Cella	Persona física	278
44077	Cerollera (La)	Otras condiciones jurídicas	1
44077	Cerollera (La)	Persona física	8
44077	Cerollera (La)	Sociedad cooperativa	1
44080	Codoñera (La)	Otras condiciones jurídicas	1
44080	Codoñera (La)	Persona física	44
44082	Corbalán	Entidad pública	1
44082	Corbalán	Persona física	15
44084	Cortes de Aragón	Entidad pública	1
44084	Cortes de Aragón	Persona física	14
44085	Cosa	Entidad pública	1
44085	Cosa	Persona física	32
44086	Cretas	Otras condiciones jurídicas	2
44086	Cretas	Persona física	159
44086	Cretas	Sociedad mercantil	4
44087	Crivillén	Otras condiciones jurídicas	1
44087	Crivillén	Persona física	18
44087	Crivillén	Sociedad cooperativa	1
44088	Cuba (La)	Otras condiciones jurídicas	1
44088	Cuba (La)	Persona física	11
44089	Cubla	Entidad pública	1
44089	Cubla	Otras condiciones jurídicas	1
44089	Cubla	Persona física	10
44090	Cucalón	Persona física	28
44092	Cuervo (El)	Persona física	11
44093	Cuevas de Almudén	Entidad pública	1
44093	Cuevas de Almudén	Otras condiciones jurídicas	1
44093	Cuevas de Almudén	Persona física	26
44094	Cuevas Labradas	Entidad pública	1
44094	Cuevas Labradas	Otras condiciones jurídicas	1
44094	Cuevas Labradas	Persona física	19
44096	Ejulve	Entidad pública	1
44096	Ejulve	Persona física	23
44096	Ejulve	Sociedad mercantil	3
44097	Escorihuela	Otras condiciones jurídicas	2
44097	Escorihuela	Persona física	52
44097	Escorihuela	Sociedad mercantil	1
44099	Escucha	Persona física	21
44099	Escucha	Sociedad mercantil	1
44100	Estercuel	Otras condiciones jurídicas	3
44100	Estercuel	Persona física	13
44100	Estercuel	Sociedad cooperativa	1
44101	Ferreruela de Huerva	Entidad pública	1
44101	Ferreruela de Huerva	Otras condiciones jurídicas	1
44101	Ferreruela de Huerva	Persona física	17
44102	Fonfría	Entidad pública	1
44102	Fonfría	Persona física	5
44103	Formiche Alto	Entidad pública	1
44103	Formiche Alto	Otras condiciones jurídicas	2
44103	Formiche Alto	Persona física	30
44103	Formiche Alto	Sociedad mercantil	2
44105	Fórnoles	Persona física	35
44106	Fortanete	Entidad pública	1
44106	Fortanete	Otras condiciones jurídicas	1
44106	Fortanete	Persona física	42
44107	Foz-Calanda	Entidad pública	1
44107	Foz-Calanda	Otras condiciones jurídicas	4
44107	Foz-Calanda	Persona física	53
44107	Foz-Calanda	Sociedad mercantil	1
44108	Fresneda (La)	Otras condiciones jurídicas	3
44108	Fresneda (La)	Persona física	90
44109	Frías de Albarracín	Entidad pública	1
44109	Frías de Albarracín	Persona física	13
44109	Frías de Albarracín	Sociedad cooperativa	1
44110	Fuenferrada	Entidad pública	1
44110	Fuenferrada	Persona física	16
44111	Fuentes Calientes	Persona física	34
44112	Fuentes Claras	Entidad pública	1
44112	Fuentes Claras	Otras condiciones jurídicas	1
44112	Fuentes Claras	Persona física	78
44113	Fuentes de Rubielos	Entidad pública	1
44113	Fuentes de Rubielos	Otras condiciones jurídicas	1
44113	Fuentes de Rubielos	Persona física	2
44113	Fuentes de Rubielos	Sociedad mercantil	2
44114	Fuentespalda	Otras condiciones jurídicas	1
44114	Fuentespalda	Persona física	71
44114	Fuentespalda	Sociedad cooperativa	1
44115	Galve	Otras condiciones jurídicas	1
44115	Galve	Persona física	33
44115	Galve	Sociedad mercantil	1
44116	Gargallo	Entidad pública	1
44116	Gargallo	Otras condiciones jurídicas	1
44116	Gargallo	Persona física	10
44116	Gargallo	Sociedad mercantil	1
44117	Gea de Albarracín	Entidad pública	1
44117	Gea de Albarracín	Persona física	21
44118	Ginebrosa (La)	Entidad pública	1
44118	Ginebrosa (La)	Otras condiciones jurídicas	7
44118	Ginebrosa (La)	Persona física	59
44118	Ginebrosa (La)	Sociedad mercantil	1
44119	Griegos	Entidad pública	1
44119	Griegos	Persona física	13
44120	Guadalaviar	Entidad pública	1
44120	Guadalaviar	Persona física	30
44121	Gúdar	Entidad pública	1
44121	Gúdar	Otras condiciones jurídicas	1
44121	Gúdar	Persona física	18
44122	Híjar	Entidad pública	1
44122	Híjar	Otras condiciones jurídicas	9
44122	Híjar	Persona física	110
44122	Híjar	Sociedad cooperativa	1
44122	Híjar	Sociedad mercantil	9
44123	Hinojosa de Jarque	Entidad pública	1
44123	Hinojosa de Jarque	Otras condiciones jurídicas	1
44123	Hinojosa de Jarque	Persona física	39
44123	Hinojosa de Jarque	Sociedad cooperativa	1
44124	Hoz de la Vieja (La)	Entidad pública	1
44124	Hoz de la Vieja (La)	Persona física	19
44125	Huesa del Común	Persona física	21
44125	Huesa del Común	Sociedad mercantil	1
44126	Iglesuela del Cid (La)	Entidad pública	1
44126	Iglesuela del Cid (La)	Persona física	17
44127	Jabaloyas	Entidad pública	1
44127	Jabaloyas	Persona física	7
44128	Jarque de la Val	Entidad pública	1
44128	Jarque de la Val	Persona física	22
44129	Jatiel	Entidad pública	1
44129	Jatiel	Persona física	10
44130	Jorcas	Persona física	8
44131	Josa	Entidad pública	1
44131	Josa	Otras condiciones jurídicas	1
44131	Josa	Persona física	4
44132	Lagueruela	Entidad pública	1
44132	Lagueruela	Otras condiciones jurídicas	1
44132	Lagueruela	Persona física	14
44132	Lagueruela	Sociedad mercantil	1
44133	Lanzuela	Entidad pública	1
44133	Lanzuela	Persona física	10
44135	Libros	Entidad pública	1
44135	Libros	Persona física	45
44136	Lidón	Entidad pública	1
44136	Lidón	Otras condiciones jurídicas	3
44136	Lidón	Persona física	20
44137	Linares de Mora	Entidad pública	1
44137	Linares de Mora	Otras condiciones jurídicas	1
44137	Linares de Mora	Persona física	31
44138	Loscos	Entidad pública	1
44138	Loscos	Persona física	40
44138	Loscos	Sociedad mercantil	1
44141	Lledó	Persona física	37
44141	Lledó	Sociedad mercantil	2
44142	Maicas	Otras condiciones jurídicas	5
44142	Maicas	Persona física	4
44142	Maicas	Sociedad mercantil	4
44143	Manzanera	Entidad pública	1
44143	Manzanera	Persona física	42
44143	Manzanera	Sociedad mercantil	2
44144	Martín del Río	Entidad pública	1
44144	Martín del Río	Otras condiciones jurídicas	2
44144	Martín del Río	Persona física	24
44144	Martín del Río	Sociedad mercantil	1
44145	Mas de las Matas	Otras condiciones jurídicas	1
44145	Mas de las Matas	Persona física	79
44145	Mas de las Matas	Sociedad cooperativa	2
44145	Mas de las Matas	Sociedad mercantil	1
44146	Mata de los Olmos (La)	Otras condiciones jurídicas	1
44146	Mata de los Olmos (La)	Persona física	29
44146	Mata de los Olmos (La)	Sociedad mercantil	2
44147	Mazaleón	Otras condiciones jurídicas	4
44147	Mazaleón	Persona física	149
44147	Mazaleón	Sociedad cooperativa	2
44147	Mazaleón	Sociedad mercantil	1
44148	Mezquita de Jarque	Entidad pública	1
44148	Mezquita de Jarque	Otras condiciones jurídicas	1
44148	Mezquita de Jarque	Persona física	16
44148	Mezquita de Jarque	Sociedad cooperativa	1
44148	Mezquita de Jarque	Sociedad mercantil	1
44149	Mirambel	Otras condiciones jurídicas	1
44149	Mirambel	Persona física	25
44149	Mirambel	Sociedad mercantil	1
44150	Miravete de la Sierra	Entidad pública	1
44150	Miravete de la Sierra	Otras condiciones jurídicas	1
44150	Miravete de la Sierra	Persona física	12
44151	Molinos	Entidad pública	1
44151	Molinos	Otras condiciones jurídicas	1
44151	Molinos	Persona física	61
44151	Molinos	Sociedad cooperativa	1
44151	Molinos	Sociedad mercantil	2
44152	Monforte de Moyuela	Otras condiciones jurídicas	1
44152	Monforte de Moyuela	Persona física	22
44153	Monreal del Campo	Entidad pública	1
44153	Monreal del Campo	Otras condiciones jurídicas	5
44153	Monreal del Campo	Persona física	138
44153	Monreal del Campo	Sociedad cooperativa	1
44153	Monreal del Campo	Sociedad mercantil	1
44154	Monroyo	Otras condiciones jurídicas	1
44154	Monroyo	Persona física	70
44154	Monroyo	Sociedad mercantil	1
44155	Montalbán	Entidad pública	1
44155	Montalbán	Otras condiciones jurídicas	2
44155	Montalbán	Persona física	12
44156	Monteagudo del Castillo	Entidad pública	1
44156	Monteagudo del Castillo	Persona física	17
44157	Monterde de Albarracín	Entidad pública	1
44157	Monterde de Albarracín	Persona física	8
44158	Mora de Rubielos	Entidad pública	1
44158	Mora de Rubielos	Otras condiciones jurídicas	3
44158	Mora de Rubielos	Persona física	70
44158	Mora de Rubielos	Sociedad cooperativa	1
44158	Mora de Rubielos	Sociedad mercantil	1
44159	Moscardón	Entidad pública	1
44159	Moscardón	Persona física	7
44160	Mosqueruela	Entidad pública	1
44160	Mosqueruela	Otras condiciones jurídicas	4
44160	Mosqueruela	Persona física	69
44160	Mosqueruela	Sociedad mercantil	3
44161	Muniesa	Otras condiciones jurídicas	1
44161	Muniesa	Persona física	130
44161	Muniesa	Sociedad mercantil	1
44163	Noguera de Albarracín	Entidad pública	1
44163	Noguera de Albarracín	Persona física	3
44164	Nogueras	Persona física	15
44165	Nogueruelas	Entidad pública	1
44165	Nogueruelas	Persona física	13
44167	Obón	Entidad pública	1
44167	Obón	Persona física	13
44168	Odón	Entidad pública	1
44168	Odón	Otras condiciones jurídicas	1
44168	Odón	Persona física	67
44168	Odón	Sociedad cooperativa	1
44169	Ojos Negros	Entidad pública	1
44169	Ojos Negros	Otras condiciones jurídicas	5
44169	Ojos Negros	Persona física	54
44169	Ojos Negros	Sociedad cooperativa	2
44169	Ojos Negros	Sociedad mercantil	1
44171	Olba	Entidad pública	1
44171	Olba	Persona física	7
44172	Oliete	Persona física	91
44172	Oliete	Sociedad cooperativa	1
44172	Oliete	Sociedad mercantil	1
44173	Olmos (Los)	Persona física	48
44174	Orihuela del Tremedal	Entidad pública	1
44174	Orihuela del Tremedal	Persona física	20
44175	Orrios	Entidad pública	1
44175	Orrios	Otras condiciones jurídicas	2
44175	Orrios	Persona física	45
44176	Palomar de Arroyos	Entidad pública	1
44176	Palomar de Arroyos	Otras condiciones jurídicas	1
44176	Palomar de Arroyos	Persona física	13
44176	Palomar de Arroyos	Sociedad mercantil	2
44177	Pancrudo	Entidad pública	1
44177	Pancrudo	Otras condiciones jurídicas	2
44177	Pancrudo	Persona física	45
44178	Parras de Castellote (Las)	Entidad pública	1
44178	Parras de Castellote (Las)	Persona física	19
44178	Parras de Castellote (Las)	Sociedad cooperativa	1
44179	Peñarroya de Tastavins	Otras condiciones jurídicas	1
44179	Peñarroya de Tastavins	Persona física	76
44179	Peñarroya de Tastavins	Sociedad cooperativa	1
44179	Peñarroya de Tastavins	Sociedad mercantil	6
44180	Peracense	Entidad pública	1
44180	Peracense	Persona física	14
44181	Peralejos	Persona física	16
44182	Perales del Alfambra	Entidad pública	1
44182	Perales del Alfambra	Otras condiciones jurídicas	2
44182	Perales del Alfambra	Persona física	54
44182	Perales del Alfambra	Sociedad mercantil	1
44183	Pitarque	Entidad pública	1
44183	Pitarque	Persona física	12
44184	Plou	Persona física	9
44185	Pobo (El)	Entidad pública	1
44185	Pobo (El)	Otras condiciones jurídicas	2
44185	Pobo (El)	Persona física	31
44187	Portellada (La)	Otras condiciones jurídicas	3
44187	Portellada (La)	Persona física	58
44189	Pozondón	Entidad pública	1
44189	Pozondón	Otras condiciones jurídicas	3
44189	Pozondón	Persona física	14
44190	Pozuel del Campo	Entidad pública	1
44190	Pozuel del Campo	Otras condiciones jurídicas	1
44190	Pozuel del Campo	Persona física	15
44191	Puebla de Híjar (La)	Entidad pública	1
44191	Puebla de Híjar (La)	Otras condiciones jurídicas	2
44191	Puebla de Híjar (La)	Persona física	71
44191	Puebla de Híjar (La)	Sociedad cooperativa	1
44191	Puebla de Híjar (La)	Sociedad mercantil	11
44192	Puebla de Valverde (La)	Entidad pública	1
44192	Puebla de Valverde (La)	Otras condiciones jurídicas	3
44192	Puebla de Valverde (La)	Persona física	64
44192	Puebla de Valverde (La)	Sociedad cooperativa	1
44192	Puebla de Valverde (La)	Sociedad mercantil	1
44193	Puertomingalvo	Entidad pública	1
44193	Puertomingalvo	Persona física	28
44194	Ráfales	Persona física	52
44194	Ráfales	Sociedad cooperativa	1
44194	Ráfales	Sociedad mercantil	1
44195	Rillo	Entidad pública	1
44195	Rillo	Persona física	17
44196	Riodeva	Entidad pública	1
44196	Riodeva	Persona física	25
44197	Ródenas	Entidad pública	1
44197	Ródenas	Otras condiciones jurídicas	1
44197	Ródenas	Persona física	11
44198	Royuela	Entidad pública	1
44198	Royuela	Persona física	16
44199	Rubiales	Entidad pública	1
44199	Rubiales	Persona física	3
44200	Rubielos de la Cérida	Entidad pública	1
44200	Rubielos de la Cérida	Persona física	22
44200	Rubielos de la Cérida	Sociedad mercantil	1
44201	Rubielos de Mora	Entidad pública	1
44201	Rubielos de Mora	Otras condiciones jurídicas	1
44201	Rubielos de Mora	Persona física	25
44203	Salcedillo	Entidad pública	1
44203	Salcedillo	Persona física	2
44204	Saldón	Entidad pública	1
44204	Saldón	Persona física	5
44205	Samper de Calanda	Otras condiciones jurídicas	10
44205	Samper de Calanda	Persona física	90
44205	Samper de Calanda	Sociedad mercantil	2
44206	San Agustín	Entidad pública	1
44206	San Agustín	Persona física	37
44207	San Martín del Río	Entidad pública	1
44207	San Martín del Río	Persona física	78
44207	San Martín del Río	Sociedad mercantil	1
44208	Santa Cruz de Nogueras	Persona física	3
44209	Santa Eulalia	Entidad pública	1
44209	Santa Eulalia	Otras condiciones jurídicas	1
44209	Santa Eulalia	Persona física	100
44209	Santa Eulalia	Sociedad mercantil	2
44210	Sarrión	Entidad pública	1
44210	Sarrión	Otras condiciones jurídicas	1
44210	Sarrión	Persona física	128
44210	Sarrión	Sociedad mercantil	1
44211	Segura de los Baños	Entidad pública	1
44211	Segura de los Baños	Persona física	13
44211	Segura de los Baños	Sociedad mercantil	1
44212	Seno	Entidad pública	1
44212	Seno	Persona física	18
44213	Singra	Persona física	21
44215	Terriente	Entidad pública	1
44215	Terriente	Otras condiciones jurídicas	1
44215	Terriente	Persona física	27
44215	Terriente	Sociedad mercantil	1
44216	Teruel	Entidad pública	3
44216	Teruel	Otras condiciones jurídicas	6
44216	Teruel	Persona física	254
44216	Teruel	Sociedad cooperativa	6
44216	Teruel	Sociedad mercantil	4
44217	Toril y Masegoso	Persona física	8
44219	Tornos	Entidad pública	1
44219	Tornos	Persona física	66
44219	Tornos	Sociedad cooperativa	1
44220	Torralba de los Sisones	Entidad pública	1
44220	Torralba de los Sisones	Persona física	41
44221	Torrecilla de Alcañiz	Otras condiciones jurídicas	5
44221	Torrecilla de Alcañiz	Persona física	57
44222	Torrecilla del Rebollar	Entidad pública	1
44222	Torrecilla del Rebollar	Otras condiciones jurídicas	1
44222	Torrecilla del Rebollar	Persona física	29
44223	Torre de Arcas	Persona física	19
44224	Torre de las Arcas	Entidad pública	1
44224	Torre de las Arcas	Persona física	10
44224	Torre de las Arcas	Sociedad mercantil	1
44225	Torre del Compte	Otras condiciones jurídicas	1
44225	Torre del Compte	Persona física	35
44226	Torrelacárcel	Entidad pública	1
44226	Torrelacárcel	Persona física	56
44227	Torre los Negros	Entidad pública	1
44227	Torre los Negros	Otras condiciones jurídicas	1
44227	Torre los Negros	Persona física	12
44228	Torremocha de Jiloca	Entidad pública	1
44228	Torremocha de Jiloca	Persona física	26
44229	Torres de Albarracín	Persona física	9
44230	Torrevelilla	Entidad pública	1
44230	Torrevelilla	Otras condiciones jurídicas	2
44230	Torrevelilla	Persona física	42
44231	Torrijas	Entidad pública	1
44231	Torrijas	Persona física	4
44232	Torrijo del Campo	Entidad pública	1
44232	Torrijo del Campo	Otras condiciones jurídicas	2
44232	Torrijo del Campo	Persona física	74
44232	Torrijo del Campo	Sociedad mercantil	2
44234	Tramacastiel	Entidad pública	1
44234	Tramacastiel	Persona física	19
44235	Tramacastilla	Persona física	6
44235	Tramacastilla	Sociedad cooperativa	1
44236	Tronchón	Entidad pública	1
44236	Tronchón	Persona física	20
44236	Tronchón	Sociedad mercantil	1
44237	Urrea de Gaén	Entidad pública	1
44237	Urrea de Gaén	Otras condiciones jurídicas	2
44237	Urrea de Gaén	Persona física	56
44237	Urrea de Gaén	Sociedad mercantil	22
44238	Utrillas	Entidad pública	1
44238	Utrillas	Persona física	10
44238	Utrillas	Sociedad mercantil	2
44239	Valacloche	Entidad pública	1
44239	Valacloche	Persona física	8
44240	Valbona	Entidad pública	1
44240	Valbona	Persona física	18
44240	Valbona	Sociedad mercantil	1
44241	Valdealgorfa	Otras condiciones jurídicas	5
44241	Valdealgorfa	Persona física	125
44241	Valdealgorfa	Sociedad mercantil	1
44243	Valdecuenca	Persona física	4
44244	Valdelinares	Persona física	10
44244	Valdelinares	Sociedad mercantil	1
44245	Valdeltormo	Otras condiciones jurídicas	2
44245	Valdeltormo	Persona física	33
44246	Valderrobres	Otras condiciones jurídicas	4
44246	Valderrobres	Persona física	234
44246	Valderrobres	Sociedad cooperativa	1
44246	Valderrobres	Sociedad mercantil	5
44247	Valjunquera	Otras condiciones jurídicas	1
44247	Valjunquera	Persona física	99
44249	Vallecillo (El)	Entidad pública	1
44249	Vallecillo (El)	Persona física	1
44250	Veguillas de la Sierra	Persona física	5
44251	Villafranca del Campo	Entidad pública	1
44251	Villafranca del Campo	Otras condiciones jurídicas	2
44251	Villafranca del Campo	Persona física	59
44252	Villahermosa del Campo	Otras condiciones jurídicas	1
44252	Villahermosa del Campo	Persona física	17
44256	Villanueva del Rebollar de la Sierra	Persona física	9
44256	Villanueva del Rebollar de la Sierra	Sociedad mercantil	1
44257	Villar del Cobo	Entidad pública	1
44257	Villar del Cobo	Persona física	31
44258	Villar del Salz	Entidad pública	1
44258	Villar del Salz	Persona física	12
44258	Villar del Salz	Sociedad mercantil	1
44260	Villarluengo	Entidad pública	1
44260	Villarluengo	Otras condiciones jurídicas	2
44260	Villarluengo	Persona física	26
44260	Villarluengo	Sociedad mercantil	2
44261	Villarquemado	Entidad pública	1
44261	Villarquemado	Otras condiciones jurídicas	5
44261	Villarquemado	Persona física	123
44262	Villarroya de los Pinares	Entidad pública	1
44262	Villarroya de los Pinares	Persona física	30
44263	Villastar	Entidad pública	1
44263	Villastar	Otras condiciones jurídicas	1
44263	Villastar	Persona física	28
44264	Villel	Entidad pública	1
44264	Villel	Otras condiciones jurídicas	2
44264	Villel	Persona física	30
44265	Vinaceite	Entidad pública	1
44265	Vinaceite	Otras condiciones jurídicas	7
44265	Vinaceite	Persona física	40
44265	Vinaceite	Sociedad mercantil	2
44266	Visiedo	Entidad pública	1
44266	Visiedo	Persona física	49
44267	Vivel del Río Martín	Entidad pública	1
44267	Vivel del Río Martín	Persona física	15
44267	Vivel del Río Martín	Sociedad cooperativa	1
44268	Zoma (La)	Entidad pública	1
44268	Zoma (La)	Persona física	4
50001	Abanto	Persona física	18
50002	Acered	Otras condiciones jurídicas	1
50002	Acered	Persona física	74
50003	Agón	Otras condiciones jurídicas	4
50003	Agón	Persona física	33
50004	Aguarón	Otras condiciones jurídicas	2
50004	Aguarón	Persona física	216
50005	Aguilón	Otras condiciones jurídicas	1
50005	Aguilón	Persona física	62
50006	Ainzón	Otras condiciones jurídicas	2
50006	Ainzón	Persona física	150
50006	Ainzón	Sociedad mercantil	3
50007	Aladrén	Persona física	31
50008	Alagón	Entidad pública	1
50008	Alagón	Otras condiciones jurídicas	11
50008	Alagón	Persona física	144
50008	Alagón	Sociedad cooperativa	1
50008	Alagón	Sociedad mercantil	5
50009	Alarba	Persona física	40
50010	Alberite de San Juan	Entidad pública	1
50010	Alberite de San Juan	Otras condiciones jurídicas	1
50010	Alberite de San Juan	Persona física	21
50011	Albeta	Persona física	12
50012	Alborge	Otras condiciones jurídicas	2
50012	Alborge	Persona física	4
50013	Alcalá de Ebro	Otras condiciones jurídicas	1
50013	Alcalá de Ebro	Persona física	39
50013	Alcalá de Ebro	Sociedad mercantil	1
50014	Alcalá de Moncayo	Otras condiciones jurídicas	1
