Mes y año	Mes (código)	Sexo	Nivel formativo grupo IAEST descripción	Nivel formativo grupo IAEST código	Número de contratos	CCAA nombre
Abril 2017	201704	Hombres	Educación Primaria o inferior	10	9677	Aragón
Abril 2017	201704	Mujeres	Educación Primaria o inferior	10	6127	Aragón
Abril 2017	201704	Hombres	Primera etapa de educación secundaria	20	9031	Aragón
Abril 2017	201704	Mujeres	Primera etapa de educación secundaria	20	6933	Aragón
Abril 2017	201704	Hombres	Bachillerato	31	3403	Aragón
Abril 2017	201704	Mujeres	Bachillerato	31	3406	Aragón
Abril 2017	201704	Hombres	Enseñanza media de formación profesional	32	1546	Aragón
Abril 2017	201704	Mujeres	Enseñanza media de formación profesional	32	1430	Aragón
Abril 2017	201704	Hombres	Enseñanza superior de formación profesional	41	778	Aragón
Abril 2017	201704	Mujeres	Enseñanza superior de formación profesional	41	690	Aragón
Abril 2017	201704	Hombres	Enseñanza superior universitaria	42	1483	Aragón
Abril 2017	201704	Mujeres	Enseñanza superior universitaria	42	2089	Aragón
Marzo 2017	201703	Hombres	Educación Primaria o inferior	10	7743	Aragón
Marzo 2017	201703	Mujeres	Educación Primaria o inferior	10	5363	Aragón
Marzo 2017	201703	Hombres	Primera etapa de educación secundaria	20	9026	Aragón
Marzo 2017	201703	Mujeres	Primera etapa de educación secundaria	20	6718	Aragón
Marzo 2017	201703	Hombres	Bachillerato	31	3837	Aragón
Marzo 2017	201703	Mujeres	Bachillerato	31	3991	Aragón
Marzo 2017	201703	Hombres	Enseñanza media de formación profesional	32	1717	Aragón
Marzo 2017	201703	Mujeres	Enseñanza media de formación profesional	32	1479	Aragón
Marzo 2017	201703	Hombres	Enseñanza superior de formación profesional	41	909	Aragón
Marzo 2017	201703	Mujeres	Enseñanza superior de formación profesional	41	809	Aragón
Marzo 2017	201703	Hombres	Enseñanza superior universitaria	42	1714	Aragón
Marzo 2017	201703	Mujeres	Enseñanza superior universitaria	42	2481	Aragón
Febrero 2017	201702	Hombres	Educación Primaria o inferior	10	6268	Aragón
Febrero 2017	201702	Mujeres	Educación Primaria o inferior	10	4501	Aragón
Febrero 2017	201702	Hombres	Primera etapa de educación secundaria	20	7715	Aragón
Febrero 2017	201702	Mujeres	Primera etapa de educación secundaria	20	5680	Aragón
Febrero 2017	201702	Hombres	Bachillerato	31	3277	Aragón
Febrero 2017	201702	Mujeres	Bachillerato	31	3392	Aragón
Febrero 2017	201702	Hombres	Enseñanza media de formación profesional	32	1522	Aragón
Febrero 2017	201702	Mujeres	Enseñanza media de formación profesional	32	1298	Aragón
Febrero 2017	201702	Hombres	Enseñanza superior de formación profesional	41	761	Aragón
Febrero 2017	201702	Mujeres	Enseñanza superior de formación profesional	41	652	Aragón
Febrero 2017	201702	Hombres	Enseñanza superior universitaria	42	1548	Aragón
Febrero 2017	201702	Mujeres	Enseñanza superior universitaria	42	2202	Aragón
Enero 2017	201701	Hombres	Educación Primaria o inferior	10	5926	Aragón
Enero 2017	201701	Mujeres	Educación Primaria o inferior	10	4650	Aragón
Enero 2017	201701	Hombres	Primera etapa de educación secundaria	20	8830	Aragón
Enero 2017	201701	Mujeres	Primera etapa de educación secundaria	20	6401	Aragón
Enero 2017	201701	Hombres	Bachillerato	31	3601	Aragón
Enero 2017	201701	Mujeres	Bachillerato	31	3574	Aragón
Enero 2017	201701	Hombres	Enseñanza media de formación profesional	32	1850	Aragón
Enero 2017	201701	Mujeres	Enseñanza media de formación profesional	32	1456	Aragón
Enero 2017	201701	Hombres	Enseñanza superior de formación profesional	41	984	Aragón
Enero 2017	201701	Mujeres	Enseñanza superior de formación profesional	41	732	Aragón
Enero 2017	201701	Hombres	Enseñanza superior universitaria	42	1763	Aragón
Enero 2017	201701	Mujeres	Enseñanza superior universitaria	42	2298	Aragón
Diciembre 2016	201612	Hombres	Educación Primaria o inferior	10	6036	Aragón
Diciembre 2016	201612	Mujeres	Educación Primaria o inferior	10	5124	Aragón
Diciembre 2016	201612	Hombres	Primera etapa de educación secundaria	20	7904	Aragón
Diciembre 2016	201612	Mujeres	Primera etapa de educación secundaria	20	6536	Aragón
Diciembre 2016	201612	Hombres	Bachillerato	31	3227	Aragón
Diciembre 2016	201612	Mujeres	Bachillerato	31	3770	Aragón
Diciembre 2016	201612	Hombres	Enseñanza media de formación profesional	32	1498	Aragón
Diciembre 2016	201612	Mujeres	Enseñanza media de formación profesional	32	1329	Aragón
Diciembre 2016	201612	Hombres	Enseñanza superior de formación profesional	41	755	Aragón
Diciembre 2016	201612	Mujeres	Enseñanza superior de formación profesional	41	684	Aragón
Diciembre 2016	201612	Hombres	Enseñanza superior universitaria	42	1587	Aragón
Diciembre 2016	201612	Mujeres	Enseñanza superior universitaria	42	2285	Aragón
Noviembre 2016	201611	Hombres	Educación Primaria o inferior	10	7058	Aragón
Noviembre 2016	201611	Mujeres	Educación Primaria o inferior	10	5341	Aragón
Noviembre 2016	201611	Hombres	Primera etapa de educación secundaria	20	8988	Aragón
Noviembre 2016	201611	Mujeres	Primera etapa de educación secundaria	20	7406	Aragón
Noviembre 2016	201611	Hombres	Bachillerato	31	3984	Aragón
Noviembre 2016	201611	Mujeres	Bachillerato	31	4280	Aragón
Noviembre 2016	201611	Hombres	Enseñanza media de formación profesional	32	1676	Aragón
Noviembre 2016	201611	Mujeres	Enseñanza media de formación profesional	32	1566	Aragón
Noviembre 2016	201611	Hombres	Enseñanza superior de formación profesional	41	885	Aragón
Noviembre 2016	201611	Mujeres	Enseñanza superior de formación profesional	41	859	Aragón
Noviembre 2016	201611	Hombres	Enseñanza superior universitaria	42	1827	Aragón
Noviembre 2016	201611	Mujeres	Enseñanza superior universitaria	42	2528	Aragón
Octubre 2016	201610	Hombres	Educación Primaria o inferior	10	8413	Aragón
Octubre 2016	201610	Mujeres	Educación Primaria o inferior	10	5985	Aragón
Octubre 2016	201610	Hombres	Primera etapa de educación secundaria	20	9823	Aragón
Octubre 2016	201610	Mujeres	Primera etapa de educación secundaria	20	8055	Aragón
Octubre 2016	201610	Hombres	Bachillerato	31	4602	Aragón
Octubre 2016	201610	Mujeres	Bachillerato	31	4649	Aragón
Octubre 2016	201610	Hombres	Enseñanza media de formación profesional	32	1841	Aragón
Octubre 2016	201610	Mujeres	Enseñanza media de formación profesional	32	1643	Aragón
Octubre 2016	201610	Hombres	Enseñanza superior de formación profesional	41	862	Aragón
Octubre 2016	201610	Mujeres	Enseñanza superior de formación profesional	41	723	Aragón
Octubre 2016	201610	Hombres	Enseñanza superior universitaria	42	2018	Aragón
Octubre 2016	201610	Mujeres	Enseñanza superior universitaria	42	2874	Aragón
Septiembre 2016	201609	Hombres	Educación Primaria o inferior	10	10825	Aragón
Septiembre 2016	201609	Mujeres	Educación Primaria o inferior	10	7075	Aragón
Septiembre 2016	201609	Hombres	Primera etapa de educación secundaria	20	10718	Aragón
Septiembre 2016	201609	Mujeres	Primera etapa de educación secundaria	20	7676	Aragón
Septiembre 2016	201609	Hombres	Bachillerato	31	4296	Aragón
Septiembre 2016	201609	Mujeres	Bachillerato	31	4179	Aragón
Septiembre 2016	201609	Hombres	Enseñanza media de formación profesional	32	1778	Aragón
Septiembre 2016	201609	Mujeres	Enseñanza media de formación profesional	32	1554	Aragón
Septiembre 2016	201609	Hombres	Enseñanza superior de formación profesional	41	1000	Aragón
Septiembre 2016	201609	Mujeres	Enseñanza superior de formación profesional	41	786	Aragón
Septiembre 2016	201609	Hombres	Enseñanza superior universitaria	42	2351	Aragón
Septiembre 2016	201609	Mujeres	Enseñanza superior universitaria	42	3139	Aragón
Agosto 2016	201608	Hombres	Educación Primaria o inferior	10	10646	Aragón
Agosto 2016	201608	Mujeres	Educación Primaria o inferior	10	6299	Aragón
Agosto 2016	201608	Hombres	Primera etapa de educación secundaria	20	9349	Aragón
Agosto 2016	201608	Mujeres	Primera etapa de educación secundaria	20	6346	Aragón
Agosto 2016	201608	Hombres	Bachillerato	31	3696	Aragón
Agosto 2016	201608	Mujeres	Bachillerato	31	3432	Aragón
Agosto 2016	201608	Hombres	Enseñanza media de formación profesional	32	1523	Aragón
Agosto 2016	201608	Mujeres	Enseñanza media de formación profesional	32	1268	Aragón
Agosto 2016	201608	Hombres	Enseñanza superior de formación profesional	41	770	Aragón
Agosto 2016	201608	Mujeres	Enseñanza superior de formación profesional	41	544	Aragón
Agosto 2016	201608	Hombres	Enseñanza superior universitaria	42	1374	Aragón
Agosto 2016	201608	Mujeres	Enseñanza superior universitaria	42	1660	Aragón
Julio 2016	201607	Hombres	Educación Primaria o inferior	10	12122	Aragón
Julio 2016	201607	Mujeres	Educación Primaria o inferior	10	7278	Aragón
Julio 2016	201607	Hombres	Primera etapa de educación secundaria	20	10234	Aragón
Julio 2016	201607	Mujeres	Primera etapa de educación secundaria	20	7619	Aragón
Julio 2016	201607	Hombres	Bachillerato	31	4304	Aragón
Julio 2016	201607	Mujeres	Bachillerato	31	4169	Aragón
Julio 2016	201607	Hombres	Enseñanza media de formación profesional	32	1793	Aragón
Julio 2016	201607	Mujeres	Enseñanza media de formación profesional	32	1522	Aragón
Julio 2016	201607	Hombres	Enseñanza superior de formación profesional	41	953	Aragón
Julio 2016	201607	Mujeres	Enseñanza superior de formación profesional	41	701	Aragón
Julio 2016	201607	Hombres	Enseñanza superior universitaria	42	1643	Aragón
Julio 2016	201607	Mujeres	Enseñanza superior universitaria	42	2267	Aragón
Junio 2016	201606	Hombres	Educación Primaria o inferior	10	13985	Aragón
Junio 2016	201606	Mujeres	Educación Primaria o inferior	10	7988	Aragón
Junio 2016	201606	Hombres	Primera etapa de educación secundaria	20	11308	Aragón
Junio 2016	201606	Mujeres	Primera etapa de educación secundaria	20	8156	Aragón
Junio 2016	201606	Hombres	Bachillerato	31	4798	Aragón
Junio 2016	201606	Mujeres	Bachillerato	31	4491	Aragón
Junio 2016	201606	Hombres	Enseñanza media de formación profesional	32	2031	Aragón
Junio 2016	201606	Mujeres	Enseñanza media de formación profesional	32	1551	Aragón
Junio 2016	201606	Hombres	Enseñanza superior de formación profesional	41	1098	Aragón
Junio 2016	201606	Mujeres	Enseñanza superior de formación profesional	41	781	Aragón
Junio 2016	201606	Hombres	Enseñanza superior universitaria	42	1639	Aragón
Junio 2016	201606	Mujeres	Enseñanza superior universitaria	42	2389	Aragón
Mayo 2016	201605	Hombres	Educación Primaria o inferior	10	13759	Aragón
Mayo 2016	201605	Mujeres	Educación Primaria o inferior	10	7601	Aragón
Mayo 2016	201605	Hombres	Primera etapa de educación secundaria	20	10872	Aragón
Mayo 2016	201605	Mujeres	Primera etapa de educación secundaria	20	8112	Aragón
Mayo 2016	201605	Hombres	Bachillerato	31	4015	Aragón
Mayo 2016	201605	Mujeres	Bachillerato	31	4138	Aragón
Mayo 2016	201605	Hombres	Enseñanza media de formación profesional	32	1729	Aragón
Mayo 2016	201605	Mujeres	Enseñanza media de formación profesional	32	1484	Aragón
Mayo 2016	201605	Hombres	Enseñanza superior de formación profesional	41	872	Aragón
Mayo 2016	201605	Mujeres	Enseñanza superior de formación profesional	41	676	Aragón
Mayo 2016	201605	Hombres	Enseñanza superior universitaria	42	1571	Aragón
Mayo 2016	201605	Mujeres	Enseñanza superior universitaria	42	2014	Aragón
Abril 2016	201604	Hombres	Educación Primaria o inferior	10	7291	Aragón
Abril 2016	201604	Mujeres	Educación Primaria o inferior	10	4791	Aragón
Abril 2016	201604	Hombres	Primera etapa de educación secundaria	20	8529	Aragón
Abril 2016	201604	Mujeres	Primera etapa de educación secundaria	20	6132	Aragón
Abril 2016	201604	Hombres	Bachillerato	31	3246	Aragón
Abril 2016	201604	Mujeres	Bachillerato	31	3195	Aragón
Abril 2016	201604	Hombres	Enseñanza media de formación profesional	32	1404	Aragón
Abril 2016	201604	Mujeres	Enseñanza media de formación profesional	32	1242	Aragón
Abril 2016	201604	Hombres	Enseñanza superior de formación profesional	41	833	Aragón
Abril 2016	201604	Mujeres	Enseñanza superior de formación profesional	41	667	Aragón
Abril 2016	201604	Hombres	Enseñanza superior universitaria	42	1543	Aragón
Abril 2016	201604	Mujeres	Enseñanza superior universitaria	42	1952	Aragón
Marzo 2016	201603	Hombres	Educación Primaria o inferior	10	6317	Aragón
Marzo 2016	201603	Mujeres	Educación Primaria o inferior	10	4820	Aragón
Marzo 2016	201603	Hombres	Primera etapa de educación secundaria	20	7444	Aragón
Marzo 2016	201603	Mujeres	Primera etapa de educación secundaria	20	6123	Aragón
Marzo 2016	201603	Hombres	Bachillerato	31	3417	Aragón
Marzo 2016	201603	Mujeres	Bachillerato	31	3766	Aragón
Marzo 2016	201603	Hombres	Enseñanza media de formación profesional	32	1527	Aragón
Marzo 2016	201603	Mujeres	Enseñanza media de formación profesional	32	1329	Aragón
Marzo 2016	201603	Hombres	Enseñanza superior de formación profesional	41	811	Aragón
Marzo 2016	201603	Mujeres	Enseñanza superior de formación profesional	41	695	Aragón
Marzo 2016	201603	Hombres	Enseñanza superior universitaria	42	1525	Aragón
Marzo 2016	201603	Mujeres	Enseñanza superior universitaria	42	1993	Aragón
Febrero 2016	201602	Hombres	Educación Primaria o inferior	10	5921	Aragón
Febrero 2016	201602	Mujeres	Educación Primaria o inferior	10	4063	Aragón
Febrero 2016	201602	Hombres	Primera etapa de educación secundaria	20	7401	Aragón
Febrero 2016	201602	Mujeres	Primera etapa de educación secundaria	20	5747	Aragón
Febrero 2016	201602	Hombres	Bachillerato	31	2967	Aragón
Febrero 2016	201602	Mujeres	Bachillerato	31	3094	Aragón
Febrero 2016	201602	Hombres	Enseñanza media de formación profesional	32	1416	Aragón
Febrero 2016	201602	Mujeres	Enseñanza media de formación profesional	32	1181	Aragón
Febrero 2016	201602	Hombres	Enseñanza superior de formación profesional	41	810	Aragón
Febrero 2016	201602	Mujeres	Enseñanza superior de formación profesional	41	653	Aragón
Febrero 2016	201602	Hombres	Enseñanza superior universitaria	42	1529	Aragón
Febrero 2016	201602	Mujeres	Enseñanza superior universitaria	42	2030	Aragón
Enero 2016	201601	Hombres	Educación Primaria o inferior	10	5372	Aragón
Enero 2016	201601	Mujeres	Educación Primaria o inferior	10	4125	Aragón
Enero 2016	201601	Hombres	Primera etapa de educación secundaria	20	7370	Aragón
Enero 2016	201601	Mujeres	Primera etapa de educación secundaria	20	5489	Aragón
Enero 2016	201601	Hombres	Bachillerato	31	2867	Aragón
Enero 2016	201601	Mujeres	Bachillerato	31	2730	Aragón
Enero 2016	201601	Hombres	Enseñanza media de formación profesional	32	1521	Aragón
Enero 2016	201601	Mujeres	Enseñanza media de formación profesional	32	1239	Aragón
Enero 2016	201601	Hombres	Enseñanza superior de formación profesional	41	796	Aragón
Enero 2016	201601	Mujeres	Enseñanza superior de formación profesional	41	634	Aragón
Enero 2016	201601	Hombres	Enseñanza superior universitaria	42	1566	Aragón
Enero 2016	201601	Mujeres	Enseñanza superior universitaria	42	1990	Aragón
Diciembre 2015	201512	Hombres	Educación Primaria o inferior	10	5251	Aragón
Diciembre 2015	201512	Mujeres	Educación Primaria o inferior	10	4486	Aragón
Diciembre 2015	201512	Hombres	Primera etapa de educación secundaria	20	7063	Aragón
Diciembre 2015	201512	Mujeres	Primera etapa de educación secundaria	20	6207	Aragón
Diciembre 2015	201512	Hombres	Bachillerato	31	3154	Aragón
Diciembre 2015	201512	Mujeres	Bachillerato	31	3686	Aragón
Diciembre 2015	201512	Hombres	Enseñanza media de formación profesional	32	1449	Aragón
Diciembre 2015	201512	Mujeres	Enseñanza media de formación profesional	32	1301	Aragón
Diciembre 2015	201512	Hombres	Enseñanza superior de formación profesional	41	751	Aragón
Diciembre 2015	201512	Mujeres	Enseñanza superior de formación profesional	41	631	Aragón
Diciembre 2015	201512	Hombres	Enseñanza superior universitaria	42	1417	Aragón
Diciembre 2015	201512	Mujeres	Enseñanza superior universitaria	42	1967	Aragón
Noviembre 2015	201511	Hombres	Educación Primaria o inferior	10	5952	Aragón
Noviembre 2015	201511	Mujeres	Educación Primaria o inferior	10	4242	Aragón
Noviembre 2015	201511	Hombres	Primera etapa de educación secundaria	20	7690	Aragón
Noviembre 2015	201511	Mujeres	Primera etapa de educación secundaria	20	5979	Aragón
Noviembre 2015	201511	Hombres	Bachillerato	31	3217	Aragón
Noviembre 2015	201511	Mujeres	Bachillerato	31	3365	Aragón
Noviembre 2015	201511	Hombres	Enseñanza media de formación profesional	32	1557	Aragón
Noviembre 2015	201511	Mujeres	Enseñanza media de formación profesional	32	1207	Aragón
Noviembre 2015	201511	Hombres	Enseñanza superior de formación profesional	41	851	Aragón
Noviembre 2015	201511	Mujeres	Enseñanza superior de formación profesional	41	637	Aragón
Noviembre 2015	201511	Hombres	Enseñanza superior universitaria	42	1617	Aragón
Noviembre 2015	201511	Mujeres	Enseñanza superior universitaria	42	2006	Aragón
Octubre 2015	201510	Hombres	Educación Primaria o inferior	10	6842	Aragón
Octubre 2015	201510	Mujeres	Educación Primaria o inferior	10	5006	Aragón
Octubre 2015	201510	Hombres	Primera etapa de educación secundaria	20	9616	Aragón
Octubre 2015	201510	Mujeres	Primera etapa de educación secundaria	20	7753	Aragón
Octubre 2015	201510	Hombres	Bachillerato	31	3906	Aragón
Octubre 2015	201510	Mujeres	Bachillerato	31	3809	Aragón
Octubre 2015	201510	Hombres	Enseñanza media de formación profesional	32	1908	Aragón
Octubre 2015	201510	Mujeres	Enseñanza media de formación profesional	32	1514	Aragón
Octubre 2015	201510	Hombres	Enseñanza superior de formación profesional	41	908	Aragón
Octubre 2015	201510	Mujeres	Enseñanza superior de formación profesional	41	793	Aragón
Octubre 2015	201510	Hombres	Enseñanza superior universitaria	42	1938	Aragón
Octubre 2015	201510	Mujeres	Enseñanza superior universitaria	42	2765	Aragón
Septiembre 2015	201509	Hombres	Educación Primaria o inferior	10	9260	Aragón
Septiembre 2015	201509	Mujeres	Educación Primaria o inferior	10	5995	Aragón
Septiembre 2015	201509	Hombres	Primera etapa de educación secundaria	20	9915	Aragón
Septiembre 2015	201509	Mujeres	Primera etapa de educación secundaria	20	7428	Aragón
Septiembre 2015	201509	Hombres	Bachillerato	31	3724	Aragón
Septiembre 2015	201509	Mujeres	Bachillerato	31	3415	Aragón
Septiembre 2015	201509	Hombres	Enseñanza media de formación profesional	32	1739	Aragón
Septiembre 2015	201509	Mujeres	Enseñanza media de formación profesional	32	1420	Aragón
Septiembre 2015	201509	Hombres	Enseñanza superior de formación profesional	41	915	Aragón
Septiembre 2015	201509	Mujeres	Enseñanza superior de formación profesional	41	727	Aragón
Septiembre 2015	201509	Hombres	Enseñanza superior universitaria	42	2169	Aragón
Septiembre 2015	201509	Mujeres	Enseñanza superior universitaria	42	2960	Aragón
Agosto 2015	201508	Hombres	Educación Primaria o inferior	10	8621	Aragón
Agosto 2015	201508	Mujeres	Educación Primaria o inferior	10	4995	Aragón
Agosto 2015	201508	Hombres	Primera etapa de educación secundaria	20	8364	Aragón
Agosto 2015	201508	Mujeres	Primera etapa de educación secundaria	20	5765	Aragón
Agosto 2015	201508	Hombres	Bachillerato	31	3518	Aragón
Agosto 2015	201508	Mujeres	Bachillerato	31	2638	Aragón
Agosto 2015	201508	Hombres	Enseñanza media de formación profesional	32	1455	Aragón
Agosto 2015	201508	Mujeres	Enseñanza media de formación profesional	32	981	Aragón
Agosto 2015	201508	Hombres	Enseñanza superior de formación profesional	41	708	Aragón
Agosto 2015	201508	Mujeres	Enseñanza superior de formación profesional	41	459	Aragón
Agosto 2015	201508	Hombres	Enseñanza superior universitaria	42	1069	Aragón
Agosto 2015	201508	Mujeres	Enseñanza superior universitaria	42	1387	Aragón
Julio 2015	201507	Hombres	Educación Primaria o inferior	10	10660	Aragón
Julio 2015	201507	Mujeres	Educación Primaria o inferior	10	6678	Aragón
Julio 2015	201507	Hombres	Primera etapa de educación secundaria	20	11092	Aragón
Julio 2015	201507	Mujeres	Primera etapa de educación secundaria	20	8120	Aragón
Julio 2015	201507	Hombres	Bachillerato	31	4262	Aragón
Julio 2015	201507	Mujeres	Bachillerato	31	3899	Aragón
Julio 2015	201507	Hombres	Enseñanza media de formación profesional	32	1820	Aragón
Julio 2015	201507	Mujeres	Enseñanza media de formación profesional	32	1417	Aragón
Julio 2015	201507	Hombres	Enseñanza superior de formación profesional	41	988	Aragón
Julio 2015	201507	Mujeres	Enseñanza superior de formación profesional	41	745	Aragón
Julio 2015	201507	Hombres	Enseñanza superior universitaria	42	1569	Aragón
Julio 2015	201507	Mujeres	Enseñanza superior universitaria	42	2152	Aragón
Junio 2015	201506	Hombres	Educación Primaria o inferior	10	10779	Aragón
Junio 2015	201506	Mujeres	Educación Primaria o inferior	10	6616	Aragón
Junio 2015	201506	Hombres	Primera etapa de educación secundaria	20	10635	Aragón
Junio 2015	201506	Mujeres	Primera etapa de educación secundaria	20	7706	Aragón
Junio 2015	201506	Hombres	Bachillerato	31	4466	Aragón
Junio 2015	201506	Mujeres	Bachillerato	31	3833	Aragón
Junio 2015	201506	Hombres	Enseñanza media de formación profesional	32	1873	Aragón
Junio 2015	201506	Mujeres	Enseñanza media de formación profesional	32	1413	Aragón
Junio 2015	201506	Hombres	Enseñanza superior de formación profesional	41	1048	Aragón
Junio 2015	201506	Mujeres	Enseñanza superior de formación profesional	41	769	Aragón
Junio 2015	201506	Hombres	Enseñanza superior universitaria	42	1419	Aragón
Junio 2015	201506	Mujeres	Enseñanza superior universitaria	42	2064	Aragón
Mayo 2015	201505	Hombres	Educación Primaria o inferior	10	12353	Aragón
Mayo 2015	201505	Mujeres	Educación Primaria o inferior	10	6875	Aragón
Mayo 2015	201505	Hombres	Primera etapa de educación secundaria	20	9373	Aragón
Mayo 2015	201505	Mujeres	Primera etapa de educación secundaria	20	6762	Aragón
Mayo 2015	201505	Hombres	Bachillerato	31	3605	Aragón
Mayo 2015	201505	Mujeres	Bachillerato	31	3418	Aragón
Mayo 2015	201505	Hombres	Enseñanza media de formación profesional	32	1603	Aragón
Mayo 2015	201505	Mujeres	Enseñanza media de formación profesional	32	1146	Aragón
Mayo 2015	201505	Hombres	Enseñanza superior de formación profesional	41	831	Aragón
Mayo 2015	201505	Mujeres	Enseñanza superior de formación profesional	41	599	Aragón
Mayo 2015	201505	Hombres	Enseñanza superior universitaria	42	1348	Aragón
Mayo 2015	201505	Mujeres	Enseñanza superior universitaria	42	1840	Aragón
Abril 2015	201504	Hombres	Educación Primaria o inferior	10	6226	Aragón
Abril 2015	201504	Mujeres	Educación Primaria o inferior	10	4028	Aragón
Abril 2015	201504	Hombres	Primera etapa de educación secundaria	20	7828	Aragón
Abril 2015	201504	Mujeres	Primera etapa de educación secundaria	20	5598	Aragón
Abril 2015	201504	Hombres	Bachillerato	31	3152	Aragón
Abril 2015	201504	Mujeres	Bachillerato	31	2817	Aragón
Abril 2015	201504	Hombres	Enseñanza media de formación profesional	32	1508	Aragón
Abril 2015	201504	Mujeres	Enseñanza media de formación profesional	32	1148	Aragón
Abril 2015	201504	Hombres	Enseñanza superior de formación profesional	41	729	Aragón
Abril 2015	201504	Mujeres	Enseñanza superior de formación profesional	41	711	Aragón
Abril 2015	201504	Hombres	Enseñanza superior universitaria	42	1270	Aragón
Abril 2015	201504	Mujeres	Enseñanza superior universitaria	42	1838	Aragón
Marzo 2015	201503	Hombres	Educación Primaria o inferior	10	5790	Aragón
Marzo 2015	201503	Mujeres	Educación Primaria o inferior	10	4011	Aragón
Marzo 2015	201503	Hombres	Primera etapa de educación secundaria	20	7364	Aragón
Marzo 2015	201503	Mujeres	Primera etapa de educación secundaria	20	5623	Aragón
Marzo 2015	201503	Hombres	Bachillerato	31	3224	Aragón
Marzo 2015	201503	Mujeres	Bachillerato	31	3299	Aragón
Marzo 2015	201503	Hombres	Enseñanza media de formación profesional	32	1569	Aragón
Marzo 2015	201503	Mujeres	Enseñanza media de formación profesional	32	1103	Aragón
Marzo 2015	201503	Hombres	Enseñanza superior de formación profesional	41	803	Aragón
Marzo 2015	201503	Mujeres	Enseñanza superior de formación profesional	41	685	Aragón
Marzo 2015	201503	Hombres	Enseñanza superior universitaria	42	1338	Aragón
Marzo 2015	201503	Mujeres	Enseñanza superior universitaria	42	1835	Aragón
Febrero 2015	201502	Hombres	Educación Primaria o inferior	10	4669	Aragón
Febrero 2015	201502	Mujeres	Educación Primaria o inferior	10	3391	Aragón
Febrero 2015	201502	Hombres	Primera etapa de educación secundaria	20	6456	Aragón
Febrero 2015	201502	Mujeres	Primera etapa de educación secundaria	20	4739	Aragón
Febrero 2015	201502	Hombres	Bachillerato	31	2965	Aragón
Febrero 2015	201502	Mujeres	Bachillerato	31	2424	Aragón
Febrero 2015	201502	Hombres	Enseñanza media de formación profesional	32	1321	Aragón
Febrero 2015	201502	Mujeres	Enseñanza media de formación profesional	32	1013	Aragón
Febrero 2015	201502	Hombres	Enseñanza superior de formación profesional	41	790	Aragón
Febrero 2015	201502	Mujeres	Enseñanza superior de formación profesional	41	697	Aragón
Febrero 2015	201502	Hombres	Enseñanza superior universitaria	42	1243	Aragón
Febrero 2015	201502	Mujeres	Enseñanza superior universitaria	42	1797	Aragón
Enero 2015	201501	Hombres	Educación Primaria o inferior	10	5121	Aragón
Enero 2015	201501	Mujeres	Educación Primaria o inferior	10	3855	Aragón
Enero 2015	201501	Hombres	Primera etapa de educación secundaria	20	7308	Aragón
Enero 2015	201501	Mujeres	Primera etapa de educación secundaria	20	5650	Aragón
Enero 2015	201501	Hombres	Bachillerato	31	3013	Aragón
Enero 2015	201501	Mujeres	Bachillerato	31	2638	Aragón
Enero 2015	201501	Hombres	Enseñanza media de formación profesional	32	1507	Aragón
Enero 2015	201501	Mujeres	Enseñanza media de formación profesional	32	1147	Aragón
Enero 2015	201501	Hombres	Enseñanza superior de formación profesional	41	807	Aragón
Enero 2015	201501	Mujeres	Enseñanza superior de formación profesional	41	814	Aragón
Enero 2015	201501	Hombres	Enseñanza superior universitaria	42	1347	Aragón
Enero 2015	201501	Mujeres	Enseñanza superior universitaria	42	1928	Aragón
Diciembre 2014	201412	Hombres	Educación Primaria o inferior	10	4351	Aragón
Diciembre 2014	201412	Mujeres	Educación Primaria o inferior	10	3857	Aragón
Diciembre 2014	201412	Hombres	Primera etapa de educación secundaria	20	6615	Aragón
Diciembre 2014	201412	Mujeres	Primera etapa de educación secundaria	20	5672	Aragón
Diciembre 2014	201412	Hombres	Bachillerato	31	2756	Aragón
Diciembre 2014	201412	Mujeres	Bachillerato	31	2821	Aragón
Diciembre 2014	201412	Hombres	Enseñanza media de formación profesional	32	1324	Aragón
Diciembre 2014	201412	Mujeres	Enseñanza media de formación profesional	32	1145	Aragón
Diciembre 2014	201412	Hombres	Enseñanza superior de formación profesional	41	693	Aragón
Diciembre 2014	201412	Mujeres	Enseñanza superior de formación profesional	41	519	Aragón
Diciembre 2014	201412	Hombres	Enseñanza superior universitaria	42	1106	Aragón
Diciembre 2014	201412	Mujeres	Enseñanza superior universitaria	42	1752	Aragón
Noviembre 2014	201411	Hombres	Educación Primaria o inferior	10	4772	Aragón
Noviembre 2014	201411	Mujeres	Educación Primaria o inferior	10	3538	Aragón
Noviembre 2014	201411	Hombres	Primera etapa de educación secundaria	20	7220	Aragón
Noviembre 2014	201411	Mujeres	Primera etapa de educación secundaria	20	5660	Aragón
Noviembre 2014	201411	Hombres	Bachillerato	31	2852	Aragón
Noviembre 2014	201411	Mujeres	Bachillerato	31	2963	Aragón
Noviembre 2014	201411	Hombres	Enseñanza media de formación profesional	32	1304	Aragón
Noviembre 2014	201411	Mujeres	Enseñanza media de formación profesional	32	1091	Aragón
Noviembre 2014	201411	Hombres	Enseñanza superior de formación profesional	41	685	Aragón
Noviembre 2014	201411	Mujeres	Enseñanza superior de formación profesional	41	529	Aragón
Noviembre 2014	201411	Hombres	Enseñanza superior universitaria	42	1249	Aragón
