Año	Código del municipio	Nombre del municipio	Superficie total de las explotaciones	Hectáreas en tierras labradas	Hectáreas en tierras para pastos permanentes	Hectáreas en especies arbóreas forestales	Hectáreas en otras tierras	Hectáreas en propiedad	Hectáreas en arrendamiento	Hectáreas en aparcería	Hectáreas en otros regímenes de tenencia de las tierras
1989	44210	Sarrión	11860	3151	5851	453	2406	7299	1175	359	3027
1989	44211	Segura de los Baños	5329	975	2095	2115	144	1004	2565	0	1760
1989	44212	Seno	1989	321	563	2	1104	1732	250	0	8
1989	44213	Singra	3656	2474	300	352	529	2068	1202	375	10
1989	44215	Terriente	5022	818	2841	677	687	3938	507	1	576
1989	44216	Teruel	43245	15622	8937	2525	16161	29669	6448	515	6612
1989	44217	Toril y Masegoso	854	321	364	135	35	586	268	0	0
1989	44218	Tormón	2678	22	795	1254	608	1024	0	0	1654
1989	44219	Tornos	5261	2762	722	0	1778	1944	988	80	2250
1989	44220	Torralba de los Sisones	4350	2301	110	643	1296	2771	599	0	981
1989	44221	Torrecilla de Alcañiz	2881	1673	1037	11	159	2105	75	701	0
1989	44222	Torrecilla del Rebollar	6901	2539	75	1691	2596	1069	1155	200	4477
1989	44223	Torre de Arcas	3416	404	0	1912	1100	2392	851	0	172
1989	44224	Torre de las Arcas	3650	225	2448	679	299	2737	124	52	737
1989	44225	Torre del Compte	1401	796	1	291	312	1168	157	59	17
1989	44226	Torrelacárcel	3201	2419	380	102	300	1653	407	742	400
1989	44227	Torre los Negros	3286	1783	947	74	483	1444	678	471	693
1989	44228	Torremocha de Jiloca	3324	1754	0	1000	570	1074	448	231	1571
1989	44229	Torres de Albarracín	2822	452	0	804	1566	582	280	12	1948
1989	44230	Torrevelilla	2953	813	1512	99	529	2463	5	486	0
1989	44231	Torrijas	5693	723	500	2503	1968	309	542	0	4842
1989	44232	Torrijo del Campo	4127	3050	2	4	1072	2604	1041	481	1
1989	44234	Tramacastiel	4552	170	2825	783	774	3702	35	0	815
1989	44235	Tramacastilla	2493	240	20	1254	978	1051	144	0	1298
1989	44236	Tronchón	4953	276	3052	767	859	3056	1774	0	123
1989	44237	Urrea de Gaén	3777	2322	728	356	371	1477	250	1328	722
1989	44238	Utrillas	3778	468	1928	301	1081	2816	321	12	629
1989	44239	Valacloche	1468	39	0	462	967	364	3	0	1101
1989	44240	Valbona	2337	401	541	333	1061	1045	161	6	1124
1989	44241	Valdealgorfa	4117	2506	0	9	1603	3635	57	425	0
1989	44243	Valdecuenca	1883	379	132	1372	1	1521	362	0	0
1989	44244	Valdelinares	5758	205	2709	2227	618	2052	1925	0	1781
1989	44245	Valdeltormo	737	545	0	97	95	682	21	11	22
1989	44246	Valderrobres	8084	3427	74	3182	1401	5833	330	338	1583
1989	44247	Valjunquera	3665	1884	8	54	1719	3103	182	349	31
1989	44249	Vallecillo (El)	2328	129	1215	839	145	1210	110	15	994
1989	44250	Veguillas de la Sierra	1467	354	269	720	123	1181	285	0	0
1989	44251	Villafranca del Campo	5552	3268	1256	647	381	2518	1218	388	1427
1989	44252	Villahermosa del Campo	1921	1571	42	190	118	1246	548	126	0
1989	44256	Villanueva del Rebollar de la Sierra	2107	872	300	0	935	331	539	8	1230
1989	44257	Villar del Cobo	5378	679	2284	1133	1283	3263	444	0	1671
1989	44258	Villar del Salz	3395	597	1238	1352	209	3095	171	0	130
1989	44260	Villarluengo	14789	711	8089	4471	1517	6501	3287	285	4716
1989	44261	Villarquemado	5103	3064	2028	1	9	3836	799	465	2
1989	44262	Villarroya de los Pinares	5855	770	3491	1517	77	2256	1439	0	2160
1989	44263	Villastar	3769	899	536	1478	857	2100	547	0	1123
1989	44264	Villel	8231	570	2842	1053	3766	2558	61	17	5596
1989	44265	Vinaceite	4886	4770	110	0	6	2122	323	2440	0
1989	44266	Visiedo	5533	3520	1517	335	161	3887	438	1198	10
1989	44267	Vivel del Río Martín	5056	1370	401	1044	2241	2621	990	16	1429
1989	44268	Zoma (La)	1471	118	523	662	167	617	80	0	773
1989	50001	Abanto	7434	1238	1952	1429	2815	4398	443	0	2593
1989	50002	Acered	3153	1351	458	357	987	2321	20	0	812
1989	50003	Agón	1167	912	105	0	151	923	227	17	0
1989	50004	Aguarón	4054	2156	157	1178	563	3144	43	16	851
1989	50005	Aguilón	5859	3309	811	101	1638	3629	1093	87	1050
1989	50006	Ainzón	3862	2845	16	143	858	3372	57	373	60
1989	50007	Aladrén	1761	236	12	513	1001	1540	0	0	221
1989	50008	Alagón	1787	1597	6	136	48	1253	352	43	140
1989	50009	Alarba	1255	692	42	339	182	1218	27	0	11
1989	50010	Alberite de San Juan	672	343	0	0	328	595	51	26	0
1989	50011	Albeta	79	33	7	0	38	79	0	0	0
1989	50012	Alborge	142	11	0	0	131	141	0	1	0
1989	50013	Alcalá de Ebro	435	362	6	62	6	310	83	42	0
1989	50014	Alcalá de Moncayo	1106	503	403	193	7	975	44	7	80
1989	50015	Alconchel de Ariza	4583	2623	120	1122	719	2450	1833	0	300
1989	50016	Aldehuela de Liestos	1693	605	28	608	452	839	325	528	0
1989	50017	Alfajarín	12893	8363	480	0	4050	11009	1491	392	0
1989	50018	Alfamén	9080	8684	136	0	260	8151	731	198	1
1989	50019	Alforque	1174	768	0	0	406	734	67	374	0
1989	50020	Alhama de Aragón	3261	533	2291	260	177	2288	181	7	784
1989	50021	Almochuel	1762	1650	105	0	6	625	129	1008	0
1989	50022	Almolda (La)	13009	10375	380	380	1875	9858	1232	969	951
1989	50023	Almonacid de la Cuba	4812	2970	31	0	1811	2634	1865	47	266
1989	50024	Almonacid de la Sierra	5023	3455	362	600	607	4565	84	128	245
1989	50025	Almunia de Doña Godina (La)	4114	3218	42	653	202	3172	224	15	703
1989	50026	Alpartir	3533	1059	726	759	989	2892	102	0	539
1989	50027	Ambel	5796	1654	49	962	3131	4705	209	57	825
1989	50028	Anento	1729	656	710	280	84	920	323	0	486
1989	50029	Aniñón	6030	2175	259	1974	1622	4248	76	66	1640
1989	50030	Añón de Moncayo	6092	424	2372	2705	591	5926	166	0	0
1989	50031	Aranda de Moncayo	6344	563	4707	902	171	4213	93	12	2026
1989	50032	Arándiga	4626	1115	2705	1	805	3320	1268	14	25
1989	50033	Ardisa	2552	810	849	583	311	2434	41	78	0
1989	50034	Ariza	12029	4468	4407	1627	1528	7809	1609	814	1798
1989	50035	Artieda	1195	452	19	348	376	733	79	0	384
1989	50036	Asín	2837	540	30	724	1544	1910	157	16	754
1989	50037	Atea	3898	1595	0	551	1752	3842	22	34	0
1989	50038	Ateca	6933	1936	2791	1927	279	5401	126	12	1394
1989	50039	Azuara	15746	8595	5959	275	917	8483	3045	969	3249
1989	50040	Badules	2811	1406	440	925	41	1545	711	15	540
1989	50041	Bagüés	2642	200	173	1643	627	1562	188	0	893
1989	50042	Balconchán	1870	503	152	74	1141	1566	70	12	222
1989	50043	Bárboles	1340	1283	14	6	38	960	179	201	0
1989	50044	Bardallur	1729	1160	564	3	2	1429	130	170	0
1989	50045	Belchite	30380	23196	153	141	6891	22596	1433	4540	1811
1989	50046	Belmonte de Gracián	4126	909	496	1352	1370	2851	83	17	1176
1989	50047	Berdejo	2827	44	165	1130	1488	1407	10	2	1408
1989	50048	Berrueco	1119	496	0	557	66	586	98	147	288
1989	50050	Bijuesca	5551	1178	1211	2289	873	4020	1531	0	0
1989	50051	Biota	11376	7092	2190	79	2015	6115	2677	1940	644
1989	50052	Bisimbre	761	524	13	0	224	591	27	143	0
1989	50053	Boquiñeni	1524	1294	6	35	188	1172	304	24	24
1989	50054	Bordalba	3931	2264	770	598	300	1550	1793	0	588
1989	50055	Borja	10991	4377	3752	1578	1284	8364	2408	199	20
1989	50056	Botorrita	1134	487	1	0	646	951	178	5	0
1989	50057	Brea de Aragón	1040	361	668	0	10	1040	0	0	0
1989	50058	Bubierca	3235	133	1761	933	408	2888	4	4	339
1989	50059	Bujaraloz	10790	8809	1667	0	313	8453	905	1432	0
1989	50060	Bulbuente	1968	1107	590	15	256	1890	0	78	0
1989	50061	Bureta	1643	1407	232	5	0	1553	21	69	0
1989	50062	Burgo de Ebro (El)	1829	1543	63	20	203	1292	462	63	12
1989	50063	Buste (El)	719	552	41	116	11	636	82	0	0
1989	50064	Cabañas de Ebro	474	439	1	32	2	358	67	20	29
1989	50065	Cabolafuente	2220	1410	723	87	0	1214	1005	0	0
1989	50066	Cadrete	877	208	0	2	667	813	2	63	0
1989	50067	Calatayud	14583	2809	2668	8293	812	9017	1908	43	3615
1989	50068	Calatorao	3783	3665	20	1	97	3153	373	232	26
1989	50069	Calcena	6054	18	2697	770	2570	6054	0	0	0
1989	50070	Calmarza	2241	1133	185	59	864	1169	822	0	250
1989	50071	Campillo de Aragón	5367	2159	3167	10	31	891	1291	0	3185
1989	50072	Carenas	2582	373	110	855	1244	1928	31	14	610
1989	50073	Cariñena	6237	5757	31	2	447	5423	110	702	2
1989	50074	Caspe	50083	18714	8457	2357	20555	32963	3041	5623	8455
1989	50075	Castejón de Alarba	992	531	112	210	139	944	47	0	0
1989	50076	Castejón de las Armas	1085	221	734	33	97	1074	6	5	0
1989	50077	Castejón de Valdejasa	9938	2667	653	2711	3908	4423	399	1366	3750
1989	50078	Castiliscar	4527	2019	174	360	1975	4083	64	380	0
1989	50079	Cervera de la Cañada	2000	1597	1	2	401	1630	235	135	0
1989	50080	Cerveruela	2361	83	118	1555	606	2240	12	110	0
1989	50081	Cetina	7096	4325	75	303	2393	3499	3149	41	406
1989	50082	Cimballa	3318	1248	165	165	1740	2862	455	1	0
1989	50083	Cinco Olivas	15	15	0	0	0	2	12	0	0
1989	50084	Clarés de Ribota	1076	759	0	0	317	777	281	18	0
1989	50085	Codo	754	590	164	0	0	429	83	242	0
1989	50086	Codos	6580	685	1315	2385	2196	6424	131	21	4
1989	50087	Contamina	742	226	488	14	14	705	0	37	0
1989	50088	Cosuenda	2775	1390	102	540	743	2756	10	8	1
1989	50089	Cuarte de Huerva	204	164	0	0	40	167	1	36	0
1989	50090	Cubel	6056	2994	740	1409	913	2202	366	1067	2421
1989	50091	Cuerlas (Las)	2501	1409	145	152	795	1157	582	482	280
1989	50092	Chiprana	3587	2110	0	0	1477	3429	38	119	0
1989	50093	Chodes	1248	209	681	2	356	1243	1	4	0
1989	50094	Daroca	2620	964	185	1052	418	2298	253	68	1
1989	50095	Ejea de los Caballeros	56238	39677	5557	6600	4405	45699	9002	889	649
1989	50096	Embid de Ariza	2773	587	857	1157	172	2028	463	0	281
1989	50098	Encinacorba	2844	890	81	863	1010	1721	17	7	1099
1989	50099	Épila	18429	12753	43	21	5612	14403	3039	887	100
1989	50100	Erla	1056	971	34	3	48	960	97	0	0
1989	50101	Escatrón	7585	3963	0	81	3541	6655	34	853	43
1989	50102	Fabara	10546	3693	47	30	6776	10087	84	375	0
1989	50104	Farlete	9155	6120	0	0	3035	5631	3418	106	0
1989	50105	Fayón	11116	1029	3714	1743	4630	1522	0	0	9594
1989	50106	Fayos (Los)	405	52	104	86	163	293	4	6	103
1989	50107	Figueruelas	633	535	17	1	80	507	120	7	0
1989	50108	Fombuena	2767	159	1719	788	100	1654	1113	0	0
1989	50109	Frago (El)	3162	414	71	2505	172	3047	112	0	4
1989	50110	Frasno (El)	4886	1786	122	1381	1597	4606	251	29	0
1989	50111	Fréscano	1703	1482	100	41	79	1212	341	112	37
1989	50113	Fuendejalón	6379	4875	68	556	881	5348	295	410	327
1989	50114	Fuendetodos	5814	1908	1350	2108	448	5009	765	2	38
1989	50115	Fuentes de Ebro	13227	7594	0	38	5595	10988	2080	154	4
1989	50116	Fuentes de Jiloca	2825	495	1042	848	440	2600	63	39	123
1989	50117	Gallocanta	2764	1652	155	176	782	1924	394	440	6
1989	50118	Gallur	4759	4123	161	35	441	3047	1437	258	17
1989	50119	Gelsa	7135	5438	10	0	1687	4050	1478	1587	20
1989	50120	Godojos	1557	504	973	76	5	1520	37	0	0
1989	50121	Gotor	1235	316	749	160	10	1233	2	1	0
1989	50122	Grisel	1050	503	0	5	541	800	242	8	0
1989	50123	Grisén	208	197	0	5	5	133	22	51	1
1989	50124	Herrera de los Navarros	14426	6894	4218	1218	2096	7611	3393	40	3382
1989	50125	Ibdes	4714	1622	1017	1198	878	4181	210	10	313
1989	50126	Illueca	1973	575	949	298	152	1576	0	0	397
1989	50128	Isuerre	1932	524	1158	250	0	1692	168	72	0
1989	50129	Jaraba	3849	567	56	856	2370	2802	159	0	888
1989	50130	Jarque de Moncayo	3009	943	682	1362	21	2969	32	8	0
1989	50131	Jaulín	4523	2109	10	169	2235	3979	86	458	0
1989	50132	Joyosa (La)	412	411	1	0	0	315	58	36	3
1989	50133	Lagata	2088	1702	115	1	271	1313	596	179	0
1989	50134	Langa del Castillo	3797	2227	530	905	135	2359	477	706	254
1989	50135	Layana	16	14	0	0	2	16	0	0	0
1989	50136	Lécera	15049	8212	510	0	6327	10635	3280	1134	0
1989	50137	Leciñena	17956	11087	0	2970	3900	11190	6103	532	131
1989	50138	Lechón	1758	1365	382	0	11	1105	375	67	211
1989	50139	Letux	3533	3012	50	0	471	1973	1107	453	0
1989	50140	Litago	1364	256	227	344	537	1317	47	0	0
1989	50141	Lituénigo	954	405	118	403	28	864	90	0	0
1989	50142	Lobera de Onsella	3430	199	2212	720	298	2714	98	0	618
1989	50143	Longares	5110	4896	1	0	213	4670	177	257	7
1989	50144	Longás	4898	38	3371	1431	58	3576	33	0	1289
1989	50146	Lucena de Jalón	769	717	37	5	10	712	45	13	0
1989	50147	Luceni	1885	1578	124	51	132	1429	296	70	91
1989	50148	Luesia	12185	3193	1459	5468	2064	10447	784	412	542
1989	50149	Luesma	2877	748	1003	1069	57	1717	843	0	317
1989	50150	Lumpiaque	2051	1191	7	4	849	1752	30	269	0
1989	50151	Luna	28958	15045	62	8465	5385	24704	3749	359	146
1989	50152	Maella	23089	6711	105	4263	12011	16821	30	390	5848
1989	50153	Magallón	9299	4158	4803	0	337	3217	838	354	4888
1989	50154	Mainar	2834	1181	223	661	769	1428	404	111	892
1989	50155	Malanquilla	3554	1545	280	500	1230	1838	546	385	785
1989	50156	Maleján	0	0	0	0	0	0	0	0	0
1989	50157	Malón	328	247	5	0	76	269	41	15	3
1989	50159	Maluenda	4396	1322	2588	251	235	1291	0	252	2853
1989	50160	Mallén	3204	2920	158	9	117	2445	522	236	1
1989	50161	Manchones	2341	722	636	881	101	2084	204	53	0
1989	50162	Mara	1890	1314	0	22	553	1784	103	3	0
1989	50163	María de Huerva	8173	3731	53	1148	3241	6950	199	1024	0
1989	50164	Mediana de Aragón	10053	3560	0	0	6492	9168	850	14	20
1989	50165	Mequinenza	25579	6088	1784	2870	14837	22023	482	1275	1800
1989	50166	Mesones de Isuela	4599	1402	2772	256	169	3750	471	0	377
1989	50167	Mezalocha	5377	2944	2	0	2431	4188	33	1156	0
1989	50168	Mianos	1288	734	13	342	199	791	497	0	0
1989	50169	Miedes de Aragón	6276	2528	410	1871	1467	3607	1308	0	1362
1989	50170	Monegrillo	17457	9732	1140	0	6585	14616	2838	0	2
1989	50171	Moneva	7245	3168	2700	1	1375	5806	1439	0	0
1989	50172	Monreal de Ariza	4285	2854	0	4	1427	2858	1291	135	0
1989	50173	Monterde	5574	1405	3093	945	131	4679	878	0	17
1989	50174	Montón	2231	299	628	640	663	2103	126	2	0
1989	50175	Morata de Jalón	3999	1454	1635	77	833	3456	18	142	383
1989	50176	Morata de Jiloca	2877	564	1568	697	48	2727	47	19	85
1989	50177	Morés	2393	559	523	917	394	2382	11	0	0
1989	50178	Moros	5054	1315	1880	1197	662	3612	171	2	1269
1989	50179	Moyuela	5551	4875	500	0	176	2115	3437	0	0
1989	50180	Mozota	1556	1131	0	5	421	1272	130	155	0
1989	50181	Muel	7185	6244	423	0	518	5375	1181	588	41
1989	50182	Muela (La)	15705	6426	0	60	9219	13400	1194	1001	111
1989	50183	Munébrega	4117	1679	495	253	1690	2953	194	7	963
1989	50184	Murero	1765	417	27	317	1004	1331	71	4	359
1989	50185	Murillo de Gállego	9693	684	864	1312	6833	9555	138	0	0
1989	50186	Navardún	2586	1209	1211	46	121	2259	117	210	0
1989	50187	Nigüella	2913	676	1928	130	178	2437	476	0	0
1989	50188	Nombrevilla	1028	440	268	215	105	755	254	19	0
1989	50189	Nonaspe	15987	1802	5595	3506	5083	9398	2	145	6442
1989	50190	Novallas	767	642	1	1	122	602	73	93	0
1989	50191	Novillas	1282	1262	1	3	16	764	414	103	1
1989	50192	Nuévalos	3613	294	586	1906	827	3503	20	0	90
1989	50193	Nuez de Ebro	344	337	6	0	2	253	91	0	0
1989	50194	Olvés	1763	1047	56	437	223	1405	78	9	271
1989	50195	Orcajo	2658	622	113	1217	706	2473	140	45	0
1989	50196	Orera	2765	451	60	1866	388	2725	40	0	0
1989	50197	Orés	6617	854	999	1861	2903	3531	609	275	2203
1989	50198	Oseja	1074	106	965	3	0	1074	0	0	0
1989	50199	Osera de Ebro	1342	1224	23	0	95	1045	202	95	0
1989	50200	Paniza	4810	2506	50	1404	849	4713	37	60	0
1989	50201	Paracuellos de Jiloca	3878	1020	1243	212	1403	3471	337	34	36
1989	50202	Paracuellos de la Ribera	2126	694	482	469	482	2097	28	2	0
1989	50203	Pastriz	1183	773	39	229	142	796	75	40	273
1989	50204	Pedrola	12416	8963	2820	3	630	7394	2218	2516	288
1989	50205	Pedrosas (Las)	1539	1299	0	0	240	1345	84	109	0
1989	50206	Perdiguera	10017	6107	4	2456	1450	6982	1595	1349	90
1989	50207	Piedratajada	4087	3251	3	0	834	3468	471	148	0
1989	50208	Pina de Ebro	34567	17958	6554	3417	6638	22652	4280	1525	6111
1989	50209	Pinseque	1174	1058	15	0	100	862	195	117	0
1989	50210	Pintanos (Los)	7834	1851	2101	2589	1294	5233	266	518	1818
1989	50211	Plasencia de Jalón	3511	3050	357	4	100	3342	145	25	0
1989	50212	Pleitas	158	151	0	3	4	110	29	18	0
1989	50213	Plenas	3114	2309	710	0	94	1606	1508	0	0
1989	50214	Pomer	3271	189	2803	0	279	3144	127	0	0
1989	50215	Pozuel de Ariza	1148	324	200	18	607	1023	125	0	0
1989	50216	Pozuelo de Aragón	4063	3668	0	0	396	3437	268	348	10
1989	50217	Pradilla de Ebro	3444	1455	789	197	1002	2850	107	76	412
1989	50218	Puebla de Albortón	7519	3393	25	755	3345	6264	334	921	0
1989	50219	Puebla de Alfindén (La)	1525	1059	37	4	425	1231	283	10	2
1989	50220	Puendeluna	789	494	172	18	105	654	58	77	0
1989	50221	Purujosa	3280	0	2046	0	1234	3280	0	0	0
1989	50222	Quinto	10041	6895	20	0	3126	6668	2862	511	0
1989	50223	Remolinos	1634	705	20	3	906	1404	216	14	0
1989	50224	Retascón	2306	1630	477	126	74	1443	533	287	43
1989	50225	Ricla	8318	4663	2286	315	1054	5009	3241	28	40
1989	50227	Romanos	1877	1820	45	1	11	1206	671	0	0
1989	50228	Rueda de Jalón	9889	7334	2209	4	341	7296	810	1783	0
1989	50229	Ruesca	1034	331	36	585	82	991	34	9	0
1989	50230	Sádaba	11842	9554	1510	419	358	8548	1532	1751	11
1989	50231	Salillas de Jalón	120	120	0	0	0	88	27	4	0
1989	50232	Salvatierra de Esca	13632	581	3472	4562	5017	13463	121	43	5
1989	50233	Samper del Salz	752	560	4	0	188	413	31	307	0
1989	50234	San Martín de la Virgen de Moncayo	899	78	475	223	123	890	8	0	0
1989	50235	San Mateo de Gállego	6269	5457	265	34	513	2688	1606	1543	433
1989	50236	Santa Cruz de Grío	2598	468	371	1409	349	2592	4	2	0
1989	50237	Santa Cruz de Moncayo	187	72	45	4	65	185	0	2	0
1989	50238	Santa Eulalia de Gállego	6792	299	1206	855	4432	6409	380	0	4
1989	50239	Santed	2068	1434	197	197	241	1196	365	507	0
1989	50240	Sástago	27207	14925	544	15	11724	20341	3397	3469	0
1989	50241	Saviñán	1324	955	105	19	244	1310	12	2	0
1989	50242	Sediles	1072	408	235	183	246	520	110	3	438
1989	50243	Sestrica	3940	949	1226	670	1095	3868	1	70	0
1989	50244	Sierra de Luna	6232	4163	167	295	1607	4084	1155	993	0
1989	50245	Sigüés	11860	817	1873	5578	3591	10342	224	26	1268
1989	50246	Sisamón	2706	1704	843	123	35	1814	892	0	0
1989	50247	Sobradiel	910	754	25	89	42	830	57	22	0
1989	50248	Sos del Rey Católico	19221	8626	6347	3204	1044	15841	1192	2153	36
1989	50249	Tabuenca	8669	2383	2216	2179	1891	8265	401	3	0
1989	50250	Talamantes	5187	345	1085	1511	2246	5079	70	0	38
1989	50251	Tarazona	21344	8440	208	2785	9912	16482	4352	459	51
1989	50252	Tauste	32342	20085	5346	2104	4808	15661	1704	877	14099
1989	50253	Terrer	3902	937	2203	475	286	3082	764	55	0
1989	50254	Tierga	6498	1779	3887	413	420	5331	1094	74	0
1989	50255	Tobed	2461	258	664	954	585	2443	19	0	0
1989	50256	Torralba de los Frailes	4024	2303	70	842	809	1850	352	964	858
1989	50257	Torralba de Ribota	3454	770	69	1094	1521	2993	12	9	439
1989	50258	Torralbilla	2088	870	371	719	128	297	358	177	1256
1989	50259	Torrehermosa	2353	1713	0	120	520	1228	1126	0	0
1989	50260	Torrelapaja	1541	500	382	304	355	1110	196	235	0
1989	50261	Torrellas	173	46	42	62	23	131	1	0	42
1989	50262	Torres de Berrellén	3876	2017	1699	118	43	3316	396	119	45
1989	50263	Torrijo de la Cañada	7141	1485	3172	1790	694	6848	264	30	0
1989	50264	Tosos	8305	3020	2227	1602	1455	3586	98	462	4159
1989	50265	Trasmoz	1481	406	200	0	875	1331	150	0	0
1989	50266	Trasobares	6949	1084	5228	335	302	5909	466	95	479
1989	50267	Uncastillo	20969	6518	6448	1303	6701	16704	1735	1965	565
1989	50268	Undués de Lerda	4677	280	3215	934	247	4174	90	96	316
1989	50269	Urrea de Jalón	2155	748	1407	0	0	2077	13	64	0
1989	50270	Urriés	3913	345	588	1810	1170	3832	51	30	0
1989	50271	Used	9024	6473	643	1173	734	4964	1968	1992	100
1989	50272	Utebo	1273	1164	62	12	36	704	270	299	0
1989	50273	Valdehorna	718	276	0	100	343	661	57	0	0
1989	50274	Val de San Martín	2248	686	359	797	406	1995	220	33	0
1989	50275	Valmadrid	7912	944	536	2817	3616	7746	122	44	0
1989	50276	Valpalmas	3763	2744	545	379	95	3227	301	89	146
1989	50277	Valtorres	490	260	55	101	74	325	17	6	141
1989	50278	Velilla de Ebro	4147	2313	0	0	1834	2823	677	647	0
1989	50279	Velilla de Jiloca	1340	138	421	151	630	749	11	1	579
1989	50280	Vera de Moncayo	2202	1563	146	215	279	2032	122	48	0
1989	50281	Vierlas	97	88	0	0	9	62	35	0	0
1989	50282	Vilueña (La)	709	347	1	75	286	533	6	10	160
1989	50283	Villadoz	1543	1028	299	216	0	442	337	97	668
1989	50284	Villafeliche	2383	387	5	233	1757	1043	35	116	1188
1989	50285	Villafranca de Ebro	5601	1994	42	0	3565	5196	300	104	0
1989	50286	Villalba de Perejil	663	169	0	0	494	653	10	0	0
1989	50287	Villalengua	4505	1375	329	2278	524	3414	96	106	890
1989	50288	Villanueva de Gállego	5876	4548	20	708	600	2356	877	692	1951
1989	50289	Villanueva de Jiloca	704	164	0	32	508	693	11	0	0
1989	50290	Villanueva de Huerva	11561	3122	5	845	7590	5851	452	869	4390
1989	50291	Villar de los Navarros	4886	3665	918	57	247	3009	1878	0	0
1989	50292	Villarreal de Huerva	3957	1850	214	756	1138	2441	571	83	862
1989	50293	Villarroya de la Sierra	9417	2292	3098	3535	493	7841	58	22	1497
1989	50294	Villarroya del Campo	1467	1413	12	0	42	748	325	392	1
1989	50295	Vistabella	2205	190	373	478	1164	2205	0	0	0
1989	50296	Zaida (La)	1742	1156	580	0	7	796	767	180	0
1989	50297	Zaragoza	59247	31940	11520	4220	11567	39182	13573	5243	1250
1989	50298	Zuera	32216	17980	25	6989	7222	23050	8184	668	313
1989	50901	Biel	14742	918	517	11170	2137	9072	283	0	5388
1999	22001	Abiego	3980,1	2580	152	455	793	2567	636	777	0
1999	22002	Abizanda	5103,71	909	91	1521	2583	3875	228	0	1000
1999	22003	Adahuesca	5097,91	1616	39	225	3218	4345	394	358	0
1999	22004	Agüero	7370,76	296	51	2082	4941	7099	261	6	4
1999	22006	Aísa	6900,74	142	5567	1101	91	6723	151	26	0
1999	22007	Albalate de Cinca	3755,54	3381	2	42	331	3148	593	15	0
1999	22008	Albalatillo	605,58	394	0	1	211	545	61	0	0
1999	22009	Albelda	4701,45	3385	635	30	651	2883	1788	31	0
1999	22011	Albero Alto	1777,74	1734	8	1	35	1545	68	165	0
1999	22012	Albero Bajo	1898,53	1788	6	1	104	1153	579	138	29
1999	22013	Alberuela de Tubo	2257,43	1962	257	13	25	1738	519	0	0
1999	22014	Alcalá de Gurrea	7893,23	5514	88	108	2183	6653	775	298	166
1999	22015	Alcalá del Obispo	5043,71	3912	525	270	337	2580	1658	804	2
1999	22016	Alcampell	5687,07	3962	3	1166	557	4445	548	633	61
1999	22017	Alcolea de Cinca	8414,76	6997	358	47	1012	5266	2745	359	44
1999	22018	Alcubierre	10571,18	5985	21	1023	3542	8872	927	767	6
1999	22019	Alerre	678,21	565	0	30	83	514	164	0	0
1999	22020	Alfántega	594,17	313	159	83	39	484	68	42	0
1999	22021	Almudévar	18910,45	15103	598	372	2837	13129	4615	680	488
1999	22022	Almunia de San Juan	4345,51	2677	307	121	1240	3073	495	735	43
1999	22023	Almuniente	3453,75	3074	56	277	48	3017	333	104	0
1999	22024	Alquézar	2760,16	863	103	306	1488	2326	363	71	0
1999	22025	Altorricón	2803,94	2593	8	4	198	2072	509	206	16
1999	22027	Angüés	5271	3502	56	291	1421	2763	1505	1003	0
1999	22028	Ansó	26157,69	581	13825	10886	865	74	586	0	25497
1999	22029	Antillón	2015,63	1680	6	18	313	1646	337	33	0
1999	22032	Aragüés del Puerto	6290,42	0	2135	4039	115	379	22	0	5889
1999	22035	Arén	10324,58	1461	2995	2516	3353	6150	4105	70	0
1999	22036	Argavieso	935,74	811	1	42	82	544	330	15	46
1999	22037	Arguis	6322,11	379	2360	2147	1436	5939	383	0	0
1999	22039	Ayerbe	5367,86	3420	44	341	1563	3108	1222	915	122
1999	22040	Azanuy-Alins	3706,28	2533	122	605	446	2169	951	586	0
1999	22041	Azara	1227,74	875	0	88	265	1016	120	92	0
1999	22042	Azlor	1373,26	862	65	4	442	927	70	376	0
1999	22043	Baells	2930,74	1638	21	191	1081	2329	116	485	0
1999	22044	Bailo	15760,07	4635	2572	6013	2540	12838	2476	446	0
1999	22045	Baldellou	3175,7	724	13	1681	757	3027	10	139	0
1999	22046	Ballobar	11830,8	7704	0	4	4123	8053	3024	754	0
1999	22047	Banastás	361,47	351	0	0	10	208	6	147	0
1999	22048	Barbastro	8738,48	6101	451	684	1502	6391	1272	918	158
1999	22049	Barbués	1781,52	1648	4	6	125	1403	366	0	12
1999	22050	Barbuñales	2274,15	1203	0	512	560	2142	11	121	0
1999	22051	Bárcabo	8392,52	1204	1127	507	5554	7237	1104	51	0
1999	22052	Belver de Cinca	7663,65	6252	97	76	1238	7107	409	120	28
1999	22053	Benabarre	13917,37	6193	406	5157	2162	10867	2708	263	80
1999	22054	Benasque	23611,06	20	2461	19121	2009	22594	1017	0	0
1999	22055	Berbegal	4501,95	4158	14	36	294	3231	285	856	131
1999	22057	Bielsa	19816,47	6	11453	8348	10	19596	221	0	0
1999	22058	Bierge	10121,58	1678	867	896	6681	9019	1098	5	0
1999	22059	Biescas	16107,8	208	5621	7682	2597	15932	172	3	0
1999	22060	Binaced	7356,67	6285	370	259	442	4879	2187	278	13
1999	22061	Binéfar	1719,84	1560	49	22	90	1453	244	20	2
1999	22062	Bisaurri	5454,84	16	3393	750	1296	4678	777	0	0
