Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Edad (grupos quinquenales)	Nº Accidentes
2010	44	Teruel	Mujeres	45-49	69
2010	44	Teruel	Mujeres	50-54	43
2010	44	Teruel	Mujeres	55-59	36
2010	44	Teruel	Mujeres	60-64	9
2010	44	Teruel	Mujeres	Más de 64	1
2010	50	Zaragoza	Hombres	16-19	99
2010	50	Zaragoza	Hombres	20-24	651
2010	50	Zaragoza	Hombres	25-29	1079
2010	50	Zaragoza	Hombres	30-34	1395
2010	50	Zaragoza	Hombres	35-39	1327
2010	50	Zaragoza	Hombres	40-44	1120
2010	50	Zaragoza	Hombres	45-49	912
2010	50	Zaragoza	Hombres	50-54	700
2010	50	Zaragoza	Hombres	55-59	546
2010	50	Zaragoza	Hombres	60-64	200
2010	50	Zaragoza	Hombres	Más de 64	6
2010	50	Zaragoza	Mujeres	16-19	29
2010	50	Zaragoza	Mujeres	20-24	212
2010	50	Zaragoza	Mujeres	25-29	384
2010	50	Zaragoza	Mujeres	30-34	496
2010	50	Zaragoza	Mujeres	35-39	473
2010	50	Zaragoza	Mujeres	40-44	445
2010	50	Zaragoza	Mujeres	45-49	428
2010	50	Zaragoza	Mujeres	50-54	336
2010	50	Zaragoza	Mujeres	55-59	218
2010	50	Zaragoza	Mujeres	60-64	108
2010	50	Zaragoza	Mujeres	Más de 64	9
2009	22	Huesca	Hombres	16-19	59
2009	22	Huesca	Hombres	20-24	206
2009	22	Huesca	Hombres	25-29	284
2009	22	Huesca	Hombres	30-34	364
2009	22	Huesca	Hombres	35-39	336
2009	22	Huesca	Hombres	40-44	273
2009	22	Huesca	Hombres	45-49	232
2009	22	Huesca	Hombres	50-54	184
2009	22	Huesca	Hombres	55-59	154
2009	22	Huesca	Hombres	60-64	58
2009	22	Huesca	Hombres	Más de 64	6
2009	22	Huesca	Mujeres	16-19	17
2009	22	Huesca	Mujeres	20-24	40
2009	22	Huesca	Mujeres	25-29	68
2009	22	Huesca	Mujeres	30-34	77
2009	22	Huesca	Mujeres	35-39	71
2009	22	Huesca	Mujeres	40-44	67
2009	22	Huesca	Mujeres	45-49	89
2009	22	Huesca	Mujeres	50-54	62
2009	22	Huesca	Mujeres	55-59	41
2009	22	Huesca	Mujeres	60-64	19
2009	44	Teruel	Hombres	16-19	23
2009	44	Teruel	Hombres	20-24	154
2009	44	Teruel	Hombres	25-29	168
2009	44	Teruel	Hombres	30-34	215
2009	44	Teruel	Hombres	35-39	177
2009	44	Teruel	Hombres	40-44	206
2009	44	Teruel	Hombres	45-49	162
2009	44	Teruel	Hombres	50-54	107
2009	44	Teruel	Hombres	55-59	65
2009	44	Teruel	Hombres	60-64	30
2009	44	Teruel	Hombres	Más de 64	4
2009	44	Teruel	Mujeres	16-19	6
2009	44	Teruel	Mujeres	20-24	29
2009	44	Teruel	Mujeres	25-29	57
2009	44	Teruel	Mujeres	30-34	45
2009	44	Teruel	Mujeres	35-39	44
2009	44	Teruel	Mujeres	40-44	41
2009	44	Teruel	Mujeres	45-49	42
2009	44	Teruel	Mujeres	50-54	35
2009	44	Teruel	Mujeres	55-59	22
2009	44	Teruel	Mujeres	60-64	7
2009	44	Teruel	Mujeres	Más de 64	3
2009	50	Zaragoza	Hombres	16-19	142
2009	50	Zaragoza	Hombres	20-24	788
2009	50	Zaragoza	Hombres	25-29	1180
2009	50	Zaragoza	Hombres	30-34	1520
2009	50	Zaragoza	Hombres	35-39	1285
2009	50	Zaragoza	Hombres	40-44	1106
2009	50	Zaragoza	Hombres	45-49	920
2009	50	Zaragoza	Hombres	50-54	684
2009	50	Zaragoza	Hombres	55-59	558
2009	50	Zaragoza	Hombres	60-64	233
2009	50	Zaragoza	Hombres	Más de 64	19
2009	50	Zaragoza	Mujeres	16-19	42
2009	50	Zaragoza	Mujeres	20-24	290
2009	50	Zaragoza	Mujeres	25-29	449
2009	50	Zaragoza	Mujeres	30-34	462
2009	50	Zaragoza	Mujeres	35-39	464
2009	50	Zaragoza	Mujeres	40-44	415
2009	50	Zaragoza	Mujeres	45-49	441
2009	50	Zaragoza	Mujeres	50-54	354
2009	50	Zaragoza	Mujeres	55-59	222
2009	50	Zaragoza	Mujeres	60-64	87
2009	50	Zaragoza	Mujeres	Más de 64	8
2008	22	Huesca	Hombres	16-19	121
2008	22	Huesca	Hombres	20-24	356
2008	22	Huesca	Hombres	25-29	435
2008	22	Huesca	Hombres	30-34	468
2008	22	Huesca	Hombres	35-39	402
2008	22	Huesca	Hombres	40-44	394
2008	22	Huesca	Hombres	45-49	309
2008	22	Huesca	Hombres	50-54	235
2008	22	Huesca	Hombres	55-59	156
2008	22	Huesca	Hombres	60-64	83
2008	22	Huesca	Hombres	Más de 64	2
2008	22	Huesca	Mujeres	16-19	21
2008	22	Huesca	Mujeres	20-24	64
2008	22	Huesca	Mujeres	25-29	109
2008	22	Huesca	Mujeres	30-34	108
2008	22	Huesca	Mujeres	35-39	94
2008	22	Huesca	Mujeres	40-44	123
2008	22	Huesca	Mujeres	45-49	102
2008	22	Huesca	Mujeres	50-54	79
2008	22	Huesca	Mujeres	55-59	46
2008	22	Huesca	Mujeres	60-64	16
2008	22	Huesca	Mujeres	Más de 64	1
2008	44	Teruel	Hombres	16-19	47
2008	44	Teruel	Hombres	20-24	190
2008	44	Teruel	Hombres	25-29	249
2008	44	Teruel	Hombres	30-34	264
2008	44	Teruel	Hombres	35-39	292
2008	44	Teruel	Hombres	40-44	240
2008	44	Teruel	Hombres	45-49	201
2008	44	Teruel	Hombres	50-54	118
2008	44	Teruel	Hombres	55-59	83
2008	44	Teruel	Hombres	60-64	37
2008	44	Teruel	Hombres	Más de 64	7
2008	44	Teruel	Mujeres	16-19	8
2008	44	Teruel	Mujeres	20-24	50
2008	44	Teruel	Mujeres	25-29	77
2008	44	Teruel	Mujeres	30-34	56
2008	44	Teruel	Mujeres	35-39	65
2008	44	Teruel	Mujeres	40-44	57
2008	44	Teruel	Mujeres	45-49	57
2008	44	Teruel	Mujeres	50-54	41
2008	44	Teruel	Mujeres	55-59	26
2008	44	Teruel	Mujeres	60-64	16
2008	50	Zaragoza	Hombres	16-19	431
2008	50	Zaragoza	Hombres	20-24	1442
2008	50	Zaragoza	Hombres	25-29	2130
2008	50	Zaragoza	Hombres	30-34	2219
2008	50	Zaragoza	Hombres	35-39	1942
2008	50	Zaragoza	Hombres	40-44	1588
2008	50	Zaragoza	Hombres	45-49	1210
2008	50	Zaragoza	Hombres	50-54	896
2008	50	Zaragoza	Hombres	55-59	703
2008	50	Zaragoza	Hombres	60-64	269
2008	50	Zaragoza	Hombres	Más de 64	17
2008	50	Zaragoza	Mujeres	16-19	121
2008	50	Zaragoza	Mujeres	20-24	467
2008	50	Zaragoza	Mujeres	25-29	675
2008	50	Zaragoza	Mujeres	30-34	645
2008	50	Zaragoza	Mujeres	35-39	561
2008	50	Zaragoza	Mujeres	40-44	575
2008	50	Zaragoza	Mujeres	45-49	493
2008	50	Zaragoza	Mujeres	50-54	411
2008	50	Zaragoza	Mujeres	55-59	242
2008	50	Zaragoza	Mujeres	60-64	100
2008	50	Zaragoza	Mujeres	Más de 64	8
2007	22	Huesca	Hombres	16-19	149
2007	22	Huesca	Hombres	20-24	371
2007	22	Huesca	Hombres	25-29	518
2007	22	Huesca	Hombres	30-34	503
2007	22	Huesca	Hombres	35-39	467
2007	22	Huesca	Hombres	40-44	426
2007	22	Huesca	Hombres	45-49	339
2007	22	Huesca	Hombres	50-54	264
2007	22	Huesca	Hombres	55-59	157
2007	22	Huesca	Hombres	60-64	72
2007	22	Huesca	Hombres	Más de 64	6
2007	22	Huesca	Mujeres	16-19	22
2007	22	Huesca	Mujeres	20-24	78
2007	22	Huesca	Mujeres	25-29	103
2007	22	Huesca	Mujeres	30-34	112
2007	22	Huesca	Mujeres	35-39	94
2007	22	Huesca	Mujeres	40-44	127
2007	22	Huesca	Mujeres	45-49	87
2007	22	Huesca	Mujeres	50-54	52
2007	22	Huesca	Mujeres	55-59	38
2007	22	Huesca	Mujeres	60-64	17
2007	44	Teruel	Hombres	16-19	62
2007	44	Teruel	Hombres	20-24	207
2007	44	Teruel	Hombres	25-29	282
2007	44	Teruel	Hombres	30-34	325
2007	44	Teruel	Hombres	35-39	242
2007	44	Teruel	Hombres	40-44	233
2007	44	Teruel	Hombres	45-49	223
2007	44	Teruel	Hombres	50-54	133
2007	44	Teruel	Hombres	55-59	87
2007	44	Teruel	Hombres	60-64	35
2007	44	Teruel	Hombres	Más de 64	1
2007	44	Teruel	Mujeres	16-19	16
2007	44	Teruel	Mujeres	20-24	59
2007	44	Teruel	Mujeres	25-29	74
2007	44	Teruel	Mujeres	30-34	66
2007	44	Teruel	Mujeres	35-39	47
2007	44	Teruel	Mujeres	40-44	62
2007	44	Teruel	Mujeres	45-49	42
2007	44	Teruel	Mujeres	50-54	25
2007	44	Teruel	Mujeres	55-59	29
2007	44	Teruel	Mujeres	60-64	10
2007	44	Teruel	Mujeres	Más de 64	1
2007	50	Zaragoza	Hombres	16-19	566
2007	50	Zaragoza	Hombres	20-24	1783
2007	50	Zaragoza	Hombres	25-29	2413
2007	50	Zaragoza	Hombres	30-34	2430
2007	50	Zaragoza	Hombres	35-39	2135
2007	50	Zaragoza	Hombres	40-44	1699
2007	50	Zaragoza	Hombres	45-49	1285
2007	50	Zaragoza	Hombres	50-54	946
2007	50	Zaragoza	Hombres	55-59	806
2007	50	Zaragoza	Hombres	60-64	286
2007	50	Zaragoza	Hombres	Más de 64	10
2007	50	Zaragoza	Mujeres	16-19	115
2007	50	Zaragoza	Mujeres	20-24	526
2007	50	Zaragoza	Mujeres	25-29	729
2007	50	Zaragoza	Mujeres	30-34	652
2007	50	Zaragoza	Mujeres	35-39	590
2007	50	Zaragoza	Mujeres	40-44	516
2007	50	Zaragoza	Mujeres	45-49	507
2007	50	Zaragoza	Mujeres	50-54	367
2007	50	Zaragoza	Mujeres	55-59	255
2007	50	Zaragoza	Mujeres	60-64	88
2007	50	Zaragoza	Mujeres	Más de 64	5
2006	22	Huesca	Hombres	16-19	134
2006	22	Huesca	Hombres	20-24	413
2006	22	Huesca	Hombres	25-29	523
2006	22	Huesca	Hombres	30-34	532
2006	22	Huesca	Hombres	35-39	419
2006	22	Huesca	Hombres	40-44	396
2006	22	Huesca	Hombres	45-49	304
2006	22	Huesca	Hombres	50-54	209
2006	22	Huesca	Hombres	55-59	152
2006	22	Huesca	Hombres	60-64	86
2006	22	Huesca	Hombres	Más de 64	2
2006	22	Huesca	Mujeres	16-19	22
2006	22	Huesca	Mujeres	20-24	73
2006	22	Huesca	Mujeres	25-29	106
2006	22	Huesca	Mujeres	30-34	91
2006	22	Huesca	Mujeres	35-39	91
2006	22	Huesca	Mujeres	40-44	77
2006	22	Huesca	Mujeres	45-49	82
2006	22	Huesca	Mujeres	50-54	49
2006	22	Huesca	Mujeres	55-59	30
2006	22	Huesca	Mujeres	60-64	14
2006	44	Teruel	Hombres	16-19	69
2006	44	Teruel	Hombres	20-24	217
2006	44	Teruel	Hombres	25-29	283
2006	44	Teruel	Hombres	30-34	267
2006	44	Teruel	Hombres	35-39	229
2006	44	Teruel	Hombres	40-44	216
2006	44	Teruel	Hombres	45-49	178
2006	44	Teruel	Hombres	50-54	95
2006	44	Teruel	Hombres	55-59	52
2006	44	Teruel	Hombres	60-64	35
2006	44	Teruel	Hombres	Más de 64	1
2006	44	Teruel	Mujeres	16-19	11
2006	44	Teruel	Mujeres	20-24	35
2006	44	Teruel	Mujeres	25-29	69
2006	44	Teruel	Mujeres	30-34	63
2006	44	Teruel	Mujeres	35-39	47
2006	44	Teruel	Mujeres	40-44	50
2006	44	Teruel	Mujeres	45-49	44
2006	44	Teruel	Mujeres	50-54	21
2006	44	Teruel	Mujeres	55-59	24
2006	44	Teruel	Mujeres	60-64	9
2006	50	Zaragoza	Hombres	16-19	468
2006	50	Zaragoza	Hombres	20-24	1790
2006	50	Zaragoza	Hombres	25-29	2352
2006	50	Zaragoza	Hombres	30-34	2285
2006	50	Zaragoza	Hombres	35-39	1978
2006	50	Zaragoza	Hombres	40-44	1592
2006	50	Zaragoza	Hombres	45-49	1177
2006	50	Zaragoza	Hombres	50-54	879
2006	50	Zaragoza	Hombres	55-59	745
2006	50	Zaragoza	Hombres	60-64	293
2006	50	Zaragoza	Hombres	Más de 64	13
2006	50	Zaragoza	Mujeres	16-19	127
2006	50	Zaragoza	Mujeres	20-24	530
2006	50	Zaragoza	Mujeres	25-29	671
2006	50	Zaragoza	Mujeres	30-34	557
2006	50	Zaragoza	Mujeres	35-39	542
2006	50	Zaragoza	Mujeres	40-44	463
2006	50	Zaragoza	Mujeres	45-49	440
2006	50	Zaragoza	Mujeres	50-54	309
2006	50	Zaragoza	Mujeres	55-59	226
2006	50	Zaragoza	Mujeres	60-64	89
2006	50	Zaragoza	Mujeres	Más de 64	5
2005	22	Huesca	Hombres	16-19	142
2005	22	Huesca	Hombres	20-24	392
2005	22	Huesca	Hombres	25-29	469
2005	22	Huesca	Hombres	30-34	434
2005	22	Huesca	Hombres	35-39	397
2005	22	Huesca	Hombres	40-44	364
2005	22	Huesca	Hombres	45-49	267
2005	22	Huesca	Hombres	50-54	189
2005	22	Huesca	Hombres	55-59	174
2005	22	Huesca	Hombres	60-64	75
2005	22	Huesca	Hombres	Más de 64	3
2005	22	Huesca	Mujeres	16-19	23
2005	22	Huesca	Mujeres	20-24	86
2005	22	Huesca	Mujeres	25-29	107
2005	22	Huesca	Mujeres	30-34	93
2005	22	Huesca	Mujeres	35-39	73
2005	22	Huesca	Mujeres	40-44	67
2005	22	Huesca	Mujeres	45-49	57
2005	22	Huesca	Mujeres	50-54	45
2005	22	Huesca	Mujeres	55-59	35
2005	22	Huesca	Mujeres	60-64	8
2005	22	Huesca	Mujeres	Más de 64	1
2005	44	Teruel	Hombres	16-19	57
2005	44	Teruel	Hombres	20-24	234
2005	44	Teruel	Hombres	25-29	265
2005	44	Teruel	Hombres	30-34	256
2005	44	Teruel	Hombres	35-39	250
2005	44	Teruel	Hombres	40-44	219
2005	44	Teruel	Hombres	45-49	154
2005	44	Teruel	Hombres	50-54	103
2005	44	Teruel	Hombres	55-59	69
2005	44	Teruel	Hombres	60-64	27
2005	44	Teruel	Hombres	Más de 64	2
2005	44	Teruel	Mujeres	16-19	11
2005	44	Teruel	Mujeres	20-24	37
2005	44	Teruel	Mujeres	25-29	65
2005	44	Teruel	Mujeres	30-34	56
2005	44	Teruel	Mujeres	35-39	39
2005	44	Teruel	Mujeres	40-44	42
2005	44	Teruel	Mujeres	45-49	32
2005	44	Teruel	Mujeres	50-54	22
2005	44	Teruel	Mujeres	55-59	18
2005	44	Teruel	Mujeres	60-64	13
2005	50	Zaragoza	Hombres	16-19	518
2005	50	Zaragoza	Hombres	20-24	1831
2005	50	Zaragoza	Hombres	25-29	2281
2005	50	Zaragoza	Hombres	30-34	2014
2005	50	Zaragoza	Hombres	35-39	1814
2005	50	Zaragoza	Hombres	40-44	1414
2005	50	Zaragoza	Hombres	45-49	1011
2005	50	Zaragoza	Hombres	50-54	845
2005	50	Zaragoza	Hombres	55-59	719
2005	50	Zaragoza	Hombres	60-64	290
2005	50	Zaragoza	Hombres	Más de 64	8
2005	50	Zaragoza	Mujeres	16-19	121
2005	50	Zaragoza	Mujeres	20-24	547
2005	50	Zaragoza	Mujeres	25-29	712
2005	50	Zaragoza	Mujeres	30-34	551
2005	50	Zaragoza	Mujeres	35-39	455
2005	50	Zaragoza	Mujeres	40-44	458
2005	50	Zaragoza	Mujeres	45-49	370
2005	50	Zaragoza	Mujeres	50-54	292
2005	50	Zaragoza	Mujeres	55-59	197
2005	50	Zaragoza	Mujeres	60-64	66
2005	50	Zaragoza	Mujeres	Más de 64	3
2004	22	Huesca	Hombres	16-19	136
2004	22	Huesca	Hombres	20-24	327
2004	22	Huesca	Hombres	25-29	467
2004	22	Huesca	Hombres	30-34	377
2004	22	Huesca	Hombres	35-39	392
2004	22	Huesca	Hombres	40-44	282
2004	22	Huesca	Hombres	45-49	249
2004	22	Huesca	Hombres	50-54	175
2004	22	Huesca	Hombres	55-59	167
2004	22	Huesca	Hombres	60-64	81
2004	22	Huesca	Mujeres	16-19	8
2004	22	Huesca	Mujeres	20-24	55
2004	22	Huesca	Mujeres	25-29	85
2004	22	Huesca	Mujeres	30-34	93
2004	22	Huesca	Mujeres	35-39	69
2004	22	Huesca	Mujeres	40-44	72
2004	22	Huesca	Mujeres	45-49	54
2004	22	Huesca	Mujeres	50-54	37
2004	22	Huesca	Mujeres	55-59	18
2004	22	Huesca	Mujeres	60-64	5
2004	22	Huesca	Mujeres	Más de 64	1
2004	44	Teruel	Hombres	16-19	67
2004	44	Teruel	Hombres	20-24	192
2004	44	Teruel	Hombres	25-29	230
2004	44	Teruel	Hombres	30-34	215
2004	44	Teruel	Hombres	35-39	242
2004	44	Teruel	Hombres	40-44	217
2004	44	Teruel	Hombres	45-49	141
2004	44	Teruel	Hombres	50-54	99
2004	44	Teruel	Hombres	55-59	66
2004	44	Teruel	Hombres	60-64	24
2004	44	Teruel	Hombres	Más de 64	1
2004	44	Teruel	Mujeres	16-19	7
2004	44	Teruel	Mujeres	20-24	27
2004	44	Teruel	Mujeres	25-29	37
2004	44	Teruel	Mujeres	30-34	28
2004	44	Teruel	Mujeres	35-39	31
2004	44	Teruel	Mujeres	40-44	42
2004	44	Teruel	Mujeres	45-49	25
2004	44	Teruel	Mujeres	50-54	23
2004	44	Teruel	Mujeres	55-59	12
2004	44	Teruel	Mujeres	60-64	16
2004	44	Teruel	Mujeres	Más de 64	1
2004	50	Zaragoza	Hombres	16-19	562
2004	50	Zaragoza	Hombres	20-24	1735
2004	50	Zaragoza	Hombres	25-29	2231
2004	50	Zaragoza	Hombres	30-34	2085
2004	50	Zaragoza	Hombres	35-39	1667
2004	50	Zaragoza	Hombres	40-44	1357
2004	50	Zaragoza	Hombres	45-49	957
2004	50	Zaragoza	Hombres	50-54	843
2004	50	Zaragoza	Hombres	55-59	699
2004	50	Zaragoza	Hombres	60-64	280
2004	50	Zaragoza	Hombres	Más de 64	7
2004	50	Zaragoza	Hombres	Sin clasificar	1
2004	50	Zaragoza	Mujeres	16-19	131
2004	50	Zaragoza	Mujeres	20-24	552
2004	50	Zaragoza	Mujeres	25-29	697
2004	50	Zaragoza	Mujeres	30-34	520
2004	50	Zaragoza	Mujeres	35-39	412
2004	50	Zaragoza	Mujeres	40-44	387
2004	50	Zaragoza	Mujeres	45-49	306
2004	50	Zaragoza	Mujeres	50-54	235
2004	50	Zaragoza	Mujeres	55-59	181
2004	50	Zaragoza	Mujeres	60-64	63
2004	50	Zaragoza	Mujeres	Sin clasificar	1
2003	22	Huesca	Hombres	16-19	143
2003	22	Huesca	Hombres	20-24	385
2003	22	Huesca	Hombres	25-29	437
2003	22	Huesca	Hombres	30-34	406
2003	22	Huesca	Hombres	35-39	377
2003	22	Huesca	Hombres	40-44	302
2003	22	Huesca	Hombres	45-49	208
2003	22	Huesca	Hombres	50-54	172
2003	22	Huesca	Hombres	55-59	132
2003	22	Huesca	Hombres	60-64	56
2003	22	Huesca	Hombres	Más de 64	5
2003	22	Huesca	Mujeres	16-19	24
2003	22	Huesca	Mujeres	20-24	66
2003	22	Huesca	Mujeres	25-29	105
2003	22	Huesca	Mujeres	30-34	78
2003	22	Huesca	Mujeres	35-39	68
2003	22	Huesca	Mujeres	40-44	52
2003	22	Huesca	Mujeres	45-49	49
2003	22	Huesca	Mujeres	50-54	31
2003	22	Huesca	Mujeres	55-59	28
2003	22	Huesca	Mujeres	60-64	9
2003	22	Huesca	Mujeres	Más de 64	1
2003	44	Teruel	Hombres	16-19	72
2003	44	Teruel	Hombres	20-24	221
2003	44	Teruel	Hombres	25-29	271
2003	44	Teruel	Hombres	30-34	241
2003	44	Teruel	Hombres	35-39	275
2003	44	Teruel	Hombres	40-44	221
2003	44	Teruel	Hombres	45-49	165
2003	44	Teruel	Hombres	50-54	81
2003	44	Teruel	Hombres	55-59	51
2003	44	Teruel	Hombres	60-64	20
2003	44	Teruel	Mujeres	16-19	11
2003	44	Teruel	Mujeres	20-24	39
2003	44	Teruel	Mujeres	25-29	44
2003	44	Teruel	Mujeres	30-34	37
2003	44	Teruel	Mujeres	35-39	46
2003	44	Teruel	Mujeres	40-44	31
2003	44	Teruel	Mujeres	45-49	21
2003	44	Teruel	Mujeres	50-54	29
2003	44	Teruel	Mujeres	55-59	22
2003	44	Teruel	Mujeres	60-64	3
2003	50	Zaragoza	Hombres	16-19	564
2003	50	Zaragoza	Hombres	20-24	1809
2003	50	Zaragoza	Hombres	25-29	2255
2003	50	Zaragoza	Hombres	30-34	1986
2003	50	Zaragoza	Hombres	35-39	1645
2003	50	Zaragoza	Hombres	40-44	1320
2003	50	Zaragoza	Hombres	45-49	973
2003	50	Zaragoza	Hombres	50-54	884
2003	50	Zaragoza	Hombres	55-59	719
2003	50	Zaragoza	Hombres	60-64	297
2003	50	Zaragoza	Hombres	Más de 64	8
2003	50	Zaragoza	Mujeres	16-19	120
2003	50	Zaragoza	Mujeres	20-24	544
2003	50	Zaragoza	Mujeres	25-29	664
2003	50	Zaragoza	Mujeres	30-34	483
2003	50	Zaragoza	Mujeres	35-39	414
2003	50	Zaragoza	Mujeres	40-44	353
2003	50	Zaragoza	Mujeres	45-49	281
2003	50	Zaragoza	Mujeres	50-54	240
2003	50	Zaragoza	Mujeres	55-59	165
2003	50	Zaragoza	Mujeres	60-64	46
2003	50	Zaragoza	Mujeres	Más de 64	3
