Año	Comarca código	Comarca nombre	Estado de la información	Licencias, total
2014	30	Maestrazgo	ESTIMACIÓN	8
2014	31	Sierra de Albarracín	ESTIMACIÓN	16
2014	32	Gúdar-Javalambre	ESTIMACIÓN	45
2014	33	Matarraña / Matarranya	ESTIMACIÓN	45
2015	01	La Jacetania	ESTIMACIÓN	45
2015	02	Alto Gállego	ESTIMACIÓN	23
2015	03	Sobrarbe	ESTIMACIÓN	29
2015	04	La Ribagorza	ESTIMACIÓN	76
2015	05	Cinco Villas	ESTIMACIÓN	52
2015	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	76
2015	07	Somontano de Barbastro	ESTIMACIÓN	54
2015	08	Cinca Medio	ESTIMACIÓN	37
2015	09	La Litera / La Llitera	ESTIMACIÓN	62
2015	10	Los Monegros	ESTIMACIÓN	72
2015	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	51
2015	12	Tarazona y el Moncayo	ESTIMACIÓN	17
2015	13	Campo de Borja	ESTIMACIÓN	23
2015	14	Aranda	ESTIMACIÓN	6
2015	15	Ribera Alta del Ebro	ESTIMACIÓN	49
2015	16	Valdejalón	ESTIMACIÓN	46
2015	17	Central	ESTIMACIÓN	1648
2015	18	Ribera Baja del Ebro	ESTIMACIÓN	17
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	45
2015	20	Comunidad de Calatayud	ESTIMACIÓN	35
2015	21	Campo de Cariñena	ESTIMACIÓN	11
2015	22	Campo de Belchite	ESTIMACIÓN	12
2015	23	Bajo Martín	ESTIMACIÓN	23
2015	24	Campo de Daroca	ESTIMACIÓN	5
2015	25	Jiloca	ESTIMACIÓN	58
2015	26	Cuencas Mineras	ESTIMACIÓN	15
2015	27	Andorra-Sierra de Arcos	ESTIMACIÓN	20
2015	28	Bajo Aragón	ESTIMACIÓN	94
2015	29	Comunidad de Teruel	ESTIMACIÓN	43
2015	30	Maestrazgo	ESTIMACIÓN	13
2015	31	Sierra de Albarracín	ESTIMACIÓN	18
2015	32	Gúdar-Javalambre	ESTIMACIÓN	47
2015	33	Matarraña / Matarranya	ESTIMACIÓN	41
2016	01	La Jacetania	ESTIMACIÓN	54
2016	02	Alto Gállego	ESTIMACIÓN	31
2016	03	Sobrarbe	ESTIMACIÓN	60
2016	04	La Ribagorza	ESTIMACIÓN	53
2016	05	Cinco Villas	ESTIMACIÓN	59
2016	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	109
2016	07	Somontano de Barbastro	ESTIMACIÓN	50
2016	08	Cinca Medio	ESTIMACIÓN	62
2016	09	La Litera / La Llitera	ESTIMACIÓN	50
2016	10	Los Monegros	ESTIMACIÓN	81
2016	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	77
2016	12	Tarazona y el Moncayo	ESTIMACIÓN	12
2016	13	Campo de Borja	ESTIMACIÓN	32
2016	14	Aranda	ESTIMACIÓN	9
2016	15	Ribera Alta del Ebro	ESTIMACIÓN	58
2016	16	Valdejalón	ESTIMACIÓN	65
2016	17	Central	ESTIMACIÓN	1800
2016	18	Ribera Baja del Ebro	ESTIMACIÓN	17
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	51
2016	20	Comunidad de Calatayud	ESTIMACIÓN	18
2016	21	Campo de Cariñena	ESTIMACIÓN	15
2016	22	Campo de Belchite	ESTIMACIÓN	9
2016	23	Bajo Martín	ESTIMACIÓN	28
2016	24	Campo de Daroca	ESTIMACIÓN	11
2016	25	Jiloca	ESTIMACIÓN	47
2016	26	Cuencas Mineras	ESTIMACIÓN	5
2016	27	Andorra-Sierra de Arcos	ESTIMACIÓN	19
2016	28	Bajo Aragón	ESTIMACIÓN	73
2016	29	Comunidad de Teruel	ESTIMACIÓN	67
2016	30	Maestrazgo	ESTIMACIÓN	10
2016	31	Sierra de Albarracín	ESTIMACIÓN	8
2016	32	Gúdar-Javalambre	ESTIMACIÓN	75
2016	33	Matarraña / Matarranya	ESTIMACIÓN	57
2017	01	La Jacetania	ESTIMACIÓN	45
2017	02	Alto Gállego	ESTIMACIÓN	15
2017	03	Sobrarbe	ESTIMACIÓN	44
2017	04	La Ribagorza	ESTIMACIÓN	72
2017	05	Cinco Villas	ESTIMACIÓN	48
2017	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	110
2017	07	Somontano de Barbastro	ESTIMACIÓN	48
2017	08	Cinca Medio	ESTIMACIÓN	57
2017	09	La Litera / La Llitera	ESTIMACIÓN	53
2017	10	Los Monegros	ESTIMACIÓN	95
2017	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	87
2017	12	Tarazona y el Moncayo	ESTIMACIÓN	18
2017	13	Campo de Borja	ESTIMACIÓN	24
2017	14	Aranda	ESTIMACIÓN	6
2017	15	Ribera Alta del Ebro	ESTIMACIÓN	50
2017	16	Valdejalón	ESTIMACIÓN	76
2017	17	Central	ESTIMACIÓN	1755
2017	18	Ribera Baja del Ebro	ESTIMACIÓN	19
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	43
2017	20	Comunidad de Calatayud	ESTIMACIÓN	41
2017	21	Campo de Cariñena	ESTIMACIÓN	18
2017	22	Campo de Belchite	ESTIMACIÓN	6
2017	23	Bajo Martín	ESTIMACIÓN	25
2017	24	Campo de Daroca	ESTIMACIÓN	11
2017	25	Jiloca	ESTIMACIÓN	66
2017	26	Cuencas Mineras	ESTIMACIÓN	15
2017	27	Andorra-Sierra de Arcos	ESTIMACIÓN	14
2017	28	Bajo Aragón	ESTIMACIÓN	58
2017	29	Comunidad de Teruel	ESTIMACIÓN	100
2017	30	Maestrazgo	ESTIMACIÓN	9
2017	31	Sierra de Albarracín	ESTIMACIÓN	23
2017	32	Gúdar-Javalambre	ESTIMACIÓN	61
2017	33	Matarraña / Matarranya	ESTIMACIÓN	44
2018	01	La Jacetania	ESTIMACIÓN	69
2018	02	Alto Gállego	ESTIMACIÓN	26
2018	03	Sobrarbe	ESTIMACIÓN	56
2018	04	La Ribagorza	ESTIMACIÓN	81
2018	05	Cinco Villas	ESTIMACIÓN	71
2018	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	96
2018	07	Somontano de Barbastro	ESTIMACIÓN	48
2018	08	Cinca Medio	ESTIMACIÓN	60
2018	09	La Litera / La Llitera	ESTIMACIÓN	85
2018	10	Los Monegros	ESTIMACIÓN	138
2018	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	96
2018	12	Tarazona y el Moncayo	ESTIMACIÓN	17
2018	13	Campo de Borja	ESTIMACIÓN	25
2018	14	Aranda	ESTIMACIÓN	6
2018	15	Ribera Alta del Ebro	ESTIMACIÓN	57
2018	16	Valdejalón	ESTIMACIÓN	85
2018	17	Central	ESTIMACIÓN	1779
2018	18	Ribera Baja del Ebro	ESTIMACIÓN	24
2018	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	61
2018	20	Comunidad de Calatayud	ESTIMACIÓN	24
2018	21	Campo de Cariñena	ESTIMACIÓN	17
2018	22	Campo de Belchite	ESTIMACIÓN	4
2018	23	Bajo Martín	ESTIMACIÓN	29
2018	24	Campo de Daroca	ESTIMACIÓN	5
2018	25	Jiloca	ESTIMACIÓN	68
2018	26	Cuencas Mineras	ESTIMACIÓN	16
2018	27	Andorra-Sierra de Arcos	ESTIMACIÓN	17
2018	28	Bajo Aragón	ESTIMACIÓN	88
2018	29	Comunidad de Teruel	ESTIMACIÓN	74
2018	30	Maestrazgo	ESTIMACIÓN	13
2018	31	Sierra de Albarracín	ESTIMACIÓN	16
2018	32	Gúdar-Javalambre	ESTIMACIÓN	68
2018	33	Matarraña / Matarranya	ESTIMACIÓN	44
2019	01	La Jacetania	ESTIMACIÓN	44
2019	02	Alto Gállego	ESTIMACIÓN	27
2019	03	Sobrarbe	ESTIMACIÓN	53
2019	04	La Ribagorza	ESTIMACIÓN	69
2019	05	Cinco Villas	ESTIMACIÓN	51
2019	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	108
2019	07	Somontano de Barbastro	ESTIMACIÓN	48
2019	08	Cinca Medio	ESTIMACIÓN	50
2019	09	La Litera / La Llitera	ESTIMACIÓN	61
2019	10	Los Monegros	ESTIMACIÓN	114
2019	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	69
2019	12	Tarazona y el Moncayo	ESTIMACIÓN	24
2019	13	Campo de Borja	ESTIMACIÓN	29
2019	14	Aranda	ESTIMACIÓN	4
2019	15	Ribera Alta del Ebro	ESTIMACIÓN	41
2019	16	Valdejalón	ESTIMACIÓN	62
2019	17	Central	ESTIMACIÓN	2100
2019	18	Ribera Baja del Ebro	ESTIMACIÓN	21
2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	43
2019	20	Comunidad de Calatayud	ESTIMACIÓN	33
2019	21	Campo de Cariñena	ESTIMACIÓN	24
2019	22	Campo de Belchite	ESTIMACIÓN	3
2019	23	Bajo Martín	ESTIMACIÓN	25
2019	24	Campo de Daroca	ESTIMACIÓN	8
2019	25	Jiloca	ESTIMACIÓN	53
2019	26	Cuencas Mineras	ESTIMACIÓN	18
2019	27	Andorra-Sierra de Arcos	ESTIMACIÓN	17
2019	28	Bajo Aragón	ESTIMACIÓN	85
2019	29	Comunidad de Teruel	ESTIMACIÓN	93
2019	30	Maestrazgo	ESTIMACIÓN	17
2019	31	Sierra de Albarracín	ESTIMACIÓN	17
2019	32	Gúdar-Javalambre	ESTIMACIÓN	83
2019	33	Matarraña / Matarranya	ESTIMACIÓN	46
