Año	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Extranjeros
2013	Aragón	90 a 94	Hombres	12
2013	Aragón	90 a 94	Mujeres	22
2013	Aragón	95 y más	Hombres	3
2013	Aragón	95 y más	Mujeres	9
2014	Aragón	00 a 04	Hombres	5104
2014	Aragón	00 a 04	Mujeres	4925
2014	Aragón	05 a 09	Hombres	4145
2014	Aragón	05 a 09	Mujeres	3844
2014	Aragón	10 a 14	Hombres	3788
2014	Aragón	10 a 14	Mujeres	3485
2014	Aragón	15 a 19	Hombres	4166
2014	Aragón	15 a 19	Mujeres	3641
2014	Aragón	20 a 24	Hombres	5325
2014	Aragón	20 a 24	Mujeres	5572
2014	Aragón	25 a 29	Hombres	8207
2014	Aragón	25 a 29	Mujeres	8962
2014	Aragón	30 a 34	Hombres	10992
2014	Aragón	30 a 34	Mujeres	10128
2014	Aragón	35 a 39	Hombres	11905
2014	Aragón	35 a 39	Mujeres	9344
2014	Aragón	40 a 44	Hombres	9496
2014	Aragón	40 a 44	Mujeres	7101
2014	Aragón	45 a 49	Hombres	6631
2014	Aragón	45 a 49	Mujeres	5207
2014	Aragón	50 a 54	Hombres	4087
2014	Aragón	50 a 54	Mujeres	3499
2014	Aragón	55 a 59	Hombres	2432
2014	Aragón	55 a 59	Mujeres	2315
2014	Aragón	60 a 64	Hombres	1131
2014	Aragón	60 a 64	Mujeres	1295
2014	Aragón	65 a 69	Hombres	527
2014	Aragón	65 a 69	Mujeres	670
2014	Aragón	70 a 74	Hombres	257
2014	Aragón	70 a 74	Mujeres	359
2014	Aragón	75 a 79	Hombres	172
2014	Aragón	75 a 79	Mujeres	233
2014	Aragón	80 a 84	Hombres	69
2014	Aragón	80 a 84	Mujeres	109
2014	Aragón	85 a 89	Hombres	24
2014	Aragón	85 a 89	Mujeres	47
2014	Aragón	90 a 94	Hombres	8
2014	Aragón	90 a 94	Mujeres	22
2014	Aragón	95 y más	Hombres	1
2014	Aragón	95 y más	Mujeres	6
2015	Aragón	00 a 04	Hombres	4648
2015	Aragón	00 a 04	Mujeres	4483
2015	Aragón	05 a 09	Hombres	3980
2015	Aragón	05 a 09	Mujeres	3670
2015	Aragón	10 a 14	Hombres	3434
2015	Aragón	10 a 14	Mujeres	3151
2015	Aragón	15 a 19	Hombres	3803
2015	Aragón	15 a 19	Mujeres	3374
2015	Aragón	20 a 24	Hombres	4751
2015	Aragón	20 a 24	Mujeres	4964
2015	Aragón	25 a 29	Hombres	7117
2015	Aragón	25 a 29	Mujeres	8123
2015	Aragón	30 a 34	Hombres	9767
2015	Aragón	30 a 34	Mujeres	9374
2015	Aragón	35 a 39	Hombres	11192
2015	Aragón	35 a 39	Mujeres	8979
2015	Aragón	40 a 44	Hombres	9098
2015	Aragón	40 a 44	Mujeres	6949
2015	Aragón	45 a 49	Hombres	6664
2015	Aragón	45 a 49	Mujeres	5281
2015	Aragón	50 a 54	Hombres	4108
2015	Aragón	50 a 54	Mujeres	3437
2015	Aragón	55 a 59	Hombres	2433
2015	Aragón	55 a 59	Mujeres	2370
2015	Aragón	60 a 64	Hombres	1203
2015	Aragón	60 a 64	Mujeres	1279
2015	Aragón	65 a 69	Hombres	521
2015	Aragón	65 a 69	Mujeres	691
2015	Aragón	70 a 74	Hombres	273
2015	Aragón	70 a 74	Mujeres	373
2015	Aragón	75 a 79	Hombres	154
2015	Aragón	75 a 79	Mujeres	215
2015	Aragón	80 a 84	Hombres	82
2015	Aragón	80 a 84	Mujeres	126
2015	Aragón	85 a 89	Hombres	22
2015	Aragón	85 a 89	Mujeres	55
2015	Aragón	90 a 94	Hombres	7
2015	Aragón	90 a 94	Mujeres	23
2015	Aragón	95 y más	Hombres	2
2015	Aragón	95 y más	Mujeres	7
2016	Aragón	00 a 04	Hombres	4267
2016	Aragón	00 a 04	Mujeres	4228
2016	Aragón	05 a 09	Hombres	3859
2016	Aragón	05 a 09	Mujeres	3568
2016	Aragón	10 a 14	Hombres	3168
2016	Aragón	10 a 14	Mujeres	2909
2016	Aragón	15 a 19	Hombres	3650
2016	Aragón	15 a 19	Mujeres	3216
2016	Aragón	20 a 24	Hombres	4481
2016	Aragón	20 a 24	Mujeres	4546
2016	Aragón	25 a 29	Hombres	6089
2016	Aragón	25 a 29	Mujeres	7304
2016	Aragón	30 a 34	Hombres	8293
2016	Aragón	30 a 34	Mujeres	8623
2016	Aragón	35 a 39	Hombres	10306
2016	Aragón	35 a 39	Mujeres	8637
2016	Aragón	40 a 44	Hombres	8844
2016	Aragón	40 a 44	Mujeres	6935
2016	Aragón	45 a 49	Hombres	6729
2016	Aragón	45 a 49	Mujeres	5451
2016	Aragón	50 a 54	Hombres	4064
2016	Aragón	50 a 54	Mujeres	3397
2016	Aragón	55 a 59	Hombres	2533
2016	Aragón	55 a 59	Mujeres	2407
2016	Aragón	60 a 64	Hombres	1290
2016	Aragón	60 a 64	Mujeres	1355
2016	Aragón	65 a 69	Hombres	573
2016	Aragón	65 a 69	Mujeres	747
2016	Aragón	70 a 74	Hombres	287
2016	Aragón	70 a 74	Mujeres	362
2016	Aragón	75 a 79	Hombres	160
2016	Aragón	75 a 79	Mujeres	222
2016	Aragón	80 a 84	Hombres	70
2016	Aragón	80 a 84	Mujeres	123
2016	Aragón	85 a 89	Hombres	27
2016	Aragón	85 a 89	Mujeres	54
2016	Aragón	90 a 94	Hombres	9
2016	Aragón	90 a 94	Mujeres	21
2016	Aragón	95 y más	Hombres	5
2016	Aragón	95 y más	Mujeres	4
