Comarca código	Comarca nombre	Situación preferente	Lugar trabajo o estudio	Tiempo desplazamiento	Personas residentes viviendas familiares
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	7
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	138
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	130
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	14
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	1
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En otro municipio	 No aplicable	340
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En otro municipio	0-10 minutos	15
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En otro municipio	10-20 minutos	64
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En otro municipio	20-30 minutos	41
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En otro municipio	30-45 minutos	17
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En otro municipio	45-60 minutos	11
12	Tarazona y el Moncayo	Estudiantes que no trabajan	En otro municipio	60-90 minutos	12
12	Tarazona y el Moncayo	Trabajadores	En el mismo municipio de residencia	 No aplicable	11
12	Tarazona y el Moncayo	Trabajadores	En el mismo municipio de residencia	0-10 minutos	2318
12	Tarazona y el Moncayo	Trabajadores	En el mismo municipio de residencia	10-20 minutos	971
12	Tarazona y el Moncayo	Trabajadores	En el mismo municipio de residencia	20-30 minutos	129
12	Tarazona y el Moncayo	Trabajadores	En el mismo municipio de residencia	30-45 minutos	44
12	Tarazona y el Moncayo	Trabajadores	En el mismo municipio de residencia	45-60 minutos	21
12	Tarazona y el Moncayo	Trabajadores	En el mismo municipio de residencia	60-90 minutos	12
12	Tarazona y el Moncayo	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	4
12	Tarazona y el Moncayo	Trabajadores	En otro municipio	 No aplicable	343
12	Tarazona y el Moncayo	Trabajadores	En otro municipio	0-10 minutos	103
12	Tarazona y el Moncayo	Trabajadores	En otro municipio	10-20 minutos	424
12	Tarazona y el Moncayo	Trabajadores	En otro municipio	20-30 minutos	293
12	Tarazona y el Moncayo	Trabajadores	En otro municipio	30-45 minutos	74
12	Tarazona y el Moncayo	Trabajadores	En otro municipio	45-60 minutos	75
12	Tarazona y el Moncayo	Trabajadores	En otro municipio	60-90 minutos	77
12	Tarazona y el Moncayo	Trabajadores	En otro municipio	90 ó más minutos	6
13	Campo de Borja	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	9
13	Campo de Borja	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	96
13	Campo de Borja	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	24
13	Campo de Borja	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	7
13	Campo de Borja	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	2
13	Campo de Borja	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
13	Campo de Borja	Estudiantes que no trabajan	En otro municipio	 No aplicable	255
13	Campo de Borja	Estudiantes que no trabajan	En otro municipio	0-10 minutos	41
13	Campo de Borja	Estudiantes que no trabajan	En otro municipio	10-20 minutos	59
13	Campo de Borja	Estudiantes que no trabajan	En otro municipio	20-30 minutos	76
13	Campo de Borja	Estudiantes que no trabajan	En otro municipio	30-45 minutos	30
13	Campo de Borja	Estudiantes que no trabajan	En otro municipio	45-60 minutos	23
13	Campo de Borja	Estudiantes que no trabajan	En otro municipio	60-90 minutos	5
13	Campo de Borja	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	2
13	Campo de Borja	Trabajadores	En el mismo municipio de residencia	 No aplicable	39
13	Campo de Borja	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1884
13	Campo de Borja	Trabajadores	En el mismo municipio de residencia	10-20 minutos	586
13	Campo de Borja	Trabajadores	En el mismo municipio de residencia	20-30 minutos	232
13	Campo de Borja	Trabajadores	En el mismo municipio de residencia	30-45 minutos	79
13	Campo de Borja	Trabajadores	En el mismo municipio de residencia	45-60 minutos	59
13	Campo de Borja	Trabajadores	En el mismo municipio de residencia	60-90 minutos	21
13	Campo de Borja	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	10
13	Campo de Borja	Trabajadores	En otro municipio	 No aplicable	472
13	Campo de Borja	Trabajadores	En otro municipio	0-10 minutos	289
13	Campo de Borja	Trabajadores	En otro municipio	10-20 minutos	371
13	Campo de Borja	Trabajadores	En otro municipio	20-30 minutos	330
13	Campo de Borja	Trabajadores	En otro municipio	30-45 minutos	365
13	Campo de Borja	Trabajadores	En otro municipio	45-60 minutos	201
13	Campo de Borja	Trabajadores	En otro municipio	60-90 minutos	48
13	Campo de Borja	Trabajadores	En otro municipio	90 ó más minutos	6
14	Aranda	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	4
14	Aranda	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	66
14	Aranda	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	6
14	Aranda	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	3
14	Aranda	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	3
14	Aranda	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
14	Aranda	Estudiantes que no trabajan	En otro municipio	 No aplicable	90
14	Aranda	Estudiantes que no trabajan	En otro municipio	0-10 minutos	21
14	Aranda	Estudiantes que no trabajan	En otro municipio	10-20 minutos	62
14	Aranda	Estudiantes que no trabajan	En otro municipio	20-30 minutos	22
14	Aranda	Estudiantes que no trabajan	En otro municipio	30-45 minutos	18
14	Aranda	Estudiantes que no trabajan	En otro municipio	45-60 minutos	3
14	Aranda	Estudiantes que no trabajan	En otro municipio	60-90 minutos	6
14	Aranda	Trabajadores	En el mismo municipio de residencia	 No aplicable	55
14	Aranda	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1456
14	Aranda	Trabajadores	En el mismo municipio de residencia	10-20 minutos	335
14	Aranda	Trabajadores	En el mismo municipio de residencia	20-30 minutos	60
14	Aranda	Trabajadores	En el mismo municipio de residencia	30-45 minutos	23
14	Aranda	Trabajadores	En el mismo municipio de residencia	45-60 minutos	17
14	Aranda	Trabajadores	En el mismo municipio de residencia	60-90 minutos	9
14	Aranda	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	5
14	Aranda	Trabajadores	En otro municipio	 No aplicable	218
14	Aranda	Trabajadores	En otro municipio	0-10 minutos	227
14	Aranda	Trabajadores	En otro municipio	10-20 minutos	290
14	Aranda	Trabajadores	En otro municipio	20-30 minutos	116
14	Aranda	Trabajadores	En otro municipio	30-45 minutos	30
14	Aranda	Trabajadores	En otro municipio	45-60 minutos	24
14	Aranda	Trabajadores	En otro municipio	60-90 minutos	26
14	Aranda	Trabajadores	En otro municipio	90 ó más minutos	5
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	9
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	156
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	46
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	8
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	6
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	1
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En otro municipio	 No aplicable	234
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En otro municipio	0-10 minutos	64
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En otro municipio	10-20 minutos	187
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En otro municipio	20-30 minutos	147
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En otro municipio	30-45 minutos	191
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En otro municipio	45-60 minutos	58
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En otro municipio	60-90 minutos	19
15	Ribera Alta del Ebro	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	6
15	Ribera Alta del Ebro	Trabajadores	En el mismo municipio de residencia	 No aplicable	65
15	Ribera Alta del Ebro	Trabajadores	En el mismo municipio de residencia	0-10 minutos	2698
15	Ribera Alta del Ebro	Trabajadores	En el mismo municipio de residencia	10-20 minutos	829
15	Ribera Alta del Ebro	Trabajadores	En el mismo municipio de residencia	20-30 minutos	175
15	Ribera Alta del Ebro	Trabajadores	En el mismo municipio de residencia	30-45 minutos	88
15	Ribera Alta del Ebro	Trabajadores	En el mismo municipio de residencia	45-60 minutos	35
15	Ribera Alta del Ebro	Trabajadores	En el mismo municipio de residencia	60-90 minutos	13
15	Ribera Alta del Ebro	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	16
15	Ribera Alta del Ebro	Trabajadores	En otro municipio	 No aplicable	339
15	Ribera Alta del Ebro	Trabajadores	En otro municipio	0-10 minutos	666
15	Ribera Alta del Ebro	Trabajadores	En otro municipio	10-20 minutos	1822
15	Ribera Alta del Ebro	Trabajadores	En otro municipio	20-30 minutos	815
15	Ribera Alta del Ebro	Trabajadores	En otro municipio	30-45 minutos	612
15	Ribera Alta del Ebro	Trabajadores	En otro municipio	45-60 minutos	94
15	Ribera Alta del Ebro	Trabajadores	En otro municipio	60-90 minutos	28
15	Ribera Alta del Ebro	Trabajadores	En otro municipio	90 ó más minutos	11
16	Valdejalón	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	10
16	Valdejalón	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	305
16	Valdejalón	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	113
16	Valdejalón	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	19
16	Valdejalón	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	10
16	Valdejalón	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	2
16	Valdejalón	Estudiantes que no trabajan	En otro municipio	 No aplicable	317
16	Valdejalón	Estudiantes que no trabajan	En otro municipio	0-10 minutos	59
16	Valdejalón	Estudiantes que no trabajan	En otro municipio	10-20 minutos	160
16	Valdejalón	Estudiantes que no trabajan	En otro municipio	20-30 minutos	90
16	Valdejalón	Estudiantes que no trabajan	En otro municipio	30-45 minutos	48
16	Valdejalón	Estudiantes que no trabajan	En otro municipio	45-60 minutos	29
16	Valdejalón	Estudiantes que no trabajan	En otro municipio	60-90 minutos	3
16	Valdejalón	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	1
16	Valdejalón	Trabajadores	En el mismo municipio de residencia	 No aplicable	120
16	Valdejalón	Trabajadores	En el mismo municipio de residencia	0-10 minutos	3311
16	Valdejalón	Trabajadores	En el mismo municipio de residencia	10-20 minutos	1270
16	Valdejalón	Trabajadores	En el mismo municipio de residencia	20-30 minutos	292
16	Valdejalón	Trabajadores	En el mismo municipio de residencia	30-45 minutos	105
16	Valdejalón	Trabajadores	En el mismo municipio de residencia	45-60 minutos	44
16	Valdejalón	Trabajadores	En el mismo municipio de residencia	60-90 minutos	17
16	Valdejalón	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	9
16	Valdejalón	Trabajadores	En otro municipio	 No aplicable	703
16	Valdejalón	Trabajadores	En otro municipio	0-10 minutos	255
16	Valdejalón	Trabajadores	En otro municipio	10-20 minutos	809
16	Valdejalón	Trabajadores	En otro municipio	20-30 minutos	681
16	Valdejalón	Trabajadores	En otro municipio	30-45 minutos	481
16	Valdejalón	Trabajadores	En otro municipio	45-60 minutos	177
16	Valdejalón	Trabajadores	En otro municipio	60-90 minutos	23
16	Valdejalón	Trabajadores	En otro municipio	90 ó más minutos	10
17	D.C. Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	301
17	D.C. Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	6991
17	D.C. Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	14438
17	D.C. Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	12536
17	D.C. Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	5822
17	D.C. Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1532
17	D.C. Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	186
17	D.C. Zaragoza	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	42
17	D.C. Zaragoza	Estudiantes que no trabajan	En otro municipio	 No aplicable	2085
17	D.C. Zaragoza	Estudiantes que no trabajan	En otro municipio	0-10 minutos	138
17	D.C. Zaragoza	Estudiantes que no trabajan	En otro municipio	10-20 minutos	510
17	D.C. Zaragoza	Estudiantes que no trabajan	En otro municipio	20-30 minutos	571
17	D.C. Zaragoza	Estudiantes que no trabajan	En otro municipio	30-45 minutos	815
17	D.C. Zaragoza	Estudiantes que no trabajan	En otro municipio	45-60 minutos	811
17	D.C. Zaragoza	Estudiantes que no trabajan	En otro municipio	60-90 minutos	476
17	D.C. Zaragoza	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	123
17	D.C. Zaragoza	Trabajadores	En el mismo municipio de residencia	 No aplicable	853
17	D.C. Zaragoza	Trabajadores	En el mismo municipio de residencia	0-10 minutos	36716
17	D.C. Zaragoza	Trabajadores	En el mismo municipio de residencia	10-20 minutos	79752
17	D.C. Zaragoza	Trabajadores	En el mismo municipio de residencia	20-30 minutos	69196
17	D.C. Zaragoza	Trabajadores	En el mismo municipio de residencia	30-45 minutos	27459
17	D.C. Zaragoza	Trabajadores	En el mismo municipio de residencia	45-60 minutos	7116
17	D.C. Zaragoza	Trabajadores	En el mismo municipio de residencia	60-90 minutos	1535
17	D.C. Zaragoza	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	617
17	D.C. Zaragoza	Trabajadores	En otro municipio	 No aplicable	5717
17	D.C. Zaragoza	Trabajadores	En otro municipio	0-10 minutos	1535
17	D.C. Zaragoza	Trabajadores	En otro municipio	10-20 minutos	6349
17	D.C. Zaragoza	Trabajadores	En otro municipio	20-30 minutos	10273
17	D.C. Zaragoza	Trabajadores	En otro municipio	30-45 minutos	9627
17	D.C. Zaragoza	Trabajadores	En otro municipio	45-60 minutos	4866
17	D.C. Zaragoza	Trabajadores	En otro municipio	60-90 minutos	2369
17	D.C. Zaragoza	Trabajadores	En otro municipio	90 ó más minutos	715
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	2
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	133
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	14
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	6
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	1
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En otro municipio	 No aplicable	227
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En otro municipio	0-10 minutos	6
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En otro municipio	10-20 minutos	92
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En otro municipio	20-30 minutos	32
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En otro municipio	30-45 minutos	29
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En otro municipio	45-60 minutos	37
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En otro municipio	60-90 minutos	4
18	Ribera Baja del Ebro	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	3
18	Ribera Baja del Ebro	Trabajadores	En el mismo municipio de residencia	 No aplicable	20
18	Ribera Baja del Ebro	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1746
18	Ribera Baja del Ebro	Trabajadores	En el mismo municipio de residencia	10-20 minutos	326
18	Ribera Baja del Ebro	Trabajadores	En el mismo municipio de residencia	20-30 minutos	88
18	Ribera Baja del Ebro	Trabajadores	En el mismo municipio de residencia	30-45 minutos	51
18	Ribera Baja del Ebro	Trabajadores	En el mismo municipio de residencia	45-60 minutos	12
18	Ribera Baja del Ebro	Trabajadores	En el mismo municipio de residencia	60-90 minutos	8
18	Ribera Baja del Ebro	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	6
18	Ribera Baja del Ebro	Trabajadores	En otro municipio	 No aplicable	306
18	Ribera Baja del Ebro	Trabajadores	En otro municipio	0-10 minutos	160
18	Ribera Baja del Ebro	Trabajadores	En otro municipio	10-20 minutos	251
18	Ribera Baja del Ebro	Trabajadores	En otro municipio	20-30 minutos	127
18	Ribera Baja del Ebro	Trabajadores	En otro municipio	30-45 minutos	144
18	Ribera Baja del Ebro	Trabajadores	En otro municipio	45-60 minutos	85
18	Ribera Baja del Ebro	Trabajadores	En otro municipio	60-90 minutos	17
18	Ribera Baja del Ebro	Trabajadores	En otro municipio	90 ó más minutos	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	121
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	60
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	11
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En otro municipio	 No aplicable	249
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En otro municipio	0-10 minutos	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En otro municipio	10-20 minutos	35
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En otro municipio	20-30 minutos	59
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En otro municipio	30-45 minutos	21
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En otro municipio	45-60 minutos	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En otro municipio	60-90 minutos	16
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En el mismo municipio de residencia	 No aplicable	34
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En el mismo municipio de residencia	0-10 minutos	2190
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En el mismo municipio de residencia	10-20 minutos	1107
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En el mismo municipio de residencia	20-30 minutos	351
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En el mismo municipio de residencia	30-45 minutos	83
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En el mismo municipio de residencia	45-60 minutos	23
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En el mismo municipio de residencia	60-90 minutos	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	7
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En otro municipio	 No aplicable	250
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En otro municipio	0-10 minutos	24
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En otro municipio	10-20 minutos	136
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En otro municipio	20-30 minutos	100
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En otro municipio	30-45 minutos	74
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En otro municipio	45-60 minutos	20
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En otro municipio	60-90 minutos	27
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Trabajadores	En otro municipio	90 ó más minutos	15
20	Comunidad de Calatayud	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	29
20	Comunidad de Calatayud	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	368
20	Comunidad de Calatayud	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	255
20	Comunidad de Calatayud	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	66
20	Comunidad de Calatayud	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	11
20	Comunidad de Calatayud	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	8
20	Comunidad de Calatayud	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	2
20	Comunidad de Calatayud	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	2
20	Comunidad de Calatayud	Estudiantes que no trabajan	En otro municipio	 No aplicable	819
20	Comunidad de Calatayud	Estudiantes que no trabajan	En otro municipio	0-10 minutos	67
20	Comunidad de Calatayud	Estudiantes que no trabajan	En otro municipio	10-20 minutos	176
20	Comunidad de Calatayud	Estudiantes que no trabajan	En otro municipio	20-30 minutos	141
20	Comunidad de Calatayud	Estudiantes que no trabajan	En otro municipio	30-45 minutos	74
20	Comunidad de Calatayud	Estudiantes que no trabajan	En otro municipio	45-60 minutos	34
20	Comunidad de Calatayud	Estudiantes que no trabajan	En otro municipio	60-90 minutos	19
20	Comunidad de Calatayud	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	10
20	Comunidad de Calatayud	Trabajadores	En el mismo municipio de residencia	 No aplicable	344
20	Comunidad de Calatayud	Trabajadores	En el mismo municipio de residencia	0-10 minutos	5252
20	Comunidad de Calatayud	Trabajadores	En el mismo municipio de residencia	10-20 minutos	2989
20	Comunidad de Calatayud	Trabajadores	En el mismo municipio de residencia	20-30 minutos	590
20	Comunidad de Calatayud	Trabajadores	En el mismo municipio de residencia	30-45 minutos	152
20	Comunidad de Calatayud	Trabajadores	En el mismo municipio de residencia	45-60 minutos	88
20	Comunidad de Calatayud	Trabajadores	En el mismo municipio de residencia	60-90 minutos	24
20	Comunidad de Calatayud	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	23
20	Comunidad de Calatayud	Trabajadores	En otro municipio	 No aplicable	1335
20	Comunidad de Calatayud	Trabajadores	En otro municipio	0-10 minutos	447
20	Comunidad de Calatayud	Trabajadores	En otro municipio	10-20 minutos	900
20	Comunidad de Calatayud	Trabajadores	En otro municipio	20-30 minutos	623
20	Comunidad de Calatayud	Trabajadores	En otro municipio	30-45 minutos	266
20	Comunidad de Calatayud	Trabajadores	En otro municipio	45-60 minutos	205
20	Comunidad de Calatayud	Trabajadores	En otro municipio	60-90 minutos	100
20	Comunidad de Calatayud	Trabajadores	En otro municipio	90 ó más minutos	20
21	Campo de Cariñena	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	9
21	Campo de Cariñena	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	76
21	Campo de Cariñena	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	11
21	Campo de Cariñena	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	2
21	Campo de Cariñena	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	1
21	Campo de Cariñena	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	4
21	Campo de Cariñena	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	4
21	Campo de Cariñena	Estudiantes que no trabajan	En otro municipio	 No aplicable	165
21	Campo de Cariñena	Estudiantes que no trabajan	En otro municipio	0-10 minutos	7
21	Campo de Cariñena	Estudiantes que no trabajan	En otro municipio	10-20 minutos	69
21	Campo de Cariñena	Estudiantes que no trabajan	En otro municipio	20-30 minutos	54
21	Campo de Cariñena	Estudiantes que no trabajan	En otro municipio	30-45 minutos	34
21	Campo de Cariñena	Estudiantes que no trabajan	En otro municipio	45-60 minutos	14
21	Campo de Cariñena	Estudiantes que no trabajan	En otro municipio	60-90 minutos	3
21	Campo de Cariñena	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	1
21	Campo de Cariñena	Trabajadores	En el mismo municipio de residencia	 No aplicable	40
21	Campo de Cariñena	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1524
21	Campo de Cariñena	Trabajadores	En el mismo municipio de residencia	10-20 minutos	503
21	Campo de Cariñena	Trabajadores	En el mismo municipio de residencia	20-30 minutos	224
21	Campo de Cariñena	Trabajadores	En el mismo municipio de residencia	30-45 minutos	57
21	Campo de Cariñena	Trabajadores	En el mismo municipio de residencia	45-60 minutos	21
21	Campo de Cariñena	Trabajadores	En el mismo municipio de residencia	60-90 minutos	10
21	Campo de Cariñena	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	4
21	Campo de Cariñena	Trabajadores	En otro municipio	 No aplicable	416
21	Campo de Cariñena	Trabajadores	En otro municipio	0-10 minutos	80
21	Campo de Cariñena	Trabajadores	En otro municipio	10-20 minutos	279
21	Campo de Cariñena	Trabajadores	En otro municipio	20-30 minutos	182
21	Campo de Cariñena	Trabajadores	En otro municipio	30-45 minutos	202
21	Campo de Cariñena	Trabajadores	En otro municipio	45-60 minutos	93
21	Campo de Cariñena	Trabajadores	En otro municipio	60-90 minutos	16
21	Campo de Cariñena	Trabajadores	En otro municipio	90 ó más minutos	7
22	Campo de Belchite	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	4
22	Campo de Belchite	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	43
22	Campo de Belchite	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	5
22	Campo de Belchite	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	6
22	Campo de Belchite	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	2
22	Campo de Belchite	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
22	Campo de Belchite	Estudiantes que no trabajan	En otro municipio	 No aplicable	103
22	Campo de Belchite	Estudiantes que no trabajan	En otro municipio	0-10 minutos	2
22	Campo de Belchite	Estudiantes que no trabajan	En otro municipio	10-20 minutos	8
22	Campo de Belchite	Estudiantes que no trabajan	En otro municipio	20-30 minutos	11
22	Campo de Belchite	Estudiantes que no trabajan	En otro municipio	30-45 minutos	20
22	Campo de Belchite	Estudiantes que no trabajan	En otro municipio	45-60 minutos	16
