Municipio código	Municipio nombre	Vehículos en el hogar	Número hogares
44040	Berge	1	25
44040	Berge	2	21
44040	Berge	3 o más	7
44041	Bezas	0	22
44041	Bezas	1	7
44041	Bezas	2	4
44041	Bezas	3 o más	1
44042	Blancas	0	26
44042	Blancas	1	40
44042	Blancas	2	7
44042	Blancas	3 o más	1
44043	Blesa	0	25
44043	Blesa	1	29
44043	Blesa	2	12
44043	Blesa	3 o más	1
44044	Bordón	0	24
44044	Bordón	1	22
44044	Bordón	2	3
44044	Bordón	3 o más	8
44045	Bronchales	0	61
44045	Bronchales	1	89
44045	Bronchales	2	34
44045	Bronchales	3 o más	9
44046	Bueña	0	22
44046	Bueña	1	13
44046	Bueña	2	5
44046	Bueña	3 o más	2
44047	Burbáguena	0	67
44047	Burbáguena	1	48
44047	Burbáguena	2	6
44048	Cabra de Mora	0	11
44048	Cabra de Mora	1	17
44048	Cabra de Mora	2	14
44049	Calaceite	0	149
44049	Calaceite	1	159
44049	Calaceite	2	115
44049	Calaceite	3 o más	31
44050	Calamocha	0	556
44050	Calamocha	1	606
44050	Calamocha	2	365
44050	Calamocha	3 o más	70
44051	Calanda	0	337
44051	Calanda	1	517
44051	Calanda	2	290
44051	Calanda	3 o más	80
44052	Calomarde	0	16
44052	Calomarde	1	14
44052	Calomarde	2	3
44053	Camañas	0	19
44053	Camañas	1	19
44053	Camañas	2	14
44053	Camañas	3 o más	5
44054	Camarena de la Sierra	0	23
44054	Camarena de la Sierra	1	22
44054	Camarena de la Sierra	2	11
44054	Camarena de la Sierra	3 o más	10
44055	Camarillas	0	14
44055	Camarillas	1	18
44055	Camarillas	2	9
44055	Camarillas	3 o más	2
44056	Caminreal	0	118
44056	Caminreal	1	116
44056	Caminreal	2	59
44056	Caminreal	3 o más	15
44059	Cantavieja	0	64
44059	Cantavieja	1	93
44059	Cantavieja	2	80
44059	Cantavieja	3 o más	28
44060	Cañada de Benatanduz	0	12
44060	Cañada de Benatanduz	1	7
44060	Cañada de Benatanduz	2	3
44060	Cañada de Benatanduz	3 o más	3
44061	Cañada de Verich (La)	0	15
44061	Cañada de Verich (La)	1	17
44061	Cañada de Verich (La)	2	11
44061	Cañada de Verich (La)	3 o más	2
44062	Cañada Vellida	0	6
44062	Cañada Vellida	1	6
44062	Cañada Vellida	2	7
44062	Cañada Vellida	3 o más	2
44063	Cañizar del Olivar	0	16
44063	Cañizar del Olivar	1	16
44063	Cañizar del Olivar	2	7
44063	Cañizar del Olivar	3 o más	5
44064	Cascante del Río	0	33
44064	Cascante del Río	1	12
44064	Cascante del Río	2	5
44064	Cascante del Río	3 o más	2
44065	Castejón de Tornos	0	20
44065	Castejón de Tornos	1	21
44065	Castejón de Tornos	2	2
44066	Castel de Cabra	0	26
44066	Castel de Cabra	1	22
44066	Castel de Cabra	2	10
44066	Castel de Cabra	3 o más	4
44067	Castelnou	0	14
44067	Castelnou	1	18
44067	Castelnou	2	6
44067	Castelnou	3 o más	4
44068	Castelserás	0	97
44068	Castelserás	1	121
44068	Castelserás	2	79
44068	Castelserás	3 o más	12
44070	Castellar (El)	0	16
44070	Castellar (El)	1	14
44070	Castellar (El)	2	7
44070	Castellar (El)	3 o más	1
44071	Castellote	0	113
44071	Castellote	1	128
44071	Castellote	2	71
44071	Castellote	3 o más	23
44074	Cedrillas	0	56
44074	Cedrillas	1	72
44074	Cedrillas	2	54
44074	Cedrillas	3 o más	9
44075	Celadas	0	45
44075	Celadas	1	92
44075	Celadas	2	49
44075	Celadas	3 o más	14
44076	Cella	0	361
44076	Cella	1	388
44076	Cella	2	280
44076	Cella	3 o más	57
44077	Cerollera (La)	0	12
44077	Cerollera (La)	1	18
44077	Cerollera (La)	2	9
44077	Cerollera (La)	3 o más	2
44080	Codoñera (La)	0	38
44080	Codoñera (La)	1	41
44080	Codoñera (La)	2	40
44080	Codoñera (La)	3 o más	10
44082	Corbalán	0	12
44082	Corbalán	1	17
44082	Corbalán	2	7
44082	Corbalán	3 o más	2
44084	Cortes de Aragón	0	36
44084	Cortes de Aragón	1	6
44084	Cortes de Aragón	2	4
44084	Cortes de Aragón	3 o más	4
44085	Cosa	0	15
44085	Cosa	1	14
44085	Cosa	2	8
44085	Cosa	3 o más	1
44086	Cretas	0	59
44086	Cretas	1	96
44086	Cretas	2	41
44086	Cretas	3 o más	22
44087	Crivillén	0	24
44087	Crivillén	1	17
44087	Crivillén	2	4
44087	Crivillén	3 o más	3
44088	Cuba (La)	0	14
44088	Cuba (La)	1	8
44088	Cuba (La)	2	5
44089	Cubla	0	10
44089	Cubla	1	9
44089	Cubla	2	3
44089	Cubla	3 o más	1
44090	Cucalón	0	13
44090	Cucalón	1	9
44090	Cucalón	2	9
44090	Cucalón	3 o más	1
44092	Cuervo (El)	0	31
44092	Cuervo (El)	1	21
44092	Cuervo (El)	2	4
44093	Cuevas de Almudén	0	9
44093	Cuevas de Almudén	1	21
44093	Cuevas de Almudén	2	5
44093	Cuevas de Almudén	3 o más	2
44094	Cuevas Labradas	0	25
44094	Cuevas Labradas	1	20
44094	Cuevas Labradas	2	15
44094	Cuevas Labradas	3 o más	3
44096	Ejulve	0	43
44096	Ejulve	1	26
44096	Ejulve	2	16
44096	Ejulve	3 o más	3
44097	Escorihuela	0	60
44097	Escorihuela	1	23
44097	Escorihuela	2	7
44099	Escucha	0	108
44099	Escucha	1	198
44099	Escucha	2	51
44099	Escucha	3 o más	14
44100	Estercuel	0	56
44100	Estercuel	1	31
44100	Estercuel	2	32
44100	Estercuel	3 o más	6
44101	Ferreruela de Huerva	0	16
44101	Ferreruela de Huerva	1	19
44101	Ferreruela de Huerva	2	3
44101	Ferreruela de Huerva	3 o más	1
44102	Fonfría	0	5
44102	Fonfría	1	3
44102	Fonfría	2	4
44103	Formiche Alto	0	38
44103	Formiche Alto	1	29
44103	Formiche Alto	2	14
44103	Formiche Alto	3 o más	1
44105	Fórnoles	0	23
44105	Fórnoles	1	16
44105	Fórnoles	2	8
44105	Fórnoles	3 o más	1
44106	Fortanete	0	39
44106	Fortanete	1	34
44106	Fortanete	2	6
44106	Fortanete	3 o más	4
44107	Foz-Calanda	0	27
44107	Foz-Calanda	1	43
44107	Foz-Calanda	2	23
44107	Foz-Calanda	3 o más	6
44108	Fresneda (La)	0	64
44108	Fresneda (La)	1	67
44108	Fresneda (La)	2	38
44108	Fresneda (La)	3 o más	13
44109	Frías de Albarracín	0	28
44109	Frías de Albarracín	1	27
44109	Frías de Albarracín	2	9
44109	Frías de Albarracín	3 o más	1
44110	Fuenferrada	0	7
44110	Fuenferrada	1	10
44110	Fuenferrada	2	2
44111	Fuentes Calientes	0	18
44111	Fuentes Calientes	1	19
44111	Fuentes Calientes	2	9
44111	Fuentes Calientes	3 o más	3
44112	Fuentes Claras	0	119
44112	Fuentes Claras	1	89
44112	Fuentes Claras	2	42
44112	Fuentes Claras	3 o más	8
44113	Fuentes de Rubielos	0	12
44113	Fuentes de Rubielos	1	22
44113	Fuentes de Rubielos	2	7
44113	Fuentes de Rubielos	3 o más	1
44114	Fuentespalda	0	47
44114	Fuentespalda	1	43
44114	Fuentespalda	2	31
44114	Fuentespalda	3 o más	11
44115	Galve	0	14
44115	Galve	1	17
44115	Galve	2	18
44115	Galve	3 o más	4
44116	Gargallo	0	19
44116	Gargallo	1	17
44116	Gargallo	2	10
44116	Gargallo	3 o más	1
44117	Gea de Albarracín	0	78
44117	Gea de Albarracín	1	68
44117	Gea de Albarracín	2	21
44117	Gea de Albarracín	3 o más	11
44118	Ginebrosa (La)	0	34
44118	Ginebrosa (La)	1	35
44118	Ginebrosa (La)	2	21
44118	Ginebrosa (La)	3 o más	11
44119	Griegos	0	21
44119	Griegos	1	22
44119	Griegos	2	13
44119	Griegos	3 o más	1
44120	Guadalaviar	0	46
44120	Guadalaviar	1	41
44120	Guadalaviar	2	15
44120	Guadalaviar	3 o más	2
44121	Gúdar	0	12
44121	Gúdar	1	13
44121	Gúdar	2	3
44121	Gúdar	3 o más	1
44122	Híjar	0	288
44122	Híjar	1	272
44122	Híjar	2	160
44122	Híjar	3 o más	32
44123	Hinojosa de Jarque	0	18
44123	Hinojosa de Jarque	1	24
44123	Hinojosa de Jarque	2	11
44123	Hinojosa de Jarque	3 o más	3
44124	Hoz de la Vieja (La)	0	49
44124	Hoz de la Vieja (La)	1	7
44124	Hoz de la Vieja (La)	2	1
44124	Hoz de la Vieja (La)	3 o más	4
44125	Huesa del Común	0	38
44125	Huesa del Común	1	23
44125	Huesa del Común	2	4
44125	Huesa del Común	3 o más	1
44126	Iglesuela del Cid (La)	0	67
44126	Iglesuela del Cid (La)	1	72
44126	Iglesuela del Cid (La)	2	43
44126	Iglesuela del Cid (La)	3 o más	9
44127	Jabaloyas	0	15
44127	Jabaloyas	1	12
44127	Jabaloyas	2	5
44127	Jabaloyas	3 o más	3
44128	Jarque de la Val	0	13
44128	Jarque de la Val	1	17
44128	Jarque de la Val	2	8
44128	Jarque de la Val	3 o más	1
44129	Jatiel	0	11
44129	Jatiel	1	10
44129	Jatiel	2	4
44130	Jorcas	0	10
44130	Jorcas	1	7
44130	Jorcas	3 o más	3
44131	Josa	0	20
44132	Lagueruela	0	17
44132	Lagueruela	1	11
44132	Lagueruela	2	3
44132	Lagueruela	3 o más	1
44133	Lanzuela	0	9
44133	Lanzuela	1	5
44135	Libros	0	36
44135	Libros	1	35
44135	Libros	3 o más	4
44136	Lidón	0	22
44136	Lidón	1	11
44136	Lidón	2	6
44137	Linares de Mora	0	49
44137	Linares de Mora	1	60
44137	Linares de Mora	2	7
44137	Linares de Mora	3 o más	6
44138	Loscos	0	41
44138	Loscos	1	33
44138	Loscos	2	11
44141	Lledó	0	20
44141	Lledó	1	32
44141	Lledó	2	10
44141	Lledó	3 o más	6
44142	Maicas	0	27
44142	Maicas	1	1
44142	Maicas	2	1
44142	Maicas	3 o más	2
44143	Manzanera	0	76
44143	Manzanera	1	76
44143	Manzanera	2	46
44143	Manzanera	3 o más	5
44144	Martín del Río	0	57
44144	Martín del Río	1	80
44144	Martín del Río	2	44
44144	Martín del Río	3 o más	4
44145	Mas de las Matas	0	145
44145	Mas de las Matas	1	234
44145	Mas de las Matas	2	116
44145	Mas de las Matas	3 o más	20
44146	Mata de los Olmos (La)	0	37
44146	Mata de los Olmos (La)	1	27
44146	Mata de los Olmos (La)	2	23
44146	Mata de los Olmos (La)	3 o más	9
44147	Mazaleón	0	67
44147	Mazaleón	1	107
44147	Mazaleón	2	43
44147	Mazaleón	3 o más	7
44148	Mezquita de Jarque	0	15
44148	Mezquita de Jarque	1	20
44148	Mezquita de Jarque	2	14
44148	Mezquita de Jarque	3 o más	3
44149	Mirambel	0	18
44149	Mirambel	1	17
44149	Mirambel	2	15
44149	Mirambel	3 o más	3
44150	Miravete de la Sierra	0	11
44150	Miravete de la Sierra	1	11
44151	Molinos	0	61
44151	Molinos	1	41
44151	Molinos	2	19
44151	Molinos	3 o más	5
44152	Monforte de Moyuela	0	15
44152	Monforte de Moyuela	1	11
44152	Monforte de Moyuela	2	8
44152	Monforte de Moyuela	3 o más	1
44153	Monreal del Campo	0	321
44153	Monreal del Campo	1	351
44153	Monreal del Campo	2	173
44153	Monreal del Campo	3 o más	25
44154	Monroyo	0	44
44154	Monroyo	1	50
44154	Monroyo	2	42
44154	Monroyo	3 o más	4
44155	Montalbán	0	201
44155	Montalbán	1	229
44155	Montalbán	2	101
44155	Montalbán	3 o más	21
44156	Monteagudo del Castillo	0	12
44156	Monteagudo del Castillo	1	9
44156	Monteagudo del Castillo	2	4
44156	Monteagudo del Castillo	3 o más	1
44157	Monterde de Albarracín	0	17
44157	Monterde de Albarracín	1	21
44157	Monterde de Albarracín	3 o más	1
44158	Mora de Rubielos	0	188
44158	Mora de Rubielos	1	211
44158	Mora de Rubielos	2	106
44158	Mora de Rubielos	3 o más	31
44159	Moscardón	0	15
44159	Moscardón	1	9
44159	Moscardón	2	1
44159	Moscardón	3 o más	2
44160	Mosqueruela	0	87
44160	Mosqueruela	1	106
44160	Mosqueruela	2	58
44160	Mosqueruela	3 o más	14
44161	Muniesa	0	126
44161	Muniesa	1	136
44161	Muniesa	2	32
44161	Muniesa	3 o más	5
44163	Noguera de Albarracín	0	28
44163	Noguera de Albarracín	1	40
44163	Noguera de Albarracín	2	7
44163	Noguera de Albarracín	3 o más	2
44164	Nogueras	0	4
44164	Nogueras	1	2
44164	Nogueras	2	1
44164	Nogueras	3 o más	1
44165	Nogueruelas	0	32
44165	Nogueruelas	1	31
44165	Nogueruelas	2	20
44165	Nogueruelas	3 o más	6
44167	Obón	0	19
44167	Obón	1	14
44167	Obón	2	5
44167	Obón	3 o más	1
44168	Odón	0	36
44168	Odón	1	25
44168	Odón	2	26
44168	Odón	3 o más	10
44169	Ojos Negros	0	92
44169	Ojos Negros	1	91
44169	Ojos Negros	2	35
44169	Ojos Negros	3 o más	13
44171	Olba	0	42
44171	Olba	1	43
44171	Olba	2	9
44171	Olba	3 o más	2
44172	Oliete	0	108
44172	Oliete	1	80
44172	Oliete	2	26
44172	Oliete	3 o más	4
44173	Olmos (Los)	0	23
44173	Olmos (Los)	1	21
44173	Olmos (Los)	2	8
44173	Olmos (Los)	3 o más	3
44174	Orihuela del Tremedal	0	100
44174	Orihuela del Tremedal	1	112
44174	Orihuela del Tremedal	2	37
44174	Orihuela del Tremedal	3 o más	7
44175	Orrios	0	21
44175	Orrios	1	26
44175	Orrios	2	13
44175	Orrios	3 o más	2
44176	Palomar de Arroyos	0	25
44176	Palomar de Arroyos	1	31
44176	Palomar de Arroyos	2	16
44176	Palomar de Arroyos	3 o más	6
44177	Pancrudo	0	24
44177	Pancrudo	1	26
44177	Pancrudo	2	12
44177	Pancrudo	3 o más	2
44178	Parras de Castellote (Las)	0	17
44178	Parras de Castellote (Las)	1	9
44178	Parras de Castellote (Las)	2	8
44178	Parras de Castellote (Las)	3 o más	2
44179	Peñarroya de Tastavins	0	68
44179	Peñarroya de Tastavins	1	69
44179	Peñarroya de Tastavins	2	48
44179	Peñarroya de Tastavins	3 o más	13
44180	Peracense	0	27
44180	Peracense	1	20
44180	Peracense	2	3
44180	Peracense	3 o más	3
44181	Peralejos	0	15
44181	Peralejos	1	12
44181	Peralejos	2	6
44181	Peralejos	3 o más	3
44182	Perales del Alfambra	0	32
44182	Perales del Alfambra	1	40
44182	Perales del Alfambra	2	25
44182	Perales del Alfambra	3 o más	10
44183	Pitarque	0	22
44183	Pitarque	1	20
44183	Pitarque	2	3
44183	Pitarque	3 o más	1
44184	Plou	0	14
44184	Plou	1	9
44184	Plou	2	3
44185	Pobo (El)	0	23
44185	Pobo (El)	1	26
44185	Pobo (El)	2	9
44185	Pobo (El)	3 o más	2
44187	Portellada (La)	0	31
44187	Portellada (La)	1	39
44187	Portellada (La)	2	30
44187	Portellada (La)	3 o más	14
44189	Pozondón	0	22
44189	Pozondón	1	13
44189	Pozondón	2	6
44190	Pozuel del Campo	0	26
44190	Pozuel del Campo	1	17
44190	Pozuel del Campo	2	9
44190	Pozuel del Campo	3 o más	3
44191	Puebla de Híjar (La)	0	181
44191	Puebla de Híjar (La)	1	122
44191	Puebla de Híjar (La)	2	79
44191	Puebla de Híjar (La)	3 o más	29
44192	Puebla de Valverde (La)	0	83
44192	Puebla de Valverde (La)	1	79
44192	Puebla de Valverde (La)	2	38
44192	Puebla de Valverde (La)	3 o más	15
44193	Puertomingalvo	0	33
44193	Puertomingalvo	1	18
44193	Puertomingalvo	2	11
44193	Puertomingalvo	3 o más	5
44194	Ráfales	0	38
44194	Ráfales	1	33
44194	Ráfales	2	14
44194	Ráfales	3 o más	1
44195	Rillo	0	19
44195	Rillo	1	21
44195	Rillo	2	10
44195	Rillo	3 o más	4
44196	Riodeva	0	54
44196	Riodeva	1	35
44196	Riodeva	3 o más	1
44197	Ródenas	0	18
44197	Ródenas	1	17
44197	Ródenas	2	1
44197	Ródenas	3 o más	1
44198	Royuela	0	35
44198	Royuela	1	40
44198	Royuela	2	13
44198	Royuela	3 o más	2
44199	Rubiales	0	14
44199	Rubiales	1	9
44200	Rubielos de la Cérida	0	13
44200	Rubielos de la Cérida	1	6
44200	Rubielos de la Cérida	2	3
44200	Rubielos de la Cérida	3 o más	3
44201	Rubielos de Mora	0	104
44201	Rubielos de Mora	1	106
44201	Rubielos de Mora	2	43
44201	Rubielos de Mora	3 o más	13
44203	Salcedillo	0	5
44203	Salcedillo	1	1
44204	Saldón	0	10
44204	Saldón	1	11
44205	Samper de Calanda	0	195
44205	Samper de Calanda	1	145
44205	Samper de Calanda	2	61
44205	Samper de Calanda	3 o más	7
44206	San Agustín	0	36
44206	San Agustín	1	22
44206	San Agustín	2	6
44207	San Martín del Río	0	67
44207	San Martín del Río	1	52
44207	San Martín del Río	2	6
44207	San Martín del Río	3 o más	2
44208	Santa Cruz de Nogueras	0	6
44208	Santa Cruz de Nogueras	1	8
44208	Santa Cruz de Nogueras	2	3
44209	Santa Eulalia	0	204
44209	Santa Eulalia	1	231
44209	Santa Eulalia	2	49
44209	Santa Eulalia	3 o más	7
44210	Sarrión	0	156
44210	Sarrión	1	161
44210	Sarrión	2	65
44210	Sarrión	3 o más	25
44211	Segura de los Baños	0	9
44211	Segura de los Baños	1	10
44211	Segura de los Baños	2	1
44212	Seno	0	12
44212	Seno	1	8
44212	Seno	3 o más	3
44213	Singra	0	17
44213	Singra	1	14
44213	Singra	2	9
44213	Singra	3 o más	1
44215	Terriente	0	49
44215	Terriente	1	17
44215	Terriente	2	2
44215	Terriente	3 o más	3
44216	Teruel	0	2302
44216	Teruel	1	4813
44216	Teruel	2	3033
44216	Teruel	3 o más	573
44217	Toril y Masegoso	0	8
44217	Toril y Masegoso	1	4
44217	Toril y Masegoso	2	2
44218	Tormón	0	9
44218	Tormón	1	10
44218	Tormón	2	1
44219	Tornos	0	47
44219	Tornos	1	54
44219	Tornos	2	10
44219	Tornos	3 o más	1
44220	Torralba de los Sisones	0	30
44220	Torralba de los Sisones	1	41
44220	Torralba de los Sisones	2	14
44220	Torralba de los Sisones	3 o más	2
44221	Torrecilla de Alcañiz	0	47
44221	Torrecilla de Alcañiz	1	54
44221	Torrecilla de Alcañiz	2	46
44221	Torrecilla de Alcañiz	3 o más	14
44222	Torrecilla del Rebollar	0	37
44222	Torrecilla del Rebollar	1	20
44222	Torrecilla del Rebollar	2	15
44222	Torrecilla del Rebollar	3 o más	3
44223	Torre de Arcas	0	12
44223	Torre de Arcas	1	14
44223	Torre de Arcas	2	12
44223	Torre de Arcas	3 o más	1
44224	Torre de las Arcas	0	9
44224	Torre de las Arcas	1	9
44224	Torre de las Arcas	2	1
44225	Torre del Compte	0	38
44225	Torre del Compte	1	22
44225	Torre del Compte	2	14
44225	Torre del Compte	3 o más	4
44226	Torrelacárcel	0	58
44226	Torrelacárcel	1	41
44226	Torrelacárcel	2	17
44226	Torrelacárcel	3 o más	7
44227	Torre los Negros	0	10
44227	Torre los Negros	1	12
44227	Torre los Negros	2	8
44227	Torre los Negros	3 o más	4
44228	Torremocha de Jiloca	0	35
44228	Torremocha de Jiloca	1	23
44228	Torremocha de Jiloca	2	10
44228	Torremocha de Jiloca	3 o más	2
44229	Torres de Albarracín	0	23
44229	Torres de Albarracín	1	26
44229	Torres de Albarracín	2	13
44229	Torres de Albarracín	3 o más	4
44230	Torrevelilla	0	33
44230	Torrevelilla	1	36
44230	Torrevelilla	2	14
44230	Torrevelilla	3 o más	7
44231	Torrijas	0	19
44231	Torrijas	1	9
44231	Torrijas	2	7
44231	Torrijas	3 o más	1
44232	Torrijo del Campo	0	104
44232	Torrijo del Campo	1	69
44232	Torrijo del Campo	2	41
44232	Torrijo del Campo	3 o más	18
44234	Tramacastiel	0	27
44234	Tramacastiel	1	20
44234	Tramacastiel	2	2
44235	Tramacastilla	0	26
44235	Tramacastilla	1	26
44235	Tramacastilla	2	6
44236	Tronchón	0	21
44236	Tronchón	1	15
44236	Tronchón	2	10
44237	Urrea de Gaén	0	99
44237	Urrea de Gaén	1	66
44237	Urrea de Gaén	2	54
44237	Urrea de Gaén	3 o más	9
44238	Utrillas	0	335
44238	Utrillas	1	502
44238	Utrillas	2	231
44238	Utrillas	3 o más	30
44239	Valacloche	0	8
44239	Valacloche	1	4
44240	Valbona	0	36
44240	Valbona	1	34
44240	Valbona	2	15
44240	Valbona	3 o más	2
44241	Valdealgorfa	0	99
44241	Valdealgorfa	1	102
44241	Valdealgorfa	2	71
44241	Valdealgorfa	3 o más	15
44243	Valdecuenca	0	10
44243	Valdecuenca	1	6
44243	Valdecuenca	3 o más	1
44244	Valdelinares	0	30
44244	Valdelinares	1	19
44244	Valdelinares	2	4
44244	Valdelinares	3 o más	2
44245	Valdeltormo	0	51
44245	Valdeltormo	1	41
44245	Valdeltormo	2	34
44245	Valdeltormo	3 o más	16
44246	Valderrobres	0	225
44246	Valderrobres	1	335
44246	Valderrobres	2	146
44246	Valderrobres	3 o más	31
44247	Valjunquera	0	58
44247	Valjunquera	1	55
44247	Valjunquera	2	41
44247	Valjunquera	3 o más	15
44249	Vallecillo (El)	0	15
44249	Vallecillo (El)	1	10
44249	Vallecillo (El)	2	1
44249	Vallecillo (El)	3 o más	1
44250	Veguillas de la Sierra	0	4
44250	Veguillas de la Sierra	1	9
44250	Veguillas de la Sierra	2	1
44251	Villafranca del Campo	0	66
44251	Villafranca del Campo	1	51
44251	Villafranca del Campo	2	33
44251	Villafranca del Campo	3 o más	5
44252	Villahermosa del Campo	0	8
44252	Villahermosa del Campo	1	17
44252	Villahermosa del Campo	2	3
44252	Villahermosa del Campo	3 o más	3
44256	Villanueva del Rebollar de la Sierra	0	4
44256	Villanueva del Rebollar de la Sierra	1	13
44256	Villanueva del Rebollar de la Sierra	2	2
44257	Villar del Cobo	0	37
44257	Villar del Cobo	1	38
44257	Villar del Cobo	2	14
44258	Villar del Salz	0	25
44258	Villar del Salz	1	13
44258	Villar del Salz	2	3
44260	Villarluengo	0	32
44260	Villarluengo	1	36
44260	Villarluengo	2	13
44260	Villarluengo	3 o más	9
44261	Villarquemado	0	128
44261	Villarquemado	1	148
44261	Villarquemado	2	70
44261	Villarquemado	3 o más	15
44262	Villarroya de los Pinares	0	37
44262	Villarroya de los Pinares	1	30
44262	Villarroya de los Pinares	2	11
44262	Villarroya de los Pinares	3 o más	3
44263	Villastar	0	51
44263	Villastar	1	48
44263	Villastar	2	37
44263	Villastar	3 o más	5
44264	Villel	0	76
44264	Villel	1	47
44264	Villel	2	23
44264	Villel	3 o más	5
44265	Vinaceite	0	52
44265	Vinaceite	1	45
44265	Vinaceite	2	19
44265	Vinaceite	3 o más	4
44266	Visiedo	0	32
44266	Visiedo	1	33
44266	Visiedo	2	17
44266	Visiedo	3 o más	1
44267	Vivel del Río Martín	0	24
44267	Vivel del Río Martín	1	8
44267	Vivel del Río Martín	2	6
44267	Vivel del Río Martín	3 o más	2
44268	Zoma (La)	0	2
44268	Zoma (La)	1	3
44268	Zoma (La)	2	3
50001	Abanto	0	49
50001	Abanto	1	26
50001	Abanto	2	5
50002	Acered	0	52
50002	Acered	1	42
50002	Acered	2	14
50002	Acered	3 o más	1
50003	Agón	0	22
50003	Agón	1	12
50003	Agón	2	20
50003	Agón	3 o más	6
50004	Aguarón	0	96
50004	Aguarón	1	123
50004	Aguarón	2	60
50004	Aguarón	3 o más	16
50005	Aguilón	0	64
50005	Aguilón	1	49
50005	Aguilón	2	19
50005	Aguilón	3 o más	2
50006	Ainzón	0	180
50006	Ainzón	1	192
50006	Ainzón	2	114
50006	Ainzón	3 o más	24
50007	Aladrén	0	13
50007	Aladrén	1	23
50007	Aladrén	2	1
50007	Aladrén	3 o más	1
50008	Alagón	0	579
50008	Alagón	1	918
50008	Alagón	2	392
50008	Alagón	3 o más	76
50009	Alarba	0	30
50009	Alarba	1	21
50009	Alarba	2	5
50009	Alarba	3 o más	3
50010	Alberite de San Juan	0	8
50010	Alberite de San Juan	1	22
50010	Alberite de San Juan	2	7
50011	Albeta	0	15
50011	Albeta	1	21
50011	Albeta	2	15
50011	Albeta	3 o más	1
50012	Alborge	0	8
50012	Alborge	1	21
50012	Alborge	2	15
50012	Alborge	3 o más	5
50013	Alcalá de Ebro	0	43
50013	Alcalá de Ebro	1	38
50013	Alcalá de Ebro	2	22
50013	Alcalá de Ebro	3 o más	6
50014	Alcalá de Moncayo	0	10
50014	Alcalá de Moncayo	1	25
50014	Alcalá de Moncayo	2	12
50014	Alcalá de Moncayo	3 o más	3
50015	Alconchel de Ariza	0	28
50015	Alconchel de Ariza	1	25
50016	Aldehuela de Liestos	0	10
50016	Aldehuela de Liestos	1	7
50016	Aldehuela de Liestos	2	1
50017	Alfajarín	0	97
50017	Alfajarín	1	284
50017	Alfajarín	2	143
50017	Alfajarín	3 o más	35
50018	Alfamén	0	121
50018	Alfamén	1	198
50018	Alfamén	2	97
50018	Alfamén	3 o más	21
50019	Alforque	0	15
50019	Alforque	1	12
50019	Alforque	2	7
50019	Alforque	3 o más	1
50020	Alhama de Aragón	0	192
50020	Alhama de Aragón	1	175
50020	Alhama de Aragón	2	79
50020	Alhama de Aragón	3 o más	13
50021	Almochuel	0	10
50021	Almochuel	1	11
50021	Almochuel	2	4
50022	Almolda (La)	0	62
50022	Almolda (La)	1	102
50022	Almolda (La)	2	53
50022	Almolda (La)	3 o más	14
50023	Almonacid de la Cuba	0	49
50023	Almonacid de la Cuba	1	44
50023	Almonacid de la Cuba	2	26
50023	Almonacid de la Cuba	3 o más	5
50024	Almonacid de la Sierra	0	120
50024	Almonacid de la Sierra	1	127
50024	Almonacid de la Sierra	2	57
50024	Almonacid de la Sierra	3 o más	13
50025	Almunia de Doña Godina (La)	0	641
50025	Almunia de Doña Godina (La)	1	951
50025	Almunia de Doña Godina (La)	2	348
50025	Almunia de Doña Godina (La)	3 o más	57
50026	Alpartir	0	94
50026	Alpartir	1	83
50026	Alpartir	2	43
50026	Alpartir	3 o más	5
50027	Ambel	0	66
50027	Ambel	1	41
50027	Ambel	2	32
50027	Ambel	3 o más	8
50028	Anento	0	6
50028	Anento	1	24
50028	Anento	2	8
50028	Anento	3 o más	3
50029	Aniñón	0	153
50029	Aniñón	1	102
50029	Aniñón	2	56
50029	Aniñón	3 o más	10
50030	Añón de Moncayo	0	52
50030	Añón de Moncayo	1	38
50030	Añón de Moncayo	2	19
50030	Añón de Moncayo	3 o más	6
50031	Aranda de Moncayo	0	55
50031	Aranda de Moncayo	1	33
50031	Aranda de Moncayo	2	9
50031	Aranda de Moncayo	3 o más	2
50032	Arándiga	0	114
50032	Arándiga	1	71
50032	Arándiga	2	17
50033	Ardisa	0	8
50033	Ardisa	1	13
50033	Ardisa	2	12
50034	Ariza	0	234
50034	Ariza	1	201
50034	Ariza	2	52
50034	Ariza	3 o más	4
50035	Artieda	0	11
50035	Artieda	1	19
50035	Artieda	2	4
50035	Artieda	3 o más	5
50036	Asín	0	17
50036	Asín	1	13
50036	Asín	2	8
50036	Asín	3 o más	2
50037	Atea	0	49
50037	Atea	1	49
50037	Atea	2	9
50038	Ateca	0	270
50038	Ateca	1	352
50038	Ateca	2	112
50038	Ateca	3 o más	19
50039	Azuara	0	132
50039	Azuara	1	110
50039	Azuara	2	32
50039	Azuara	3 o más	9
50040	Badules	0	18
50040	Badules	1	21
50040	Badules	2	7
50040	Badules	3 o más	2
50041	Bagüés	0	4
50041	Bagüés	1	11
50041	Bagüés	2	2
50042	Balconchán	0	8
50042	Balconchán	1	3
50042	Balconchán	2	1
50043	Bárboles	0	38
50043	Bárboles	1	59
50043	Bárboles	2	27
50043	Bárboles	3 o más	8
50044	Bardallur	0	49
50044	Bardallur	1	48
50044	Bardallur	2	14
50044	Bardallur	3 o más	6
50045	Belchite	0	235
