Mes y año	'Aragón'	Nivel formativo grupo IAEST código	Nivel formativo grupo IAEST descripción	Sexo	Nº parados
Julio 2017	Aragón	10	Educación Primaria o inferior	Mujeres	7359
Julio 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	14219
Julio 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	18798
Julio 2017	Aragón	31	Bachillerato	Hombres	2270
Julio 2017	Aragón	31	Bachillerato	Mujeres	3237
Julio 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1679
Julio 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3146
Julio 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1280
Julio 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2448
Julio 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2038
Julio 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	5091
Junio 2017	Aragón	10	Educación Primaria o inferior	Hombres	5287
Junio 2017	Aragón	10	Educación Primaria o inferior	Mujeres	7420
Junio 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	14257
Junio 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	19122
Junio 2017	Aragón	31	Bachillerato	Hombres	2223
Junio 2017	Aragón	31	Bachillerato	Mujeres	3170
Junio 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1717
Junio 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3269
Junio 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1272
Junio 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2368
Junio 2017	Aragón	42	Enseñanza superior universitaria	Hombres	1880
Junio 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	4509
Mayo 2017	Aragón	10	Educación Primaria o inferior	Hombres	5482
Mayo 2017	Aragón	10	Educación Primaria o inferior	Mujeres	7584
Mayo 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	14854
Mayo 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	19532
Mayo 2017	Aragón	31	Bachillerato	Hombres	2335
Mayo 2017	Aragón	31	Bachillerato	Mujeres	3285
Mayo 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1820
Mayo 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3430
Mayo 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1351
Mayo 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2472
Mayo 2017	Aragón	42	Enseñanza superior universitaria	Hombres	1942
Mayo 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	4675
Abril 2017	Aragón	10	Educación Primaria o inferior	Hombres	6578
Abril 2017	Aragón	10	Educación Primaria o inferior	Mujeres	8279
Abril 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	16331
Abril 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	20304
Abril 2017	Aragón	31	Bachillerato	Hombres	2416
Abril 2017	Aragón	31	Bachillerato	Mujeres	3268
Abril 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	1965
Abril 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3590
Abril 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1399
Abril 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2520
Abril 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2038
Abril 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	4834
Marzo 2017	Aragón	10	Educación Primaria o inferior	Hombres	7324
Marzo 2017	Aragón	10	Educación Primaria o inferior	Mujeres	8733
Marzo 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	17262
Marzo 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	20930
Marzo 2017	Aragón	31	Bachillerato	Hombres	2517
Marzo 2017	Aragón	31	Bachillerato	Mujeres	3350
Marzo 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	2173
Marzo 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3771
Marzo 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1516
Marzo 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2717
Marzo 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2179
Marzo 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	5061
Febrero 2017	Aragón	10	Educación Primaria o inferior	Hombres	7242
Febrero 2017	Aragón	10	Educación Primaria o inferior	Mujeres	8760
Febrero 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	17688
Febrero 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	21195
Febrero 2017	Aragón	31	Bachillerato	Hombres	2581
Febrero 2017	Aragón	31	Bachillerato	Mujeres	3445
Febrero 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	2209
Febrero 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	3894
Febrero 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1593
Febrero 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2832
Febrero 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2316
Febrero 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	5338
Enero 2017	Aragón	10	Educación Primaria o inferior	Hombres	7400
Enero 2017	Aragón	10	Educación Primaria o inferior	Mujeres	8663
Enero 2017	Aragón	20	Primera etapa de educación secundaria	Hombres	18456
Enero 2017	Aragón	20	Primera etapa de educación secundaria	Mujeres	21332
Enero 2017	Aragón	31	Bachillerato	Hombres	2803
Enero 2017	Aragón	31	Bachillerato	Mujeres	3688
Enero 2017	Aragón	32	Enseñanza media de formación profesional	Hombres	2403
Enero 2017	Aragón	32	Enseñanza media de formación profesional	Mujeres	4107
Enero 2017	Aragón	41	Enseñanza superior de formación profesional	Hombres	1794
Enero 2017	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3081
Enero 2017	Aragón	42	Enseñanza superior universitaria	Hombres	2500
Enero 2017	Aragón	42	Enseñanza superior universitaria	Mujeres	5684
Diciembre 2016	Aragón	10	Educación Primaria o inferior	Hombres	7437
Diciembre 2016	Aragón	10	Educación Primaria o inferior	Mujeres	8555
Diciembre 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	18313
Diciembre 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	20649
Diciembre 2016	Aragón	31	Bachillerato	Hombres	2800
Diciembre 2016	Aragón	31	Bachillerato	Mujeres	3609
Diciembre 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2430
Diciembre 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	3744
Diciembre 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1715
Diciembre 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2902
Diciembre 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2453
Diciembre 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	5326
Noviembre 2016	Aragón	10	Educación Primaria o inferior	Hombres	7509
Noviembre 2016	Aragón	10	Educación Primaria o inferior	Mujeres	8741
Noviembre 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	18319
Noviembre 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	21246
Noviembre 2016	Aragón	31	Bachillerato	Hombres	2816
Noviembre 2016	Aragón	31	Bachillerato	Mujeres	3726
Noviembre 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2342
Noviembre 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	3952
Noviembre 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1774
Noviembre 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3052
Noviembre 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2456
Noviembre 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	5550
Octubre 2016	Aragón	10	Educación Primaria o inferior	Hombres	7395
Octubre 2016	Aragón	10	Educación Primaria o inferior	Mujeres	8400
Octubre 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	18067
Octubre 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	20872
Octubre 2016	Aragón	31	Bachillerato	Hombres	2801
Octubre 2016	Aragón	31	Bachillerato	Mujeres	3743
Octubre 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2387
Octubre 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	3975
Octubre 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1821
Octubre 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3150
Octubre 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2569
Octubre 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	5875
Septiembre 2016	Aragón	10	Educación Primaria o inferior	Hombres	7061
Septiembre 2016	Aragón	10	Educación Primaria o inferior	Mujeres	8131
Septiembre 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	17803
Septiembre 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	20818
Septiembre 2016	Aragón	31	Bachillerato	Hombres	2830
Septiembre 2016	Aragón	31	Bachillerato	Mujeres	3819
Septiembre 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2318
Septiembre 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	3754
Septiembre 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1787
Septiembre 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3144
Septiembre 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2581
Septiembre 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	6077
Agosto 2016	Aragón	10	Educación Primaria o inferior	Hombres	6690
Agosto 2016	Aragón	10	Educación Primaria o inferior	Mujeres	7662
Agosto 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	17264
Agosto 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	20072
Agosto 2016	Aragón	31	Bachillerato	Hombres	2730
Agosto 2016	Aragón	31	Bachillerato	Mujeres	3756
Agosto 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2187
Agosto 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	3599
Agosto 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1716
Agosto 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2989
Agosto 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2714
Agosto 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	6461
Julio 2016	Aragón	10	Educación Primaria o inferior	Hombres	6713
Julio 2016	Aragón	10	Educación Primaria o inferior	Mujeres	7841
Julio 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	17345
Julio 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	20488
Julio 2016	Aragón	31	Bachillerato	Hombres	2712
Julio 2016	Aragón	31	Bachillerato	Mujeres	3703
Julio 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2151
Julio 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	3630
Julio 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1679
Julio 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2925
Julio 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2595
Julio 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	5988
Junio 2016	Aragón	10	Educación Primaria o inferior	Hombres	6697
Junio 2016	Aragón	10	Educación Primaria o inferior	Mujeres	8184
Junio 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	17812
Junio 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	21172
Junio 2016	Aragón	31	Bachillerato	Hombres	2720
Junio 2016	Aragón	31	Bachillerato	Mujeres	3680
Junio 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2308
Junio 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	3870
Junio 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1720
Junio 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	2923
Junio 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2443
Junio 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	5533
Mayo 2016	Aragón	10	Educación Primaria o inferior	Hombres	7258
Mayo 2016	Aragón	10	Educación Primaria o inferior	Mujeres	8504
Mayo 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	19117
Mayo 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	21802
Mayo 2016	Aragón	31	Bachillerato	Hombres	2926
Mayo 2016	Aragón	31	Bachillerato	Mujeres	3832
Mayo 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2481
Mayo 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	4102
Mayo 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1819
Mayo 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3064
Mayo 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2526
Mayo 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	5655
Abril 2016	Aragón	10	Educación Primaria o inferior	Hombres	8287
Abril 2016	Aragón	10	Educación Primaria o inferior	Mujeres	9066
Abril 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	20601
Abril 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	22522
Abril 2016	Aragón	31	Bachillerato	Hombres	3001
Abril 2016	Aragón	31	Bachillerato	Mujeres	3891
Abril 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2680
Abril 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	4283
Abril 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1899
Abril 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3138
Abril 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2565
Abril 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	5814
Marzo 2016	Aragón	10	Educación Primaria o inferior	Hombres	8682
Marzo 2016	Aragón	10	Educación Primaria o inferior	Mujeres	9020
Marzo 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	21238
Marzo 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	22745
Marzo 2016	Aragón	31	Bachillerato	Hombres	3075
Marzo 2016	Aragón	31	Bachillerato	Mujeres	3998
Marzo 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2779
Marzo 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	4304
Marzo 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	1950
Marzo 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3161
Marzo 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2718
Marzo 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	5971
Febrero 2016	Aragón	10	Educación Primaria o inferior	Hombres	8582
Febrero 2016	Aragón	10	Educación Primaria o inferior	Mujeres	9124
Febrero 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	21228
Febrero 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	22822
Febrero 2016	Aragón	31	Bachillerato	Hombres	3160
Febrero 2016	Aragón	31	Bachillerato	Mujeres	4118
Febrero 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2818
Febrero 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	4431
Febrero 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	2034
Febrero 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3240
Febrero 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2821
Febrero 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	6304
Enero 2016	Aragón	10	Educación Primaria o inferior	Hombres	8493
Enero 2016	Aragón	10	Educación Primaria o inferior	Mujeres	9018
Enero 2016	Aragón	20	Primera etapa de educación secundaria	Hombres	21281
Enero 2016	Aragón	20	Primera etapa de educación secundaria	Mujeres	22981
Enero 2016	Aragón	31	Bachillerato	Hombres	3265
Enero 2016	Aragón	31	Bachillerato	Mujeres	4206
Enero 2016	Aragón	32	Enseñanza media de formación profesional	Hombres	2848
Enero 2016	Aragón	32	Enseñanza media de formación profesional	Mujeres	4443
Enero 2016	Aragón	41	Enseñanza superior de formación profesional	Hombres	2077
Enero 2016	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3292
Enero 2016	Aragón	42	Enseñanza superior universitaria	Hombres	2951
Enero 2016	Aragón	42	Enseñanza superior universitaria	Mujeres	6490
Diciembre 2015	Aragón	10	Educación Primaria o inferior	Hombres	8533
Diciembre 2015	Aragón	10	Educación Primaria o inferior	Mujeres	9025
Diciembre 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	21100
Diciembre 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	22348
Diciembre 2015	Aragón	31	Bachillerato	Hombres	3224
Diciembre 2015	Aragón	31	Bachillerato	Mujeres	4094
Diciembre 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	2815
Diciembre 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4044
Diciembre 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2060
Diciembre 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3093
Diciembre 2015	Aragón	42	Enseñanza superior universitaria	Hombres	2860
Diciembre 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6088
Noviembre 2015	Aragón	10	Educación Primaria o inferior	Hombres	8566
Noviembre 2015	Aragón	10	Educación Primaria o inferior	Mujeres	9335
Noviembre 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	20935
Noviembre 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	22981
Noviembre 2015	Aragón	31	Bachillerato	Hombres	3289
Noviembre 2015	Aragón	31	Bachillerato	Mujeres	4243
Noviembre 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	2796
Noviembre 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4409
Noviembre 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2050
Noviembre 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3245
Noviembre 2015	Aragón	42	Enseñanza superior universitaria	Hombres	2858
Noviembre 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6412
Octubre 2015	Aragón	10	Educación Primaria o inferior	Hombres	8709
Octubre 2015	Aragón	10	Educación Primaria o inferior	Mujeres	9108
Octubre 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	21005
Octubre 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	22866
Octubre 2015	Aragón	31	Bachillerato	Hombres	3274
Octubre 2015	Aragón	31	Bachillerato	Mujeres	4339
Octubre 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	2836
Octubre 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4486
Octubre 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2118
Octubre 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3394
Octubre 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3014
Octubre 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6668
Septiembre 2015	Aragón	10	Educación Primaria o inferior	Hombres	8165
Septiembre 2015	Aragón	10	Educación Primaria o inferior	Mujeres	8626
Septiembre 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	20516
Septiembre 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	22483
Septiembre 2015	Aragón	31	Bachillerato	Hombres	3403
Septiembre 2015	Aragón	31	Bachillerato	Mujeres	4499
Septiembre 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	2830
Septiembre 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4326
Septiembre 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2150
Septiembre 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3397
Septiembre 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3124
Septiembre 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6907
Agosto 2015	Aragón	10	Educación Primaria o inferior	Hombres	7944
Agosto 2015	Aragón	10	Educación Primaria o inferior	Mujeres	8149
Agosto 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	20420
Agosto 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	21886
Agosto 2015	Aragón	31	Bachillerato	Hombres	3503
Agosto 2015	Aragón	31	Bachillerato	Mujeres	4628
Agosto 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	2861
Agosto 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4152
Agosto 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2179
Agosto 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3452
Agosto 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3935
Agosto 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	9391
Julio 2015	Aragón	10	Educación Primaria o inferior	Hombres	8019
Julio 2015	Aragón	10	Educación Primaria o inferior	Mujeres	8345
Julio 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	20864
Julio 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	22085
Julio 2015	Aragón	31	Bachillerato	Hombres	3487
Julio 2015	Aragón	31	Bachillerato	Mujeres	4514
Julio 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	2867
Julio 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4228
Julio 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2154
Julio 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3305
Julio 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3573
Julio 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	8363
Junio 2015	Aragón	10	Educación Primaria o inferior	Hombres	8218
Junio 2015	Aragón	10	Educación Primaria o inferior	Mujeres	8532
Junio 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	22010
Junio 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	23117
Junio 2015	Aragón	31	Bachillerato	Hombres	3533
Junio 2015	Aragón	31	Bachillerato	Mujeres	4487
Junio 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	3068
Junio 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4563
Junio 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2231
Junio 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3371
Junio 2015	Aragón	42	Enseñanza superior universitaria	Hombres	2977
Junio 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6722
Mayo 2015	Aragón	10	Educación Primaria o inferior	Hombres	8443
Mayo 2015	Aragón	10	Educación Primaria o inferior	Mujeres	8895
Mayo 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	22977
Mayo 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	23757
Mayo 2015	Aragón	31	Bachillerato	Hombres	3634
Mayo 2015	Aragón	31	Bachillerato	Mujeres	4534
Mayo 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	3126
Mayo 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4744
Mayo 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2235
Mayo 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3453
Mayo 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3072
Mayo 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6677
Abril 2015	Aragón	10	Educación Primaria o inferior	Hombres	9749
Abril 2015	Aragón	10	Educación Primaria o inferior	Mujeres	9470
Abril 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	24361
Abril 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	24011
Abril 2015	Aragón	31	Bachillerato	Hombres	3721
Abril 2015	Aragón	31	Bachillerato	Mujeres	4577
Abril 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	3246
Abril 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4866
Abril 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2346
Abril 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3484
Abril 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3081
Abril 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6726
Marzo 2015	Aragón	10	Educación Primaria o inferior	Hombres	10335
Marzo 2015	Aragón	10	Educación Primaria o inferior	Mujeres	9758
Marzo 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	25363
Marzo 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	24433
Marzo 2015	Aragón	31	Bachillerato	Hombres	3748
Marzo 2015	Aragón	31	Bachillerato	Mujeres	4611
Marzo 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	3351
Marzo 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4946
Marzo 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2338
Marzo 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3482
Marzo 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3132
Marzo 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6871
Febrero 2015	Aragón	10	Educación Primaria o inferior	Hombres	10461
Febrero 2015	Aragón	10	Educación Primaria o inferior	Mujeres	9804
Febrero 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	25527
Febrero 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	24587
Febrero 2015	Aragón	31	Bachillerato	Hombres	3778
Febrero 2015	Aragón	31	Bachillerato	Mujeres	4651
Febrero 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	3300
Febrero 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4981
Febrero 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2312
Febrero 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3526
Febrero 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3160
Febrero 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	6979
Enero 2015	Aragón	10	Educación Primaria o inferior	Hombres	10471
Enero 2015	Aragón	10	Educación Primaria o inferior	Mujeres	9659
Enero 2015	Aragón	20	Primera etapa de educación secundaria	Hombres	25655
Enero 2015	Aragón	20	Primera etapa de educación secundaria	Mujeres	24557
Enero 2015	Aragón	31	Bachillerato	Hombres	3842
Enero 2015	Aragón	31	Bachillerato	Mujeres	4591
Enero 2015	Aragón	32	Enseñanza media de formación profesional	Hombres	3349
Enero 2015	Aragón	32	Enseñanza media de formación profesional	Mujeres	4948
Enero 2015	Aragón	41	Enseñanza superior de formación profesional	Hombres	2390
Enero 2015	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3491
Enero 2015	Aragón	42	Enseñanza superior universitaria	Hombres	3274
Enero 2015	Aragón	42	Enseñanza superior universitaria	Mujeres	7067
Diciembre 2014	Aragón	10	Educación Primaria o inferior	Hombres	10397
Diciembre 2014	Aragón	10	Educación Primaria o inferior	Mujeres	9395
Diciembre 2014	Aragón	20	Primera etapa de educación secundaria	Hombres	25716
Diciembre 2014	Aragón	20	Primera etapa de educación secundaria	Mujeres	23760
Diciembre 2014	Aragón	31	Bachillerato	Hombres	3960
Diciembre 2014	Aragón	31	Bachillerato	Mujeres	4577
Diciembre 2014	Aragón	32	Enseñanza media de formación profesional	Hombres	3407
Diciembre 2014	Aragón	32	Enseñanza media de formación profesional	Mujeres	4588
Diciembre 2014	Aragón	41	Enseñanza superior de formación profesional	Hombres	2388
Diciembre 2014	Aragón	41	Enseñanza superior de formación profesional	Mujeres	3357
Diciembre 2014	Aragón	42	Enseñanza superior universitaria	Hombres	3269
Diciembre 2014	Aragón	42	Enseñanza superior universitaria	Mujeres	6758
Noviembre 2014	Aragón	10	Educación Primaria o inferior	Hombres	10268
Noviembre 2014	Aragón	10	Educación Primaria o inferior	Mujeres	9608
Noviembre 2014	Aragón	20	Primera etapa de educación secundaria	Hombres	25630
Noviembre 2014	Aragón	20	Primera etapa de educación secundaria	Mujeres	24332
Noviembre 2014	Aragón	31	Bachillerato	Hombres	4008
