Mes (código)	Mes y año	Sexo	Nacionalidad	Afiliaciones en alta
201109	Septiembre 2011	Mujeres	Extranjeros comunitarios (UE-27)	10958
201109	Septiembre 2011	Hombres	Extranjeros no comunitarios	3
201109	Septiembre 2011	Mujeres	Extranjeros no comunitarios	4
201109	Septiembre 2011	Hombres	Extranjeros no comunitarios	18812
201109	Septiembre 2011	Mujeres	Extranjeros no comunitarios	12731
201109	Septiembre 2011	Hombres	Extranjeros comunitarios (UE-27)	3639
201109	Septiembre 2011	Mujeres	Extranjeros comunitarios (UE-27)	2151
201106	Junio 2011	Hombres	No consta	299226
201106	Junio 2011	Mujeres	No consta	228999
201103	Marzo 2011	Hombres	No consta	294718
201103	Marzo 2011	Mujeres	No consta	228577
201012	Diciembre 2010	Hombres	No consta	297420
201012	Diciembre 2010	Mujeres	No consta	232449
201009	Septiembre 2010	Hombres	No consta	303996
201009	Septiembre 2010	Mujeres	No consta	231400
201006	Junio 2010	Hombres	No consta	307998
201006	Junio 2010	Mujeres	No consta	230459
201003	Marzo 2010	Hombres	No consta	302293
201003	Marzo 2010	Mujeres	No consta	229323
