Mes y año	Provincia código	Provincia nombre	Edad (Grupos Quinquenales 2010)	Sexo	Afiliaciones en alta
Junio 2020	44	Teruel	65-69	Mujeres	131
Junio 2020	44	Teruel	Más de 69	Hombres	55
Junio 2020	44	Teruel	Más de 69	Mujeres	25
Junio 2020	44	Teruel	Sin clasificar	Hombres	1
Junio 2020	50	Zaragoza	16-19	Hombres	137
Junio 2020	50	Zaragoza	16-19	Mujeres	58
Junio 2020	50	Zaragoza	20-24	Hombres	871
Junio 2020	50	Zaragoza	20-24	Mujeres	329
Junio 2020	50	Zaragoza	25-29	Hombres	1645
Junio 2020	50	Zaragoza	25-29	Mujeres	920
Junio 2020	50	Zaragoza	30-34	Hombres	2695
Junio 2020	50	Zaragoza	30-34	Mujeres	1737
Junio 2020	50	Zaragoza	35-39	Hombres	4136
Junio 2020	50	Zaragoza	35-39	Mujeres	2457
Junio 2020	50	Zaragoza	40-44	Hombres	6144
Junio 2020	50	Zaragoza	40-44	Mujeres	3265
Junio 2020	50	Zaragoza	45-49	Hombres	7009
Junio 2020	50	Zaragoza	45-49	Mujeres	3788
Junio 2020	50	Zaragoza	50-54	Hombres	6923
Junio 2020	50	Zaragoza	50-54	Mujeres	3762
Junio 2020	50	Zaragoza	55-59	Hombres	6440
Junio 2020	50	Zaragoza	55-59	Mujeres	3298
Junio 2020	50	Zaragoza	60-64	Hombres	4600
Junio 2020	50	Zaragoza	60-64	Mujeres	2546
Junio 2020	50	Zaragoza	65-69	Hombres	1169
Junio 2020	50	Zaragoza	65-69	Mujeres	640
Junio 2020	50	Zaragoza	Más de 69	Hombres	542
Junio 2020	50	Zaragoza	Más de 69	Mujeres	302
Junio 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Mayo 2020	22	Huesca	16-19	Hombres	43
Mayo 2020	22	Huesca	16-19	Mujeres	8
Mayo 2020	22	Huesca	20-24	Hombres	293
Mayo 2020	22	Huesca	20-24	Mujeres	86
Mayo 2020	22	Huesca	25-29	Hombres	581
Mayo 2020	22	Huesca	25-29	Mujeres	237
Mayo 2020	22	Huesca	30-34	Hombres	882
Mayo 2020	22	Huesca	30-34	Mujeres	500
Mayo 2020	22	Huesca	35-39	Hombres	1403
Mayo 2020	22	Huesca	35-39	Mujeres	720
Mayo 2020	22	Huesca	40-44	Hombres	2057
Mayo 2020	22	Huesca	40-44	Mujeres	979
Mayo 2020	22	Huesca	45-49	Hombres	2151
Mayo 2020	22	Huesca	45-49	Mujeres	1092
Mayo 2020	22	Huesca	50-54	Hombres	2226
Mayo 2020	22	Huesca	50-54	Mujeres	1145
Mayo 2020	22	Huesca	55-59	Hombres	2179
Mayo 2020	22	Huesca	55-59	Mujeres	1142
Mayo 2020	22	Huesca	60-64	Hombres	1819
Mayo 2020	22	Huesca	60-64	Mujeres	913
Mayo 2020	22	Huesca	65-69	Hombres	570
Mayo 2020	22	Huesca	65-69	Mujeres	283
Mayo 2020	22	Huesca	Más de 69	Hombres	284
Mayo 2020	22	Huesca	Más de 69	Mujeres	108
Mayo 2020	22	Huesca	Sin clasificar	Hombres	1
Mayo 2020	44	Teruel	16-19	Hombres	25
Mayo 2020	44	Teruel	16-19	Mujeres	9
Mayo 2020	44	Teruel	20-24	Hombres	189
Mayo 2020	44	Teruel	20-24	Mujeres	55
Mayo 2020	44	Teruel	25-29	Hombres	393
Mayo 2020	44	Teruel	25-29	Mujeres	176
Mayo 2020	44	Teruel	30-34	Hombres	621
Mayo 2020	44	Teruel	30-34	Mujeres	333
Mayo 2020	44	Teruel	35-39	Hombres	816
Mayo 2020	44	Teruel	35-39	Mujeres	441
Mayo 2020	44	Teruel	40-44	Hombres	1108
Mayo 2020	44	Teruel	40-44	Mujeres	522
Mayo 2020	44	Teruel	45-49	Hombres	1278
Mayo 2020	44	Teruel	45-49	Mujeres	645
Mayo 2020	44	Teruel	50-54	Hombres	1399
Mayo 2020	44	Teruel	50-54	Mujeres	749
Mayo 2020	44	Teruel	55-59	Hombres	1453
Mayo 2020	44	Teruel	55-59	Mujeres	790
Mayo 2020	44	Teruel	60-64	Hombres	1091
Mayo 2020	44	Teruel	60-64	Mujeres	635
Mayo 2020	44	Teruel	65-69	Hombres	167
Mayo 2020	44	Teruel	65-69	Mujeres	127
Mayo 2020	44	Teruel	Más de 69	Hombres	54
Mayo 2020	44	Teruel	Más de 69	Mujeres	26
Mayo 2020	44	Teruel	Sin clasificar	Hombres	1
Mayo 2020	50	Zaragoza	16-19	Hombres	120
Mayo 2020	50	Zaragoza	16-19	Mujeres	49
Mayo 2020	50	Zaragoza	20-24	Hombres	829
Mayo 2020	50	Zaragoza	20-24	Mujeres	313
Mayo 2020	50	Zaragoza	25-29	Hombres	1608
Mayo 2020	50	Zaragoza	25-29	Mujeres	923
Mayo 2020	50	Zaragoza	30-34	Hombres	2682
Mayo 2020	50	Zaragoza	30-34	Mujeres	1716
Mayo 2020	50	Zaragoza	35-39	Hombres	4102
Mayo 2020	50	Zaragoza	35-39	Mujeres	2455
Mayo 2020	50	Zaragoza	40-44	Hombres	6142
Mayo 2020	50	Zaragoza	40-44	Mujeres	3240
Mayo 2020	50	Zaragoza	45-49	Hombres	7020
Mayo 2020	50	Zaragoza	45-49	Mujeres	3772
Mayo 2020	50	Zaragoza	50-54	Hombres	6859
Mayo 2020	50	Zaragoza	50-54	Mujeres	3737
Mayo 2020	50	Zaragoza	55-59	Hombres	6425
Mayo 2020	50	Zaragoza	55-59	Mujeres	3264
Mayo 2020	50	Zaragoza	60-64	Hombres	4565
Mayo 2020	50	Zaragoza	60-64	Mujeres	2544
Mayo 2020	50	Zaragoza	65-69	Hombres	1152
Mayo 2020	50	Zaragoza	65-69	Mujeres	644
Mayo 2020	50	Zaragoza	Más de 69	Hombres	538
Mayo 2020	50	Zaragoza	Más de 69	Mujeres	299
Mayo 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Marzo 2020	22	Huesca	16-19	Hombres	42
Marzo 2020	22	Huesca	16-19	Mujeres	7
Marzo 2020	22	Huesca	20-24	Hombres	281
Marzo 2020	22	Huesca	20-24	Mujeres	83
Marzo 2020	22	Huesca	25-29	Hombres	595
Marzo 2020	22	Huesca	25-29	Mujeres	254
Marzo 2020	22	Huesca	30-34	Hombres	891
Marzo 2020	22	Huesca	30-34	Mujeres	499
Marzo 2020	22	Huesca	35-39	Hombres	1447
Marzo 2020	22	Huesca	35-39	Mujeres	740
Marzo 2020	22	Huesca	40-44	Hombres	2036
Marzo 2020	22	Huesca	40-44	Mujeres	984
Marzo 2020	22	Huesca	45-49	Hombres	2153
Marzo 2020	22	Huesca	45-49	Mujeres	1086
Marzo 2020	22	Huesca	50-54	Hombres	2209
Marzo 2020	22	Huesca	50-54	Mujeres	1162
Marzo 2020	22	Huesca	55-59	Hombres	2196
Marzo 2020	22	Huesca	55-59	Mujeres	1119
Marzo 2020	22	Huesca	60-64	Hombres	1801
Marzo 2020	22	Huesca	60-64	Mujeres	923
Marzo 2020	22	Huesca	65-69	Hombres	548
Marzo 2020	22	Huesca	65-69	Mujeres	267
Marzo 2020	22	Huesca	Más de 69	Hombres	284
Marzo 2020	22	Huesca	Más de 69	Mujeres	109
Marzo 2020	22	Huesca	Sin clasificar	Hombres	1
Marzo 2020	44	Teruel	16-19	Hombres	21
Marzo 2020	44	Teruel	16-19	Mujeres	9
Marzo 2020	44	Teruel	20-24	Hombres	190
Marzo 2020	44	Teruel	20-24	Mujeres	52
Marzo 2020	44	Teruel	25-29	Hombres	397
Marzo 2020	44	Teruel	25-29	Mujeres	182
Marzo 2020	44	Teruel	30-34	Hombres	613
Marzo 2020	44	Teruel	30-34	Mujeres	332
Marzo 2020	44	Teruel	35-39	Hombres	819
Marzo 2020	44	Teruel	35-39	Mujeres	441
Marzo 2020	44	Teruel	40-44	Hombres	1110
Marzo 2020	44	Teruel	40-44	Mujeres	535
Marzo 2020	44	Teruel	45-49	Hombres	1286
Marzo 2020	44	Teruel	45-49	Mujeres	648
Marzo 2020	44	Teruel	50-54	Hombres	1391
Marzo 2020	44	Teruel	50-54	Mujeres	742
Marzo 2020	44	Teruel	55-59	Hombres	1448
Marzo 2020	44	Teruel	55-59	Mujeres	802
Marzo 2020	44	Teruel	60-64	Hombres	1074
Marzo 2020	44	Teruel	60-64	Mujeres	635
Marzo 2020	44	Teruel	65-69	Hombres	169
Marzo 2020	44	Teruel	65-69	Mujeres	117
Marzo 2020	44	Teruel	Más de 69	Hombres	47
Marzo 2020	44	Teruel	Más de 69	Mujeres	27
Marzo 2020	44	Teruel	Sin clasificar	Hombres	1
Marzo 2020	50	Zaragoza	16-19	Hombres	116
Marzo 2020	50	Zaragoza	16-19	Mujeres	54
Marzo 2020	50	Zaragoza	20-24	Hombres	816
Marzo 2020	50	Zaragoza	20-24	Mujeres	300
Marzo 2020	50	Zaragoza	25-29	Hombres	1591
Marzo 2020	50	Zaragoza	25-29	Mujeres	926
Marzo 2020	50	Zaragoza	30-34	Hombres	2660
Marzo 2020	50	Zaragoza	30-34	Mujeres	1723
Marzo 2020	50	Zaragoza	35-39	Hombres	4119
Marzo 2020	50	Zaragoza	35-39	Mujeres	2458
Marzo 2020	50	Zaragoza	40-44	Hombres	6187
Marzo 2020	50	Zaragoza	40-44	Mujeres	3235
Marzo 2020	50	Zaragoza	45-49	Hombres	6981
Marzo 2020	50	Zaragoza	45-49	Mujeres	3771
Marzo 2020	50	Zaragoza	50-54	Hombres	6824
Marzo 2020	50	Zaragoza	50-54	Mujeres	3729
Marzo 2020	50	Zaragoza	55-59	Hombres	6398
Marzo 2020	50	Zaragoza	55-59	Mujeres	3240
Marzo 2020	50	Zaragoza	60-64	Hombres	4533
Marzo 2020	50	Zaragoza	60-64	Mujeres	2526
Marzo 2020	50	Zaragoza	65-69	Hombres	1120
Marzo 2020	50	Zaragoza	65-69	Mujeres	616
Marzo 2020	50	Zaragoza	Más de 69	Hombres	530
Marzo 2020	50	Zaragoza	Más de 69	Mujeres	294
Marzo 2020	50	Zaragoza	Sin clasificar	Mujeres	8
Diciembre 2019	22	Huesca	16-19	Hombres	39
Diciembre 2019	22	Huesca	16-19	Mujeres	14
Diciembre 2019	22	Huesca	20-24	Hombres	282
Diciembre 2019	22	Huesca	20-24	Mujeres	94
Diciembre 2019	22	Huesca	25-29	Hombres	587
Diciembre 2019	22	Huesca	25-29	Mujeres	266
Diciembre 2019	22	Huesca	30-34	Hombres	937
Diciembre 2019	22	Huesca	30-34	Mujeres	513
Diciembre 2019	22	Huesca	35-39	Hombres	1475
Diciembre 2019	22	Huesca	35-39	Mujeres	752
Diciembre 2019	22	Huesca	40-44	Hombres	2074
Diciembre 2019	22	Huesca	40-44	Mujeres	1033
Diciembre 2019	22	Huesca	45-49	Hombres	2183
Diciembre 2019	22	Huesca	45-49	Mujeres	1138
Diciembre 2019	22	Huesca	50-54	Hombres	2231
Diciembre 2019	22	Huesca	50-54	Mujeres	1157
Diciembre 2019	22	Huesca	55-59	Hombres	2249
Diciembre 2019	22	Huesca	55-59	Mujeres	1131
Diciembre 2019	22	Huesca	60-64	Hombres	1802
Diciembre 2019	22	Huesca	60-64	Mujeres	928
Diciembre 2019	22	Huesca	65-69	Hombres	561
Diciembre 2019	22	Huesca	65-69	Mujeres	277
Diciembre 2019	22	Huesca	Más de 69	Hombres	290
Diciembre 2019	22	Huesca	Más de 69	Mujeres	117
Diciembre 2019	44	Teruel	16-19	Hombres	16
Diciembre 2019	44	Teruel	16-19	Mujeres	7
Diciembre 2019	44	Teruel	20-24	Hombres	196
Diciembre 2019	44	Teruel	20-24	Mujeres	54
Diciembre 2019	44	Teruel	25-29	Hombres	406
Diciembre 2019	44	Teruel	25-29	Mujeres	192
Diciembre 2019	44	Teruel	30-34	Hombres	625
Diciembre 2019	44	Teruel	30-34	Mujeres	332
Diciembre 2019	44	Teruel	35-39	Hombres	819
Diciembre 2019	44	Teruel	35-39	Mujeres	447
Diciembre 2019	44	Teruel	40-44	Hombres	1135
Diciembre 2019	44	Teruel	40-44	Mujeres	549
Diciembre 2019	44	Teruel	45-49	Hombres	1295
Diciembre 2019	44	Teruel	45-49	Mujeres	651
Diciembre 2019	44	Teruel	50-54	Hombres	1442
Diciembre 2019	44	Teruel	50-54	Mujeres	755
Diciembre 2019	44	Teruel	55-59	Hombres	1462
Diciembre 2019	44	Teruel	55-59	Mujeres	808
Diciembre 2019	44	Teruel	60-64	Hombres	1054
Diciembre 2019	44	Teruel	60-64	Mujeres	636
Diciembre 2019	44	Teruel	65-69	Hombres	170
Diciembre 2019	44	Teruel	65-69	Mujeres	113
Diciembre 2019	44	Teruel	Más de 69	Hombres	45
Diciembre 2019	44	Teruel	Más de 69	Mujeres	25
Diciembre 2019	44	Teruel	Sin clasificar	Hombres	1
Diciembre 2019	50	Zaragoza	16-19	Hombres	129
Diciembre 2019	50	Zaragoza	16-19	Mujeres	57
Diciembre 2019	50	Zaragoza	20-24	Hombres	851
Diciembre 2019	50	Zaragoza	20-24	Mujeres	351
Diciembre 2019	50	Zaragoza	25-29	Hombres	1682
Diciembre 2019	50	Zaragoza	25-29	Mujeres	983
Diciembre 2019	50	Zaragoza	30-34	Hombres	2737
Diciembre 2019	50	Zaragoza	30-34	Mujeres	1810
Diciembre 2019	50	Zaragoza	35-39	Hombres	4307
Diciembre 2019	50	Zaragoza	35-39	Mujeres	2573
Diciembre 2019	50	Zaragoza	40-44	Hombres	6350
Diciembre 2019	50	Zaragoza	40-44	Mujeres	3459
Diciembre 2019	50	Zaragoza	45-49	Hombres	7112
Diciembre 2019	50	Zaragoza	45-49	Mujeres	3874
Diciembre 2019	50	Zaragoza	50-54	Hombres	6929
Diciembre 2019	50	Zaragoza	50-54	Mujeres	3828
Diciembre 2019	50	Zaragoza	55-59	Hombres	6422
Diciembre 2019	50	Zaragoza	55-59	Mujeres	3284
Diciembre 2019	50	Zaragoza	60-64	Hombres	4555
Diciembre 2019	50	Zaragoza	60-64	Mujeres	2525
Diciembre 2019	50	Zaragoza	65-69	Hombres	1093
Diciembre 2019	50	Zaragoza	65-69	Mujeres	606
Diciembre 2019	50	Zaragoza	Más de 69	Hombres	531
Diciembre 2019	50	Zaragoza	Más de 69	Mujeres	286
Diciembre 2019	50	Zaragoza	Sin clasificar	Mujeres	7
Septiembre 2019	22	Huesca	16-19	Hombres	33
Septiembre 2019	22	Huesca	16-19	Mujeres	13
Septiembre 2019	22	Huesca	20-24	Hombres	285
Septiembre 2019	22	Huesca	20-24	Mujeres	98
Septiembre 2019	22	Huesca	25-29	Hombres	588
Septiembre 2019	22	Huesca	25-29	Mujeres	253
Septiembre 2019	22	Huesca	30-34	Hombres	941
Septiembre 2019	22	Huesca	30-34	Mujeres	524
Septiembre 2019	22	Huesca	35-39	Hombres	1518
Septiembre 2019	22	Huesca	35-39	Mujeres	742
Septiembre 2019	22	Huesca	40-44	Hombres	2094
Septiembre 2019	22	Huesca	40-44	Mujeres	1048
Septiembre 2019	22	Huesca	45-49	Hombres	2186
Septiembre 2019	22	Huesca	45-49	Mujeres	1131
Septiembre 2019	22	Huesca	50-54	Hombres	2261
Septiembre 2019	22	Huesca	50-54	Mujeres	1158
Septiembre 2019	22	Huesca	55-59	Hombres	2231
Septiembre 2019	22	Huesca	55-59	Mujeres	1140
Septiembre 2019	22	Huesca	60-64	Hombres	1806
Septiembre 2019	22	Huesca	60-64	Mujeres	907
Septiembre 2019	22	Huesca	65-69	Hombres	550
Septiembre 2019	22	Huesca	65-69	Mujeres	276
Septiembre 2019	22	Huesca	Más de 69	Hombres	271
Septiembre 2019	22	Huesca	Más de 69	Mujeres	116
Septiembre 2019	44	Teruel	16-19	Hombres	15
Septiembre 2019	44	Teruel	16-19	Mujeres	12
Septiembre 2019	44	Teruel	20-24	Hombres	193
Septiembre 2019	44	Teruel	20-24	Mujeres	58
Septiembre 2019	44	Teruel	25-29	Hombres	414
Septiembre 2019	44	Teruel	25-29	Mujeres	194
Septiembre 2019	44	Teruel	30-34	Hombres	611
Septiembre 2019	44	Teruel	30-34	Mujeres	333
Septiembre 2019	44	Teruel	35-39	Hombres	826
Septiembre 2019	44	Teruel	35-39	Mujeres	442
Septiembre 2019	44	Teruel	40-44	Hombres	1143
Septiembre 2019	44	Teruel	40-44	Mujeres	551
Septiembre 2019	44	Teruel	45-49	Hombres	1260
Septiembre 2019	44	Teruel	45-49	Mujeres	661
Septiembre 2019	44	Teruel	50-54	Hombres	1477
Septiembre 2019	44	Teruel	50-54	Mujeres	753
Septiembre 2019	44	Teruel	55-59	Hombres	1450
Septiembre 2019	44	Teruel	55-59	Mujeres	795
Septiembre 2019	44	Teruel	60-64	Hombres	1050
Septiembre 2019	44	Teruel	60-64	Mujeres	619
Septiembre 2019	44	Teruel	65-69	Hombres	162
Septiembre 2019	44	Teruel	65-69	Mujeres	123
Septiembre 2019	44	Teruel	Más de 69	Hombres	46
Septiembre 2019	44	Teruel	Más de 69	Mujeres	23
Septiembre 2019	44	Teruel	Sin clasificar	Hombres	1
Septiembre 2019	50	Zaragoza	16-19	Hombres	137
Septiembre 2019	50	Zaragoza	16-19	Mujeres	45
Septiembre 2019	50	Zaragoza	20-24	Hombres	847
Septiembre 2019	50	Zaragoza	20-24	Mujeres	359
Septiembre 2019	50	Zaragoza	25-29	Hombres	1681
Septiembre 2019	50	Zaragoza	25-29	Mujeres	990
Septiembre 2019	50	Zaragoza	30-34	Hombres	2763
Septiembre 2019	50	Zaragoza	30-34	Mujeres	1811
Septiembre 2019	50	Zaragoza	35-39	Hombres	4347
Septiembre 2019	50	Zaragoza	35-39	Mujeres	2579
Septiembre 2019	50	Zaragoza	40-44	Hombres	6413
Septiembre 2019	50	Zaragoza	40-44	Mujeres	3428
Septiembre 2019	50	Zaragoza	45-49	Hombres	7052
Septiembre 2019	50	Zaragoza	45-49	Mujeres	3843
Septiembre 2019	50	Zaragoza	50-54	Hombres	6973
Septiembre 2019	50	Zaragoza	50-54	Mujeres	3780
Septiembre 2019	50	Zaragoza	55-59	Hombres	6425
Septiembre 2019	50	Zaragoza	55-59	Mujeres	3252
Septiembre 2019	50	Zaragoza	60-64	Hombres	4488
Septiembre 2019	50	Zaragoza	60-64	Mujeres	2492
Septiembre 2019	50	Zaragoza	65-69	Hombres	1079
Septiembre 2019	50	Zaragoza	65-69	Mujeres	592
Septiembre 2019	50	Zaragoza	Más de 69	Hombres	518
Septiembre 2019	50	Zaragoza	Más de 69	Mujeres	276
Septiembre 2019	50	Zaragoza	Sin clasificar	Mujeres	6
Junio 2019	22	Huesca	16-19	Hombres	44
Junio 2019	22	Huesca	16-19	Mujeres	22
Junio 2019	22	Huesca	20-24	Hombres	299
Junio 2019	22	Huesca	20-24	Mujeres	105
Junio 2019	22	Huesca	25-29	Hombres	625
Junio 2019	22	Huesca	25-29	Mujeres	265
Junio 2019	22	Huesca	30-34	Hombres	965
Junio 2019	22	Huesca	30-34	Mujeres	529
Junio 2019	22	Huesca	35-39	Hombres	1550
Junio 2019	22	Huesca	35-39	Mujeres	777
Junio 2019	22	Huesca	40-44	Hombres	2113
Junio 2019	22	Huesca	40-44	Mujeres	1035
Junio 2019	22	Huesca	45-49	Hombres	2227
Junio 2019	22	Huesca	45-49	Mujeres	1141
Junio 2019	22	Huesca	50-54	Hombres	2252
Junio 2019	22	Huesca	50-54	Mujeres	1192
Junio 2019	22	Huesca	55-59	Hombres	2226
Junio 2019	22	Huesca	55-59	Mujeres	1147
Junio 2019	22	Huesca	60-64	Hombres	1774
Junio 2019	22	Huesca	60-64	Mujeres	902
Junio 2019	22	Huesca	65-69	Hombres	550
Junio 2019	22	Huesca	65-69	Mujeres	281
Junio 2019	22	Huesca	Más de 69	Hombres	263
Junio 2019	22	Huesca	Más de 69	Mujeres	109
Junio 2019	44	Teruel	16-19	Hombres	20
Junio 2019	44	Teruel	16-19	Mujeres	11
Junio 2019	44	Teruel	20-24	Hombres	211
Junio 2019	44	Teruel	20-24	Mujeres	62
Junio 2019	44	Teruel	25-29	Hombres	418
Junio 2019	44	Teruel	25-29	Mujeres	202
Junio 2019	44	Teruel	30-34	Hombres	623
Junio 2019	44	Teruel	30-34	Mujeres	343
Junio 2019	44	Teruel	35-39	Hombres	848
Junio 2019	44	Teruel	35-39	Mujeres	449
Junio 2019	44	Teruel	40-44	Hombres	1160
Junio 2019	44	Teruel	40-44	Mujeres	560
Junio 2019	44	Teruel	45-49	Hombres	1265
Junio 2019	44	Teruel	45-49	Mujeres	672
Junio 2019	44	Teruel	50-54	Hombres	1480
Junio 2019	44	Teruel	50-54	Mujeres	772
Junio 2019	44	Teruel	55-59	Hombres	1454
Junio 2019	44	Teruel	55-59	Mujeres	803
Junio 2019	44	Teruel	60-64	Hombres	1034
Junio 2019	44	Teruel	60-64	Mujeres	601
Junio 2019	44	Teruel	65-69	Hombres	147
Junio 2019	44	Teruel	65-69	Mujeres	131
Junio 2019	44	Teruel	Más de 69	Hombres	44
Junio 2019	44	Teruel	Más de 69	Mujeres	19
Junio 2019	50	Zaragoza	16-19	Hombres	171
Junio 2019	50	Zaragoza	16-19	Mujeres	63
Junio 2019	50	Zaragoza	20-24	Hombres	896
Junio 2019	50	Zaragoza	20-24	Mujeres	380
Junio 2019	50	Zaragoza	25-29	Hombres	1759
Junio 2019	50	Zaragoza	25-29	Mujeres	985
Junio 2019	50	Zaragoza	30-34	Hombres	2840
Junio 2019	50	Zaragoza	30-34	Mujeres	1873
Junio 2019	50	Zaragoza	35-39	Hombres	4454
Junio 2019	50	Zaragoza	35-39	Mujeres	2609
Junio 2019	50	Zaragoza	40-44	Hombres	6482
Junio 2019	50	Zaragoza	40-44	Mujeres	3485
Junio 2019	50	Zaragoza	45-49	Hombres	7133
Junio 2019	50	Zaragoza	45-49	Mujeres	3896
Junio 2019	50	Zaragoza	50-54	Hombres	7031
Junio 2019	50	Zaragoza	50-54	Mujeres	3758
Junio 2019	50	Zaragoza	55-59	Hombres	6415
Junio 2019	50	Zaragoza	55-59	Mujeres	3291
Junio 2019	50	Zaragoza	60-64	Hombres	4411
Junio 2019	50	Zaragoza	60-64	Mujeres	2493
Junio 2019	50	Zaragoza	65-69	Hombres	1092
Junio 2019	50	Zaragoza	65-69	Mujeres	602
Junio 2019	50	Zaragoza	Más de 69	Hombres	496
Junio 2019	50	Zaragoza	Más de 69	Mujeres	277
Junio 2019	50	Zaragoza	Sin clasificar	Mujeres	4
Marzo 2019	22	Huesca	16-19	Hombres	32
Marzo 2019	22	Huesca	16-19	Mujeres	11
Marzo 2019	22	Huesca	20-24	Hombres	286
Marzo 2019	22	Huesca	20-24	Mujeres	107
Marzo 2019	22	Huesca	25-29	Hombres	597
Marzo 2019	22	Huesca	25-29	Mujeres	254
Marzo 2019	22	Huesca	30-34	Hombres	952
Marzo 2019	22	Huesca	30-34	Mujeres	544
Marzo 2019	22	Huesca	35-39	Hombres	1546
Marzo 2019	22	Huesca	35-39	Mujeres	776
Marzo 2019	22	Huesca	40-44	Hombres	2092
Marzo 2019	22	Huesca	40-44	Mujeres	1030
Marzo 2019	22	Huesca	45-49	Hombres	2209
Marzo 2019	22	Huesca	45-49	Mujeres	1136
Marzo 2019	22	Huesca	50-54	Hombres	2257
Marzo 2019	22	Huesca	50-54	Mujeres	1177
Marzo 2019	22	Huesca	55-59	Hombres	2215
Marzo 2019	22	Huesca	55-59	Mujeres	1130
Marzo 2019	22	Huesca	60-64	Hombres	1749
Marzo 2019	22	Huesca	60-64	Mujeres	907
Marzo 2019	22	Huesca	65-69	Hombres	529
Marzo 2019	22	Huesca	65-69	Mujeres	269
Marzo 2019	22	Huesca	Más de 69	Hombres	256
Marzo 2019	22	Huesca	Más de 69	Mujeres	105
Marzo 2019	44	Teruel	16-19	Hombres	12
Marzo 2019	44	Teruel	16-19	Mujeres	2
Marzo 2019	44	Teruel	20-24	Hombres	220
Marzo 2019	44	Teruel	20-24	Mujeres	56
Marzo 2019	44	Teruel	25-29	Hombres	416
Marzo 2019	44	Teruel	25-29	Mujeres	212
Marzo 2019	44	Teruel	30-34	Hombres	624
Marzo 2019	44	Teruel	30-34	Mujeres	341
Marzo 2019	44	Teruel	35-39	Hombres	845
Marzo 2019	44	Teruel	35-39	Mujeres	431
Marzo 2019	44	Teruel	40-44	Hombres	1194
Marzo 2019	44	Teruel	40-44	Mujeres	571
Marzo 2019	44	Teruel	45-49	Hombres	1247
Marzo 2019	44	Teruel	45-49	Mujeres	659
Marzo 2019	44	Teruel	50-54	Hombres	1504
Marzo 2019	44	Teruel	50-54	Mujeres	789
Marzo 2019	44	Teruel	55-59	Hombres	1436
Marzo 2019	44	Teruel	55-59	Mujeres	788
Marzo 2019	44	Teruel	60-64	Hombres	1015
Marzo 2019	44	Teruel	60-64	Mujeres	599
Marzo 2019	44	Teruel	65-69	Hombres	146
Marzo 2019	44	Teruel	65-69	Mujeres	126
Marzo 2019	44	Teruel	Más de 69	Hombres	43
Marzo 2019	44	Teruel	Más de 69	Mujeres	17
Marzo 2019	50	Zaragoza	16-19	Hombres	179
Marzo 2019	50	Zaragoza	16-19	Mujeres	61
Marzo 2019	50	Zaragoza	20-24	Hombres	1033
Marzo 2019	50	Zaragoza	20-24	Mujeres	457
Marzo 2019	50	Zaragoza	25-29	Hombres	1956
Marzo 2019	50	Zaragoza	25-29	Mujeres	1065
Marzo 2019	50	Zaragoza	30-34	Hombres	3050
Marzo 2019	50	Zaragoza	30-34	Mujeres	2016
Marzo 2019	50	Zaragoza	35-39	Hombres	4722
Marzo 2019	50	Zaragoza	35-39	Mujeres	2689
Marzo 2019	50	Zaragoza	40-44	Hombres	6776
Marzo 2019	50	Zaragoza	40-44	Mujeres	3568
Marzo 2019	50	Zaragoza	45-49	Hombres	7351
Marzo 2019	50	Zaragoza	45-49	Mujeres	3940
Marzo 2019	50	Zaragoza	50-54	Hombres	7096
Marzo 2019	50	Zaragoza	50-54	Mujeres	3744
Marzo 2019	50	Zaragoza	55-59	Hombres	6438
Marzo 2019	50	Zaragoza	55-59	Mujeres	3228
Marzo 2019	50	Zaragoza	60-64	Hombres	4341
Marzo 2019	50	Zaragoza	60-64	Mujeres	2472
Marzo 2019	50	Zaragoza	65-69	Hombres	1056
Marzo 2019	50	Zaragoza	65-69	Mujeres	584
Marzo 2019	50	Zaragoza	Más de 69	Hombres	478
Marzo 2019	50	Zaragoza	Más de 69	Mujeres	276
Marzo 2019	50	Zaragoza	Sin clasificar	Mujeres	4
Diciembre 2018	22	Huesca	16-19	Hombres	30
Diciembre 2018	22	Huesca	16-19	Mujeres	12
Diciembre 2018	22	Huesca	20-24	Hombres	286
Diciembre 2018	22	Huesca	20-24	Mujeres	103
Diciembre 2018	22	Huesca	25-29	Hombres	597
Diciembre 2018	22	Huesca	25-29	Mujeres	260
Diciembre 2018	22	Huesca	30-34	Hombres	967
Diciembre 2018	22	Huesca	30-34	Mujeres	563
Diciembre 2018	22	Huesca	35-39	Hombres	1578
Diciembre 2018	22	Huesca	35-39	Mujeres	773
Diciembre 2018	22	Huesca	40-44	Hombres	2103
Diciembre 2018	22	Huesca	40-44	Mujeres	1040
Diciembre 2018	22	Huesca	45-49	Hombres	2223
Diciembre 2018	22	Huesca	45-49	Mujeres	1136
Diciembre 2018	22	Huesca	50-54	Hombres	2260
Diciembre 2018	22	Huesca	50-54	Mujeres	1171
Diciembre 2018	22	Huesca	55-59	Hombres	2231
Diciembre 2018	22	Huesca	55-59	Mujeres	1129
Diciembre 2018	22	Huesca	60-64	Hombres	1734
Diciembre 2018	22	Huesca	60-64	Mujeres	908
Diciembre 2018	22	Huesca	65-69	Hombres	536
Diciembre 2018	22	Huesca	65-69	Mujeres	255
Diciembre 2018	22	Huesca	Más de 69	Hombres	243
Diciembre 2018	22	Huesca	Más de 69	Mujeres	106
