Comarca código	Comarca nombre	Edad (grupos quinquenales)	Sexo	Personas
15	Ribera Alta del Ebro	65 a 69	Mujeres	739
15	Ribera Alta del Ebro	70 a 74	Mujeres	712
15	Ribera Alta del Ebro	75 a 79	Mujeres	634
15	Ribera Alta del Ebro	80 a 84	Mujeres	467
15	Ribera Alta del Ebro	85 a 90	Mujeres	254
15	Ribera Alta del Ebro	90 ó más	Mujeres	101
15	Ribera Alta del Ebro	00 a 04	Hombres	460
15	Ribera Alta del Ebro	05 a 09	Hombres	506
15	Ribera Alta del Ebro	10 a 14	Hombres	562
15	Ribera Alta del Ebro	15 a 19	Hombres	647
15	Ribera Alta del Ebro	20 a 24	Hombres	764
15	Ribera Alta del Ebro	25 a 29	Hombres	771
15	Ribera Alta del Ebro	30 a 34	Hombres	857
15	Ribera Alta del Ebro	35 a 39	Hombres	887
15	Ribera Alta del Ebro	40 a 44	Hombres	914
15	Ribera Alta del Ebro	45 a 49	Hombres	795
15	Ribera Alta del Ebro	50 a 54	Hombres	687
15	Ribera Alta del Ebro	55 a 59	Hombres	611
15	Ribera Alta del Ebro	60 a 64	Hombres	535
15	Ribera Alta del Ebro	65 a 69	Hombres	689
15	Ribera Alta del Ebro	70 a 74	Hombres	647
15	Ribera Alta del Ebro	75 a 79	Hombres	511
15	Ribera Alta del Ebro	80 a 84	Hombres	286
15	Ribera Alta del Ebro	85 a 90	Hombres	114
15	Ribera Alta del Ebro	90 ó más	Hombres	32
16	Valdejalón	00 a 04	Mujeres	457
16	Valdejalón	05 a 09	Mujeres	463
16	Valdejalón	10 a 14	Mujeres	453
16	Valdejalón	15 a 19	Mujeres	504
16	Valdejalón	20 a 24	Mujeres	682
16	Valdejalón	25 a 29	Mujeres	808
16	Valdejalón	30 a 34	Mujeres	812
16	Valdejalón	35 a 39	Mujeres	796
16	Valdejalón	40 a 44	Mujeres	663
16	Valdejalón	45 a 49	Mujeres	591
16	Valdejalón	50 a 54	Mujeres	545
16	Valdejalón	55 a 59	Mujeres	603
16	Valdejalón	60 a 64	Mujeres	577
16	Valdejalón	65 a 69	Mujeres	720
16	Valdejalón	70 a 74	Mujeres	726
16	Valdejalón	75 a 79	Mujeres	705
16	Valdejalón	80 a 84	Mujeres	439
16	Valdejalón	85 a 90	Mujeres	274
16	Valdejalón	90 ó más	Mujeres	143
16	Valdejalón	00 a 04	Hombres	489
16	Valdejalón	05 a 09	Hombres	468
16	Valdejalón	10 a 14	Hombres	505
16	Valdejalón	15 a 19	Hombres	591
16	Valdejalón	20 a 24	Hombres	814
16	Valdejalón	25 a 29	Hombres	976
16	Valdejalón	30 a 34	Hombres	1041
16	Valdejalón	35 a 39	Hombres	938
16	Valdejalón	40 a 44	Hombres	879
16	Valdejalón	45 a 49	Hombres	704
16	Valdejalón	50 a 54	Hombres	676
16	Valdejalón	55 a 59	Hombres	674
16	Valdejalón	60 a 64	Hombres	609
16	Valdejalón	65 a 69	Hombres	754
16	Valdejalón	70 a 74	Hombres	679
16	Valdejalón	75 a 79	Hombres	585
16	Valdejalón	80 a 84	Hombres	317
16	Valdejalón	85 a 90	Hombres	142
16	Valdejalón	90 ó más	Hombres	63
17	D.C. Zaragoza	00 a 04	Mujeres	13755
17	D.C. Zaragoza	05 a 09	Mujeres	13607
17	D.C. Zaragoza	10 a 14	Mujeres	14510
17	D.C. Zaragoza	15 a 19	Mujeres	17231
17	D.C. Zaragoza	20 a 24	Mujeres	24136
17	D.C. Zaragoza	25 a 29	Mujeres	27459
17	D.C. Zaragoza	30 a 34	Mujeres	26180
17	D.C. Zaragoza	35 a 39	Mujeres	26031
17	D.C. Zaragoza	40 a 44	Mujeres	25525
17	D.C. Zaragoza	45 a 49	Mujeres	23340
17	D.C. Zaragoza	50 a 54	Mujeres	22318
17	D.C. Zaragoza	55 a 59	Mujeres	20055
17	D.C. Zaragoza	60 a 64	Mujeres	15755
17	D.C. Zaragoza	65 a 69	Mujeres	18687
17	D.C. Zaragoza	70 a 74	Mujeres	17410
17	D.C. Zaragoza	75 a 79	Mujeres	14710
17	D.C. Zaragoza	80 a 84	Mujeres	10089
17	D.C. Zaragoza	85 a 90	Mujeres	5605
17	D.C. Zaragoza	90 ó más	Mujeres	2723
17	D.C. Zaragoza	00 a 04	Hombres	14638
17	D.C. Zaragoza	05 a 09	Hombres	14028
17	D.C. Zaragoza	10 a 14	Hombres	15103
17	D.C. Zaragoza	15 a 19	Hombres	18320
17	D.C. Zaragoza	20 a 24	Hombres	24606
17	D.C. Zaragoza	25 a 29	Hombres	29075
17	D.C. Zaragoza	30 a 34	Hombres	26837
17	D.C. Zaragoza	35 a 39	Hombres	26258
17	D.C. Zaragoza	40 a 44	Hombres	24579
17	D.C. Zaragoza	45 a 49	Hombres	21843
17	D.C. Zaragoza	50 a 54	Hombres	20954
17	D.C. Zaragoza	55 a 59	Hombres	19164
17	D.C. Zaragoza	60 a 64	Hombres	14352
17	D.C. Zaragoza	65 a 69	Hombres	15532
17	D.C. Zaragoza	70 a 74	Hombres	13331
17	D.C. Zaragoza	75 a 79	Hombres	9958
17	D.C. Zaragoza	80 a 84	Hombres	5496
17	D.C. Zaragoza	85 a 90	Hombres	2619
17	D.C. Zaragoza	90 ó más	Hombres	927
18	Ribera Baja del Ebro	00 a 04	Mujeres	147
18	Ribera Baja del Ebro	05 a 09	Mujeres	191
18	Ribera Baja del Ebro	10 a 14	Mujeres	179
18	Ribera Baja del Ebro	15 a 19	Mujeres	230
18	Ribera Baja del Ebro	20 a 24	Mujeres	300
18	Ribera Baja del Ebro	25 a 29	Mujeres	260
18	Ribera Baja del Ebro	30 a 34	Mujeres	305
18	Ribera Baja del Ebro	35 a 39	Mujeres	337
18	Ribera Baja del Ebro	40 a 44	Mujeres	319
18	Ribera Baja del Ebro	45 a 49	Mujeres	287
18	Ribera Baja del Ebro	50 a 54	Mujeres	237
18	Ribera Baja del Ebro	55 a 59	Mujeres	235
18	Ribera Baja del Ebro	60 a 64	Mujeres	245
18	Ribera Baja del Ebro	65 a 69	Mujeres	347
18	Ribera Baja del Ebro	70 a 74	Mujeres	312
18	Ribera Baja del Ebro	75 a 79	Mujeres	351
18	Ribera Baja del Ebro	80 a 84	Mujeres	193
18	Ribera Baja del Ebro	85 a 90	Mujeres	88
18	Ribera Baja del Ebro	90 ó más	Mujeres	55
18	Ribera Baja del Ebro	00 a 04	Hombres	113
18	Ribera Baja del Ebro	05 a 09	Hombres	189
18	Ribera Baja del Ebro	10 a 14	Hombres	186
18	Ribera Baja del Ebro	15 a 19	Hombres	238
18	Ribera Baja del Ebro	20 a 24	Hombres	266
18	Ribera Baja del Ebro	25 a 29	Hombres	314
18	Ribera Baja del Ebro	30 a 34	Hombres	345
18	Ribera Baja del Ebro	35 a 39	Hombres	379
18	Ribera Baja del Ebro	40 a 44	Hombres	352
18	Ribera Baja del Ebro	45 a 49	Hombres	335
18	Ribera Baja del Ebro	50 a 54	Hombres	274
18	Ribera Baja del Ebro	55 a 59	Hombres	239
18	Ribera Baja del Ebro	60 a 64	Hombres	240
18	Ribera Baja del Ebro	65 a 69	Hombres	348
18	Ribera Baja del Ebro	70 a 74	Hombres	307
18	Ribera Baja del Ebro	75 a 79	Hombres	227
18	Ribera Baja del Ebro	80 a 84	Hombres	159
18	Ribera Baja del Ebro	85 a 90	Hombres	57
18	Ribera Baja del Ebro	90 ó más	Hombres	25
19	Bajo Aragón-Caspe / Baix Aragó-Casp	00 a 04	Mujeres	243
19	Bajo Aragón-Caspe / Baix Aragó-Casp	05 a 09	Mujeres	232
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10 a 14	Mujeres	258
19	Bajo Aragón-Caspe / Baix Aragó-Casp	15 a 19	Mujeres	312
19	Bajo Aragón-Caspe / Baix Aragó-Casp	20 a 24	Mujeres	432
19	Bajo Aragón-Caspe / Baix Aragó-Casp	25 a 29	Mujeres	404
19	Bajo Aragón-Caspe / Baix Aragó-Casp	30 a 34	Mujeres	373
19	Bajo Aragón-Caspe / Baix Aragó-Casp	35 a 39	Mujeres	410
19	Bajo Aragón-Caspe / Baix Aragó-Casp	40 a 44	Mujeres	403
19	Bajo Aragón-Caspe / Baix Aragó-Casp	45 a 49	Mujeres	368
19	Bajo Aragón-Caspe / Baix Aragó-Casp	50 a 54	Mujeres	427
19	Bajo Aragón-Caspe / Baix Aragó-Casp	55 a 59	Mujeres	351
19	Bajo Aragón-Caspe / Baix Aragó-Casp	60 a 64	Mujeres	332
19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 a 69	Mujeres	454
19	Bajo Aragón-Caspe / Baix Aragó-Casp	70 a 74	Mujeres	467
19	Bajo Aragón-Caspe / Baix Aragó-Casp	75 a 79	Mujeres	437
19	Bajo Aragón-Caspe / Baix Aragó-Casp	80 a 84	Mujeres	293
19	Bajo Aragón-Caspe / Baix Aragó-Casp	85 a 90	Mujeres	167
19	Bajo Aragón-Caspe / Baix Aragó-Casp	90 ó más	Mujeres	88
19	Bajo Aragón-Caspe / Baix Aragó-Casp	00 a 04	Hombres	249
19	Bajo Aragón-Caspe / Baix Aragó-Casp	05 a 09	Hombres	266
19	Bajo Aragón-Caspe / Baix Aragó-Casp	10 a 14	Hombres	249
19	Bajo Aragón-Caspe / Baix Aragó-Casp	15 a 19	Hombres	371
19	Bajo Aragón-Caspe / Baix Aragó-Casp	20 a 24	Hombres	455
19	Bajo Aragón-Caspe / Baix Aragó-Casp	25 a 29	Hombres	513
19	Bajo Aragón-Caspe / Baix Aragó-Casp	30 a 34	Hombres	474
19	Bajo Aragón-Caspe / Baix Aragó-Casp	35 a 39	Hombres	460
19	Bajo Aragón-Caspe / Baix Aragó-Casp	40 a 44	Hombres	438
19	Bajo Aragón-Caspe / Baix Aragó-Casp	45 a 49	Hombres	424
19	Bajo Aragón-Caspe / Baix Aragó-Casp	50 a 54	Hombres	393
19	Bajo Aragón-Caspe / Baix Aragó-Casp	55 a 59	Hombres	349
19	Bajo Aragón-Caspe / Baix Aragó-Casp	60 a 64	Hombres	345
19	Bajo Aragón-Caspe / Baix Aragó-Casp	65 a 69	Hombres	430
19	Bajo Aragón-Caspe / Baix Aragó-Casp	70 a 74	Hombres	418
19	Bajo Aragón-Caspe / Baix Aragó-Casp	75 a 79	Hombres	356
19	Bajo Aragón-Caspe / Baix Aragó-Casp	80 a 84	Hombres	217
19	Bajo Aragón-Caspe / Baix Aragó-Casp	85 a 90	Hombres	91
19	Bajo Aragón-Caspe / Baix Aragó-Casp	90 ó más	Hombres	56
20	Comunidad de Calatayud	00 a 04	Mujeres	634
20	Comunidad de Calatayud	05 a 09	Mujeres	687
20	Comunidad de Calatayud	10 a 14	Mujeres	691
20	Comunidad de Calatayud	15 a 19	Mujeres	826
20	Comunidad de Calatayud	20 a 24	Mujeres	1157
20	Comunidad de Calatayud	25 a 29	Mujeres	1236
20	Comunidad de Calatayud	30 a 34	Mujeres	1317
20	Comunidad de Calatayud	35 a 39	Mujeres	1245
20	Comunidad de Calatayud	40 a 44	Mujeres	1150
20	Comunidad de Calatayud	45 a 49	Mujeres	899
20	Comunidad de Calatayud	50 a 54	Mujeres	1013
20	Comunidad de Calatayud	55 a 59	Mujeres	1122
20	Comunidad de Calatayud	60 a 64	Mujeres	1063
20	Comunidad de Calatayud	65 a 69	Mujeres	1457
20	Comunidad de Calatayud	70 a 74	Mujeres	1618
20	Comunidad de Calatayud	75 a 79	Mujeres	1493
20	Comunidad de Calatayud	80 a 84	Mujeres	1019
20	Comunidad de Calatayud	85 a 90	Mujeres	599
20	Comunidad de Calatayud	90 ó más	Mujeres	357
20	Comunidad de Calatayud	00 a 04	Hombres	712
20	Comunidad de Calatayud	05 a 09	Hombres	688
20	Comunidad de Calatayud	10 a 14	Hombres	763
20	Comunidad de Calatayud	15 a 19	Hombres	874
20	Comunidad de Calatayud	20 a 24	Hombres	1202
20	Comunidad de Calatayud	25 a 29	Hombres	1458
20	Comunidad de Calatayud	30 a 34	Hombres	1573
20	Comunidad de Calatayud	35 a 39	Hombres	1483
20	Comunidad de Calatayud	40 a 44	Hombres	1267
20	Comunidad de Calatayud	45 a 49	Hombres	1099
20	Comunidad de Calatayud	50 a 54	Hombres	1037
20	Comunidad de Calatayud	55 a 59	Hombres	1070
20	Comunidad de Calatayud	60 a 64	Hombres	1082
20	Comunidad de Calatayud	65 a 69	Hombres	1504
20	Comunidad de Calatayud	70 a 74	Hombres	1499
20	Comunidad de Calatayud	75 a 79	Hombres	1167
20	Comunidad de Calatayud	80 a 84	Hombres	641
20	Comunidad de Calatayud	85 a 90	Hombres	297
20	Comunidad de Calatayud	90 ó más	Hombres	145
21	Campo de Cariñena	00 a 04	Mujeres	122
21	Campo de Cariñena	05 a 09	Mujeres	201
21	Campo de Cariñena	10 a 14	Mujeres	180
21	Campo de Cariñena	15 a 19	Mujeres	201
21	Campo de Cariñena	20 a 24	Mujeres	289
21	Campo de Cariñena	25 a 29	Mujeres	327
21	Campo de Cariñena	30 a 34	Mujeres	316
21	Campo de Cariñena	35 a 39	Mujeres	327
21	Campo de Cariñena	40 a 44	Mujeres	331
21	Campo de Cariñena	45 a 49	Mujeres	259
21	Campo de Cariñena	50 a 54	Mujeres	221
21	Campo de Cariñena	55 a 59	Mujeres	261
21	Campo de Cariñena	60 a 64	Mujeres	268
21	Campo de Cariñena	65 a 69	Mujeres	347
21	Campo de Cariñena	70 a 74	Mujeres	437
21	Campo de Cariñena	75 a 79	Mujeres	336
21	Campo de Cariñena	80 a 84	Mujeres	208
21	Campo de Cariñena	85 a 90	Mujeres	110
21	Campo de Cariñena	90 ó más	Mujeres	75
21	Campo de Cariñena	00 a 04	Hombres	176
21	Campo de Cariñena	05 a 09	Hombres	161
21	Campo de Cariñena	10 a 14	Hombres	206
21	Campo de Cariñena	15 a 19	Hombres	242
21	Campo de Cariñena	20 a 24	Hombres	375
21	Campo de Cariñena	25 a 29	Hombres	466
21	Campo de Cariñena	30 a 34	Hombres	450
21	Campo de Cariñena	35 a 39	Hombres	463
21	Campo de Cariñena	40 a 44	Hombres	404
21	Campo de Cariñena	45 a 49	Hombres	329
21	Campo de Cariñena	50 a 54	Hombres	309
21	Campo de Cariñena	55 a 59	Hombres	270
21	Campo de Cariñena	60 a 64	Hombres	278
21	Campo de Cariñena	65 a 69	Hombres	369
21	Campo de Cariñena	70 a 74	Hombres	401
21	Campo de Cariñena	75 a 79	Hombres	270
21	Campo de Cariñena	80 a 84	Hombres	161
21	Campo de Cariñena	85 a 90	Hombres	61
21	Campo de Cariñena	90 ó más	Hombres	36
22	Campo de Belchite	00 a 04	Mujeres	69
22	Campo de Belchite	05 a 09	Mujeres	63
22	Campo de Belchite	10 a 14	Mujeres	71
22	Campo de Belchite	15 a 19	Mujeres	80
22	Campo de Belchite	20 a 24	Mujeres	121
22	Campo de Belchite	25 a 29	Mujeres	166
22	Campo de Belchite	30 a 34	Mujeres	164
22	Campo de Belchite	35 a 39	Mujeres	150
22	Campo de Belchite	40 a 44	Mujeres	117
22	Campo de Belchite	45 a 49	Mujeres	130
22	Campo de Belchite	50 a 54	Mujeres	138
22	Campo de Belchite	55 a 59	Mujeres	167
22	Campo de Belchite	60 a 64	Mujeres	191
22	Campo de Belchite	65 a 69	Mujeres	260
22	Campo de Belchite	70 a 74	Mujeres	281
22	Campo de Belchite	75 a 79	Mujeres	214
22	Campo de Belchite	80 a 84	Mujeres	140
22	Campo de Belchite	85 a 90	Mujeres	104
22	Campo de Belchite	90 ó más	Mujeres	73
22	Campo de Belchite	00 a 04	Hombres	86
22	Campo de Belchite	05 a 09	Hombres	58
22	Campo de Belchite	10 a 14	Hombres	84
22	Campo de Belchite	15 a 19	Hombres	101
22	Campo de Belchite	20 a 24	Hombres	130
22	Campo de Belchite	25 a 29	Hombres	190
22	Campo de Belchite	30 a 34	Hombres	181
22	Campo de Belchite	35 a 39	Hombres	223
22	Campo de Belchite	40 a 44	Hombres	159
22	Campo de Belchite	45 a 49	Hombres	126
22	Campo de Belchite	50 a 54	Hombres	161
22	Campo de Belchite	55 a 59	Hombres	192
22	Campo de Belchite	60 a 64	Hombres	184
22	Campo de Belchite	65 a 69	Hombres	293
22	Campo de Belchite	70 a 74	Hombres	268
22	Campo de Belchite	75 a 79	Hombres	207
22	Campo de Belchite	80 a 84	Hombres	107
22	Campo de Belchite	85 a 90	Hombres	58
22	Campo de Belchite	90 ó más	Hombres	23
23	Bajo Martín	00 a 04	Mujeres	87
23	Bajo Martín	05 a 09	Mujeres	128
23	Bajo Martín	10 a 14	Mujeres	133
23	Bajo Martín	15 a 19	Mujeres	161
23	Bajo Martín	20 a 24	Mujeres	220
23	Bajo Martín	25 a 29	Mujeres	202
23	Bajo Martín	30 a 34	Mujeres	198
23	Bajo Martín	35 a 39	Mujeres	214
23	Bajo Martín	40 a 44	Mujeres	230
23	Bajo Martín	45 a 49	Mujeres	187
23	Bajo Martín	50 a 54	Mujeres	187
23	Bajo Martín	55 a 59	Mujeres	205
23	Bajo Martín	60 a 64	Mujeres	202
23	Bajo Martín	65 a 69	Mujeres	312
23	Bajo Martín	70 a 74	Mujeres	320
23	Bajo Martín	75 a 79	Mujeres	284
23	Bajo Martín	80 a 84	Mujeres	213
23	Bajo Martín	85 a 90	Mujeres	110
23	Bajo Martín	90 ó más	Mujeres	61
23	Bajo Martín	00 a 04	Hombres	119
23	Bajo Martín	05 a 09	Hombres	146
23	Bajo Martín	10 a 14	Hombres	165
23	Bajo Martín	15 a 19	Hombres	146
23	Bajo Martín	20 a 24	Hombres	196
23	Bajo Martín	25 a 29	Hombres	252
23	Bajo Martín	30 a 34	Hombres	215
23	Bajo Martín	35 a 39	Hombres	268
23	Bajo Martín	40 a 44	Hombres	283
23	Bajo Martín	45 a 49	Hombres	199
23	Bajo Martín	50 a 54	Hombres	187
23	Bajo Martín	55 a 59	Hombres	192
23	Bajo Martín	60 a 64	Hombres	200
23	Bajo Martín	65 a 69	Hombres	313
23	Bajo Martín	70 a 74	Hombres	300
23	Bajo Martín	75 a 79	Hombres	249
23	Bajo Martín	80 a 84	Hombres	129
23	Bajo Martín	85 a 90	Hombres	82
23	Bajo Martín	90 ó más	Hombres	34
24	Campo de Daroca	00 a 04	Mujeres	74
24	Campo de Daroca	05 a 09	Mujeres	78
24	Campo de Daroca	10 a 14	Mujeres	80
24	Campo de Daroca	15 a 19	Mujeres	118
24	Campo de Daroca	20 a 24	Mujeres	112
24	Campo de Daroca	25 a 29	Mujeres	177
24	Campo de Daroca	30 a 34	Mujeres	178
24	Campo de Daroca	35 a 39	Mujeres	175
24	Campo de Daroca	40 a 44	Mujeres	169
24	Campo de Daroca	45 a 49	Mujeres	139
24	Campo de Daroca	50 a 54	Mujeres	163
24	Campo de Daroca	55 a 59	Mujeres	180
24	Campo de Daroca	60 a 64	Mujeres	211
24	Campo de Daroca	65 a 69	Mujeres	302
24	Campo de Daroca	70 a 74	Mujeres	324
24	Campo de Daroca	75 a 79	Mujeres	256
24	Campo de Daroca	80 a 84	Mujeres	181
24	Campo de Daroca	85 a 90	Mujeres	125
24	Campo de Daroca	90 ó más	Mujeres	63
24	Campo de Daroca	00 a 04	Hombres	91
24	Campo de Daroca	05 a 09	Hombres	104
24	Campo de Daroca	10 a 14	Hombres	105
24	Campo de Daroca	15 a 19	Hombres	107
24	Campo de Daroca	20 a 24	Hombres	146
24	Campo de Daroca	25 a 29	Hombres	199
24	Campo de Daroca	30 a 34	Hombres	248
24	Campo de Daroca	35 a 39	Hombres	233
24	Campo de Daroca	40 a 44	Hombres	224
24	Campo de Daroca	45 a 49	Hombres	202
24	Campo de Daroca	50 a 54	Hombres	189
24	Campo de Daroca	55 a 59	Hombres	197
24	Campo de Daroca	60 a 64	Hombres	225
24	Campo de Daroca	65 a 69	Hombres	309
24	Campo de Daroca	70 a 74	Hombres	334
24	Campo de Daroca	75 a 79	Hombres	223
24	Campo de Daroca	80 a 84	Hombres	134
24	Campo de Daroca	85 a 90	Hombres	50
24	Campo de Daroca	90 ó más	Hombres	42
25	Jiloca	00 a 04	Mujeres	226
25	Jiloca	05 a 09	Mujeres	228
25	Jiloca	10 a 14	Mujeres	256
25	Jiloca	15 a 19	Mujeres	277
25	Jiloca	20 a 24	Mujeres	340
25	Jiloca	25 a 29	Mujeres	407
25	Jiloca	30 a 34	Mujeres	383
25	Jiloca	35 a 39	Mujeres	417
25	Jiloca	40 a 44	Mujeres	332
25	Jiloca	45 a 49	Mujeres	320
25	Jiloca	50 a 54	Mujeres	300
25	Jiloca	55 a 59	Mujeres	381
25	Jiloca	60 a 64	Mujeres	401
25	Jiloca	65 a 69	Mujeres	613
25	Jiloca	70 a 74	Mujeres	632
25	Jiloca	75 a 79	Mujeres	550
25	Jiloca	80 a 84	Mujeres	341
25	Jiloca	85 a 90	Mujeres	231
25	Jiloca	90 ó más	Mujeres	111
25	Jiloca	00 a 04	Hombres	176
25	Jiloca	05 a 09	Hombres	229
25	Jiloca	10 a 14	Hombres	246
25	Jiloca	15 a 19	Hombres	276
25	Jiloca	20 a 24	Hombres	398
25	Jiloca	25 a 29	Hombres	423
25	Jiloca	30 a 34	Hombres	455
25	Jiloca	35 a 39	Hombres	537
25	Jiloca	40 a 44	Hombres	462
25	Jiloca	45 a 49	Hombres	393
25	Jiloca	50 a 54	Hombres	379
25	Jiloca	55 a 59	Hombres	377
25	Jiloca	60 a 64	Hombres	386
25	Jiloca	65 a 69	Hombres	603
25	Jiloca	70 a 74	Hombres	674
25	Jiloca	75 a 79	Hombres	482
25	Jiloca	80 a 84	Hombres	236
25	Jiloca	85 a 90	Hombres	118
25	Jiloca	90 ó más	Hombres	57
26	Cuencas Mineras	00 a 04	Mujeres	138
26	Cuencas Mineras	05 a 09	Mujeres	188
26	Cuencas Mineras	10 a 14	Mujeres	222
26	Cuencas Mineras	15 a 19	Mujeres	265
26	Cuencas Mineras	20 a 24	Mujeres	260
26	Cuencas Mineras	25 a 29	Mujeres	289
26	Cuencas Mineras	30 a 34	Mujeres	286
26	Cuencas Mineras	35 a 39	Mujeres	319
26	Cuencas Mineras	40 a 44	Mujeres	276
26	Cuencas Mineras	45 a 49	Mujeres	235
26	Cuencas Mineras	50 a 54	Mujeres	239
26	Cuencas Mineras	55 a 59	Mujeres	225
26	Cuencas Mineras	60 a 64	Mujeres	225
26	Cuencas Mineras	65 a 69	Mujeres	364
26	Cuencas Mineras	70 a 74	Mujeres	329
26	Cuencas Mineras	75 a 79	Mujeres	293
26	Cuencas Mineras	80 a 84	Mujeres	174
26	Cuencas Mineras	85 a 90	Mujeres	117
26	Cuencas Mineras	90 ó más	Mujeres	57
26	Cuencas Mineras	00 a 04	Hombres	169
26	Cuencas Mineras	05 a 09	Hombres	174
26	Cuencas Mineras	10 a 14	Hombres	250
26	Cuencas Mineras	15 a 19	Hombres	299
26	Cuencas Mineras	20 a 24	Hombres	346
26	Cuencas Mineras	25 a 29	Hombres	368
26	Cuencas Mineras	30 a 34	Hombres	357
26	Cuencas Mineras	35 a 39	Hombres	391
26	Cuencas Mineras	40 a 44	Hombres	384
26	Cuencas Mineras	45 a 49	Hombres	332
26	Cuencas Mineras	50 a 54	Hombres	270
26	Cuencas Mineras	55 a 59	Hombres	245
26	Cuencas Mineras	60 a 64	Hombres	243
26	Cuencas Mineras	65 a 69	Hombres	350
26	Cuencas Mineras	70 a 74	Hombres	319
26	Cuencas Mineras	75 a 79	Hombres	273
26	Cuencas Mineras	80 a 84	Hombres	113
26	Cuencas Mineras	85 a 90	Hombres	65
26	Cuencas Mineras	90 ó más	Hombres	36
27	Andorra-Sierra de Arcos	00 a 04	Mujeres	225
27	Andorra-Sierra de Arcos	05 a 09	Mujeres	249
27	Andorra-Sierra de Arcos	10 a 14	Mujeres	306
27	Andorra-Sierra de Arcos	15 a 19	Mujeres	339
27	Andorra-Sierra de Arcos	20 a 24	Mujeres	344
27	Andorra-Sierra de Arcos	25 a 29	Mujeres	300
27	Andorra-Sierra de Arcos	30 a 34	Mujeres	368
27	Andorra-Sierra de Arcos	35 a 39	Mujeres	434
27	Andorra-Sierra de Arcos	40 a 44	Mujeres	432
27	Andorra-Sierra de Arcos	45 a 49	Mujeres	341
27	Andorra-Sierra de Arcos	50 a 54	Mujeres	260
27	Andorra-Sierra de Arcos	55 a 59	Mujeres	231
27	Andorra-Sierra de Arcos	60 a 64	Mujeres	220
27	Andorra-Sierra de Arcos	65 a 69	Mujeres	370
27	Andorra-Sierra de Arcos	70 a 74	Mujeres	340
27	Andorra-Sierra de Arcos	75 a 79	Mujeres	254
27	Andorra-Sierra de Arcos	80 a 84	Mujeres	183
27	Andorra-Sierra de Arcos	85 a 90	Mujeres	115
27	Andorra-Sierra de Arcos	90 ó más	Mujeres	58
27	Andorra-Sierra de Arcos	00 a 04	Hombres	207
27	Andorra-Sierra de Arcos	05 a 09	Hombres	247
27	Andorra-Sierra de Arcos	10 a 14	Hombres	332
27	Andorra-Sierra de Arcos	15 a 19	Hombres	356
27	Andorra-Sierra de Arcos	20 a 24	Hombres	414
27	Andorra-Sierra de Arcos	25 a 29	Hombres	362
27	Andorra-Sierra de Arcos	30 a 34	Hombres	368
27	Andorra-Sierra de Arcos	35 a 39	Hombres	456
27	Andorra-Sierra de Arcos	40 a 44	Hombres	553
27	Andorra-Sierra de Arcos	45 a 49	Hombres	430
27	Andorra-Sierra de Arcos	50 a 54	Hombres	309
27	Andorra-Sierra de Arcos	55 a 59	Hombres	258
27	Andorra-Sierra de Arcos	60 a 64	Hombres	216
27	Andorra-Sierra de Arcos	65 a 69	Hombres	295
27	Andorra-Sierra de Arcos	70 a 74	Hombres	379
27	Andorra-Sierra de Arcos	75 a 79	Hombres	254
27	Andorra-Sierra de Arcos	80 a 84	Hombres	146
27	Andorra-Sierra de Arcos	85 a 90	Hombres	60
27	Andorra-Sierra de Arcos	90 ó más	Hombres	23
28	Bajo Aragón	00 a 04	Mujeres	557
28	Bajo Aragón	05 a 09	Mujeres	595
28	Bajo Aragón	10 a 14	Mujeres	683
28	Bajo Aragón	15 a 19	Mujeres	695
28	Bajo Aragón	20 a 24	Mujeres	812
28	Bajo Aragón	25 a 29	Mujeres	845
28	Bajo Aragón	30 a 34	Mujeres	956
28	Bajo Aragón	35 a 39	Mujeres	989
28	Bajo Aragón	40 a 44	Mujeres	878
28	Bajo Aragón	45 a 49	Mujeres	750
28	Bajo Aragón	50 a 54	Mujeres	696
28	Bajo Aragón	55 a 59	Mujeres	644
28	Bajo Aragón	60 a 64	Mujeres	585
28	Bajo Aragón	65 a 69	Mujeres	860
28	Bajo Aragón	70 a 74	Mujeres	835
28	Bajo Aragón	75 a 79	Mujeres	745
28	Bajo Aragón	80 a 84	Mujeres	535
28	Bajo Aragón	85 a 90	Mujeres	334
28	Bajo Aragón	90 ó más	Mujeres	156
28	Bajo Aragón	00 a 04	Hombres	654
28	Bajo Aragón	05 a 09	Hombres	590
28	Bajo Aragón	10 a 14	Hombres	673
28	Bajo Aragón	15 a 19	Hombres	739
28	Bajo Aragón	20 a 24	Hombres	908
28	Bajo Aragón	25 a 29	Hombres	1005
28	Bajo Aragón	30 a 34	Hombres	980
28	Bajo Aragón	35 a 39	Hombres	1070
28	Bajo Aragón	40 a 44	Hombres	1003
28	Bajo Aragón	45 a 49	Hombres	869
28	Bajo Aragón	50 a 54	Hombres	761
28	Bajo Aragón	55 a 59	Hombres	637
28	Bajo Aragón	60 a 64	Hombres	593
28	Bajo Aragón	65 a 69	Hombres	759
28	Bajo Aragón	70 a 74	Hombres	777
28	Bajo Aragón	75 a 79	Hombres	661
28	Bajo Aragón	80 a 84	Hombres	404
28	Bajo Aragón	85 a 90	Hombres	189
28	Bajo Aragón	90 ó más	Hombres	94
