Comarca código	Comarca nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
11	Bajo Cinca / Baix Cinca	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	117
11	Bajo Cinca / Baix Cinca	Mujeres	Industria y energía	04	Textil y calzado	194
11	Bajo Cinca / Baix Cinca	Mujeres	Industria y energía	05	Madera y papel	57
11	Bajo Cinca / Baix Cinca	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	241
11	Bajo Cinca / Baix Cinca	Mujeres	Industria y energía	07	Metal	85
11	Bajo Cinca / Baix Cinca	Mujeres	Industria y energía	08	Manufactureras diversas	3
11	Bajo Cinca / Baix Cinca	Mujeres	Construcción	09	Construcción	53
11	Bajo Cinca / Baix Cinca	Mujeres	Servicios	10	Comercio y reparación	687
11	Bajo Cinca / Baix Cinca	Mujeres	Servicios	11	Hostelería	269
11	Bajo Cinca / Baix Cinca	Mujeres	Servicios	12	Transporte y comunicaciones	66
11	Bajo Cinca / Baix Cinca	Mujeres	Servicios	13	Finanzas y servicios a empresas	248
11	Bajo Cinca / Baix Cinca	Mujeres	Servicios	14	Administración pública	151
11	Bajo Cinca / Baix Cinca	Mujeres	Servicios	15	Educación	196
11	Bajo Cinca / Baix Cinca	Mujeres	Servicios	16	Sanidad	175
11	Bajo Cinca / Baix Cinca	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	159
12	Tarazona y el Moncayo	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	311
12	Tarazona y el Moncayo	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	28
12	Tarazona y el Moncayo	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	112
12	Tarazona y el Moncayo	Hombres	Industria y energía	04	Textil y calzado	85
12	Tarazona y el Moncayo	Hombres	Industria y energía	05	Madera y papel	38
12	Tarazona y el Moncayo	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	56
12	Tarazona y el Moncayo	Hombres	Industria y energía	07	Metal	714
12	Tarazona y el Moncayo	Hombres	Industria y energía	08	Manufactureras diversas	75
12	Tarazona y el Moncayo	Hombres	Construcción	09	Construcción	625
12	Tarazona y el Moncayo	Hombres	Servicios	10	Comercio y reparación	377
12	Tarazona y el Moncayo	Hombres	Servicios	11	Hostelería	133
12	Tarazona y el Moncayo	Hombres	Servicios	12	Transporte y comunicaciones	177
12	Tarazona y el Moncayo	Hombres	Servicios	13	Finanzas y servicios a empresas	169
12	Tarazona y el Moncayo	Hombres	Servicios	14	Administración pública	217
12	Tarazona y el Moncayo	Hombres	Servicios	15	Educación	101
12	Tarazona y el Moncayo	Hombres	Servicios	16	Sanidad	71
12	Tarazona y el Moncayo	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	55
12	Tarazona y el Moncayo	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	37
12	Tarazona y el Moncayo	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	5
12	Tarazona y el Moncayo	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	137
12	Tarazona y el Moncayo	Mujeres	Industria y energía	04	Textil y calzado	197
12	Tarazona y el Moncayo	Mujeres	Industria y energía	05	Madera y papel	8
12	Tarazona y el Moncayo	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	18
12	Tarazona y el Moncayo	Mujeres	Industria y energía	07	Metal	374
12	Tarazona y el Moncayo	Mujeres	Industria y energía	08	Manufactureras diversas	14
12	Tarazona y el Moncayo	Mujeres	Construcción	09	Construcción	44
12	Tarazona y el Moncayo	Mujeres	Servicios	10	Comercio y reparación	302
12	Tarazona y el Moncayo	Mujeres	Servicios	11	Hostelería	87
12	Tarazona y el Moncayo	Mujeres	Servicios	12	Transporte y comunicaciones	39
12	Tarazona y el Moncayo	Mujeres	Servicios	13	Finanzas y servicios a empresas	154
12	Tarazona y el Moncayo	Mujeres	Servicios	14	Administración pública	156
12	Tarazona y el Moncayo	Mujeres	Servicios	15	Educación	155
12	Tarazona y el Moncayo	Mujeres	Servicios	16	Sanidad	175
12	Tarazona y el Moncayo	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	118
13	Campo de Borja	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	811
13	Campo de Borja	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	46
13	Campo de Borja	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	206
13	Campo de Borja	Hombres	Industria y energía	04	Textil y calzado	9
13	Campo de Borja	Hombres	Industria y energía	05	Madera y papel	48
13	Campo de Borja	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	73
13	Campo de Borja	Hombres	Industria y energía	07	Metal	620
13	Campo de Borja	Hombres	Industria y energía	08	Manufactureras diversas	57
13	Campo de Borja	Hombres	Construcción	09	Construcción	683
13	Campo de Borja	Hombres	Servicios	10	Comercio y reparación	453
13	Campo de Borja	Hombres	Servicios	11	Hostelería	115
13	Campo de Borja	Hombres	Servicios	12	Transporte y comunicaciones	249
13	Campo de Borja	Hombres	Servicios	13	Finanzas y servicios a empresas	145
13	Campo de Borja	Hombres	Servicios	14	Administración pública	174
13	Campo de Borja	Hombres	Servicios	15	Educación	74
13	Campo de Borja	Hombres	Servicios	16	Sanidad	52
13	Campo de Borja	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	54
13	Campo de Borja	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	70
13	Campo de Borja	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	3
13	Campo de Borja	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	116
13	Campo de Borja	Mujeres	Industria y energía	04	Textil y calzado	43
13	Campo de Borja	Mujeres	Industria y energía	05	Madera y papel	6
13	Campo de Borja	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	36
13	Campo de Borja	Mujeres	Industria y energía	07	Metal	286
13	Campo de Borja	Mujeres	Industria y energía	08	Manufactureras diversas	8
13	Campo de Borja	Mujeres	Construcción	09	Construcción	25
13	Campo de Borja	Mujeres	Servicios	10	Comercio y reparación	349
13	Campo de Borja	Mujeres	Servicios	11	Hostelería	115
13	Campo de Borja	Mujeres	Servicios	12	Transporte y comunicaciones	33
13	Campo de Borja	Mujeres	Servicios	13	Finanzas y servicios a empresas	77
13	Campo de Borja	Mujeres	Servicios	14	Administración pública	126
13	Campo de Borja	Mujeres	Servicios	15	Educación	106
13	Campo de Borja	Mujeres	Servicios	16	Sanidad	173
13	Campo de Borja	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	118
14	Aranda	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	184
14	Aranda	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	21
14	Aranda	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	31
14	Aranda	Hombres	Industria y energía	04	Textil y calzado	982
14	Aranda	Hombres	Industria y energía	05	Madera y papel	25
14	Aranda	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	14
14	Aranda	Hombres	Industria y energía	07	Metal	92
14	Aranda	Hombres	Industria y energía	08	Manufactureras diversas	10
14	Aranda	Hombres	Construcción	09	Construcción	284
14	Aranda	Hombres	Servicios	10	Comercio y reparación	238
14	Aranda	Hombres	Servicios	11	Hostelería	36
14	Aranda	Hombres	Servicios	12	Transporte y comunicaciones	80
14	Aranda	Hombres	Servicios	13	Finanzas y servicios a empresas	61
14	Aranda	Hombres	Servicios	14	Administración pública	68
14	Aranda	Hombres	Servicios	15	Educación	23
14	Aranda	Hombres	Servicios	16	Sanidad	15
14	Aranda	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	25
14	Aranda	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	11
14	Aranda	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	3
14	Aranda	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	13
14	Aranda	Mujeres	Industria y energía	04	Textil y calzado	499
14	Aranda	Mujeres	Industria y energía	05	Madera y papel	10
14	Aranda	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	7
14	Aranda	Mujeres	Industria y energía	07	Metal	31
14	Aranda	Mujeres	Industria y energía	08	Manufactureras diversas	2
14	Aranda	Mujeres	Construcción	09	Construcción	19
14	Aranda	Mujeres	Servicios	10	Comercio y reparación	155
14	Aranda	Mujeres	Servicios	11	Hostelería	25
14	Aranda	Mujeres	Servicios	12	Transporte y comunicaciones	19
14	Aranda	Mujeres	Servicios	13	Finanzas y servicios a empresas	50
14	Aranda	Mujeres	Servicios	14	Administración pública	38
14	Aranda	Mujeres	Servicios	15	Educación	25
14	Aranda	Mujeres	Servicios	16	Sanidad	60
14	Aranda	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	43
15	Ribera Alta del Ebro	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	707
15	Ribera Alta del Ebro	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	68
15	Ribera Alta del Ebro	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	93
15	Ribera Alta del Ebro	Hombres	Industria y energía	04	Textil y calzado	43
15	Ribera Alta del Ebro	Hombres	Industria y energía	05	Madera y papel	133
15	Ribera Alta del Ebro	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	215
15	Ribera Alta del Ebro	Hombres	Industria y energía	07	Metal	1907
15	Ribera Alta del Ebro	Hombres	Industria y energía	08	Manufactureras diversas	55
15	Ribera Alta del Ebro	Hombres	Construcción	09	Construcción	893
15	Ribera Alta del Ebro	Hombres	Servicios	10	Comercio y reparación	499
15	Ribera Alta del Ebro	Hombres	Servicios	11	Hostelería	153
15	Ribera Alta del Ebro	Hombres	Servicios	12	Transporte y comunicaciones	473
15	Ribera Alta del Ebro	Hombres	Servicios	13	Finanzas y servicios a empresas	236
15	Ribera Alta del Ebro	Hombres	Servicios	14	Administración pública	237
15	Ribera Alta del Ebro	Hombres	Servicios	15	Educación	100
15	Ribera Alta del Ebro	Hombres	Servicios	16	Sanidad	62
15	Ribera Alta del Ebro	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	88
15	Ribera Alta del Ebro	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	140
15	Ribera Alta del Ebro	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	10
15	Ribera Alta del Ebro	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	124
15	Ribera Alta del Ebro	Mujeres	Industria y energía	04	Textil y calzado	67
15	Ribera Alta del Ebro	Mujeres	Industria y energía	05	Madera y papel	39
15	Ribera Alta del Ebro	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	57
15	Ribera Alta del Ebro	Mujeres	Industria y energía	07	Metal	587
15	Ribera Alta del Ebro	Mujeres	Industria y energía	08	Manufactureras diversas	21
15	Ribera Alta del Ebro	Mujeres	Construcción	09	Construcción	78
15	Ribera Alta del Ebro	Mujeres	Servicios	10	Comercio y reparación	488
15	Ribera Alta del Ebro	Mujeres	Servicios	11	Hostelería	255
15	Ribera Alta del Ebro	Mujeres	Servicios	12	Transporte y comunicaciones	158
15	Ribera Alta del Ebro	Mujeres	Servicios	13	Finanzas y servicios a empresas	244
15	Ribera Alta del Ebro	Mujeres	Servicios	14	Administración pública	176
15	Ribera Alta del Ebro	Mujeres	Servicios	15	Educación	154
15	Ribera Alta del Ebro	Mujeres	Servicios	16	Sanidad	347
15	Ribera Alta del Ebro	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	173
16	Valdejalón	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1495
16	Valdejalón	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	78
16	Valdejalón	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	198
16	Valdejalón	Hombres	Industria y energía	04	Textil y calzado	74
16	Valdejalón	Hombres	Industria y energía	05	Madera y papel	59
16	Valdejalón	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	191
16	Valdejalón	Hombres	Industria y energía	07	Metal	1061
16	Valdejalón	Hombres	Industria y energía	08	Manufactureras diversas	87
16	Valdejalón	Hombres	Construcción	09	Construcción	973
16	Valdejalón	Hombres	Servicios	10	Comercio y reparación	614
16	Valdejalón	Hombres	Servicios	11	Hostelería	215
16	Valdejalón	Hombres	Servicios	12	Transporte y comunicaciones	280
16	Valdejalón	Hombres	Servicios	13	Finanzas y servicios a empresas	276
16	Valdejalón	Hombres	Servicios	14	Administración pública	336
16	Valdejalón	Hombres	Servicios	15	Educación	157
16	Valdejalón	Hombres	Servicios	16	Sanidad	73
16	Valdejalón	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	112
16	Valdejalón	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	157
16	Valdejalón	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	5
16	Valdejalón	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	133
16	Valdejalón	Mujeres	Industria y energía	04	Textil y calzado	165
16	Valdejalón	Mujeres	Industria y energía	05	Madera y papel	14
16	Valdejalón	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	52
16	Valdejalón	Mujeres	Industria y energía	07	Metal	389
16	Valdejalón	Mujeres	Industria y energía	08	Manufactureras diversas	21
16	Valdejalón	Mujeres	Construcción	09	Construcción	68
16	Valdejalón	Mujeres	Servicios	10	Comercio y reparación	592
16	Valdejalón	Mujeres	Servicios	11	Hostelería	186
16	Valdejalón	Mujeres	Servicios	12	Transporte y comunicaciones	77
16	Valdejalón	Mujeres	Servicios	13	Finanzas y servicios a empresas	202
16	Valdejalón	Mujeres	Servicios	14	Administración pública	185
16	Valdejalón	Mujeres	Servicios	15	Educación	188
16	Valdejalón	Mujeres	Servicios	16	Sanidad	224
16	Valdejalón	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	174
17	D.C. Zaragoza	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	3102
17	D.C. Zaragoza	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	1125
17	D.C. Zaragoza	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	3096
17	D.C. Zaragoza	Hombres	Industria y energía	04	Textil y calzado	1621
17	D.C. Zaragoza	Hombres	Industria y energía	05	Madera y papel	4544
17	D.C. Zaragoza	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	5127
17	D.C. Zaragoza	Hombres	Industria y energía	07	Metal	33486
17	D.C. Zaragoza	Hombres	Industria y energía	08	Manufactureras diversas	3934
17	D.C. Zaragoza	Hombres	Construcción	09	Construcción	20167
17	D.C. Zaragoza	Hombres	Servicios	10	Comercio y reparación	22212
17	D.C. Zaragoza	Hombres	Servicios	11	Hostelería	6382
17	D.C. Zaragoza	Hombres	Servicios	12	Transporte y comunicaciones	15410
17	D.C. Zaragoza	Hombres	Servicios	13	Finanzas y servicios a empresas	17416
17	D.C. Zaragoza	Hombres	Servicios	14	Administración pública	14277
17	D.C. Zaragoza	Hombres	Servicios	15	Educación	7508
17	D.C. Zaragoza	Hombres	Servicios	16	Sanidad	5600
17	D.C. Zaragoza	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	5047
17	D.C. Zaragoza	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	858
17	D.C. Zaragoza	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	267
17	D.C. Zaragoza	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	1828
17	D.C. Zaragoza	Mujeres	Industria y energía	04	Textil y calzado	2411
17	D.C. Zaragoza	Mujeres	Industria y energía	05	Madera y papel	1237
17	D.C. Zaragoza	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1593
17	D.C. Zaragoza	Mujeres	Industria y energía	07	Metal	5593
17	D.C. Zaragoza	Mujeres	Industria y energía	08	Manufactureras diversas	748
17	D.C. Zaragoza	Mujeres	Construcción	09	Construcción	2262
17	D.C. Zaragoza	Mujeres	Servicios	10	Comercio y reparación	21214
17	D.C. Zaragoza	Mujeres	Servicios	11	Hostelería	7045
17	D.C. Zaragoza	Mujeres	Servicios	12	Transporte y comunicaciones	4218
17	D.C. Zaragoza	Mujeres	Servicios	13	Finanzas y servicios a empresas	15082
17	D.C. Zaragoza	Mujeres	Servicios	14	Administración pública	10278
17	D.C. Zaragoza	Mujeres	Servicios	15	Educación	11173
17	D.C. Zaragoza	Mujeres	Servicios	16	Sanidad	15394
17	D.C. Zaragoza	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	9703
18	Ribera Baja del Ebro	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	449
18	Ribera Baja del Ebro	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	120
18	Ribera Baja del Ebro	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	57
18	Ribera Baja del Ebro	Hombres	Industria y energía	04	Textil y calzado	16
18	Ribera Baja del Ebro	Hombres	Industria y energía	05	Madera y papel	69
18	Ribera Baja del Ebro	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	419
18	Ribera Baja del Ebro	Hombres	Industria y energía	07	Metal	216
18	Ribera Baja del Ebro	Hombres	Industria y energía	08	Manufactureras diversas	17
18	Ribera Baja del Ebro	Hombres	Construcción	09	Construcción	455
18	Ribera Baja del Ebro	Hombres	Servicios	10	Comercio y reparación	168
18	Ribera Baja del Ebro	Hombres	Servicios	11	Hostelería	64
18	Ribera Baja del Ebro	Hombres	Servicios	12	Transporte y comunicaciones	144
18	Ribera Baja del Ebro	Hombres	Servicios	13	Finanzas y servicios a empresas	69
18	Ribera Baja del Ebro	Hombres	Servicios	14	Administración pública	78
18	Ribera Baja del Ebro	Hombres	Servicios	15	Educación	17
18	Ribera Baja del Ebro	Hombres	Servicios	16	Sanidad	20
18	Ribera Baja del Ebro	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	47
18	Ribera Baja del Ebro	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	125
18	Ribera Baja del Ebro	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	10
18	Ribera Baja del Ebro	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	47
18	Ribera Baja del Ebro	Mujeres	Industria y energía	04	Textil y calzado	92
18	Ribera Baja del Ebro	Mujeres	Industria y energía	05	Madera y papel	8
18	Ribera Baja del Ebro	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	61
18	Ribera Baja del Ebro	Mujeres	Industria y energía	07	Metal	135
18	Ribera Baja del Ebro	Mujeres	Industria y energía	08	Manufactureras diversas	8
18	Ribera Baja del Ebro	Mujeres	Construcción	09	Construcción	19
18	Ribera Baja del Ebro	Mujeres	Servicios	10	Comercio y reparación	191
18	Ribera Baja del Ebro	Mujeres	Servicios	11	Hostelería	106
18	Ribera Baja del Ebro	Mujeres	Servicios	12	Transporte y comunicaciones	124
18	Ribera Baja del Ebro	Mujeres	Servicios	13	Finanzas y servicios a empresas	66
18	Ribera Baja del Ebro	Mujeres	Servicios	14	Administración pública	84
18	Ribera Baja del Ebro	Mujeres	Servicios	15	Educación	64
18	Ribera Baja del Ebro	Mujeres	Servicios	16	Sanidad	59
18	Ribera Baja del Ebro	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	63
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1043
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	51
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	136
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Industria y energía	04	Textil y calzado	95
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Industria y energía	05	Madera y papel	49
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	39
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Industria y energía	07	Metal	173
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Industria y energía	08	Manufactureras diversas	18
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Construcción	09	Construcción	637
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Servicios	10	Comercio y reparación	342
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Servicios	11	Hostelería	112
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Servicios	12	Transporte y comunicaciones	228
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Servicios	13	Finanzas y servicios a empresas	110
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Servicios	14	Administración pública	154
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Servicios	15	Educación	48
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Servicios	16	Sanidad	31
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	45
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	132
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	6
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	66
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Industria y energía	04	Textil y calzado	443
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Industria y energía	05	Madera y papel	9
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	19
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Industria y energía	07	Metal	41
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Industria y energía	08	Manufactureras diversas	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Construcción	09	Construcción	32
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Servicios	10	Comercio y reparación	347
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Servicios	11	Hostelería	91
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Servicios	12	Transporte y comunicaciones	51
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Servicios	13	Finanzas y servicios a empresas	95
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Servicios	14	Administración pública	80
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Servicios	15	Educación	102
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Servicios	16	Sanidad	92
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	86
20	Comunidad de Calatayud	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1574
20	Comunidad de Calatayud	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	101
20	Comunidad de Calatayud	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	451
20	Comunidad de Calatayud	Hombres	Industria y energía	04	Textil y calzado	134
20	Comunidad de Calatayud	Hombres	Industria y energía	05	Madera y papel	333
20	Comunidad de Calatayud	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	274
20	Comunidad de Calatayud	Hombres	Industria y energía	07	Metal	788
20	Comunidad de Calatayud	Hombres	Industria y energía	08	Manufactureras diversas	93
20	Comunidad de Calatayud	Hombres	Construcción	09	Construcción	1572
20	Comunidad de Calatayud	Hombres	Servicios	10	Comercio y reparación	1075
20	Comunidad de Calatayud	Hombres	Servicios	11	Hostelería	490
20	Comunidad de Calatayud	Hombres	Servicios	12	Transporte y comunicaciones	593
20	Comunidad de Calatayud	Hombres	Servicios	13	Finanzas y servicios a empresas	469
20	Comunidad de Calatayud	Hombres	Servicios	14	Administración pública	807
20	Comunidad de Calatayud	Hombres	Servicios	15	Educación	223
20	Comunidad de Calatayud	Hombres	Servicios	16	Sanidad	218
20	Comunidad de Calatayud	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	164
20	Comunidad de Calatayud	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	173
20	Comunidad de Calatayud	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	11
20	Comunidad de Calatayud	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	359
20	Comunidad de Calatayud	Mujeres	Industria y energía	04	Textil y calzado	253
20	Comunidad de Calatayud	Mujeres	Industria y energía	05	Madera y papel	62
20	Comunidad de Calatayud	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	111
20	Comunidad de Calatayud	Mujeres	Industria y energía	07	Metal	317
20	Comunidad de Calatayud	Mujeres	Industria y energía	08	Manufactureras diversas	21
20	Comunidad de Calatayud	Mujeres	Construcción	09	Construcción	111
20	Comunidad de Calatayud	Mujeres	Servicios	10	Comercio y reparación	957
20	Comunidad de Calatayud	Mujeres	Servicios	11	Hostelería	469
20	Comunidad de Calatayud	Mujeres	Servicios	12	Transporte y comunicaciones	108
20	Comunidad de Calatayud	Mujeres	Servicios	13	Finanzas y servicios a empresas	397
20	Comunidad de Calatayud	Mujeres	Servicios	14	Administración pública	427
20	Comunidad de Calatayud	Mujeres	Servicios	15	Educación	372
20	Comunidad de Calatayud	Mujeres	Servicios	16	Sanidad	658
20	Comunidad de Calatayud	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	345
21	Campo de Cariñena	Hombres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	864
21	Campo de Cariñena	Hombres	Industria y energía	02	Extractivas, energía, gas y agua	10
21	Campo de Cariñena	Hombres	Industria y energía	03	Alimentación, bebidas y tabaco	315
21	Campo de Cariñena	Hombres	Industria y energía	04	Textil y calzado	21
21	Campo de Cariñena	Hombres	Industria y energía	05	Madera y papel	40
21	Campo de Cariñena	Hombres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	114
21	Campo de Cariñena	Hombres	Industria y energía	07	Metal	290
21	Campo de Cariñena	Hombres	Industria y energía	08	Manufactureras diversas	15
21	Campo de Cariñena	Hombres	Construcción	09	Construcción	371
21	Campo de Cariñena	Hombres	Servicios	10	Comercio y reparación	236
21	Campo de Cariñena	Hombres	Servicios	11	Hostelería	63
21	Campo de Cariñena	Hombres	Servicios	12	Transporte y comunicaciones	109
21	Campo de Cariñena	Hombres	Servicios	13	Finanzas y servicios a empresas	84
21	Campo de Cariñena	Hombres	Servicios	14	Administración pública	181
21	Campo de Cariñena	Hombres	Servicios	15	Educación	50
21	Campo de Cariñena	Hombres	Servicios	16	Sanidad	29
21	Campo de Cariñena	Hombres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	44
21	Campo de Cariñena	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	71
21	Campo de Cariñena	Mujeres	Industria y energía	02	Extractivas, energía, gas y agua	1
21	Campo de Cariñena	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	121
