Comarca código	Comarca nombre	Año	Orden	Siglas	Votos
25	Jiloca	2015	12	COMPROMISO CON ARAGON	269
26	Cuencas Mineras	2007	1	PSOE	2239
26	Cuencas Mineras	2007	2	PP	840
26	Cuencas Mineras	2007	3	PAR	1837
26	Cuencas Mineras	2007	4	CHA	516
26	Cuencas Mineras	2007	5	IU	359
26	Cuencas Mineras	2011	1	PP	959
26	Cuencas Mineras	2011	2	PSOE	2127
26	Cuencas Mineras	2011	3	PAR	741
26	Cuencas Mineras	2011	4	CHA	485
26	Cuencas Mineras	2011	5	IU	201
26	Cuencas Mineras	2011	7	COMPROMISO CON ARAGON	1163
26	Cuencas Mineras	2011	8	FIA	3
26	Cuencas Mineras	2015	1	PP	587
26	Cuencas Mineras	2015	2	PSOE	1751
26	Cuencas Mineras	2015	4	PAR	938
26	Cuencas Mineras	2015	5	C's	23
26	Cuencas Mineras	2015	7	CHA	401
26	Cuencas Mineras	2015	12	COMPROMISO CON ARAGON	1145
26	Cuencas Mineras	2015	16	G:IU-LV	224
26	Cuencas Mineras	2015	28	FIA	8
26	Cuencas Mineras	2015	64	C.S.I.E	148
27	Andorra-Sierra de Arcos	2007	1	PSOE	2097
27	Andorra-Sierra de Arcos	2007	2	PP	1942
27	Andorra-Sierra de Arcos	2007	3	PAR	626
27	Andorra-Sierra de Arcos	2007	4	CHA	227
27	Andorra-Sierra de Arcos	2007	5	IU	2008
27	Andorra-Sierra de Arcos	2011	1	PP	1868
27	Andorra-Sierra de Arcos	2011	2	PSOE	1750
27	Andorra-Sierra de Arcos	2011	3	PAR	854
27	Andorra-Sierra de Arcos	2011	4	CHA	283
27	Andorra-Sierra de Arcos	2011	5	IU	1597
27	Andorra-Sierra de Arcos	2011	7	COMPROMISO CON ARAGON	117
27	Andorra-Sierra de Arcos	2011	38	DN	11
27	Andorra-Sierra de Arcos	2015	1	PP	1117
27	Andorra-Sierra de Arcos	2015	2	PSOE	1616
27	Andorra-Sierra de Arcos	2015	4	PAR	1058
27	Andorra-Sierra de Arcos	2015	7	CHA	440
27	Andorra-Sierra de Arcos	2015	12	COMPROMISO CON ARAGON	58
27	Andorra-Sierra de Arcos	2015	16	G:IU-LV	1228
27	Andorra-Sierra de Arcos	2015	49	Asamblea Abierta	303
28	Bajo Aragón	2007	1	PSOE	5527
28	Bajo Aragón	2007	2	PP	4797
28	Bajo Aragón	2007	3	PAR	3313
28	Bajo Aragón	2007	4	CHA	396
28	Bajo Aragón	2007	5	IU	2364
28	Bajo Aragón	2007	36	FIA	41
28	Bajo Aragón	2011	1	PP	5004
28	Bajo Aragón	2011	2	PSOE	4571
28	Bajo Aragón	2011	3	PAR	4208
28	Bajo Aragón	2011	4	CHA	377
28	Bajo Aragón	2011	5	IU	1554
28	Bajo Aragón	2011	7	COMPROMISO CON ARAGON	128
28	Bajo Aragón	2011	8	FIA	27
28	Bajo Aragón	2015	1	PP	4919
28	Bajo Aragón	2015	2	PSOE	4432
28	Bajo Aragón	2015	4	PAR	2675
28	Bajo Aragón	2015	5	C's	387
28	Bajo Aragón	2015	7	CHA	354
28	Bajo Aragón	2015	16	G:IU-LV	1812
28	Bajo Aragón	2015	58	G.B.A.	200
29	Comunidad de Teruel	2007	1	PSOE	8061
29	Comunidad de Teruel	2007	2	PP	8876
29	Comunidad de Teruel	2007	3	PAR	4452
29	Comunidad de Teruel	2007	4	CHA	1834
29	Comunidad de Teruel	2007	5	IU	876
29	Comunidad de Teruel	2007	8	PCUA	115
29	Comunidad de Teruel	2007	38	FAMILIA Y V	30
29	Comunidad de Teruel	2011	1	PP	11099
29	Comunidad de Teruel	2011	2	PSOE	6250
29	Comunidad de Teruel	2011	3	PAR	2409
29	Comunidad de Teruel	2011	4	CHA	1581
29	Comunidad de Teruel	2011	5	IU	1347
29	Comunidad de Teruel	2011	6	UPyD	354
29	Comunidad de Teruel	2011	7	COMPROMISO CON ARAGON	838
29	Comunidad de Teruel	2015	1	PP	7994
29	Comunidad de Teruel	2015	2	PSOE	5901
29	Comunidad de Teruel	2015	4	PAR	2979
29	Comunidad de Teruel	2015	5	C's	1606
29	Comunidad de Teruel	2015	7	CHA	1530
29	Comunidad de Teruel	2015	10	EB	133
29	Comunidad de Teruel	2015	12	COMPROMISO CON ARAGON	418
29	Comunidad de Teruel	2015	16	G:IU-LV	2773
29	Comunidad de Teruel	2015	28	FIA	60
29	Comunidad de Teruel	2015	93	PNP	14
30	Maestrazgo	2007	1	PSOE	859
30	Maestrazgo	2007	2	PP	885
30	Maestrazgo	2007	3	PAR	908
30	Maestrazgo	2007	4	CHA	35
30	Maestrazgo	2007	5	IU	1
30	Maestrazgo	2011	1	PP	780
30	Maestrazgo	2011	2	PSOE	759
30	Maestrazgo	2011	3	PAR	820
30	Maestrazgo	2011	4	CHA	79
30	Maestrazgo	2011	5	IU	18
30	Maestrazgo	2015	1	PP	730
30	Maestrazgo	2015	2	PSOE	464
30	Maestrazgo	2015	4	PAR	742
30	Maestrazgo	2015	5	C's	77
30	Maestrazgo	2015	7	CHA	10
30	Maestrazgo	2015	79	UxA	60
31	Sierra de Albarracín	2007	1	PSOE	1171
31	Sierra de Albarracín	2007	2	PP	1010
31	Sierra de Albarracín	2007	3	PAR	1100
31	Sierra de Albarracín	2007	4	CHA	206
31	Sierra de Albarracín	2007	5	IU	77
31	Sierra de Albarracín	2011	1	PP	1073
31	Sierra de Albarracín	2011	2	PSOE	1100
31	Sierra de Albarracín	2011	3	PAR	1059
31	Sierra de Albarracín	2011	4	CHA	197
31	Sierra de Albarracín	2011	5	IU	42
31	Sierra de Albarracín	2011	7	COMPROMISO CON ARAGON	55
31	Sierra de Albarracín	2015	1	PP	774
31	Sierra de Albarracín	2015	2	PSOE	875
31	Sierra de Albarracín	2015	4	PAR	956
31	Sierra de Albarracín	2015	5	C's	176
31	Sierra de Albarracín	2015	7	CHA	409
31	Sierra de Albarracín	2015	12	COMPROMISO CON ARAGON	79
31	Sierra de Albarracín	2015	16	G:IU-LV	12
32	Gúdar-Javalambre	2007	1	PSOE	1880
32	Gúdar-Javalambre	2007	2	PP	1425
32	Gúdar-Javalambre	2007	3	PAR	1459
32	Gúdar-Javalambre	2007	4	CHA	141
32	Gúdar-Javalambre	2007	5	IU	196
32	Gúdar-Javalambre	2007	8	PCUA	258
32	Gúdar-Javalambre	2007	30	IPN	64
32	Gúdar-Javalambre	2011	1	PP	1658
32	Gúdar-Javalambre	2011	2	PSOE	1994
32	Gúdar-Javalambre	2011	3	PAR	1382
32	Gúdar-Javalambre	2011	4	CHA	92
32	Gúdar-Javalambre	2011	5	IU	145
32	Gúdar-Javalambre	2011	7	COMPROMISO CON ARAGON	22
32	Gúdar-Javalambre	2011	9	ECOLO	26
32	Gúdar-Javalambre	2011	39	LVE	3
32	Gúdar-Javalambre	2015	1	PP	1331
32	Gúdar-Javalambre	2015	2	PSOE	1598
32	Gúdar-Javalambre	2015	4	PAR	1535
32	Gúdar-Javalambre	2015	7	CHA	153
32	Gúdar-Javalambre	2015	16	G:IU-LV	90
33	Matarraña / Matarranya	2007	1	PSOE	1744
33	Matarraña / Matarranya	2007	2	PP	1757
33	Matarraña / Matarranya	2007	3	PAR	1787
33	Matarraña / Matarranya	2007	4	CHA	254
33	Matarraña / Matarranya	2007	5	IU	57
33	Matarraña / Matarranya	2007	29	L'ENTESA	69
33	Matarraña / Matarranya	2011	1	PP	2098
33	Matarraña / Matarranya	2011	2	PSOE	1442
33	Matarraña / Matarranya	2011	3	PAR	1300
33	Matarraña / Matarranya	2011	4	CHA	239
33	Matarraña / Matarranya	2011	26	ESQUERRA-AM	66
33	Matarraña / Matarranya	2015	1	PP	1981
33	Matarraña / Matarranya	2015	2	PSOE	1453
33	Matarraña / Matarranya	2015	4	PAR	1104
33	Matarraña / Matarranya	2015	7	CHA	352
