Mes y año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Nº parados
Diciembre 2015	50	Zaragoza	2	Industria y energía	Hombres	4671
Diciembre 2015	50	Zaragoza	2	Industria y energía	Mujeres	3830
Diciembre 2015	50	Zaragoza	3	Construcción	Hombres	5119
Diciembre 2015	50	Zaragoza	3	Construcción	Mujeres	784
Diciembre 2015	50	Zaragoza	4	Servicios	Hombres	16045
Diciembre 2015	50	Zaragoza	4	Servicios	Mujeres	28135
Diciembre 2015	50	Zaragoza		Sin empleo anterior	Hombres	1985
Diciembre 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4137
Noviembre 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	949
Noviembre 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	367
Noviembre 2015	22	Huesca	2	Industria y energía	Hombres	757
Noviembre 2015	22	Huesca	2	Industria y energía	Mujeres	464
Noviembre 2015	22	Huesca	3	Construcción	Hombres	1077
Noviembre 2015	22	Huesca	3	Construcción	Mujeres	121
Noviembre 2015	22	Huesca	4	Servicios	Hombres	2776
Noviembre 2015	22	Huesca	4	Servicios	Mujeres	5181
Noviembre 2015	22	Huesca		Sin empleo anterior	Hombres	306
Noviembre 2015	22	Huesca		Sin empleo anterior	Mujeres	668
Noviembre 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	482
Noviembre 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	253
Noviembre 2015	44	Teruel	2	Industria y energía	Hombres	655
Noviembre 2015	44	Teruel	2	Industria y energía	Mujeres	504
Noviembre 2015	44	Teruel	3	Construcción	Hombres	833
Noviembre 2015	44	Teruel	3	Construcción	Mujeres	101
Noviembre 2015	44	Teruel	4	Servicios	Hombres	1819
Noviembre 2015	44	Teruel	4	Servicios	Mujeres	3381
Noviembre 2015	44	Teruel		Sin empleo anterior	Hombres	187
Noviembre 2015	44	Teruel		Sin empleo anterior	Mujeres	404
Noviembre 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3202
Noviembre 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1146
Noviembre 2015	50	Zaragoza	2	Industria y energía	Hombres	4482
Noviembre 2015	50	Zaragoza	2	Industria y energía	Mujeres	3780
Noviembre 2015	50	Zaragoza	3	Construcción	Hombres	4875
Noviembre 2015	50	Zaragoza	3	Construcción	Mujeres	783
Noviembre 2015	50	Zaragoza	4	Servicios	Hombres	15998
Noviembre 2015	50	Zaragoza	4	Servicios	Mujeres	29144
Noviembre 2015	50	Zaragoza		Sin empleo anterior	Hombres	2096
Noviembre 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4328
Octubre 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1091
Octubre 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	381
Octubre 2015	22	Huesca	2	Industria y energía	Hombres	747
Octubre 2015	22	Huesca	2	Industria y energía	Mujeres	449
Octubre 2015	22	Huesca	3	Construcción	Hombres	1088
Octubre 2015	22	Huesca	3	Construcción	Mujeres	129
Octubre 2015	22	Huesca	4	Servicios	Hombres	2812
Octubre 2015	22	Huesca	4	Servicios	Mujeres	5162
Octubre 2015	22	Huesca		Sin empleo anterior	Hombres	333
Octubre 2015	22	Huesca		Sin empleo anterior	Mujeres	680
Octubre 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	444
Octubre 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	175
Octubre 2015	44	Teruel	2	Industria y energía	Hombres	642
Octubre 2015	44	Teruel	2	Industria y energía	Mujeres	513
Octubre 2015	44	Teruel	3	Construcción	Hombres	821
Octubre 2015	44	Teruel	3	Construcción	Mujeres	109
Octubre 2015	44	Teruel	4	Servicios	Hombres	1752
Octubre 2015	44	Teruel	4	Servicios	Mujeres	3334
Octubre 2015	44	Teruel		Sin empleo anterior	Hombres	179
Octubre 2015	44	Teruel		Sin empleo anterior	Mujeres	429
Octubre 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3365
Octubre 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1160
Octubre 2015	50	Zaragoza	2	Industria y energía	Hombres	4457
Octubre 2015	50	Zaragoza	2	Industria y energía	Mujeres	3763
Octubre 2015	50	Zaragoza	3	Construcción	Hombres	4986
Octubre 2015	50	Zaragoza	3	Construcción	Mujeres	815
Octubre 2015	50	Zaragoza	4	Servicios	Hombres	16027
Octubre 2015	50	Zaragoza	4	Servicios	Mujeres	29394
Octubre 2015	50	Zaragoza		Sin empleo anterior	Hombres	2212
Octubre 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4368
Septiembre 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1060
Septiembre 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	344
Septiembre 2015	22	Huesca	2	Industria y energía	Hombres	750
Septiembre 2015	22	Huesca	2	Industria y energía	Mujeres	445
Septiembre 2015	22	Huesca	3	Construcción	Hombres	1111
Septiembre 2015	22	Huesca	3	Construcción	Mujeres	139
Septiembre 2015	22	Huesca	4	Servicios	Hombres	2718
Septiembre 2015	22	Huesca	4	Servicios	Mujeres	4953
Septiembre 2015	22	Huesca		Sin empleo anterior	Hombres	344
Septiembre 2015	22	Huesca		Sin empleo anterior	Mujeres	676
Septiembre 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	397
Septiembre 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	152
Septiembre 2015	44	Teruel	2	Industria y energía	Hombres	633
Septiembre 2015	44	Teruel	2	Industria y energía	Mujeres	516
Septiembre 2015	44	Teruel	3	Construcción	Hombres	830
Septiembre 2015	44	Teruel	3	Construcción	Mujeres	110
Septiembre 2015	44	Teruel	4	Servicios	Hombres	1597
Septiembre 2015	44	Teruel	4	Servicios	Mujeres	3109
Septiembre 2015	44	Teruel		Sin empleo anterior	Hombres	174
Septiembre 2015	44	Teruel		Sin empleo anterior	Mujeres	424
Septiembre 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	2686
Septiembre 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	974
Septiembre 2015	50	Zaragoza	2	Industria y energía	Hombres	4441
Septiembre 2015	50	Zaragoza	2	Industria y energía	Mujeres	3843
Septiembre 2015	50	Zaragoza	3	Construcción	Hombres	5106
Septiembre 2015	50	Zaragoza	3	Construcción	Mujeres	817
Septiembre 2015	50	Zaragoza	4	Servicios	Hombres	16015
Septiembre 2015	50	Zaragoza	4	Servicios	Mujeres	29323
Septiembre 2015	50	Zaragoza		Sin empleo anterior	Hombres	2326
Septiembre 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4413
Agosto 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	837
Agosto 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	255
Agosto 2015	22	Huesca	2	Industria y energía	Hombres	765
Agosto 2015	22	Huesca	2	Industria y energía	Mujeres	455
Agosto 2015	22	Huesca	3	Construcción	Hombres	1161
Agosto 2015	22	Huesca	3	Construcción	Mujeres	145
Agosto 2015	22	Huesca	4	Servicios	Hombres	2513
Agosto 2015	22	Huesca	4	Servicios	Mujeres	4967
Agosto 2015	22	Huesca		Sin empleo anterior	Hombres	345
Agosto 2015	22	Huesca		Sin empleo anterior	Mujeres	654
Agosto 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	449
Agosto 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	172
Agosto 2015	44	Teruel	2	Industria y energía	Hombres	640
Agosto 2015	44	Teruel	2	Industria y energía	Mujeres	540
Agosto 2015	44	Teruel	3	Construcción	Hombres	879
Agosto 2015	44	Teruel	3	Construcción	Mujeres	119
Agosto 2015	44	Teruel	4	Servicios	Hombres	1724
Agosto 2015	44	Teruel	4	Servicios	Mujeres	3295
Agosto 2015	44	Teruel		Sin empleo anterior	Hombres	182
Agosto 2015	44	Teruel		Sin empleo anterior	Mujeres	424
Agosto 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	2464
Agosto 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	898
Agosto 2015	50	Zaragoza	2	Industria y energía	Hombres	4612
Agosto 2015	50	Zaragoza	2	Industria y energía	Mujeres	3923
Agosto 2015	50	Zaragoza	3	Construcción	Hombres	5293
Agosto 2015	50	Zaragoza	3	Construcción	Mujeres	859
Agosto 2015	50	Zaragoza	4	Servicios	Hombres	16676
Agosto 2015	50	Zaragoza	4	Servicios	Mujeres	30647
Agosto 2015	50	Zaragoza		Sin empleo anterior	Hombres	2302
Agosto 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4305
Julio 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	721
Julio 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	231
Julio 2015	22	Huesca	2	Industria y energía	Hombres	776
Julio 2015	22	Huesca	2	Industria y energía	Mujeres	458
Julio 2015	22	Huesca	3	Construcción	Hombres	1136
Julio 2015	22	Huesca	3	Construcción	Mujeres	140
Julio 2015	22	Huesca	4	Servicios	Hombres	2507
Julio 2015	22	Huesca	4	Servicios	Mujeres	4715
Julio 2015	22	Huesca		Sin empleo anterior	Hombres	368
Julio 2015	22	Huesca		Sin empleo anterior	Mujeres	684
Julio 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	412
Julio 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	161
Julio 2015	44	Teruel	2	Industria y energía	Hombres	651
Julio 2015	44	Teruel	2	Industria y energía	Mujeres	523
Julio 2015	44	Teruel	3	Construcción	Hombres	871
Julio 2015	44	Teruel	3	Construcción	Mujeres	124
Julio 2015	44	Teruel	4	Servicios	Hombres	1680
Julio 2015	44	Teruel	4	Servicios	Mujeres	3246
Julio 2015	44	Teruel		Sin empleo anterior	Hombres	194
Julio 2015	44	Teruel		Sin empleo anterior	Mujeres	416
Julio 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	2731
Julio 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	962
Julio 2015	50	Zaragoza	2	Industria y energía	Hombres	4666
Julio 2015	50	Zaragoza	2	Industria y energía	Mujeres	3930
Julio 2015	50	Zaragoza	3	Construcción	Hombres	5299
Julio 2015	50	Zaragoza	3	Construcción	Mujeres	839
Julio 2015	50	Zaragoza	4	Servicios	Hombres	16620
Julio 2015	50	Zaragoza	4	Servicios	Mujeres	30036
Julio 2015	50	Zaragoza		Sin empleo anterior	Hombres	2332
Julio 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4375
Junio 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	787
Junio 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	246
Junio 2015	22	Huesca	2	Industria y energía	Hombres	821
Junio 2015	22	Huesca	2	Industria y energía	Mujeres	490
Junio 2015	22	Huesca	3	Construcción	Hombres	1235
Junio 2015	22	Huesca	3	Construcción	Mujeres	142
Junio 2015	22	Huesca	4	Servicios	Hombres	2640
Junio 2015	22	Huesca	4	Servicios	Mujeres	4747
Junio 2015	22	Huesca		Sin empleo anterior	Hombres	428
Junio 2015	22	Huesca		Sin empleo anterior	Mujeres	721
Junio 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	391
Junio 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	155
Junio 2015	44	Teruel	2	Industria y energía	Hombres	678
Junio 2015	44	Teruel	2	Industria y energía	Mujeres	543
Junio 2015	44	Teruel	3	Construcción	Hombres	903
Junio 2015	44	Teruel	3	Construcción	Mujeres	125
Junio 2015	44	Teruel	4	Servicios	Hombres	1785
Junio 2015	44	Teruel	4	Servicios	Mujeres	3330
Junio 2015	44	Teruel		Sin empleo anterior	Hombres	221
Junio 2015	44	Teruel		Sin empleo anterior	Mujeres	435
Junio 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	2493
Junio 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	830
Junio 2015	50	Zaragoza	2	Industria y energía	Hombres	4924
Junio 2015	50	Zaragoza	2	Industria y energía	Mujeres	3983
Junio 2015	50	Zaragoza	3	Construcción	Hombres	5631
Junio 2015	50	Zaragoza	3	Construcción	Mujeres	838
Junio 2015	50	Zaragoza	4	Servicios	Hombres	16668
Junio 2015	50	Zaragoza	4	Servicios	Mujeres	29695
Junio 2015	50	Zaragoza		Sin empleo anterior	Hombres	2432
Junio 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4512
Mayo 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	745
Mayo 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	264
Mayo 2015	22	Huesca	2	Industria y energía	Hombres	839
Mayo 2015	22	Huesca	2	Industria y energía	Mujeres	503
Mayo 2015	22	Huesca	3	Construcción	Hombres	1257
Mayo 2015	22	Huesca	3	Construcción	Mujeres	143
Mayo 2015	22	Huesca	4	Servicios	Hombres	2738
Mayo 2015	22	Huesca	4	Servicios	Mujeres	5042
Mayo 2015	22	Huesca		Sin empleo anterior	Hombres	387
Mayo 2015	22	Huesca		Sin empleo anterior	Mujeres	699
Mayo 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	362
Mayo 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	150
Mayo 2015	44	Teruel	2	Industria y energía	Hombres	713
Mayo 2015	44	Teruel	2	Industria y energía	Mujeres	555
Mayo 2015	44	Teruel	3	Construcción	Hombres	973
Mayo 2015	44	Teruel	3	Construcción	Mujeres	122
Mayo 2015	44	Teruel	4	Servicios	Hombres	1831
Mayo 2015	44	Teruel	4	Servicios	Mujeres	3427
Mayo 2015	44	Teruel		Sin empleo anterior	Hombres	188
Mayo 2015	44	Teruel		Sin empleo anterior	Mujeres	427
Mayo 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	2511
Mayo 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	920
Mayo 2015	50	Zaragoza	2	Industria y energía	Hombres	5209
Mayo 2015	50	Zaragoza	2	Industria y energía	Mujeres	4152
Mayo 2015	50	Zaragoza	3	Construcción	Hombres	5985
Mayo 2015	50	Zaragoza	3	Construcción	Mujeres	859
Mayo 2015	50	Zaragoza	4	Servicios	Hombres	17272
Mayo 2015	50	Zaragoza	4	Servicios	Mujeres	30228
Mayo 2015	50	Zaragoza		Sin empleo anterior	Hombres	2477
Mayo 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4569
Abril 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1025
Abril 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	321
Abril 2015	22	Huesca	2	Industria y energía	Hombres	889
Abril 2015	22	Huesca	2	Industria y energía	Mujeres	522
Abril 2015	22	Huesca	3	Construcción	Hombres	1384
Abril 2015	22	Huesca	3	Construcción	Mujeres	155
Abril 2015	22	Huesca	4	Servicios	Hombres	2870
Abril 2015	22	Huesca	4	Servicios	Mujeres	5140
Abril 2015	22	Huesca		Sin empleo anterior	Hombres	359
Abril 2015	22	Huesca		Sin empleo anterior	Mujeres	696
Abril 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	498
Abril 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	184
Abril 2015	44	Teruel	2	Industria y energía	Hombres	741
Abril 2015	44	Teruel	2	Industria y energía	Mujeres	562
Abril 2015	44	Teruel	3	Construcción	Hombres	1082
Abril 2015	44	Teruel	3	Construcción	Mujeres	121
Abril 2015	44	Teruel	4	Servicios	Hombres	1911
Abril 2015	44	Teruel	4	Servicios	Mujeres	3545
Abril 2015	44	Teruel		Sin empleo anterior	Hombres	199
Abril 2015	44	Teruel		Sin empleo anterior	Mujeres	426
Abril 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3279
Abril 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1100
Abril 2015	50	Zaragoza	2	Industria y energía	Hombres	5311
Abril 2015	50	Zaragoza	2	Industria y energía	Mujeres	4197
Abril 2015	50	Zaragoza	3	Construcción	Hombres	6433
Abril 2015	50	Zaragoza	3	Construcción	Mujeres	875
Abril 2015	50	Zaragoza	4	Servicios	Hombres	18072
Abril 2015	50	Zaragoza	4	Servicios	Mujeres	30694
Abril 2015	50	Zaragoza		Sin empleo anterior	Hombres	2451
Abril 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4596
Marzo 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1130
Marzo 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	359
Marzo 2015	22	Huesca	2	Industria y energía	Hombres	954
Marzo 2015	22	Huesca	2	Industria y energía	Mujeres	537
Marzo 2015	22	Huesca	3	Construcción	Hombres	1470
Marzo 2015	22	Huesca	3	Construcción	Mujeres	157
Marzo 2015	22	Huesca	4	Servicios	Hombres	2829
Marzo 2015	22	Huesca	4	Servicios	Mujeres	5144
Marzo 2015	22	Huesca		Sin empleo anterior	Hombres	356
Marzo 2015	22	Huesca		Sin empleo anterior	Mujeres	702
Marzo 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	529
Marzo 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	201
Marzo 2015	44	Teruel	2	Industria y energía	Hombres	774
Marzo 2015	44	Teruel	2	Industria y energía	Mujeres	580
Marzo 2015	44	Teruel	3	Construcción	Hombres	1196
Marzo 2015	44	Teruel	3	Construcción	Mujeres	134
Marzo 2015	44	Teruel	4	Servicios	Hombres	1987
Marzo 2015	44	Teruel	4	Servicios	Mujeres	3709
Marzo 2015	44	Teruel		Sin empleo anterior	Hombres	206
Marzo 2015	44	Teruel		Sin empleo anterior	Mujeres	440
Marzo 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3540
Marzo 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1197
Marzo 2015	50	Zaragoza	2	Industria y energía	Hombres	5505
Marzo 2015	50	Zaragoza	2	Industria y energía	Mujeres	4210
Marzo 2015	50	Zaragoza	3	Construcción	Hombres	6764
Marzo 2015	50	Zaragoza	3	Construcción	Mujeres	901
Marzo 2015	50	Zaragoza	4	Servicios	Hombres	18613
Marzo 2015	50	Zaragoza	4	Servicios	Mujeres	31215
Marzo 2015	50	Zaragoza		Sin empleo anterior	Hombres	2414
Marzo 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4615
Febrero 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1114
Febrero 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	388
Febrero 2015	22	Huesca	2	Industria y energía	Hombres	1023
Febrero 2015	22	Huesca	2	Industria y energía	Mujeres	553
Febrero 2015	22	Huesca	3	Construcción	Hombres	1525
Febrero 2015	22	Huesca	3	Construcción	Mujeres	160
Febrero 2015	22	Huesca	4	Servicios	Hombres	2932
Febrero 2015	22	Huesca	4	Servicios	Mujeres	5384
Febrero 2015	22	Huesca		Sin empleo anterior	Hombres	341
Febrero 2015	22	Huesca		Sin empleo anterior	Mujeres	714
Febrero 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	554
Febrero 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	221
Febrero 2015	44	Teruel	2	Industria y energía	Hombres	825
Febrero 2015	44	Teruel	2	Industria y energía	Mujeres	584
Febrero 2015	44	Teruel	3	Construcción	Hombres	1311
Febrero 2015	44	Teruel	3	Construcción	Mujeres	128
Febrero 2015	44	Teruel	4	Servicios	Hombres	2030
Febrero 2015	44	Teruel	4	Servicios	Mujeres	3808
Febrero 2015	44	Teruel		Sin empleo anterior	Hombres	192
Febrero 2015	44	Teruel		Sin empleo anterior	Mujeres	423
Febrero 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3492
Febrero 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1187
Febrero 2015	50	Zaragoza	2	Industria y energía	Hombres	5614
Febrero 2015	50	Zaragoza	2	Industria y energía	Mujeres	4163
Febrero 2015	50	Zaragoza	3	Construcción	Hombres	6924
Febrero 2015	50	Zaragoza	3	Construcción	Mujeres	900
Febrero 2015	50	Zaragoza	4	Servicios	Hombres	18430
Febrero 2015	50	Zaragoza	4	Servicios	Mujeres	31369
Febrero 2015	50	Zaragoza		Sin empleo anterior	Hombres	2231
Febrero 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4546
Enero 2015	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1100
Enero 2015	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	357
Enero 2015	22	Huesca	2	Industria y energía	Hombres	1017
Enero 2015	22	Huesca	2	Industria y energía	Mujeres	542
Enero 2015	22	Huesca	3	Construcción	Hombres	1586
Enero 2015	22	Huesca	3	Construcción	Mujeres	163
Enero 2015	22	Huesca	4	Servicios	Hombres	2983
Enero 2015	22	Huesca	4	Servicios	Mujeres	5408
Enero 2015	22	Huesca		Sin empleo anterior	Hombres	335
Enero 2015	22	Huesca		Sin empleo anterior	Mujeres	676
Enero 2015	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	544
Enero 2015	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	231
Enero 2015	44	Teruel	2	Industria y energía	Hombres	840
Enero 2015	44	Teruel	2	Industria y energía	Mujeres	575
Enero 2015	44	Teruel	3	Construcción	Hombres	1349
Enero 2015	44	Teruel	3	Construcción	Mujeres	136
Enero 2015	44	Teruel	4	Servicios	Hombres	2079
Enero 2015	44	Teruel	4	Servicios	Mujeres	3829
Enero 2015	44	Teruel		Sin empleo anterior	Hombres	194
Enero 2015	44	Teruel		Sin empleo anterior	Mujeres	414
Enero 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3423
Enero 2015	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1163
Enero 2015	50	Zaragoza	2	Industria y energía	Hombres	5803
Enero 2015	50	Zaragoza	2	Industria y energía	Mujeres	4199
Enero 2015	50	Zaragoza	3	Construcción	Hombres	7072
Enero 2015	50	Zaragoza	3	Construcción	Mujeres	934
Enero 2015	50	Zaragoza	4	Servicios	Hombres	18447
Enero 2015	50	Zaragoza	4	Servicios	Mujeres	31204
Enero 2015	50	Zaragoza		Sin empleo anterior	Hombres	2209
Enero 2015	50	Zaragoza		Sin empleo anterior	Mujeres	4482
Diciembre 2014	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1066
Diciembre 2014	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	346
Diciembre 2014	22	Huesca	2	Industria y energía	Hombres	1012
Diciembre 2014	22	Huesca	2	Industria y energía	Mujeres	519
Diciembre 2014	22	Huesca	3	Construcción	Hombres	1540
Diciembre 2014	22	Huesca	3	Construcción	Mujeres	157
Diciembre 2014	22	Huesca	4	Servicios	Hombres	2911
Diciembre 2014	22	Huesca	4	Servicios	Mujeres	5036
Diciembre 2014	22	Huesca		Sin empleo anterior	Hombres	339
Diciembre 2014	22	Huesca		Sin empleo anterior	Mujeres	679
Diciembre 2014	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	568
Diciembre 2014	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	239
Diciembre 2014	44	Teruel	2	Industria y energía	Hombres	851
Diciembre 2014	44	Teruel	2	Industria y energía	Mujeres	577
Diciembre 2014	44	Teruel	3	Construcción	Hombres	1232
Diciembre 2014	44	Teruel	3	Construcción	Mujeres	125
Diciembre 2014	44	Teruel	4	Servicios	Hombres	2040
Diciembre 2014	44	Teruel	4	Servicios	Mujeres	3554
Diciembre 2014	44	Teruel		Sin empleo anterior	Hombres	187
Diciembre 2014	44	Teruel		Sin empleo anterior	Mujeres	398
Diciembre 2014	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3458
Diciembre 2014	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1179
Diciembre 2014	50	Zaragoza	2	Industria y energía	Hombres	6025
Diciembre 2014	50	Zaragoza	2	Industria y energía	Mujeres	4260
Diciembre 2014	50	Zaragoza	3	Construcción	Hombres	7131
Diciembre 2014	50	Zaragoza	3	Construcción	Mujeres	937
Diciembre 2014	50	Zaragoza	4	Servicios	Hombres	18555
Diciembre 2014	50	Zaragoza	4	Servicios	Mujeres	29952
Diciembre 2014	50	Zaragoza		Sin empleo anterior	Hombres	2222
Diciembre 2014	50	Zaragoza		Sin empleo anterior	Mujeres	4477
Noviembre 2014	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1118
Noviembre 2014	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	381
Noviembre 2014	22	Huesca	2	Industria y energía	Hombres	980
Noviembre 2014	22	Huesca	2	Industria y energía	Mujeres	533
Noviembre 2014	22	Huesca	3	Construcción	Hombres	1488
Noviembre 2014	22	Huesca	3	Construcción	Mujeres	158
Noviembre 2014	22	Huesca	4	Servicios	Hombres	3230
Noviembre 2014	22	Huesca	4	Servicios	Mujeres	5608
Noviembre 2014	22	Huesca		Sin empleo anterior	Hombres	366
Noviembre 2014	22	Huesca		Sin empleo anterior	Mujeres	697
Noviembre 2014	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	539
Noviembre 2014	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	249
Noviembre 2014	44	Teruel	2	Industria y energía	Hombres	834
Noviembre 2014	44	Teruel	2	Industria y energía	Mujeres	587
Noviembre 2014	44	Teruel	3	Construcción	Hombres	1112
Noviembre 2014	44	Teruel	3	Construcción	Mujeres	127
Noviembre 2014	44	Teruel	4	Servicios	Hombres	2066
Noviembre 2014	44	Teruel	4	Servicios	Mujeres	3757
Noviembre 2014	44	Teruel		Sin empleo anterior	Hombres	193
Noviembre 2014	44	Teruel		Sin empleo anterior	Mujeres	417
Noviembre 2014	50	Zaragoza	1	Agricultura, ganadería y pesca	Hombres	3530
Noviembre 2014	50	Zaragoza	1	Agricultura, ganadería y pesca	Mujeres	1218
Noviembre 2014	50	Zaragoza	2	Industria y energía	Hombres	5852
Noviembre 2014	50	Zaragoza	2	Industria y energía	Mujeres	4191
Noviembre 2014	50	Zaragoza	3	Construcción	Hombres	6878
Noviembre 2014	50	Zaragoza	3	Construcción	Mujeres	935
Noviembre 2014	50	Zaragoza	4	Servicios	Hombres	18589
Noviembre 2014	50	Zaragoza	4	Servicios	Mujeres	30952
Noviembre 2014	50	Zaragoza		Sin empleo anterior	Hombres	2399
Noviembre 2014	50	Zaragoza		Sin empleo anterior	Mujeres	4681
Octubre 2014	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	1272
Octubre 2014	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	418
Octubre 2014	22	Huesca	2	Industria y energía	Hombres	983
Octubre 2014	22	Huesca	2	Industria y energía	Mujeres	553
Octubre 2014	22	Huesca	3	Construcción	Hombres	1494
Octubre 2014	22	Huesca	3	Construcción	Mujeres	169
Octubre 2014	22	Huesca	4	Servicios	Hombres	3284
Octubre 2014	22	Huesca	4	Servicios	Mujeres	5734
Octubre 2014	22	Huesca		Sin empleo anterior	Hombres	374
Octubre 2014	22	Huesca		Sin empleo anterior	Mujeres	702
Octubre 2014	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	532
Octubre 2014	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	220
Octubre 2014	44	Teruel	2	Industria y energía	Hombres	853
Octubre 2014	44	Teruel	2	Industria y energía	Mujeres	580
Octubre 2014	44	Teruel	3	Construcción	Hombres	1157
Octubre 2014	44	Teruel	3	Construcción	Mujeres	122
