Comarca código	Comarca nombre	Año	Orden	Siglas	Concejales
27	Andorra-Sierra de Arcos	2011	3	PAR	10
27	Andorra-Sierra de Arcos	2011	4	CHA	1
27	Andorra-Sierra de Arcos	2011	5	IU	5
27	Andorra-Sierra de Arcos	2011	7	COMPROMISO CON ARAGON	7
27	Andorra-Sierra de Arcos	2011	38	DN	0
27	Andorra-Sierra de Arcos	2015	1	PP	7
27	Andorra-Sierra de Arcos	2015	2	PSOE	23
27	Andorra-Sierra de Arcos	2015	4	PAR	17
27	Andorra-Sierra de Arcos	2015	7	CHA	2
27	Andorra-Sierra de Arcos	2015	12	COMPROMISO CON ARAGON	4
27	Andorra-Sierra de Arcos	2015	16	G:IU-LV	5
27	Andorra-Sierra de Arcos	2015	49	Asamblea Abierta	1
28	Bajo Aragón	2007	1	PSOE	58
28	Bajo Aragón	2007	2	PP	34
28	Bajo Aragón	2007	3	PAR	34
28	Bajo Aragón	2007	4	CHA	1
28	Bajo Aragón	2007	5	IU	6
28	Bajo Aragón	2007	36	FIA	1
28	Bajo Aragón	2011	1	PP	40
28	Bajo Aragón	2011	2	PSOE	53
28	Bajo Aragón	2011	3	PAR	42
28	Bajo Aragón	2011	4	CHA	1
28	Bajo Aragón	2011	5	IU	3
28	Bajo Aragón	2011	7	COMPROMISO CON ARAGON	0
28	Bajo Aragón	2011	8	FIA	1
28	Bajo Aragón	2015	1	PP	34
28	Bajo Aragón	2015	2	PSOE	54
28	Bajo Aragón	2015	4	PAR	41
28	Bajo Aragón	2015	5	C's	1
28	Bajo Aragón	2015	7	CHA	0
28	Bajo Aragón	2015	16	G:IU-LV	8
28	Bajo Aragón	2015	58	G.B.A.	0
29	Comunidad de Teruel	2007	1	PSOE	55
29	Comunidad de Teruel	2007	2	PP	78
29	Comunidad de Teruel	2007	3	PAR	59
29	Comunidad de Teruel	2007	4	CHA	10
29	Comunidad de Teruel	2007	5	IU	1
29	Comunidad de Teruel	2007	8	PCUA	0
29	Comunidad de Teruel	2007	38	FAMILIA Y V	0
29	Comunidad de Teruel	2011	1	PP	103
29	Comunidad de Teruel	2011	2	PSOE	57
29	Comunidad de Teruel	2011	3	PAR	37
29	Comunidad de Teruel	2011	4	CHA	6
29	Comunidad de Teruel	2011	5	IU	3
29	Comunidad de Teruel	2011	6	UPyD	0
29	Comunidad de Teruel	2011	7	COMPROMISO CON ARAGON	12
29	Comunidad de Teruel	2015	1	PP	92
29	Comunidad de Teruel	2015	2	PSOE	60
29	Comunidad de Teruel	2015	4	PAR	44
29	Comunidad de Teruel	2015	5	C's	3
29	Comunidad de Teruel	2015	7	CHA	7
29	Comunidad de Teruel	2015	10	EB	0
29	Comunidad de Teruel	2015	12	COMPROMISO CON ARAGON	4
29	Comunidad de Teruel	2015	16	G:IU-LV	5
29	Comunidad de Teruel	2015	28	FIA	0
29	Comunidad de Teruel	2015	93	PNP	1
30	Maestrazgo	2007	1	PSOE	21
30	Maestrazgo	2007	2	PP	23
30	Maestrazgo	2007	3	PAR	23
30	Maestrazgo	2007	4	CHA	0
30	Maestrazgo	2007	5	IU	0
30	Maestrazgo	2011	1	PP	24
30	Maestrazgo	2011	2	PSOE	22
30	Maestrazgo	2011	3	PAR	26
30	Maestrazgo	2011	4	CHA	1
30	Maestrazgo	2011	5	IU	0
30	Maestrazgo	2015	1	PP	21
30	Maestrazgo	2015	2	PSOE	15
30	Maestrazgo	2015	4	PAR	26
30	Maestrazgo	2015	5	C's	2
30	Maestrazgo	2015	7	CHA	1
30	Maestrazgo	2015	79	UxA	4
31	Sierra de Albarracín	2007	1	PSOE	30
31	Sierra de Albarracín	2007	2	PP	27
31	Sierra de Albarracín	2007	3	PAR	28
31	Sierra de Albarracín	2007	4	CHA	3
31	Sierra de Albarracín	2007	5	IU	1
31	Sierra de Albarracín	2011	1	PP	32
31	Sierra de Albarracín	2011	2	PSOE	30
31	Sierra de Albarracín	2011	3	PAR	29
31	Sierra de Albarracín	2011	4	CHA	2
31	Sierra de Albarracín	2011	5	IU	0
31	Sierra de Albarracín	2011	7	COMPROMISO CON ARAGON	2
31	Sierra de Albarracín	2015	1	PP	25
31	Sierra de Albarracín	2015	2	PSOE	25
31	Sierra de Albarracín	2015	4	PAR	31
31	Sierra de Albarracín	2015	5	C's	7
31	Sierra de Albarracín	2015	7	CHA	6
31	Sierra de Albarracín	2015	12	COMPROMISO CON ARAGON	1
31	Sierra de Albarracín	2015	16	G:IU-LV	0
32	Gúdar-Javalambre	2007	1	PSOE	50
32	Gúdar-Javalambre	2007	2	PP	38
32	Gúdar-Javalambre	2007	3	PAR	31
32	Gúdar-Javalambre	2007	4	CHA	1
32	Gúdar-Javalambre	2007	5	IU	6
32	Gúdar-Javalambre	2007	8	PCUA	3
32	Gúdar-Javalambre	2007	30	IPN	1
32	Gúdar-Javalambre	2011	1	PP	42
32	Gúdar-Javalambre	2011	2	PSOE	51
32	Gúdar-Javalambre	2011	3	PAR	35
32	Gúdar-Javalambre	2011	4	CHA	1
32	Gúdar-Javalambre	2011	5	IU	3
32	Gúdar-Javalambre	2011	7	COMPROMISO CON ARAGON	0
32	Gúdar-Javalambre	2011	9	ECOLO	0
32	Gúdar-Javalambre	2011	39	LVE	0
32	Gúdar-Javalambre	2015	1	PP	42
32	Gúdar-Javalambre	2015	2	PSOE	41
32	Gúdar-Javalambre	2015	4	PAR	40
32	Gúdar-Javalambre	2015	7	CHA	2
32	Gúdar-Javalambre	2015	16	G:IU-LV	5
33	Matarraña / Matarranya	2007	1	PSOE	35
33	Matarraña / Matarranya	2007	2	PP	36
33	Matarraña / Matarranya	2007	3	PAR	41
33	Matarraña / Matarranya	2007	4	CHA	3
33	Matarraña / Matarranya	2007	5	IU	0
33	Matarraña / Matarranya	2007	29	L'ENTESA	1
33	Matarraña / Matarranya	2011	1	PP	44
33	Matarraña / Matarranya	2011	2	PSOE	31
33	Matarraña / Matarranya	2011	3	PAR	39
33	Matarraña / Matarranya	2011	4	CHA	3
33	Matarraña / Matarranya	2011	26	ESQUERRA-AM	1
33	Matarraña / Matarranya	2015	1	PP	39
33	Matarraña / Matarranya	2015	2	PSOE	31
33	Matarraña / Matarranya	2015	4	PAR	39
33	Matarraña / Matarranya	2015	7	CHA	5
