Año	Sexo	Edad (grupos quinquenales)	Nº Accidentes	Comarca Código	Comarca Nombre
2015	Hombres	60-64	1	NC	Municipio del centro de trabajo fuera de Aragón
2015	Mujeres	20-24	2	01	La Jacetania
2015	Mujeres	25-29	3	01	La Jacetania
2015	Mujeres	30-34	5	01	La Jacetania
2015	Mujeres	35-39	6	01	La Jacetania
2015	Mujeres	40-44	5	01	La Jacetania
2015	Mujeres	45-49	8	01	La Jacetania
2015	Mujeres	50-54	5	01	La Jacetania
2015	Mujeres	55-59	3	01	La Jacetania
2015	Mujeres	60-64	2	01	La Jacetania
2015	Mujeres	16-19	1	02	Alto Gállego
2015	Mujeres	20-24	3	02	Alto Gállego
2015	Mujeres	25-29	4	02	Alto Gállego
2015	Mujeres	30-34	3	02	Alto Gállego
2015	Mujeres	35-39	6	02	Alto Gállego
2015	Mujeres	40-44	4	02	Alto Gállego
2015	Mujeres	45-49	5	02	Alto Gállego
2015	Mujeres	50-54	3	02	Alto Gállego
2015	Mujeres	55-59	1	02	Alto Gállego
2015	Mujeres	60-64	1	02	Alto Gállego
2015	Mujeres	16-19	1	03	Sobrarbe
2015	Mujeres	20-24	3	03	Sobrarbe
2015	Mujeres	25-29	2	03	Sobrarbe
2015	Mujeres	30-34	4	03	Sobrarbe
2015	Mujeres	35-39	4	03	Sobrarbe
2015	Mujeres	40-44	3	03	Sobrarbe
2015	Mujeres	45-49	4	03	Sobrarbe
2015	Mujeres	50-54	2	03	Sobrarbe
2015	Mujeres	60-64	1	03	Sobrarbe
2015	Mujeres	16-19	1	04	La Ribagorza
2015	Mujeres	20-24	3	04	La Ribagorza
2015	Mujeres	25-29	1	04	La Ribagorza
2015	Mujeres	30-34	4	04	La Ribagorza
2015	Mujeres	35-39	7	04	La Ribagorza
2015	Mujeres	40-44	3	04	La Ribagorza
2015	Mujeres	45-49	4	04	La Ribagorza
2015	Mujeres	50-54	4	04	La Ribagorza
2015	Mujeres	55-59	3	04	La Ribagorza
2015	Mujeres	60-64	1	04	La Ribagorza
2015	Mujeres	20-24	2	05	Cinco Villas
2015	Mujeres	25-29	6	05	Cinco Villas
2015	Mujeres	30-34	9	05	Cinco Villas
2015	Mujeres	35-39	11	05	Cinco Villas
2015	Mujeres	40-44	6	05	Cinco Villas
2015	Mujeres	45-49	12	05	Cinco Villas
2015	Mujeres	50-54	7	05	Cinco Villas
2015	Mujeres	55-59	9	05	Cinco Villas
2015	Mujeres	60-64	4	05	Cinco Villas
2015	Mujeres	20-24	8	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	25-29	7	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	30-34	17	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	35-39	32	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	40-44	26	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	45-49	21	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	50-54	23	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	55-59	34	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	60-64	21	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	Más de 64	1	06	Hoya de Huesca / Plana de Uesca
2015	Mujeres	16-19	1	07	Somontano de Barbastro
2015	Mujeres	20-24	5	07	Somontano de Barbastro
2015	Mujeres	25-29	6	07	Somontano de Barbastro
2015	Mujeres	30-34	5	07	Somontano de Barbastro
2015	Mujeres	35-39	3	07	Somontano de Barbastro
2015	Mujeres	40-44	8	07	Somontano de Barbastro
2015	Mujeres	45-49	13	07	Somontano de Barbastro
2015	Mujeres	50-54	8	07	Somontano de Barbastro
2015	Mujeres	55-59	6	07	Somontano de Barbastro
2015	Mujeres	60-64	4	07	Somontano de Barbastro
2015	Mujeres	20-24	1	08	Cinca Medio
2015	Mujeres	25-29	3	08	Cinca Medio
2015	Mujeres	30-34	6	08	Cinca Medio
2015	Mujeres	35-39	5	08	Cinca Medio
2015	Mujeres	40-44	9	08	Cinca Medio
2015	Mujeres	45-49	13	08	Cinca Medio
2015	Mujeres	50-54	9	08	Cinca Medio
2015	Mujeres	55-59	5	08	Cinca Medio
2015	Mujeres	16-19	1	09	La Litera / La Llitera
2015	Mujeres	20-24	2	09	La Litera / La Llitera
2015	Mujeres	25-29	3	09	La Litera / La Llitera
2015	Mujeres	30-34	3	09	La Litera / La Llitera
2015	Mujeres	35-39	6	09	La Litera / La Llitera
2015	Mujeres	40-44	7	09	La Litera / La Llitera
2015	Mujeres	45-49	8	09	La Litera / La Llitera
2015	Mujeres	50-54	6	09	La Litera / La Llitera
2015	Mujeres	55-59	6	09	La Litera / La Llitera
2015	Mujeres	60-64	2	09	La Litera / La Llitera
2015	Mujeres	20-24	1	10	Los Monegros
2015	Mujeres	25-29	1	10	Los Monegros
2015	Mujeres	30-34	3	10	Los Monegros
2015	Mujeres	35-39	1	10	Los Monegros
2015	Mujeres	40-44	6	10	Los Monegros
2015	Mujeres	45-49	5	10	Los Monegros
2015	Mujeres	50-54	3	10	Los Monegros
2015	Mujeres	55-59	3	10	Los Monegros
2015	Mujeres	60-64	1	10	Los Monegros
2015	Mujeres	16-19	1	11	Bajo Cinca / Baix Cinca
2015	Mujeres	20-24	12	11	Bajo Cinca / Baix Cinca
2015	Mujeres	25-29	7	11	Bajo Cinca / Baix Cinca
2015	Mujeres	30-34	13	11	Bajo Cinca / Baix Cinca
2015	Mujeres	35-39	12	11	Bajo Cinca / Baix Cinca
2015	Mujeres	40-44	6	11	Bajo Cinca / Baix Cinca
2015	Mujeres	45-49	3	11	Bajo Cinca / Baix Cinca
2015	Mujeres	50-54	5	11	Bajo Cinca / Baix Cinca
2015	Mujeres	55-59	9	11	Bajo Cinca / Baix Cinca
2015	Mujeres	20-24	1	12	Tarazona y el Moncayo
2015	Mujeres	35-39	2	12	Tarazona y el Moncayo
2015	Mujeres	40-44	1	12	Tarazona y el Moncayo
2015	Mujeres	45-49	6	12	Tarazona y el Moncayo
2015	Mujeres	50-54	5	12	Tarazona y el Moncayo
2015	Mujeres	55-59	3	12	Tarazona y el Moncayo
2015	Mujeres	60-64	3	12	Tarazona y el Moncayo
2015	Mujeres	16-19	1	13	Campo de Borja
2015	Mujeres	25-29	4	13	Campo de Borja
2015	Mujeres	35-39	9	13	Campo de Borja
2015	Mujeres	40-44	5	13	Campo de Borja
2015	Mujeres	45-49	4	13	Campo de Borja
2015	Mujeres	50-54	6	13	Campo de Borja
2015	Mujeres	55-59	8	13	Campo de Borja
2015	Mujeres	60-64	2	13	Campo de Borja
2015	Mujeres	25-29	1	14	Aranda
2015	Mujeres	35-39	1	14	Aranda
2015	Mujeres	40-44	3	14	Aranda
2015	Mujeres	45-49	5	14	Aranda
2015	Mujeres	50-54	3	14	Aranda
2015	Mujeres	55-59	1	14	Aranda
2015	Mujeres	20-24	4	15	Ribera Alta del Ebro
2015	Mujeres	25-29	10	15	Ribera Alta del Ebro
2015	Mujeres	30-34	12	15	Ribera Alta del Ebro
2015	Mujeres	35-39	15	15	Ribera Alta del Ebro
2015	Mujeres	40-44	19	15	Ribera Alta del Ebro
2015	Mujeres	45-49	9	15	Ribera Alta del Ebro
2015	Mujeres	50-54	11	15	Ribera Alta del Ebro
2015	Mujeres	55-59	6	15	Ribera Alta del Ebro
2015	Mujeres	60-64	4	15	Ribera Alta del Ebro
2015	Mujeres	16-19	1	16	Valdejalón
2015	Mujeres	20-24	3	16	Valdejalón
2015	Mujeres	25-29	8	16	Valdejalón
2015	Mujeres	30-34	19	16	Valdejalón
2015	Mujeres	35-39	18	16	Valdejalón
2015	Mujeres	40-44	16	16	Valdejalón
2015	Mujeres	45-49	19	16	Valdejalón
2015	Mujeres	50-54	20	16	Valdejalón
2015	Mujeres	55-59	6	16	Valdejalón
2015	Mujeres	60-64	2	16	Valdejalón
2015	Mujeres	16-19	6	17	D.C. Zaragoza
2015	Mujeres	20-24	95	17	D.C. Zaragoza
2015	Mujeres	25-29	181	17	D.C. Zaragoza
2015	Mujeres	30-34	270	17	D.C. Zaragoza
2015	Mujeres	35-39	327	17	D.C. Zaragoza
2015	Mujeres	40-44	311	17	D.C. Zaragoza
2015	Mujeres	45-49	307	17	D.C. Zaragoza
2015	Mujeres	50-54	376	17	D.C. Zaragoza
2015	Mujeres	55-59	301	17	D.C. Zaragoza
2015	Mujeres	60-64	156	17	D.C. Zaragoza
2015	Mujeres	Más de 64	9	17	D.C. Zaragoza
2015	Mujeres	20-24	1	18	Ribera Baja del Ebro
2015	Mujeres	25-29	5	18	Ribera Baja del Ebro
2015	Mujeres	30-34	4	18	Ribera Baja del Ebro
2015	Mujeres	35-39	3	18	Ribera Baja del Ebro
2015	Mujeres	40-44	1	18	Ribera Baja del Ebro
2015	Mujeres	45-49	8	18	Ribera Baja del Ebro
2015	Mujeres	50-54	1	18	Ribera Baja del Ebro
2015	Mujeres	55-59	2	18	Ribera Baja del Ebro
2015	Mujeres	60-64	2	18	Ribera Baja del Ebro
2015	Mujeres	Más de 64	1	18	Ribera Baja del Ebro
2015	Mujeres	16-19	1	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	20-24	2	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	25-29	6	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	30-34	2	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	35-39	5	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	40-44	9	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	45-49	3	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	50-54	6	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	55-59	3	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	60-64	3	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	Más de 64	1	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2015	Mujeres	20-24	8	20	Comunidad de Calatayud
2015	Mujeres	25-29	11	20	Comunidad de Calatayud
2015	Mujeres	30-34	12	20	Comunidad de Calatayud
2015	Mujeres	35-39	10	20	Comunidad de Calatayud
2015	Mujeres	40-44	9	20	Comunidad de Calatayud
2015	Mujeres	45-49	12	20	Comunidad de Calatayud
2015	Mujeres	50-54	14	20	Comunidad de Calatayud
2015	Mujeres	55-59	7	20	Comunidad de Calatayud
2015	Mujeres	60-64	4	20	Comunidad de Calatayud
2015	Mujeres	20-24	1	21	Campo de Cariñena
2015	Mujeres	30-34	3	21	Campo de Cariñena
2015	Mujeres	35-39	2	21	Campo de Cariñena
2015	Mujeres	40-44	5	21	Campo de Cariñena
2015	Mujeres	45-49	4	21	Campo de Cariñena
2015	Mujeres	50-54	5	21	Campo de Cariñena
2015	Mujeres	55-59	1	21	Campo de Cariñena
2015	Mujeres	60-64	3	21	Campo de Cariñena
2015	Mujeres	20-24	1	22	Campo de Belchite
2015	Mujeres	35-39	2	22	Campo de Belchite
2015	Mujeres	40-44	2	22	Campo de Belchite
2015	Mujeres	20-24	1	23	Bajo Martín
2015	Mujeres	30-34	1	23	Bajo Martín
2015	Mujeres	35-39	1	23	Bajo Martín
2015	Mujeres	40-44	3	23	Bajo Martín
2015	Mujeres	50-54	1	23	Bajo Martín
2015	Mujeres	20-24	2	24	Campo de Daroca
2015	Mujeres	30-34	1	24	Campo de Daroca
2015	Mujeres	35-39	1	24	Campo de Daroca
2015	Mujeres	40-44	2	24	Campo de Daroca
2015	Mujeres	45-49	1	24	Campo de Daroca
2015	Mujeres	50-54	1	24	Campo de Daroca
2015	Mujeres	25-29	4	25	Jiloca
2015	Mujeres	35-39	1	25	Jiloca
2015	Mujeres	45-49	2	25	Jiloca
2015	Mujeres	50-54	2	25	Jiloca
2015	Mujeres	55-59	2	25	Jiloca
2015	Mujeres	20-24	1	26	Cuencas Mineras
2015	Mujeres	25-29	3	26	Cuencas Mineras
2015	Mujeres	30-34	4	26	Cuencas Mineras
2015	Mujeres	35-39	6	26	Cuencas Mineras
2015	Mujeres	40-44	3	26	Cuencas Mineras
2015	Mujeres	45-49	3	26	Cuencas Mineras
2015	Mujeres	50-54	2	26	Cuencas Mineras
2015	Mujeres	55-59	1	26	Cuencas Mineras
2015	Mujeres	20-24	1	27	Andorra-Sierra de Arcos
2015	Mujeres	25-29	1	27	Andorra-Sierra de Arcos
2015	Mujeres	30-34	4	27	Andorra-Sierra de Arcos
2015	Mujeres	35-39	2	27	Andorra-Sierra de Arcos
2015	Mujeres	40-44	2	27	Andorra-Sierra de Arcos
2015	Mujeres	45-49	1	27	Andorra-Sierra de Arcos
2015	Mujeres	50-54	4	27	Andorra-Sierra de Arcos
2015	Mujeres	55-59	1	27	Andorra-Sierra de Arcos
2015	Mujeres	60-64	1	27	Andorra-Sierra de Arcos
2015	Mujeres	20-24	2	28	Bajo Aragón
2015	Mujeres	25-29	3	28	Bajo Aragón
2015	Mujeres	30-34	9	28	Bajo Aragón
2015	Mujeres	35-39	2	28	Bajo Aragón
2015	Mujeres	40-44	4	28	Bajo Aragón
2015	Mujeres	45-49	8	28	Bajo Aragón
2015	Mujeres	50-54	4	28	Bajo Aragón
2015	Mujeres	55-59	7	28	Bajo Aragón
2015	Mujeres	60-64	2	28	Bajo Aragón
2015	Mujeres	20-24	6	29	Comunidad de Teruel
2015	Mujeres	25-29	9	29	Comunidad de Teruel
2015	Mujeres	30-34	11	29	Comunidad de Teruel
2015	Mujeres	35-39	9	29	Comunidad de Teruel
2015	Mujeres	40-44	8	29	Comunidad de Teruel
2015	Mujeres	45-49	24	29	Comunidad de Teruel
2015	Mujeres	50-54	19	29	Comunidad de Teruel
2015	Mujeres	55-59	13	29	Comunidad de Teruel
2015	Mujeres	60-64	8	29	Comunidad de Teruel
2015	Mujeres	20-24	1	31	Sierra de Albarracín
2015	Mujeres	40-44	2	31	Sierra de Albarracín
2015	Mujeres	45-49	2	31	Sierra de Albarracín
2015	Mujeres	55-59	1	31	Sierra de Albarracín
2015	Mujeres	Más de 64	1	31	Sierra de Albarracín
2015	Mujeres	16-19	1	32	Gúdar-Javalambre
2015	Mujeres	20-24	1	32	Gúdar-Javalambre
2015	Mujeres	25-29	1	32	Gúdar-Javalambre
2015	Mujeres	30-34	1	32	Gúdar-Javalambre
2015	Mujeres	35-39	3	32	Gúdar-Javalambre
2015	Mujeres	40-44	3	32	Gúdar-Javalambre
2015	Mujeres	45-49	4	32	Gúdar-Javalambre
2015	Mujeres	50-54	2	32	Gúdar-Javalambre
2015	Mujeres	55-59	1	32	Gúdar-Javalambre
2015	Mujeres	35-39	1	33	Matarraña / Matarranya
2015	Mujeres	45-49	1	33	Matarraña / Matarranya
2015	Mujeres	50-54	1	33	Matarraña / Matarranya
2015	Mujeres	60-64	1	33	Matarraña / Matarranya
2015	Mujeres	25-29	2	NC	Municipio del centro de trabajo fuera de Aragón
2015	Mujeres	30-34	4	NC	Municipio del centro de trabajo fuera de Aragón
2015	Mujeres	35-39	1	NC	Municipio del centro de trabajo fuera de Aragón
2015	Mujeres	40-44	1	NC	Municipio del centro de trabajo fuera de Aragón
2015	Mujeres	45-49	2	NC	Municipio del centro de trabajo fuera de Aragón
2014	Hombres	20-24	3	01	La Jacetania
2014	Hombres	25-29	4	01	La Jacetania
2014	Hombres	30-34	15	01	La Jacetania
2014	Hombres	35-39	13	01	La Jacetania
2014	Hombres	40-44	13	01	La Jacetania
2014	Hombres	45-49	10	01	La Jacetania
2014	Hombres	50-54	12	01	La Jacetania
2014	Hombres	55-59	5	01	La Jacetania
2014	Hombres	60-64	4	01	La Jacetania
2014	Hombres	16-19	1	02	Alto Gállego
2014	Hombres	20-24	3	02	Alto Gállego
2014	Hombres	25-29	5	02	Alto Gállego
2014	Hombres	30-34	11	02	Alto Gállego
2014	Hombres	35-39	13	02	Alto Gállego
2014	Hombres	40-44	14	02	Alto Gállego
2014	Hombres	45-49	10	02	Alto Gállego
2014	Hombres	50-54	7	02	Alto Gállego
2014	Hombres	55-59	9	02	Alto Gállego
2014	Hombres	60-64	2	02	Alto Gállego
2014	Hombres	Más de 64	1	02	Alto Gállego
2014	Hombres	25-29	5	03	Sobrarbe
2014	Hombres	30-34	7	03	Sobrarbe
2014	Hombres	35-39	4	03	Sobrarbe
2014	Hombres	40-44	2	03	Sobrarbe
2014	Hombres	45-49	4	03	Sobrarbe
2014	Hombres	50-54	7	03	Sobrarbe
2014	Hombres	60-64	1	03	Sobrarbe
2014	Hombres	20-24	5	04	La Ribagorza
2014	Hombres	25-29	8	04	La Ribagorza
2014	Hombres	30-34	14	04	La Ribagorza
2014	Hombres	35-39	11	04	La Ribagorza
2014	Hombres	40-44	14	04	La Ribagorza
2014	Hombres	45-49	13	04	La Ribagorza
2014	Hombres	50-54	7	04	La Ribagorza
2014	Hombres	55-59	6	04	La Ribagorza
2014	Hombres	60-64	1	04	La Ribagorza
2014	Hombres	16-19	2	05	Cinco Villas
2014	Hombres	20-24	17	05	Cinco Villas
2014	Hombres	25-29	23	05	Cinco Villas
2014	Hombres	30-34	37	05	Cinco Villas
2014	Hombres	35-39	28	05	Cinco Villas
2014	Hombres	40-44	41	05	Cinco Villas
2014	Hombres	45-49	30	05	Cinco Villas
2014	Hombres	50-54	18	05	Cinco Villas
2014	Hombres	55-59	20	05	Cinco Villas
2014	Hombres	60-64	6	05	Cinco Villas
2014	Hombres	16-19	3	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	20-24	24	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	25-29	44	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	30-34	76	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	35-39	72	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	40-44	59	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	45-49	61	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	50-54	62	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	55-59	39	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	60-64	23	06	Hoya de Huesca / Plana de Uesca
2014	Hombres	20-24	13	07	Somontano de Barbastro
2014	Hombres	25-29	22	07	Somontano de Barbastro
2014	Hombres	30-34	23	07	Somontano de Barbastro
2014	Hombres	35-39	24	07	Somontano de Barbastro
2014	Hombres	40-44	19	07	Somontano de Barbastro
2014	Hombres	45-49	15	07	Somontano de Barbastro
2014	Hombres	50-54	18	07	Somontano de Barbastro
2014	Hombres	55-59	20	07	Somontano de Barbastro
2014	Hombres	60-64	4	07	Somontano de Barbastro
2014	Hombres	16-19	1	08	Cinca Medio
2014	Hombres	20-24	16	08	Cinca Medio
2014	Hombres	25-29	22	08	Cinca Medio
2014	Hombres	30-34	28	08	Cinca Medio
2014	Hombres	35-39	31	08	Cinca Medio
2014	Hombres	40-44	29	08	Cinca Medio
2014	Hombres	45-49	39	08	Cinca Medio
2014	Hombres	50-54	23	08	Cinca Medio
2014	Hombres	55-59	18	08	Cinca Medio
2014	Hombres	60-64	4	08	Cinca Medio
2014	Hombres	16-19	1	09	La Litera / La Llitera
2014	Hombres	20-24	12	09	La Litera / La Llitera
2014	Hombres	25-29	19	09	La Litera / La Llitera
2014	Hombres	30-34	30	09	La Litera / La Llitera
2014	Hombres	35-39	32	09	La Litera / La Llitera
2014	Hombres	40-44	18	09	La Litera / La Llitera
2014	Hombres	45-49	20	09	La Litera / La Llitera
2014	Hombres	50-54	22	09	La Litera / La Llitera
2014	Hombres	55-59	12	09	La Litera / La Llitera
2014	Hombres	60-64	6	09	La Litera / La Llitera
2014	Hombres	Más de 64	1	09	La Litera / La Llitera
2014	Hombres	20-24	8	10	Los Monegros
2014	Hombres	25-29	9	10	Los Monegros
2014	Hombres	30-34	20	10	Los Monegros
2014	Hombres	35-39	18	10	Los Monegros
2014	Hombres	40-44	24	10	Los Monegros
2014	Hombres	45-49	10	10	Los Monegros
2014	Hombres	50-54	10	10	Los Monegros
2014	Hombres	55-59	3	10	Los Monegros
2014	Hombres	60-64	1	10	Los Monegros
2014	Hombres	16-19	6	11	Bajo Cinca / Baix Cinca
2014	Hombres	20-24	15	11	Bajo Cinca / Baix Cinca
2014	Hombres	25-29	28	11	Bajo Cinca / Baix Cinca
2014	Hombres	30-34	35	11	Bajo Cinca / Baix Cinca
2014	Hombres	35-39	46	11	Bajo Cinca / Baix Cinca
2014	Hombres	40-44	42	11	Bajo Cinca / Baix Cinca
2014	Hombres	45-49	26	11	Bajo Cinca / Baix Cinca
2014	Hombres	50-54	25	11	Bajo Cinca / Baix Cinca
2014	Hombres	55-59	14	11	Bajo Cinca / Baix Cinca
2014	Hombres	60-64	4	11	Bajo Cinca / Baix Cinca
2014	Hombres	Más de 64	1	11	Bajo Cinca / Baix Cinca
2014	Hombres	20-24	6	12	Tarazona y el Moncayo
2014	Hombres	25-29	6	12	Tarazona y el Moncayo
2014	Hombres	30-34	7	12	Tarazona y el Moncayo
2014	Hombres	35-39	12	12	Tarazona y el Moncayo
2014	Hombres	40-44	5	12	Tarazona y el Moncayo
2014	Hombres	45-49	2	12	Tarazona y el Moncayo
2014	Hombres	50-54	7	12	Tarazona y el Moncayo
2014	Hombres	55-59	7	12	Tarazona y el Moncayo
2014	Hombres	60-64	1	12	Tarazona y el Moncayo
2014	Hombres	16-19	2	13	Campo de Borja
2014	Hombres	20-24	1	13	Campo de Borja
2014	Hombres	25-29	3	13	Campo de Borja
2014	Hombres	30-34	15	13	Campo de Borja
2014	Hombres	35-39	17	13	Campo de Borja
2014	Hombres	40-44	19	13	Campo de Borja
2014	Hombres	45-49	12	13	Campo de Borja
2014	Hombres	50-54	10	13	Campo de Borja
2014	Hombres	55-59	8	13	Campo de Borja
2014	Hombres	60-64	1	13	Campo de Borja
2014	Hombres	20-24	2	14	Aranda
2014	Hombres	25-29	2	14	Aranda
2014	Hombres	30-34	3	14	Aranda
2014	Hombres	35-39	3	14	Aranda
2014	Hombres	40-44	3	14	Aranda
2014	Hombres	45-49	8	14	Aranda
2014	Hombres	50-54	7	14	Aranda
2014	Hombres	55-59	3	14	Aranda
2014	Hombres	60-64	1	14	Aranda
2014	Hombres	16-19	2	15	Ribera Alta del Ebro
2014	Hombres	20-24	15	15	Ribera Alta del Ebro
2014	Hombres	25-29	27	15	Ribera Alta del Ebro
2014	Hombres	30-34	51	15	Ribera Alta del Ebro
2014	Hombres	35-39	49	15	Ribera Alta del Ebro
2014	Hombres	40-44	67	15	Ribera Alta del Ebro
2014	Hombres	45-49	51	15	Ribera Alta del Ebro
2014	Hombres	50-54	46	15	Ribera Alta del Ebro
2014	Hombres	55-59	28	15	Ribera Alta del Ebro
2014	Hombres	60-64	19	15	Ribera Alta del Ebro
2014	Hombres	20-24	23	16	Valdejalón
2014	Hombres	25-29	42	16	Valdejalón
2014	Hombres	30-34	55	16	Valdejalón
2014	Hombres	35-39	67	16	Valdejalón
2014	Hombres	40-44	59	16	Valdejalón
2014	Hombres	45-49	36	16	Valdejalón
2014	Hombres	50-54	31	16	Valdejalón
2014	Hombres	55-59	21	16	Valdejalón
2014	Hombres	60-64	8	16	Valdejalón
2014	Hombres	16-19	13	17	D.C. Zaragoza
2014	Hombres	20-24	184	17	D.C. Zaragoza
2014	Hombres	25-29	405	17	D.C. Zaragoza
2014	Hombres	30-34	536	17	D.C. Zaragoza
2014	Hombres	35-39	783	17	D.C. Zaragoza
2014	Hombres	40-44	646	17	D.C. Zaragoza
2014	Hombres	45-49	475	17	D.C. Zaragoza
2014	Hombres	50-54	391	17	D.C. Zaragoza
2014	Hombres	55-59	307	17	D.C. Zaragoza
2014	Hombres	60-64	125	17	D.C. Zaragoza
2014	Hombres	Más de 64	6	17	D.C. Zaragoza
2014	Hombres	16-19	1	18	Ribera Baja del Ebro
2014	Hombres	20-24	3	18	Ribera Baja del Ebro
2014	Hombres	25-29	7	18	Ribera Baja del Ebro
2014	Hombres	30-34	8	18	Ribera Baja del Ebro
2014	Hombres	35-39	10	18	Ribera Baja del Ebro
2014	Hombres	40-44	17	18	Ribera Baja del Ebro
2014	Hombres	45-49	3	18	Ribera Baja del Ebro
2014	Hombres	50-54	5	18	Ribera Baja del Ebro
2014	Hombres	55-59	4	18	Ribera Baja del Ebro
2014	Hombres	16-19	2	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	20-24	3	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	25-29	6	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	30-34	10	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	35-39	16	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	40-44	11	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	45-49	10	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	50-54	5	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	55-59	5	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	60-64	2	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2014	Hombres	16-19	2	20	Comunidad de Calatayud
2014	Hombres	20-24	9	20	Comunidad de Calatayud
2014	Hombres	25-29	21	20	Comunidad de Calatayud
2014	Hombres	30-34	22	20	Comunidad de Calatayud
2014	Hombres	35-39	21	20	Comunidad de Calatayud
2014	Hombres	40-44	27	20	Comunidad de Calatayud
2014	Hombres	45-49	18	20	Comunidad de Calatayud
2014	Hombres	50-54	14	20	Comunidad de Calatayud
2014	Hombres	55-59	19	20	Comunidad de Calatayud
2014	Hombres	60-64	10	20	Comunidad de Calatayud
2014	Hombres	Más de 64	2	20	Comunidad de Calatayud
2014	Hombres	16-19	1	21	Campo de Cariñena
2014	Hombres	20-24	9	21	Campo de Cariñena
2014	Hombres	25-29	11	21	Campo de Cariñena
2014	Hombres	30-34	11	21	Campo de Cariñena
2014	Hombres	35-39	17	21	Campo de Cariñena
2014	Hombres	40-44	6	21	Campo de Cariñena
2014	Hombres	45-49	11	21	Campo de Cariñena
2014	Hombres	50-54	9	21	Campo de Cariñena
2014	Hombres	55-59	6	21	Campo de Cariñena
2014	Hombres	60-64	6	21	Campo de Cariñena
2014	Hombres	20-24	1	22	Campo de Belchite
2014	Hombres	25-29	2	22	Campo de Belchite
2014	Hombres	30-34	1	22	Campo de Belchite
2014	Hombres	40-44	2	22	Campo de Belchite
2014	Hombres	45-49	1	22	Campo de Belchite
2014	Hombres	50-54	4	22	Campo de Belchite
2014	Hombres	55-59	1	22	Campo de Belchite
2014	Hombres	60-64	3	22	Campo de Belchite
2014	Hombres	20-24	1	23	Bajo Martín
2014	Hombres	25-29	5	23	Bajo Martín
2014	Hombres	30-34	7	23	Bajo Martín
2014	Hombres	35-39	10	23	Bajo Martín
2014	Hombres	40-44	8	23	Bajo Martín
2014	Hombres	45-49	7	23	Bajo Martín
2014	Hombres	50-54	7	23	Bajo Martín
2014	Hombres	55-59	5	23	Bajo Martín
2014	Hombres	60-64	6	23	Bajo Martín
2014	Hombres	20-24	3	24	Campo de Daroca
2014	Hombres	25-29	8	24	Campo de Daroca
2014	Hombres	30-34	9	24	Campo de Daroca
2014	Hombres	35-39	5	24	Campo de Daroca
2014	Hombres	40-44	9	24	Campo de Daroca
2014	Hombres	45-49	4	24	Campo de Daroca
2014	Hombres	50-54	3	24	Campo de Daroca
2014	Hombres	55-59	3	24	Campo de Daroca
2014	Hombres	60-64	2	24	Campo de Daroca
2014	Hombres	16-19	1	25	Jiloca
2014	Hombres	20-24	5	25	Jiloca
2014	Hombres	25-29	5	25	Jiloca
2014	Hombres	30-34	14	25	Jiloca
2014	Hombres	35-39	13	25	Jiloca
2014	Hombres	40-44	12	25	Jiloca
