Mes y año	Mes (código)	Sexo	UE28-UE27-UE25	UE28	UE27	UE25	Número de contratos	CCAA nombre
Noviembre 2014	201411	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2277	Aragón
Noviembre 2014	201411	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	12798	Aragón
Noviembre 2014	201411	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1323	Aragón
Noviembre 2014	201411	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	160	Aragón
Noviembre 2014	201411	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1286	Aragón
Noviembre 2014	201411	Mujeres	No consta	No consta	No consta	No consta	2	Aragón
Octubre 2014	201410	Hombres	Españoles	Españoles	Españoles	ESPAÑA	18282	Aragón
Octubre 2014	201410	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2028	Aragón
Octubre 2014	201410	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	245	Aragón
Octubre 2014	201410	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Octubre 2014	201410	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2794	Aragón
Octubre 2014	201410	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	16683	Aragón
Octubre 2014	201410	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1625	Aragón
Octubre 2014	201410	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	290	Aragón
Octubre 2014	201410	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1615	Aragón
Septiembre 2014	201409	Hombres	Españoles	Españoles	Españoles	ESPAÑA	18928	Aragón
Septiembre 2014	201409	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2708	Aragón
Septiembre 2014	201409	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	289	Aragón
Septiembre 2014	201409	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Septiembre 2014	201409	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	4192	Aragón
Septiembre 2014	201409	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	16480	Aragón
Septiembre 2014	201409	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2098	Aragón
Septiembre 2014	201409	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	318	Aragón
Septiembre 2014	201409	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Septiembre 2014	201409	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1550	Aragón
Agosto 2014	201408	Hombres	Españoles	Españoles	Españoles	ESPAÑA	14571	Aragón
Agosto 2014	201408	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2678	Aragón
Agosto 2014	201408	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	210	Aragón
Agosto 2014	201408	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	4063	Aragón
Agosto 2014	201408	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	11605	Aragón
Agosto 2014	201408	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1909	Aragón
Agosto 2014	201408	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	246	Aragón
Agosto 2014	201408	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Agosto 2014	201408	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1578	Aragón
Julio 2014	201407	Hombres	Españoles	Españoles	Españoles	ESPAÑA	19473	Aragón
Julio 2014	201407	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3245	Aragón
Julio 2014	201407	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	350	Aragón
Julio 2014	201407	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	5203	Aragón
Julio 2014	201407	Hombres	No consta	No consta	No consta	No consta	2	Aragón
Julio 2014	201407	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	16962	Aragón
Julio 2014	201407	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2559	Aragón
Julio 2014	201407	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	379	Aragón
Julio 2014	201407	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Julio 2014	201407	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1747	Aragón
Junio 2014	201406	Hombres	Españoles	Españoles	Españoles	ESPAÑA	17909	Aragón
Junio 2014	201406	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3932	Aragón
Junio 2014	201406	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	271	Aragón
Junio 2014	201406	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	5558	Aragón
Junio 2014	201406	Hombres	No consta	No consta	No consta	No consta	2	Aragón
Junio 2014	201406	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	14938	Aragón
Junio 2014	201406	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3431	Aragón
Junio 2014	201406	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	397	Aragón
Junio 2014	201406	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1852	Aragón
Mayo 2014	201405	Hombres	Españoles	Españoles	Españoles	ESPAÑA	17020	Aragón
Mayo 2014	201405	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	4102	Aragón
Mayo 2014	201405	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	344	Aragón
Mayo 2014	201405	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	6738	Aragón
Mayo 2014	201405	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Mayo 2014	201405	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	14117	Aragón
Mayo 2014	201405	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	3759	Aragón
Mayo 2014	201405	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	441	Aragón
Mayo 2014	201405	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1725	Aragón
Mayo 2014	201405	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Abril 2014	201404	Hombres	Españoles	Españoles	Españoles	ESPAÑA	13898	Aragón
Abril 2014	201404	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1802	Aragón
Abril 2014	201404	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	273	Aragón
Abril 2014	201404	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3136	Aragón
Abril 2014	201404	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	12105	Aragón
Abril 2014	201404	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1730	Aragón
Abril 2014	201404	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	248	Aragón
Abril 2014	201404	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1342	Aragón
Marzo 2014	201403	Hombres	Españoles	Españoles	Españoles	ESPAÑA	13058	Aragón
Marzo 2014	201403	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1320	Aragón
Marzo 2014	201403	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	210	Aragón
Marzo 2014	201403	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2221	Aragón
Marzo 2014	201403	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	10915	Aragón
Marzo 2014	201403	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1040	Aragón
Marzo 2014	201403	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	147	Aragón
Marzo 2014	201403	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1147	Aragón
Febrero 2014	201402	Hombres	Españoles	Españoles	Españoles	ESPAÑA	12033	Aragón
Febrero 2014	201402	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1188	Aragón
Febrero 2014	201402	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	169	Aragón
Febrero 2014	201402	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1972	Aragón
Febrero 2014	201402	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	10463	Aragón
Febrero 2014	201402	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	934	Aragón
Febrero 2014	201402	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	170	Aragón
Febrero 2014	201402	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1053	Aragón
Febrero 2014	201402	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Enero 2014	201401	Hombres	Españoles	Españoles	Españoles	ESPAÑA	13370	Aragón
Enero 2014	201401	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1255	Aragón
Enero 2014	201401	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	200	Aragón
Enero 2014	201401	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2112	Aragón
Enero 2014	201401	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Enero 2014	201401	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	11391	Aragón
Enero 2014	201401	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	903	Aragón
Enero 2014	201401	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	187	Aragón
Enero 2014	201401	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1100	Aragón
Diciembre 2013	201312	Hombres	Españoles	Españoles	Españoles	ESPAÑA	12318	Aragón
Diciembre 2013	201312	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1087	Aragón
Diciembre 2013	201312	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	165	Aragón
Diciembre 2013	201312	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1982	Aragón
Diciembre 2013	201312	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	12107	Aragón
Diciembre 2013	201312	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	887	Aragón
Diciembre 2013	201312	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	139	Aragón
Diciembre 2013	201312	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1192	Aragón
Noviembre 2013	201311	Hombres	Españoles	Españoles	Españoles	ESPAÑA	12785	Aragón
Noviembre 2013	201311	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1272	Aragón
Noviembre 2013	201311	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	187	Aragón
Noviembre 2013	201311	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2299	Aragón
Noviembre 2013	201311	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	11313	Aragón
Noviembre 2013	201311	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1029	Aragón
Noviembre 2013	201311	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	173	Aragón
Noviembre 2013	201311	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1227	Aragón
Octubre 2013	201310	Hombres	Españoles	Españoles	Españoles	ESPAÑA	16736	Aragón
Octubre 2013	201310	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2082	Aragón
Octubre 2013	201310	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	251	Aragón
Octubre 2013	201310	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	2	Aragón
Octubre 2013	201310	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3563	Aragón
Octubre 2013	201310	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	15230	Aragón
Octubre 2013	201310	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1558	Aragón
Octubre 2013	201310	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	304	Aragón
Octubre 2013	201310	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1684	Aragón
Septiembre 2013	201309	Hombres	Españoles	Españoles	Españoles	ESPAÑA	15336	Aragón
Septiembre 2013	201309	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2534	Aragón
Septiembre 2013	201309	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	282	Aragón
Septiembre 2013	201309	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	4672	Aragón
Septiembre 2013	201309	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	13976	Aragón
Septiembre 2013	201309	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1706	Aragón
Septiembre 2013	201309	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	309	Aragón
Septiembre 2013	201309	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1673	Aragón
Agosto 2013	201308	Hombres	Españoles	Españoles	Españoles	ESPAÑA	12602	Aragón
Agosto 2013	201308	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1872	Aragón
Agosto 2013	201308	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	249	Aragón
Agosto 2013	201308	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	3956	Aragón
Agosto 2013	201308	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Agosto 2013	201308	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	10301	Aragón
Agosto 2013	201308	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1496	Aragón
Agosto 2013	201308	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	261	Aragón
Agosto 2013	201308	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1473	Aragón
Agosto 2013	201308	Mujeres	No consta	No consta	No consta	No consta	1	Aragón
Julio 2013	201307	Hombres	Españoles	Españoles	Españoles	ESPAÑA	17452	Aragón
Julio 2013	201307	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2895	Aragón
Julio 2013	201307	Hombres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	362	Aragón
Julio 2013	201307	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	5118	Aragón
Julio 2013	201307	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Julio 2013	201307	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	14708	Aragón
Julio 2013	201307	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2384	Aragón
Julio 2013	201307	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	418	Aragón
Julio 2013	201307	Mujeres	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-28)	Extranjeros no comunitarios	RESTO DEL MUNDO	1	Aragón
Julio 2013	201307	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1956	Aragón
Junio 2013	201306	Hombres	Españoles	Españoles	Españoles	ESPAÑA	14184	Aragón
Junio 2013	201306	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2754	Aragón
Junio 2013	201306	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	291	Aragón
Junio 2013	201306	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	4854	Aragón
Junio 2013	201306	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	11892	Aragón
Junio 2013	201306	Mujeres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2691	Aragón
Junio 2013	201306	Mujeres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	422	Aragón
Junio 2013	201306	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1739	Aragón
Mayo 2013	201305	Hombres	Españoles	Españoles	Españoles	ESPAÑA	13579	Aragón
Mayo 2013	201305	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2897	Aragón
Mayo 2013	201305	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	295	Aragón
Mayo 2013	201305	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	5963	Aragón
Mayo 2013	201305	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Mayo 2013	201305	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	11555	Aragón
Mayo 2013	201305	Mujeres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	2717	Aragón
Mayo 2013	201305	Mujeres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	417	Aragón
Mayo 2013	201305	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1660	Aragón
Abril 2013	201304	Hombres	Españoles	Españoles	Españoles	ESPAÑA	11169	Aragón
Abril 2013	201304	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1577	Aragón
Abril 2013	201304	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	246	Aragón
Abril 2013	201304	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2585	Aragón
Abril 2013	201304	Hombres	No consta	No consta	No consta	No consta	2	Aragón
Abril 2013	201304	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	9922	Aragón
Abril 2013	201304	Mujeres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1312	Aragón
Abril 2013	201304	Mujeres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	216	Aragón
Abril 2013	201304	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1220	Aragón
Marzo 2013	201303	Hombres	Españoles	Españoles	Españoles	ESPAÑA	9392	Aragón
Marzo 2013	201303	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	1041	Aragón
Marzo 2013	201303	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	173	Aragón
Marzo 2013	201303	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	2098	Aragón
Marzo 2013	201303	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	8961	Aragón
Marzo 2013	201303	Mujeres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	874	Aragón
Marzo 2013	201303	Mujeres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	135	Aragón
Marzo 2013	201303	Mujeres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1236	Aragón
Febrero 2013	201302	Hombres	Españoles	Españoles	Españoles	ESPAÑA	8709	Aragón
Febrero 2013	201302	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	RESTO DEL MUNDO	935	Aragón
Febrero 2013	201302	Hombres	Extranjeros comunitarios (UE-27)	Extranjeros comunitarios (UE-28)	Extranjeros comunitarios (UE-27)	UNION EUROPEA	146	Aragón
Febrero 2013	201302	Hombres	Extranjeros no comunitarios	Extranjeros no comunitarios	Extranjeros no comunitarios	RESTO DEL MUNDO	1814	Aragón
Febrero 2013	201302	Hombres	No consta	No consta	No consta	No consta	1	Aragón
Febrero 2013	201302	Mujeres	Españoles	Españoles	Españoles	ESPAÑA	8250	Aragón
