Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Abril 2013	201304	Abril	2013	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	36	7773	215,916666666666666666666666666666666667
Abril 2013	201304	Abril	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	34	11776	346,352941176470588235294117647058823529
Abril 2013	201304	Abril	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	30	10155	338,5
Abril 2013	201304	Abril	2013	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	0	5	0	0
Abril 2013	201304	Abril	2013	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	1	24	1957	81,54166666666666666666666666666666666667
Abril 2013	201304	Abril	2013	50	Zaragoza	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	3	1080	360
Abril 2013	201304	Abril	2013	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Abril 2013	201304	Abril	2013	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	1	9	1620	180
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	879	0	0
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	74	7246	97,91891891891891891891891891891891891892
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	413	0	0
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	43	3072	71,44186046511627906976744186046511627907
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	900	39886	44,31777777777777777777777777777777777778
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	819	27393	33,44688644688644688644688644688644688645
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	41	0	0
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	16	723	45,1875
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	186	0	0
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	80	1970	24,625
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	4	1440	360
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	2	720	360
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	6	6563	1093,833333333333333333333333333333333333
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	1	992	992
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	2	2900	1450
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	2	2163	1081,5
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	6	2160	360
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	5	1440	288
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	3	900	300
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	2	360	180
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Marzo 2013	201303	Marzo	2013	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	1	20	860	43
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Marzo 2013	201303	Marzo	2013	22	Huesca	Mujeres	Temporal	Otros	8	Otros	Otros	1	4	46	11,5
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	349	0	0
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	52	1506	28,96153846153846153846153846153846153846
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	148	0	0
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	48	1891	39,39583333333333333333333333333333333333
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	765	18130	23,69934640522875816993464052287581699346
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	540	18608	34,45925925925925925925925925925925925926
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	35	0	0
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	14	268	19,14285714285714285714285714285714285714
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	65	0	0
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	33	551	16,6969696969696969696969696969696969697
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	5	5515	1103
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	5	4690	938
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	1	1288	1288
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	4	4568	1142
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	4	1260	315
Marzo 2013	201303	Marzo	2013	44	Teruel	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	2	360	180
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Marzo 2013	201303	Marzo	2013	44	Teruel	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	1	360	360
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	2780	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	524	24621	46,98664122137404580152671755725190839695
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	1742	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	450	21302	47,33777777777777777777777777777777777778
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	4171	153334	36,76192759530088707743946295852313593862
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	2	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	3411	165187	48,42773380240398710055702140134857812958
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	380	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	165	3088	18,71515151515151515151515151515151515152
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	997	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	693	11058	15,95670995670995670995670995670995670996
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	18	6481	360,055555555555555555555555555555555556
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	13	4333	333,307692307692307692307692307692307692
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	9	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	48	60944	1269,666666666666666666666666666666666667
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	31	36526	1178,258064516129032258064516129032258065
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	1	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	2	720	360
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	4	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	22	28243	1283,772727272727272727272727272727272727
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	23	28793	1251,86956521739130434782608695652173913
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	2	720	360
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	20	6281	314,05
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	28	8092	289
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	12	3780	315
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	25	7950	318
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	0	2	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	1	28	4251	151,821428571428571428571428571428571429
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	2	720	360
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	0	5	0	0
Marzo 2013	201303	Marzo	2013	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	1	15	2346	156,4
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	749	0	0
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	44	2235	50,79545454545454545454545454545454545455
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	360	0	0
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	34	2834	83,35294117647058823529411764705882352941
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	805	39280	48,79503105590062111801242236024844720497
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	716	27943	39,02653631284916201117318435754189944134
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	57	0	0
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	24	710	29,58333333333333333333333333333333333333
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	179	0	0
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	95	2807	29,54736842105263157894736842105263157895
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	3	1080	360
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	3	4119	1373
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	4	3710	927,5
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	7	2880	411,428571428571428571428571428571428571
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	6	1260	210
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	5	1440	288
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	7	2176	310,857142857142857142857142857142857143
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	0	2	0	0
Febrero 2013	201302	Febrero	2013	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	1	8	359	44,875
Febrero 2013	201302	Febrero	2013	22	Huesca	Mujeres	Temporal	Otros	8	Otros	Otros	1	1	360	360
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	294	0	0
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	33	2413	73,12121212121212121212121212121212121212
Febrero 2013	201302	Febrero	2013	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	126	0	0
Febrero 2013	201302	Febrero	2013	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	29	3022	104,206896551724137931034482758620689655
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	606	15273	25,2029702970297029702970297029702970297
Febrero 2013	201302	Febrero	2013	44	Teruel	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	356	11211	31,49157303370786516853932584269662921348
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	33	0	0
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	5	48	9,6
Febrero 2013	201302	Febrero	2013	44	Teruel	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	76	0	0
Febrero 2013	201302	Febrero	2013	44	Teruel	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	31	1503	48,48387096774193548387096774193548387097
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	2	720	360
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	1	1055	1055
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	2	1600	800
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Febrero 2013	201302	Febrero	2013	44	Teruel	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	3	540	180
Febrero 2013	201302	Febrero	2013	44	Teruel	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	720	720
Febrero 2013	201302	Febrero	2013	44	Teruel	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	8	2011	251,375
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	2810	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	520	30700	59,03846153846153846153846153846153846154
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	1616	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	460	28323	61,57173913043478260869565217391304347826
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	3701	144541	39,05457984328559848689543366657660091867
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	3027	134847	44,54806739345887016848364717542120911794
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	387	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	195	3947	20,24102564102564102564102564102564102564
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	1133	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	653	12394	18,98009188361408882082695252679938744257
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	9	3240	360
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	8	2710	338,75
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	3	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	27	35975	1332,407407407407407407407407407407407407
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	24	23481	978,375
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	1	360	360
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	2	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	10	14377	1437,7
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	16	20558	1284,875
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	15	5329	355,266666666666666666666666666666666667
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	32	9331	291,59375
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	9	2700	300
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	43	14251	331,418604651162790697674418604651162791
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	0	4	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	1	32	3736	116,75
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	0	3	0	0
Febrero 2013	201302	Febrero	2013	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	1	16	1705	106,5625
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	878	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	42	4683	111,5
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	517	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	58	6087	104,948275862068965517241379310344827586
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	884	45797	51,80656108597285067873303167420814479638
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	817	35418	43,3512851897184822521419828641370869033
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	60	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	11	123	11,18181818181818181818181818181818181818
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	197	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	140	3510	25,07142857142857142857142857142857142857
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	4	1180	295
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	1	360	360
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	11	14443	1313
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	6	6413	1068,833333333333333333333333333333333333
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	1	1267	1267
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	1	493	493
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	0	1	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	5	1800	360
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	6	1080	180
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	4	2160	540
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	6	1080	180
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	0	2	0	0
Enero 2013	201301	Enero	2013	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	1	10	348	34,8
Enero 2013	201301	Enero	2013	22	Huesca	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Enero 2013	201301	Enero	2013	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	355	0	0
Enero 2013	201301	Enero	2013	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	17	1155	67,94117647058823529411764705882352941176
Enero 2013	201301	Enero	2013	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	159	0	0
Enero 2013	201301	Enero	2013	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	31	3251	104,870967741935483870967741935483870968
Enero 2013	201301	Enero	2013	44	Teruel	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	786	27336	34,77862595419847328244274809160305343511
Enero 2013	201301	Enero	2013	44	Teruel	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	366	13941	38,09016393442622950819672131147540983607
Enero 2013	201301	Enero	2013	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	33	0	0
