Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Temporalidad	Sexo	Afiliaciones en alta
201306	Junio 2013	22	Huesca	Sin clasificar	Mujeres	3887
201306	Junio 2013	44	Teruel	Sin clasificar	Hombres	2102
201306	Junio 2013	44	Teruel	Sin clasificar	Mujeres	2764
201306	Junio 2013	50	Zaragoza	Sin clasificar	Hombres	11944
201306	Junio 2013	50	Zaragoza	Sin clasificar	Mujeres	16280
201309	Septiembre 2013	22	Huesca	Sin clasificar	Hombres	3280
201309	Septiembre 2013	22	Huesca	Sin clasificar	Mujeres	3844
201309	Septiembre 2013	44	Teruel	Sin clasificar	Hombres	2051
201309	Septiembre 2013	44	Teruel	Sin clasificar	Mujeres	2751
201309	Septiembre 2013	50	Zaragoza	Sin clasificar	Hombres	11797
201309	Septiembre 2013	50	Zaragoza	Sin clasificar	Mujeres	16201
201312	Diciembre 2013	22	Huesca	Sin clasificar	Hombres	3388
201312	Diciembre 2013	22	Huesca	Sin clasificar	Mujeres	4044
201312	Diciembre 2013	44	Teruel	Sin clasificar	Hombres	2065
201312	Diciembre 2013	44	Teruel	Sin clasificar	Mujeres	2857
201312	Diciembre 2013	50	Zaragoza	Sin clasificar	Hombres	12092
201312	Diciembre 2013	50	Zaragoza	Sin clasificar	Mujeres	16570
201403	Marzo 2014	22	Huesca	Sin clasificar	Hombres	3257
201403	Marzo 2014	22	Huesca	Sin clasificar	Mujeres	3937
201403	Marzo 2014	44	Teruel	Sin clasificar	Hombres	2039
201403	Marzo 2014	44	Teruel	Sin clasificar	Mujeres	2836
201403	Marzo 2014	50	Zaragoza	Sin clasificar	Hombres	11922
201403	Marzo 2014	50	Zaragoza	Sin clasificar	Mujeres	16602
201406	Junio 2014	22	Huesca	Sin clasificar	Hombres	3083
201406	Junio 2014	22	Huesca	Sin clasificar	Mujeres	3877
201406	Junio 2014	44	Teruel	Sin clasificar	Hombres	1964
201406	Junio 2014	44	Teruel	Sin clasificar	Mujeres	2833
201406	Junio 2014	50	Zaragoza	Sin clasificar	Hombres	11676
201406	Junio 2014	50	Zaragoza	Sin clasificar	Mujeres	16468
201409	Septiembre 2014	22	Huesca	Sin clasificar	Hombres	3207
201409	Septiembre 2014	22	Huesca	Sin clasificar	Mujeres	3913
201409	Septiembre 2014	44	Teruel	Sin clasificar	Hombres	1990
201409	Septiembre 2014	44	Teruel	Sin clasificar	Mujeres	2830
201409	Septiembre 2014	50	Zaragoza	Sin clasificar	Hombres	11675
201409	Septiembre 2014	50	Zaragoza	Sin clasificar	Mujeres	16444
201412	Diciembre 2014	22	Huesca	Sin clasificar	Hombres	3277
201412	Diciembre 2014	22	Huesca	Sin clasificar	Mujeres	4102
201412	Diciembre 2014	44	Teruel	Sin clasificar	Hombres	2012
201412	Diciembre 2014	44	Teruel	Sin clasificar	Mujeres	2912
201412	Diciembre 2014	50	Zaragoza	Sin clasificar	Hombres	11945
201412	Diciembre 2014	50	Zaragoza	Sin clasificar	Mujeres	16752
201503	Marzo 2015	22	Huesca	Sin clasificar	Hombres	3188
201503	Marzo 2015	22	Huesca	Sin clasificar	Mujeres	4036
201503	Marzo 2015	44	Teruel	Sin clasificar	Hombres	2026
201503	Marzo 2015	44	Teruel	Sin clasificar	Mujeres	2920
201503	Marzo 2015	50	Zaragoza	Sin clasificar	Hombres	11882
201503	Marzo 2015	50	Zaragoza	Sin clasificar	Mujeres	16751
201506	Junio 2015	22	Huesca	Sin clasificar	Hombres	2959
201506	Junio 2015	22	Huesca	Sin clasificar	Mujeres	3908
201506	Junio 2015	44	Teruel	Sin clasificar	Hombres	1973
201506	Junio 2015	44	Teruel	Sin clasificar	Mujeres	2874
201506	Junio 2015	50	Zaragoza	Sin clasificar	Hombres	11418
201506	Junio 2015	50	Zaragoza	Sin clasificar	Mujeres	16458
201509	Septiembre 2015	22	Huesca	Sin clasificar	Hombres	3021
201509	Septiembre 2015	22	Huesca	Sin clasificar	Mujeres	4040
201509	Septiembre 2015	44	Teruel	Sin clasificar	Hombres	2056
201509	Septiembre 2015	44	Teruel	Sin clasificar	Mujeres	2987
201509	Septiembre 2015	50	Zaragoza	Sin clasificar	Hombres	11567
201509	Septiembre 2015	50	Zaragoza	Sin clasificar	Mujeres	16629
201512	Diciembre 2015	22	Huesca	Sin clasificar	Hombres	3223
201512	Diciembre 2015	22	Huesca	Sin clasificar	Mujeres	4310
201512	Diciembre 2015	44	Teruel	Sin clasificar	Hombres	2111
201512	Diciembre 2015	44	Teruel	Sin clasificar	Mujeres	3046
201512	Diciembre 2015	50	Zaragoza	Sin clasificar	Hombres	11862
201512	Diciembre 2015	50	Zaragoza	Sin clasificar	Mujeres	17016
201603	Marzo 2016	22	Huesca	Sin clasificar	Hombres	3172
201603	Marzo 2016	22	Huesca	Sin clasificar	Mujeres	4278
201603	Marzo 2016	44	Teruel	Sin clasificar	Hombres	2086
201603	Marzo 2016	44	Teruel	Sin clasificar	Mujeres	3069
201603	Marzo 2016	50	Zaragoza	Sin clasificar	Hombres	11985
201603	Marzo 2016	50	Zaragoza	Sin clasificar	Mujeres	17120
201606	Junio 2016	22	Huesca	Sin clasificar	Hombres	2968
201606	Junio 2016	22	Huesca	Sin clasificar	Mujeres	4158
201606	Junio 2016	44	Teruel	Sin clasificar	Hombres	2039
201606	Junio 2016	44	Teruel	Sin clasificar	Mujeres	3060
201606	Junio 2016	50	Zaragoza	Sin clasificar	Hombres	11620
201606	Junio 2016	50	Zaragoza	Sin clasificar	Mujeres	16898
201609	Septiembre 2016	22	Huesca	Sin clasificar	Hombres	3078
201609	Septiembre 2016	22	Huesca	Sin clasificar	Mujeres	4267
201609	Septiembre 2016	44	Teruel	Sin clasificar	Hombres	2030
201609	Septiembre 2016	44	Teruel	Sin clasificar	Mujeres	3060
201609	Septiembre 2016	50	Zaragoza	Sin clasificar	Hombres	11616
201609	Septiembre 2016	50	Zaragoza	Sin clasificar	Mujeres	16963
201612	Diciembre 2016	22	Huesca	Sin clasificar	Hombres	3249
201612	Diciembre 2016	22	Huesca	Sin clasificar	Mujeres	4420
201612	Diciembre 2016	44	Teruel	Sin clasificar	Hombres	2056
201612	Diciembre 2016	44	Teruel	Sin clasificar	Mujeres	3144
201612	Diciembre 2016	50	Zaragoza	Sin clasificar	Hombres	12045
201612	Diciembre 2016	50	Zaragoza	Sin clasificar	Mujeres	17316
