Comarca codigo	Comarca nombre	Explotaciones	Superficie total código	Superficie total
25	Jiloca	72	17	200 a < 300 Ha
25	Jiloca	30	18	300 a < 500 Ha
25	Jiloca	9	19	500 a < 1000 Ha
25	Jiloca	13	20	1000 a < 2500 Ha
25	Jiloca	1	21	2500 Ha
26	Cuencas Mineras	21	01	Sin tierras
26	Cuencas Mineras	2	03	0,2  a  < 0,5 Ha
26	Cuencas Mineras	2	04	0,5  a  < 1 Ha
26	Cuencas Mineras	22	05	1  a  < 2 Ha
26	Cuencas Mineras	31	06	2 a < 3 Ha
26	Cuencas Mineras	18	07	3 a < 4 Ha
26	Cuencas Mineras	15	08	4 a < 5 Ha
26	Cuencas Mineras	56	09	5 a < 10 Ha
26	Cuencas Mineras	77	10	10 a <20 Ha
26	Cuencas Mineras	65	11	20 a < 30 Ha
26	Cuencas Mineras	82	12	30 a < 50 Ha
26	Cuencas Mineras	51	13	50 a < 70 Ha
26	Cuencas Mineras	40	14	70 a < 100 Ha
26	Cuencas Mineras	39	15	100 a <150 Ha
26	Cuencas Mineras	30	16	150 a < 200 Ha
26	Cuencas Mineras	36	17	200 a < 300 Ha
26	Cuencas Mineras	21	18	300 a < 500 Ha
26	Cuencas Mineras	9	19	500 a < 1000 Ha
26	Cuencas Mineras	12	20	1000 a < 2500 Ha
26	Cuencas Mineras	6	21	2500 Ha
27	Andorra-Sierra de Arcos	8	01	Sin tierras
27	Andorra-Sierra de Arcos	6	03	0,2  a  < 0,5 Ha
27	Andorra-Sierra de Arcos	6	04	0,5  a  < 1 Ha
27	Andorra-Sierra de Arcos	180	05	1  a  < 2 Ha
27	Andorra-Sierra de Arcos	119	06	2 a < 3 Ha
27	Andorra-Sierra de Arcos	56	07	3 a < 4 Ha
27	Andorra-Sierra de Arcos	47	08	4 a < 5 Ha
27	Andorra-Sierra de Arcos	80	09	5 a < 10 Ha
27	Andorra-Sierra de Arcos	55	10	10 a <20 Ha
27	Andorra-Sierra de Arcos	44	11	20 a < 30 Ha
27	Andorra-Sierra de Arcos	46	12	30 a < 50 Ha
27	Andorra-Sierra de Arcos	11	13	50 a < 70 Ha
27	Andorra-Sierra de Arcos	28	14	70 a < 100 Ha
27	Andorra-Sierra de Arcos	22	15	100 a <150 Ha
27	Andorra-Sierra de Arcos	14	16	150 a < 200 Ha
27	Andorra-Sierra de Arcos	13	17	200 a < 300 Ha
27	Andorra-Sierra de Arcos	15	18	300 a < 500 Ha
27	Andorra-Sierra de Arcos	4	19	500 a < 1000 Ha
27	Andorra-Sierra de Arcos	3	20	1000 a < 2500 Ha
28	Bajo Aragón	78	01	Sin tierras
28	Bajo Aragón	2	02	0,1  a  < 0,2
28	Bajo Aragón	53	03	0,2  a  < 0,5 Ha
28	Bajo Aragón	37	04	0,5  a  < 1 Ha
28	Bajo Aragón	371	05	1  a  < 2 Ha
28	Bajo Aragón	170	06	2 a < 3 Ha
28	Bajo Aragón	131	07	3 a < 4 Ha
28	Bajo Aragón	109	08	4 a < 5 Ha
28	Bajo Aragón	331	09	5 a < 10 Ha
28	Bajo Aragón	298	10	10 a <20 Ha
28	Bajo Aragón	131	11	20 a < 30 Ha
28	Bajo Aragón	143	12	30 a < 50 Ha
28	Bajo Aragón	72	13	50 a < 70 Ha
28	Bajo Aragón	81	14	70 a < 100 Ha
28	Bajo Aragón	62	15	100 a <150 Ha
28	Bajo Aragón	25	16	150 a < 200 Ha
28	Bajo Aragón	25	17	200 a < 300 Ha
28	Bajo Aragón	11	18	300 a < 500 Ha
28	Bajo Aragón	6	19	500 a < 1000 Ha
28	Bajo Aragón	7	20	1000 a < 2500 Ha
28	Bajo Aragón	2	21	2500 Ha
29	Comunidad de Teruel	41	01	Sin tierras
29	Comunidad de Teruel	1	02	0,1  a  < 0,2
29	Comunidad de Teruel	11	03	0,2  a  < 0,5 Ha
29	Comunidad de Teruel	8	04	0,5  a  < 1 Ha
29	Comunidad de Teruel	104	05	1  a  < 2 Ha
29	Comunidad de Teruel	76	06	2 a < 3 Ha
29	Comunidad de Teruel	62	07	3 a < 4 Ha
29	Comunidad de Teruel	51	08	4 a < 5 Ha
29	Comunidad de Teruel	205	09	5 a < 10 Ha
29	Comunidad de Teruel	300	10	10 a <20 Ha
29	Comunidad de Teruel	226	11	20 a < 30 Ha
29	Comunidad de Teruel	304	12	30 a < 50 Ha
29	Comunidad de Teruel	162	13	50 a < 70 Ha
29	Comunidad de Teruel	174	14	70 a < 100 Ha
29	Comunidad de Teruel	183	15	100 a <150 Ha
29	Comunidad de Teruel	72	16	150 a < 200 Ha
29	Comunidad de Teruel	80	17	200 a < 300 Ha
29	Comunidad de Teruel	32	18	300 a < 500 Ha
29	Comunidad de Teruel	21	19	500 a < 1000 Ha
29	Comunidad de Teruel	27	20	1000 a < 2500 Ha
29	Comunidad de Teruel	7	21	2500 Ha
30	Maestrazgo	25	01	Sin tierras
30	Maestrazgo	1	02	0,1  a  < 0,2
30	Maestrazgo	3	03	0,2  a  < 0,5 Ha
30	Maestrazgo	3	04	0,5  a  < 1 Ha
30	Maestrazgo	55	05	1  a  < 2 Ha
30	Maestrazgo	37	06	2 a < 3 Ha
30	Maestrazgo	14	07	3 a < 4 Ha
30	Maestrazgo	22	08	4 a < 5 Ha
30	Maestrazgo	83	09	5 a < 10 Ha
30	Maestrazgo	50	10	10 a <20 Ha
30	Maestrazgo	25	11	20 a < 30 Ha
30	Maestrazgo	44	12	30 a < 50 Ha
30	Maestrazgo	30	13	50 a < 70 Ha
30	Maestrazgo	45	14	70 a < 100 Ha
30	Maestrazgo	44	15	100 a <150 Ha
30	Maestrazgo	24	16	150 a < 200 Ha
30	Maestrazgo	34	17	200 a < 300 Ha
30	Maestrazgo	35	18	300 a < 500 Ha
30	Maestrazgo	13	19	500 a < 1000 Ha
30	Maestrazgo	5	20	1000 a < 2500 Ha
30	Maestrazgo	4	21	2500 Ha
31	Sierra de Albarracín	16	01	Sin tierras
31	Sierra de Albarracín	1	03	0,2  a  < 0,5 Ha
31	Sierra de Albarracín	2	04	0,5  a  < 1 Ha
31	Sierra de Albarracín	18	05	1  a  < 2 Ha
31	Sierra de Albarracín	10	06	2 a < 3 Ha
31	Sierra de Albarracín	7	07	3 a < 4 Ha
31	Sierra de Albarracín	12	08	4 a < 5 Ha
31	Sierra de Albarracín	32	09	5 a < 10 Ha
31	Sierra de Albarracín	51	10	10 a <20 Ha
31	Sierra de Albarracín	24	11	20 a < 30 Ha
31	Sierra de Albarracín	36	12	30 a < 50 Ha
31	Sierra de Albarracín	13	13	50 a < 70 Ha
31	Sierra de Albarracín	23	14	70 a < 100 Ha
31	Sierra de Albarracín	33	15	100 a <150 Ha
31	Sierra de Albarracín	21	16	150 a < 200 Ha
31	Sierra de Albarracín	31	17	200 a < 300 Ha
31	Sierra de Albarracín	9	18	300 a < 500 Ha
31	Sierra de Albarracín	6	19	500 a < 1000 Ha
31	Sierra de Albarracín	11	20	1000 a < 2500 Ha
31	Sierra de Albarracín	7	21	2500 Ha
32	Gúdar-Javalambre	22	01	Sin tierras
32	Gúdar-Javalambre	5	03	0,2  a  < 0,5 Ha
32	Gúdar-Javalambre	5	04	0,5  a  < 1 Ha
32	Gúdar-Javalambre	57	05	1  a  < 2 Ha
32	Gúdar-Javalambre	47	06	2 a < 3 Ha
32	Gúdar-Javalambre	30	07	3 a < 4 Ha
32	Gúdar-Javalambre	27	08	4 a < 5 Ha
32	Gúdar-Javalambre	95	09	5 a < 10 Ha
32	Gúdar-Javalambre	107	10	10 a <20 Ha
32	Gúdar-Javalambre	61	11	20 a < 30 Ha
32	Gúdar-Javalambre	54	12	30 a < 50 Ha
32	Gúdar-Javalambre	41	13	50 a < 70 Ha
32	Gúdar-Javalambre	56	14	70 a < 100 Ha
32	Gúdar-Javalambre	58	15	100 a <150 Ha
32	Gúdar-Javalambre	28	16	150 a < 200 Ha
32	Gúdar-Javalambre	41	17	200 a < 300 Ha
32	Gúdar-Javalambre	20	18	300 a < 500 Ha
32	Gúdar-Javalambre	25	19	500 a < 1000 Ha
32	Gúdar-Javalambre	4	20	1000 a < 2500 Ha
32	Gúdar-Javalambre	15	21	2500 Ha
33	Matarraña / Matarranya	64	01	Sin tierras
33	Matarraña / Matarranya	1	02	0,1  a  < 0,2
33	Matarraña / Matarranya	6	03	0,2  a  < 0,5 Ha
33	Matarraña / Matarranya	9	04	0,5  a  < 1 Ha
33	Matarraña / Matarranya	101	05	1  a  < 2 Ha
33	Matarraña / Matarranya	82	06	2 a < 3 Ha
33	Matarraña / Matarranya	85	07	3 a < 4 Ha
33	Matarraña / Matarranya	74	08	4 a < 5 Ha
33	Matarraña / Matarranya	311	09	5 a < 10 Ha
33	Matarraña / Matarranya	331	10	10 a <20 Ha
33	Matarraña / Matarranya	175	11	20 a < 30 Ha
33	Matarraña / Matarranya	184	12	30 a < 50 Ha
33	Matarraña / Matarranya	80	13	50 a < 70 Ha
33	Matarraña / Matarranya	63	14	70 a < 100 Ha
33	Matarraña / Matarranya	38	15	100 a <150 Ha
33	Matarraña / Matarranya	13	16	150 a < 200 Ha
33	Matarraña / Matarranya	7	17	200 a < 300 Ha
33	Matarraña / Matarranya	3	18	300 a < 500 Ha
33	Matarraña / Matarranya	3	19	500 a < 1000 Ha
