Año	Dirección Provincial Código	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Dirección Provincial Nombre
2013	50	273	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2013	22	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2013	22	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Huesca
2013	44	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Teruel
2013	50	11	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2013	50	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Zaragoza
2013	22	19	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2013	22	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Huesca
2013	44	7	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2013	44	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Teruel
2013	50	98	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2013	50	19	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2013	22	4	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2013	22	4	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2013	44	3	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2013	50	94	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2013	50	22	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2013	22	22	9	Ocupaciones elementales	Hombres	Huesca
2013	22	16	9	Ocupaciones elementales	Mujeres	Huesca
2013	44	4	9	Ocupaciones elementales	Hombres	Teruel
2013	44	18	9	Ocupaciones elementales	Mujeres	Teruel
2013	50	104	9	Ocupaciones elementales	Hombres	Zaragoza
2013	50	132	9	Ocupaciones elementales	Mujeres	Zaragoza
2012	22	1	1	Directores y gerentes	Mujeres	Huesca
2012	44	1	1	Directores y gerentes	Hombres	Teruel
2012	50	6	1	Directores y gerentes	Hombres	Zaragoza
2012	50	2	1	Directores y gerentes	Mujeres	Zaragoza
2012	22	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2012	22	17	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2012	44	1	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2012	44	10	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2012	50	25	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2012	50	107	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2012	22	4	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2012	22	5	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2012	44	4	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2012	50	35	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2012	50	35	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2012	22	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2012	22	16	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2012	44	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2012	44	4	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2012	50	43	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2012	50	138	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2012	22	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2012	22	26	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2012	44	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2012	44	16	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2012	50	83	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
2012	50	259	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2012	22	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2012	22	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Huesca
2012	50	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2012	50	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Zaragoza
2012	22	25	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2012	22	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Huesca
2012	44	4	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2012	44	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Teruel
2012	50	91	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2012	50	15	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2012	22	5	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2012	22	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2012	44	7	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2012	44	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Teruel
2012	50	75	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2012	50	13	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2012	22	13	9	Ocupaciones elementales	Hombres	Huesca
2012	22	14	9	Ocupaciones elementales	Mujeres	Huesca
2012	44	7	9	Ocupaciones elementales	Hombres	Teruel
2012	44	7	9	Ocupaciones elementales	Mujeres	Teruel
2012	50	77	9	Ocupaciones elementales	Hombres	Zaragoza
2012	50	151	9	Ocupaciones elementales	Mujeres	Zaragoza
2012	50	1	NC	No consta	Hombres	Zaragoza
2011	22	2	1	Directores y gerentes	Hombres	Huesca
2011	44	1	1	Directores y gerentes	Mujeres	Teruel
2011	50	16	1	Directores y gerentes	Hombres	Zaragoza
2011	50	7	1	Directores y gerentes	Mujeres	Zaragoza
2011	22	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2011	22	12	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2011	44	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2011	44	12	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2011	50	27	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2011	50	108	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2011	22	2	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2011	22	2	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2011	44	5	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2011	50	37	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2011	50	40	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2011	22	3	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2011	22	18	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2011	44	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2011	44	2	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2011	50	41	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2011	50	157	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2011	22	13	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2011	22	22	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2011	44	2	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2011	44	12	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2011	50	103	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
2011	50	271	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2011	22	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2011	22	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Huesca
2011	50	8	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2011	50	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Zaragoza
2011	22	18	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2011	22	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Huesca
2011	44	7	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2011	44	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Teruel
2011	50	138	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2011	50	19	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2011	22	4	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2011	22	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2011	44	5	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2011	50	94	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2011	50	23	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2011	22	23	9	Ocupaciones elementales	Hombres	Huesca
2011	22	17	9	Ocupaciones elementales	Mujeres	Huesca
2011	44	10	9	Ocupaciones elementales	Hombres	Teruel
2011	44	5	9	Ocupaciones elementales	Mujeres	Teruel
2011	50	113	9	Ocupaciones elementales	Hombres	Zaragoza
2011	50	164	9	Ocupaciones elementales	Mujeres	Zaragoza
2011	22	3	NC	No consta	Hombres	Huesca
2011	22	2	NC	No consta	Mujeres	Huesca
2011	44	1	NC	No consta	Mujeres	Teruel
2011	50	23	NC	No consta	Hombres	Zaragoza
2011	50	22	NC	No consta	Mujeres	Zaragoza
