Comarca código	Comarca nombre	Sexo	Edad	Nivel estudios (agregado)	Personas residentes viviendas familiares
08	Cinca Medio	Hombres	90 ó más	Segundo grado	2
09	La Litera / La Llitera	Mujeres	16 a 19	Sin estudios	2
09	La Litera / La Llitera	Mujeres	16 a 19	Primer grado	35
09	La Litera / La Llitera	Mujeres	16 a 19	Segundo grado	279
09	La Litera / La Llitera	Mujeres	20 a 24	Analfabetos	3
09	La Litera / La Llitera	Mujeres	20 a 24	Sin estudios	9
09	La Litera / La Llitera	Mujeres	20 a 24	Primer grado	38
09	La Litera / La Llitera	Mujeres	20 a 24	Segundo grado	410
09	La Litera / La Llitera	Mujeres	20 a 24	Tercer grado	135
09	La Litera / La Llitera	Mujeres	25 a 29	Analfabetos	4
09	La Litera / La Llitera	Mujeres	25 a 29	Sin estudios	6
09	La Litera / La Llitera	Mujeres	25 a 29	Primer grado	37
09	La Litera / La Llitera	Mujeres	25 a 29	Segundo grado	302
09	La Litera / La Llitera	Mujeres	25 a 29	Tercer grado	241
09	La Litera / La Llitera	Mujeres	30 a 34	Analfabetos	3
09	La Litera / La Llitera	Mujeres	30 a 34	Sin estudios	7
09	La Litera / La Llitera	Mujeres	30 a 34	Primer grado	59
09	La Litera / La Llitera	Mujeres	30 a 34	Segundo grado	352
09	La Litera / La Llitera	Mujeres	30 a 34	Tercer grado	165
09	La Litera / La Llitera	Mujeres	35 a 39	Analfabetos	1
09	La Litera / La Llitera	Mujeres	35 a 39	Sin estudios	8
09	La Litera / La Llitera	Mujeres	35 a 39	Primer grado	95
09	La Litera / La Llitera	Mujeres	35 a 39	Segundo grado	413
09	La Litera / La Llitera	Mujeres	35 a 39	Tercer grado	124
09	La Litera / La Llitera	Mujeres	40 a 44	Analfabetos	5
09	La Litera / La Llitera	Mujeres	40 a 44	Sin estudios	4
09	La Litera / La Llitera	Mujeres	40 a 44	Primer grado	116
09	La Litera / La Llitera	Mujeres	40 a 44	Segundo grado	360
09	La Litera / La Llitera	Mujeres	40 a 44	Tercer grado	88
09	La Litera / La Llitera	Mujeres	45 a 49	Analfabetos	3
09	La Litera / La Llitera	Mujeres	45 a 49	Sin estudios	20
09	La Litera / La Llitera	Mujeres	45 a 49	Primer grado	166
09	La Litera / La Llitera	Mujeres	45 a 49	Segundo grado	278
09	La Litera / La Llitera	Mujeres	45 a 49	Tercer grado	47
09	La Litera / La Llitera	Mujeres	50 a 54	Analfabetos	2
09	La Litera / La Llitera	Mujeres	50 a 54	Sin estudios	34
09	La Litera / La Llitera	Mujeres	50 a 54	Primer grado	243
09	La Litera / La Llitera	Mujeres	50 a 54	Segundo grado	193
09	La Litera / La Llitera	Mujeres	50 a 54	Tercer grado	33
09	La Litera / La Llitera	Mujeres	55 a 59	Analfabetos	2
09	La Litera / La Llitera	Mujeres	55 a 59	Sin estudios	80
09	La Litera / La Llitera	Mujeres	55 a 59	Primer grado	280
09	La Litera / La Llitera	Mujeres	55 a 59	Segundo grado	159
09	La Litera / La Llitera	Mujeres	55 a 59	Tercer grado	20
09	La Litera / La Llitera	Mujeres	60 a 64	Analfabetos	4
09	La Litera / La Llitera	Mujeres	60 a 64	Sin estudios	118
09	La Litera / La Llitera	Mujeres	60 a 64	Primer grado	256
09	La Litera / La Llitera	Mujeres	60 a 64	Segundo grado	80
09	La Litera / La Llitera	Mujeres	60 a 64	Tercer grado	8
09	La Litera / La Llitera	Mujeres	65 a 69	Analfabetos	5
09	La Litera / La Llitera	Mujeres	65 a 69	Sin estudios	218
09	La Litera / La Llitera	Mujeres	65 a 69	Primer grado	341
09	La Litera / La Llitera	Mujeres	65 a 69	Segundo grado	90
09	La Litera / La Llitera	Mujeres	65 a 69	Tercer grado	9
09	La Litera / La Llitera	Mujeres	70 a 74	Analfabetos	8
09	La Litera / La Llitera	Mujeres	70 a 74	Sin estudios	241
09	La Litera / La Llitera	Mujeres	70 a 74	Primer grado	312
09	La Litera / La Llitera	Mujeres	70 a 74	Segundo grado	56
09	La Litera / La Llitera	Mujeres	70 a 74	Tercer grado	9
09	La Litera / La Llitera	Mujeres	75 a 79	Analfabetos	10
09	La Litera / La Llitera	Mujeres	75 a 79	Sin estudios	275
09	La Litera / La Llitera	Mujeres	75 a 79	Primer grado	269
09	La Litera / La Llitera	Mujeres	75 a 79	Segundo grado	43
09	La Litera / La Llitera	Mujeres	75 a 79	Tercer grado	3
09	La Litera / La Llitera	Mujeres	80 a 84	Analfabetos	12
09	La Litera / La Llitera	Mujeres	80 a 84	Sin estudios	198
09	La Litera / La Llitera	Mujeres	80 a 84	Primer grado	164
09	La Litera / La Llitera	Mujeres	80 a 84	Segundo grado	27
09	La Litera / La Llitera	Mujeres	80 a 84	Tercer grado	2
09	La Litera / La Llitera	Mujeres	85 a 90	Analfabetos	16
09	La Litera / La Llitera	Mujeres	85 a 90	Sin estudios	137
09	La Litera / La Llitera	Mujeres	85 a 90	Primer grado	89
09	La Litera / La Llitera	Mujeres	85 a 90	Segundo grado	6
09	La Litera / La Llitera	Mujeres	85 a 90	Tercer grado	1
09	La Litera / La Llitera	Mujeres	90 ó más	Analfabetos	16
09	La Litera / La Llitera	Mujeres	90 ó más	Sin estudios	64
09	La Litera / La Llitera	Mujeres	90 ó más	Primer grado	38
09	La Litera / La Llitera	Mujeres	90 ó más	Segundo grado	4
09	La Litera / La Llitera	Hombres	16 a 19	Analfabetos	1
09	La Litera / La Llitera	Hombres	16 a 19	Sin estudios	3
09	La Litera / La Llitera	Hombres	16 a 19	Primer grado	73
09	La Litera / La Llitera	Hombres	16 a 19	Segundo grado	280
09	La Litera / La Llitera	Hombres	20 a 24	Analfabetos	16
09	La Litera / La Llitera	Hombres	20 a 24	Sin estudios	10
09	La Litera / La Llitera	Hombres	20 a 24	Primer grado	64
09	La Litera / La Llitera	Hombres	20 a 24	Segundo grado	484
09	La Litera / La Llitera	Hombres	20 a 24	Tercer grado	57
09	La Litera / La Llitera	Hombres	25 a 29	Analfabetos	30
09	La Litera / La Llitera	Hombres	25 a 29	Sin estudios	28
09	La Litera / La Llitera	Hombres	25 a 29	Primer grado	102
09	La Litera / La Llitera	Hombres	25 a 29	Segundo grado	469
09	La Litera / La Llitera	Hombres	25 a 29	Tercer grado	142
09	La Litera / La Llitera	Hombres	30 a 34	Analfabetos	13
09	La Litera / La Llitera	Hombres	30 a 34	Sin estudios	27
09	La Litera / La Llitera	Hombres	30 a 34	Primer grado	99
09	La Litera / La Llitera	Hombres	30 a 34	Segundo grado	443
09	La Litera / La Llitera	Hombres	30 a 34	Tercer grado	94
09	La Litera / La Llitera	Hombres	35 a 39	Analfabetos	5
09	La Litera / La Llitera	Hombres	35 a 39	Sin estudios	29
09	La Litera / La Llitera	Hombres	35 a 39	Primer grado	112
09	La Litera / La Llitera	Hombres	35 a 39	Segundo grado	499
09	La Litera / La Llitera	Hombres	35 a 39	Tercer grado	77
09	La Litera / La Llitera	Hombres	40 a 44	Analfabetos	10
09	La Litera / La Llitera	Hombres	40 a 44	Sin estudios	15
09	La Litera / La Llitera	Hombres	40 a 44	Primer grado	132
09	La Litera / La Llitera	Hombres	40 a 44	Segundo grado	411
09	La Litera / La Llitera	Hombres	40 a 44	Tercer grado	75
09	La Litera / La Llitera	Hombres	45 a 49	Sin estudios	10
09	La Litera / La Llitera	Hombres	45 a 49	Primer grado	164
09	La Litera / La Llitera	Hombres	45 a 49	Segundo grado	338
09	La Litera / La Llitera	Hombres	45 a 49	Tercer grado	56
09	La Litera / La Llitera	Hombres	50 a 54	Analfabetos	2
09	La Litera / La Llitera	Hombres	50 a 54	Sin estudios	23
09	La Litera / La Llitera	Hombres	50 a 54	Primer grado	238
09	La Litera / La Llitera	Hombres	50 a 54	Segundo grado	224
09	La Litera / La Llitera	Hombres	50 a 54	Tercer grado	35
09	La Litera / La Llitera	Hombres	55 a 59	Analfabetos	1
09	La Litera / La Llitera	Hombres	55 a 59	Sin estudios	50
09	La Litera / La Llitera	Hombres	55 a 59	Primer grado	257
09	La Litera / La Llitera	Hombres	55 a 59	Segundo grado	193
09	La Litera / La Llitera	Hombres	55 a 59	Tercer grado	21
09	La Litera / La Llitera	Hombres	60 a 64	Sin estudios	102
09	La Litera / La Llitera	Hombres	60 a 64	Primer grado	241
09	La Litera / La Llitera	Hombres	60 a 64	Segundo grado	127
09	La Litera / La Llitera	Hombres	60 a 64	Tercer grado	8
09	La Litera / La Llitera	Hombres	65 a 69	Analfabetos	5
09	La Litera / La Llitera	Hombres	65 a 69	Sin estudios	157
09	La Litera / La Llitera	Hombres	65 a 69	Primer grado	332
09	La Litera / La Llitera	Hombres	65 a 69	Segundo grado	90
09	La Litera / La Llitera	Hombres	65 a 69	Tercer grado	7
09	La Litera / La Llitera	Hombres	70 a 74	Analfabetos	4
09	La Litera / La Llitera	Hombres	70 a 74	Sin estudios	218
09	La Litera / La Llitera	Hombres	70 a 74	Primer grado	303
09	La Litera / La Llitera	Hombres	70 a 74	Segundo grado	62
09	La Litera / La Llitera	Hombres	70 a 74	Tercer grado	13
09	La Litera / La Llitera	Hombres	75 a 79	Analfabetos	5
09	La Litera / La Llitera	Hombres	75 a 79	Sin estudios	228
09	La Litera / La Llitera	Hombres	75 a 79	Primer grado	244
09	La Litera / La Llitera	Hombres	75 a 79	Segundo grado	41
09	La Litera / La Llitera	Hombres	75 a 79	Tercer grado	6
09	La Litera / La Llitera	Hombres	80 a 84	Analfabetos	5
09	La Litera / La Llitera	Hombres	80 a 84	Sin estudios	128
09	La Litera / La Llitera	Hombres	80 a 84	Primer grado	128
09	La Litera / La Llitera	Hombres	80 a 84	Segundo grado	27
09	La Litera / La Llitera	Hombres	85 a 90	Analfabetos	1
09	La Litera / La Llitera	Hombres	85 a 90	Sin estudios	83
09	La Litera / La Llitera	Hombres	85 a 90	Primer grado	53
09	La Litera / La Llitera	Hombres	85 a 90	Segundo grado	14
09	La Litera / La Llitera	Hombres	90 ó más	Analfabetos	2
09	La Litera / La Llitera	Hombres	90 ó más	Sin estudios	46
09	La Litera / La Llitera	Hombres	90 ó más	Primer grado	22
09	La Litera / La Llitera	Hombres	90 ó más	Segundo grado	5
10	Los Monegros	Mujeres	16 a 19	Sin estudios	5
10	Los Monegros	Mujeres	16 a 19	Primer grado	35
10	Los Monegros	Mujeres	16 a 19	Segundo grado	323
10	Los Monegros	Mujeres	20 a 24	Analfabetos	1
10	Los Monegros	Mujeres	20 a 24	Sin estudios	2
10	Los Monegros	Mujeres	20 a 24	Primer grado	18
10	Los Monegros	Mujeres	20 a 24	Segundo grado	454
10	Los Monegros	Mujeres	20 a 24	Tercer grado	149
10	Los Monegros	Mujeres	25 a 29	Analfabetos	1
10	Los Monegros	Mujeres	25 a 29	Sin estudios	8
10	Los Monegros	Mujeres	25 a 29	Primer grado	27
10	Los Monegros	Mujeres	25 a 29	Segundo grado	341
10	Los Monegros	Mujeres	25 a 29	Tercer grado	275
10	Los Monegros	Mujeres	30 a 34	Analfabetos	5
10	Los Monegros	Mujeres	30 a 34	Sin estudios	10
10	Los Monegros	Mujeres	30 a 34	Primer grado	39
10	Los Monegros	Mujeres	30 a 34	Segundo grado	387
10	Los Monegros	Mujeres	30 a 34	Tercer grado	182
10	Los Monegros	Mujeres	35 a 39	Analfabetos	6
10	Los Monegros	Mujeres	35 a 39	Sin estudios	5
10	Los Monegros	Mujeres	35 a 39	Primer grado	76
10	Los Monegros	Mujeres	35 a 39	Segundo grado	483
10	Los Monegros	Mujeres	35 a 39	Tercer grado	136
10	Los Monegros	Mujeres	40 a 44	Analfabetos	2
10	Los Monegros	Mujeres	40 a 44	Sin estudios	9
10	Los Monegros	Mujeres	40 a 44	Primer grado	86
10	Los Monegros	Mujeres	40 a 44	Segundo grado	430
10	Los Monegros	Mujeres	40 a 44	Tercer grado	89
10	Los Monegros	Mujeres	45 a 49	Analfabetos	4
10	Los Monegros	Mujeres	45 a 49	Sin estudios	19
10	Los Monegros	Mujeres	45 a 49	Primer grado	170
10	Los Monegros	Mujeres	45 a 49	Segundo grado	315
10	Los Monegros	Mujeres	45 a 49	Tercer grado	55
10	Los Monegros	Mujeres	50 a 54	Analfabetos	3
10	Los Monegros	Mujeres	50 a 54	Sin estudios	25
10	Los Monegros	Mujeres	50 a 54	Primer grado	254
10	Los Monegros	Mujeres	50 a 54	Segundo grado	263
10	Los Monegros	Mujeres	50 a 54	Tercer grado	27
10	Los Monegros	Mujeres	55 a 59	Analfabetos	3
10	Los Monegros	Mujeres	55 a 59	Sin estudios	54
10	Los Monegros	Mujeres	55 a 59	Primer grado	342
10	Los Monegros	Mujeres	55 a 59	Segundo grado	178
10	Los Monegros	Mujeres	55 a 59	Tercer grado	19
10	Los Monegros	Mujeres	60 a 64	Analfabetos	10
10	Los Monegros	Mujeres	60 a 64	Sin estudios	80
10	Los Monegros	Mujeres	60 a 64	Primer grado	349
10	Los Monegros	Mujeres	60 a 64	Segundo grado	96
10	Los Monegros	Mujeres	60 a 64	Tercer grado	3
10	Los Monegros	Mujeres	65 a 69	Analfabetos	13
10	Los Monegros	Mujeres	65 a 69	Sin estudios	165
10	Los Monegros	Mujeres	65 a 69	Primer grado	468
10	Los Monegros	Mujeres	65 a 69	Segundo grado	102
10	Los Monegros	Mujeres	65 a 69	Tercer grado	9
10	Los Monegros	Mujeres	70 a 74	Analfabetos	21
10	Los Monegros	Mujeres	70 a 74	Sin estudios	239
10	Los Monegros	Mujeres	70 a 74	Primer grado	464
10	Los Monegros	Mujeres	70 a 74	Segundo grado	76
10	Los Monegros	Mujeres	70 a 74	Tercer grado	3
10	Los Monegros	Mujeres	75 a 79	Analfabetos	17
10	Los Monegros	Mujeres	75 a 79	Sin estudios	250
10	Los Monegros	Mujeres	75 a 79	Primer grado	392
10	Los Monegros	Mujeres	75 a 79	Segundo grado	47
10	Los Monegros	Mujeres	75 a 79	Tercer grado	4
10	Los Monegros	Mujeres	80 a 84	Analfabetos	17
10	Los Monegros	Mujeres	80 a 84	Sin estudios	180
10	Los Monegros	Mujeres	80 a 84	Primer grado	227
10	Los Monegros	Mujeres	80 a 84	Segundo grado	28
10	Los Monegros	Mujeres	80 a 84	Tercer grado	2
10	Los Monegros	Mujeres	85 a 90	Analfabetos	18
10	Los Monegros	Mujeres	85 a 90	Sin estudios	113
10	Los Monegros	Mujeres	85 a 90	Primer grado	119
10	Los Monegros	Mujeres	85 a 90	Segundo grado	14
10	Los Monegros	Mujeres	90 ó más	Analfabetos	8
10	Los Monegros	Mujeres	90 ó más	Sin estudios	57
10	Los Monegros	Mujeres	90 ó más	Primer grado	43
10	Los Monegros	Mujeres	90 ó más	Segundo grado	5
10	Los Monegros	Hombres	16 a 19	Sin estudios	2
10	Los Monegros	Hombres	16 a 19	Primer grado	92
10	Los Monegros	Hombres	16 a 19	Segundo grado	352
10	Los Monegros	Hombres	20 a 24	Analfabetos	2
10	Los Monegros	Hombres	20 a 24	Sin estudios	7
10	Los Monegros	Hombres	20 a 24	Primer grado	51
10	Los Monegros	Hombres	20 a 24	Segundo grado	575
10	Los Monegros	Hombres	20 a 24	Tercer grado	51
10	Los Monegros	Hombres	25 a 29	Analfabetos	5
10	Los Monegros	Hombres	25 a 29	Sin estudios	3
10	Los Monegros	Hombres	25 a 29	Primer grado	52
10	Los Monegros	Hombres	25 a 29	Segundo grado	525
10	Los Monegros	Hombres	25 a 29	Tercer grado	139
10	Los Monegros	Hombres	30 a 34	Analfabetos	1
10	Los Monegros	Hombres	30 a 34	Sin estudios	14
10	Los Monegros	Hombres	30 a 34	Primer grado	68
10	Los Monegros	Hombres	30 a 34	Segundo grado	553
10	Los Monegros	Hombres	30 a 34	Tercer grado	82
10	Los Monegros	Hombres	35 a 39	Analfabetos	5
10	Los Monegros	Hombres	35 a 39	Sin estudios	12
10	Los Monegros	Hombres	35 a 39	Primer grado	122
10	Los Monegros	Hombres	35 a 39	Segundo grado	624
10	Los Monegros	Hombres	35 a 39	Tercer grado	82
10	Los Monegros	Hombres	40 a 44	Analfabetos	6
10	Los Monegros	Hombres	40 a 44	Sin estudios	32
10	Los Monegros	Hombres	40 a 44	Primer grado	139
10	Los Monegros	Hombres	40 a 44	Segundo grado	564
10	Los Monegros	Hombres	40 a 44	Tercer grado	78
10	Los Monegros	Hombres	45 a 49	Analfabetos	8
10	Los Monegros	Hombres	45 a 49	Sin estudios	25
10	Los Monegros	Hombres	45 a 49	Primer grado	197
10	Los Monegros	Hombres	45 a 49	Segundo grado	405
10	Los Monegros	Hombres	45 a 49	Tercer grado	57
10	Los Monegros	Hombres	50 a 54	Analfabetos	3
10	Los Monegros	Hombres	50 a 54	Sin estudios	36
10	Los Monegros	Hombres	50 a 54	Primer grado	262
10	Los Monegros	Hombres	50 a 54	Segundo grado	300
10	Los Monegros	Hombres	50 a 54	Tercer grado	27
10	Los Monegros	Hombres	55 a 59	Sin estudios	42
10	Los Monegros	Hombres	55 a 59	Primer grado	339
10	Los Monegros	Hombres	55 a 59	Segundo grado	217
10	Los Monegros	Hombres	55 a 59	Tercer grado	26
10	Los Monegros	Hombres	60 a 64	Analfabetos	10
10	Los Monegros	Hombres	60 a 64	Sin estudios	81
10	Los Monegros	Hombres	60 a 64	Primer grado	369
10	Los Monegros	Hombres	60 a 64	Segundo grado	116
10	Los Monegros	Hombres	60 a 64	Tercer grado	16
10	Los Monegros	Hombres	65 a 69	Analfabetos	14
10	Los Monegros	Hombres	65 a 69	Sin estudios	141
10	Los Monegros	Hombres	65 a 69	Primer grado	500
10	Los Monegros	Hombres	65 a 69	Segundo grado	104
10	Los Monegros	Hombres	65 a 69	Tercer grado	9
10	Los Monegros	Hombres	70 a 74	Analfabetos	13
10	Los Monegros	Hombres	70 a 74	Sin estudios	260
10	Los Monegros	Hombres	70 a 74	Primer grado	419
10	Los Monegros	Hombres	70 a 74	Segundo grado	84
10	Los Monegros	Hombres	70 a 74	Tercer grado	7
10	Los Monegros	Hombres	75 a 79	Analfabetos	8
10	Los Monegros	Hombres	75 a 79	Sin estudios	207
10	Los Monegros	Hombres	75 a 79	Primer grado	334
10	Los Monegros	Hombres	75 a 79	Segundo grado	52
10	Los Monegros	Hombres	75 a 79	Tercer grado	6
10	Los Monegros	Hombres	80 a 84	Analfabetos	3
10	Los Monegros	Hombres	80 a 84	Sin estudios	150
10	Los Monegros	Hombres	80 a 84	Primer grado	159
10	Los Monegros	Hombres	80 a 84	Segundo grado	22
10	Los Monegros	Hombres	80 a 84	Tercer grado	2
10	Los Monegros	Hombres	85 a 90	Sin estudios	91
10	Los Monegros	Hombres	85 a 90	Primer grado	77
10	Los Monegros	Hombres	85 a 90	Segundo grado	7
10	Los Monegros	Hombres	90 ó más	Analfabetos	4
10	Los Monegros	Hombres	90 ó más	Sin estudios	32
10	Los Monegros	Hombres	90 ó más	Primer grado	26
10	Los Monegros	Hombres	90 ó más	Segundo grado	3
10	Los Monegros	Hombres	90 ó más	Tercer grado	1
11	Bajo Cinca / Baix Cinca	Mujeres	16 a 19	Analfabetos	1
11	Bajo Cinca / Baix Cinca	Mujeres	16 a 19	Sin estudios	8
11	Bajo Cinca / Baix Cinca	Mujeres	16 a 19	Primer grado	48
11	Bajo Cinca / Baix Cinca	Mujeres	16 a 19	Segundo grado	431
11	Bajo Cinca / Baix Cinca	Mujeres	20 a 24	Analfabetos	1
11	Bajo Cinca / Baix Cinca	Mujeres	20 a 24	Sin estudios	8
11	Bajo Cinca / Baix Cinca	Mujeres	20 a 24	Primer grado	34
11	Bajo Cinca / Baix Cinca	Mujeres	20 a 24	Segundo grado	539
11	Bajo Cinca / Baix Cinca	Mujeres	20 a 24	Tercer grado	131
11	Bajo Cinca / Baix Cinca	Mujeres	25 a 29	Analfabetos	6
11	Bajo Cinca / Baix Cinca	Mujeres	25 a 29	Sin estudios	10
11	Bajo Cinca / Baix Cinca	Mujeres	25 a 29	Primer grado	49
11	Bajo Cinca / Baix Cinca	Mujeres	25 a 29	Segundo grado	516
11	Bajo Cinca / Baix Cinca	Mujeres	25 a 29	Tercer grado	208
11	Bajo Cinca / Baix Cinca	Mujeres	30 a 34	Analfabetos	5
11	Bajo Cinca / Baix Cinca	Mujeres	30 a 34	Sin estudios	8
11	Bajo Cinca / Baix Cinca	Mujeres	30 a 34	Primer grado	40
11	Bajo Cinca / Baix Cinca	Mujeres	30 a 34	Segundo grado	557
11	Bajo Cinca / Baix Cinca	Mujeres	30 a 34	Tercer grado	149
11	Bajo Cinca / Baix Cinca	Mujeres	35 a 39	Analfabetos	9
11	Bajo Cinca / Baix Cinca	Mujeres	35 a 39	Sin estudios	14
11	Bajo Cinca / Baix Cinca	Mujeres	35 a 39	Primer grado	47
11	Bajo Cinca / Baix Cinca	Mujeres	35 a 39	Segundo grado	595
11	Bajo Cinca / Baix Cinca	Mujeres	35 a 39	Tercer grado	104
11	Bajo Cinca / Baix Cinca	Mujeres	40 a 44	Sin estudios	7
11	Bajo Cinca / Baix Cinca	Mujeres	40 a 44	Primer grado	89
11	Bajo Cinca / Baix Cinca	Mujeres	40 a 44	Segundo grado	565
11	Bajo Cinca / Baix Cinca	Mujeres	40 a 44	Tercer grado	81
11	Bajo Cinca / Baix Cinca	Mujeres	45 a 49	Analfabetos	5
11	Bajo Cinca / Baix Cinca	Mujeres	45 a 49	Sin estudios	10
11	Bajo Cinca / Baix Cinca	Mujeres	45 a 49	Primer grado	153
11	Bajo Cinca / Baix Cinca	Mujeres	45 a 49	Segundo grado	403
11	Bajo Cinca / Baix Cinca	Mujeres	45 a 49	Tercer grado	56
11	Bajo Cinca / Baix Cinca	Mujeres	50 a 54	Analfabetos	6
11	Bajo Cinca / Baix Cinca	Mujeres	50 a 54	Sin estudios	17
11	Bajo Cinca / Baix Cinca	Mujeres	50 a 54	Primer grado	204
11	Bajo Cinca / Baix Cinca	Mujeres	50 a 54	Segundo grado	356
11	Bajo Cinca / Baix Cinca	Mujeres	50 a 54	Tercer grado	18
11	Bajo Cinca / Baix Cinca	Mujeres	55 a 59	Analfabetos	9
11	Bajo Cinca / Baix Cinca	Mujeres	55 a 59	Sin estudios	46
11	Bajo Cinca / Baix Cinca	Mujeres	55 a 59	Primer grado	273
11	Bajo Cinca / Baix Cinca	Mujeres	55 a 59	Segundo grado	262
11	Bajo Cinca / Baix Cinca	Mujeres	55 a 59	Tercer grado	13
11	Bajo Cinca / Baix Cinca	Mujeres	60 a 64	Analfabetos	9
11	Bajo Cinca / Baix Cinca	Mujeres	60 a 64	Sin estudios	57
11	Bajo Cinca / Baix Cinca	Mujeres	60 a 64	Primer grado	322
11	Bajo Cinca / Baix Cinca	Mujeres	60 a 64	Segundo grado	156
11	Bajo Cinca / Baix Cinca	Mujeres	60 a 64	Tercer grado	8
11	Bajo Cinca / Baix Cinca	Mujeres	65 a 69	Analfabetos	13
11	Bajo Cinca / Baix Cinca	Mujeres	65 a 69	Sin estudios	144
11	Bajo Cinca / Baix Cinca	Mujeres	65 a 69	Primer grado	394
11	Bajo Cinca / Baix Cinca	Mujeres	65 a 69	Segundo grado	136
11	Bajo Cinca / Baix Cinca	Mujeres	65 a 69	Tercer grado	5
11	Bajo Cinca / Baix Cinca	Mujeres	70 a 74	Analfabetos	24
11	Bajo Cinca / Baix Cinca	Mujeres	70 a 74	Sin estudios	160
11	Bajo Cinca / Baix Cinca	Mujeres	70 a 74	Primer grado	369
11	Bajo Cinca / Baix Cinca	Mujeres	70 a 74	Segundo grado	85
11	Bajo Cinca / Baix Cinca	Mujeres	70 a 74	Tercer grado	5
11	Bajo Cinca / Baix Cinca	Mujeres	75 a 79	Analfabetos	30
11	Bajo Cinca / Baix Cinca	Mujeres	75 a 79	Sin estudios	204
11	Bajo Cinca / Baix Cinca	Mujeres	75 a 79	Primer grado	303
11	Bajo Cinca / Baix Cinca	Mujeres	75 a 79	Segundo grado	45
11	Bajo Cinca / Baix Cinca	Mujeres	75 a 79	Tercer grado	4
11	Bajo Cinca / Baix Cinca	Mujeres	80 a 84	Analfabetos	32
11	Bajo Cinca / Baix Cinca	Mujeres	80 a 84	Sin estudios	169
11	Bajo Cinca / Baix Cinca	Mujeres	80 a 84	Primer grado	180
11	Bajo Cinca / Baix Cinca	Mujeres	80 a 84	Segundo grado	23
11	Bajo Cinca / Baix Cinca	Mujeres	85 a 90	Analfabetos	18
11	Bajo Cinca / Baix Cinca	Mujeres	85 a 90	Sin estudios	115
11	Bajo Cinca / Baix Cinca	Mujeres	85 a 90	Primer grado	75
11	Bajo Cinca / Baix Cinca	Mujeres	85 a 90	Segundo grado	13
11	Bajo Cinca / Baix Cinca	Mujeres	85 a 90	Tercer grado	2
11	Bajo Cinca / Baix Cinca	Mujeres	90 ó más	Analfabetos	17
11	Bajo Cinca / Baix Cinca	Mujeres	90 ó más	Sin estudios	54
11	Bajo Cinca / Baix Cinca	Mujeres	90 ó más	Primer grado	35
11	Bajo Cinca / Baix Cinca	Mujeres	90 ó más	Segundo grado	3
11	Bajo Cinca / Baix Cinca	Mujeres	90 ó más	Tercer grado	3
11	Bajo Cinca / Baix Cinca	Hombres	16 a 19	Analfabetos	3
11	Bajo Cinca / Baix Cinca	Hombres	16 a 19	Sin estudios	10
11	Bajo Cinca / Baix Cinca	Hombres	16 a 19	Primer grado	109
11	Bajo Cinca / Baix Cinca	Hombres	16 a 19	Segundo grado	369
11	Bajo Cinca / Baix Cinca	Hombres	20 a 24	Analfabetos	14
11	Bajo Cinca / Baix Cinca	Hombres	20 a 24	Sin estudios	10
11	Bajo Cinca / Baix Cinca	Hombres	20 a 24	Primer grado	72
11	Bajo Cinca / Baix Cinca	Hombres	20 a 24	Segundo grado	718
11	Bajo Cinca / Baix Cinca	Hombres	20 a 24	Tercer grado	52
11	Bajo Cinca / Baix Cinca	Hombres	25 a 29	Analfabetos	15
11	Bajo Cinca / Baix Cinca	Hombres	25 a 29	Sin estudios	24
11	Bajo Cinca / Baix Cinca	Hombres	25 a 29	Primer grado	75
11	Bajo Cinca / Baix Cinca	Hombres	25 a 29	Segundo grado	683
11	Bajo Cinca / Baix Cinca	Hombres	25 a 29	Tercer grado	103
11	Bajo Cinca / Baix Cinca	Hombres	30 a 34	Analfabetos	15
11	Bajo Cinca / Baix Cinca	Hombres	30 a 34	Sin estudios	27
11	Bajo Cinca / Baix Cinca	Hombres	30 a 34	Primer grado	91
11	Bajo Cinca / Baix Cinca	Hombres	30 a 34	Segundo grado	680
11	Bajo Cinca / Baix Cinca	Hombres	30 a 34	Tercer grado	79
11	Bajo Cinca / Baix Cinca	Hombres	35 a 39	Analfabetos	12
11	Bajo Cinca / Baix Cinca	Hombres	35 a 39	Sin estudios	19
11	Bajo Cinca / Baix Cinca	Hombres	35 a 39	Primer grado	105
11	Bajo Cinca / Baix Cinca	Hombres	35 a 39	Segundo grado	701
11	Bajo Cinca / Baix Cinca	Hombres	35 a 39	Tercer grado	71
11	Bajo Cinca / Baix Cinca	Hombres	40 a 44	Analfabetos	4
11	Bajo Cinca / Baix Cinca	Hombres	40 a 44	Sin estudios	14
11	Bajo Cinca / Baix Cinca	Hombres	40 a 44	Primer grado	85
11	Bajo Cinca / Baix Cinca	Hombres	40 a 44	Segundo grado	599
11	Bajo Cinca / Baix Cinca	Hombres	40 a 44	Tercer grado	79
11	Bajo Cinca / Baix Cinca	Hombres	45 a 49	Analfabetos	3
11	Bajo Cinca / Baix Cinca	Hombres	45 a 49	Sin estudios	17
11	Bajo Cinca / Baix Cinca	Hombres	45 a 49	Primer grado	165
11	Bajo Cinca / Baix Cinca	Hombres	45 a 49	Segundo grado	482
11	Bajo Cinca / Baix Cinca	Hombres	45 a 49	Tercer grado	63
11	Bajo Cinca / Baix Cinca	Hombres	50 a 54	Analfabetos	3
11	Bajo Cinca / Baix Cinca	Hombres	50 a 54	Sin estudios	23
