Comarca código	Comarca nombre	Edad	Estado civil código	Estado civil	Número hogares
32	Gúdar-Javalambre	16 a 34 años	2	Casados/as	37
32	Gúdar-Javalambre	16 a 34 años	3	Viudos/as	2
32	Gúdar-Javalambre	16 a 34 años	4	Separados/as	7
32	Gúdar-Javalambre	16 a 34 años	5	Divorciados/as	1
32	Gúdar-Javalambre	35 a 64 años	1	Solteros/as	189
32	Gúdar-Javalambre	35 a 64 años	2	Casados/as	110
32	Gúdar-Javalambre	35 a 64 años	3	Viudos/as	23
32	Gúdar-Javalambre	35 a 64 años	4	Separados/as	15
32	Gúdar-Javalambre	35 a 64 años	5	Divorciados/as	5
32	Gúdar-Javalambre	Mayores de 64 años	1	Solteros/as	140
32	Gúdar-Javalambre	Mayores de 64 años	2	Casados/as	51
32	Gúdar-Javalambre	Mayores de 64 años	3	Viudos/as	380
32	Gúdar-Javalambre	Mayores de 64 años	4	Separados/as	9
32	Gúdar-Javalambre	Mayores de 64 años	5	Divorciados/as	3
33	Matarraña / Matarranya	16 a 34 años	1	Solteros/as	65
33	Matarraña / Matarranya	16 a 34 años	2	Casados/as	18
33	Matarraña / Matarranya	16 a 34 años	4	Separados/as	6
33	Matarraña / Matarranya	35 a 64 años	1	Solteros/as	147
33	Matarraña / Matarranya	35 a 64 años	2	Casados/as	36
33	Matarraña / Matarranya	35 a 64 años	3	Viudos/as	19
33	Matarraña / Matarranya	35 a 64 años	4	Separados/as	12
33	Matarraña / Matarranya	35 a 64 años	5	Divorciados/as	8
33	Matarraña / Matarranya	Mayores de 64 años	1	Solteros/as	144
33	Matarraña / Matarranya	Mayores de 64 años	2	Casados/as	22
33	Matarraña / Matarranya	Mayores de 64 años	3	Viudos/as	403
33	Matarraña / Matarranya	Mayores de 64 años	4	Separados/as	6
33	Matarraña / Matarranya	Mayores de 64 años	5	Divorciados/as	1
