Año	Comarca código	Comarca nombre	Edificios nueva planta, total	Superficie nueva planta, total	Viviendas nueva planta
2001	28	Bajo Aragón	120	68170	222
2001	29	Comunidad de Teruel	50	42997	192
2001	30	Maestrazgo	10	5372	18
2001	31	Sierra de Albarracín	18	6076	19
2001	32	Gúdar-Javalambre	79	24924	109
2001	33	Matarraña / Matarranya	40	19778	32
2000	01	La Jacetania	65	71558	498
2000	02	Alto Gállego	112	66664	482
2000	03	Sobrarbe	108	29947	201
2000	04	La Ribagorza	97	50807	236
2000	05	Cinco Villas	123	50580	101
2000	06	Hoya de Huesca / Plana de Uesca	85	31060	127
2000	07	Somontano de Barbastro	83	53455	221
2000	08	Cinca Medio	108	54285	174
2000	09	La Litera / La Llitera	83	37428	84
2000	10	Los Monegros	93	40767	50
2000	11	Bajo Cinca / Baix Cinca	129	88930	261
2000	12	Tarazona y el Moncayo	62	30333	129
2000	13	Campo de Borja	83	28145	102
2000	14	Aranda	37	42089	89
2000	15	Ribera Alta del Ebro	193	72037	239
2000	16	Valdejalón	184	113768	213
2000	17	Central	1547	1423394	6338
2000	18	Ribera Baja del Ebro	27	11050	25
2000	19	Bajo Aragón-Caspe / Baix Aragó-Casp	60	21464	49
2000	20	Comunidad de Calatayud	93	68811	296
2000	21	Campo de Cariñena	48	11772	50
2000	22	Campo de Belchite	12	3476	9
2000	23	Bajo Martín	19	8696	22
2000	24	Campo de Daroca	39	15707	73
2000	25	Jiloca	61	37838	109
2000	26	Cuencas Mineras	37	9612	37
2000	27	Andorra-Sierra de Arcos	35	13400	29
2000	28	Bajo Aragón	111	73778	208
2000	29	Comunidad de Teruel	48	23436	88
2000	30	Maestrazgo	9	3923	15
2000	31	Sierra de Albarracín	14	7317	12
2000	32	Gúdar-Javalambre	93	32001	149
2000	33	Matarraña / Matarranya	40	17975	25
